SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
DLF, EQ, 01-Jan-2020,230.9,231.4,232.15,227.1, 227.40,227.55,228.81,3761160,8605.82,22409, 668092, 17.76,-1.45
DLF, EQ, 01-Jan-2021,232.85,232.85,240.45,232.5, 236.75,238.35,235.72,10012441,23600.84,57276, 1056364, 10.55,2.36
DLF, EQ, 01-Jan-2024,726.4,727.2,731.0,721.45, 722.00,723.6,725.75,1400824,10166.49,26541, 639592, 45.66,-0.39
DLF, EQ, 01-Jan-2025,824.9,821.55,826.25,814.6,825.2,824.5,820.71,929268,7626.63,35601, 289385, 31.14,-0.05
DLF, EQ, 01-Feb-2021,255.45,258.5,289.7,255.0, 281.40,281.65,268.27,34749840,93223.21,210802, 5985999, 17.23,10.26
DLF, EQ, 01-Feb-2022,390.9,394.8,408.0,385.05,407.5,404.8,396.52,11931399,47310.86,114080, 2269487, 19.02,3.56
DLF, EQ, 01-Feb-2023,356.05,358.55,365.6,341.55, 345.90,349.0,355.42,5504489,19564.27,59241, 1472828, 26.76,-1.98
DLF, EQ, 01-Feb-2024,802.6,802.55,808.75,791.05, 796.80,800.05,800.42,5565773,44549.58,120449, 2731657, 49.08,-0.32
DLF, EQ, 01-Mar-2021,302.5,305.8,310.7,302.0, 307.80,307.3,306.15,8238981,25223.8,60664, 1157775, 14.05,1.59
DLF, EQ, 01-Mar-2023,351.65,351.65,357.4,350.95, 355.50,355.65,355.05,1507846,5353.64,19838, 381606, 25.31,1.14
DLF, EQ, 01-Mar-2024,901.2,902.0,917.0,901.2, 916.00,909.9,906.68,2562306,23231.94,73850, 1174579, 45.84,0.97
DLF, EQ, 01-Apr-2020,137.45,135.95,136.95,130.3,132.55,132.55,133.25,5567170,7418.15,45675, 1172925, 21.07,-3.56
DLF, EQ, 01-Apr-2021,287.05,288.1,293.6,283.5, 292.00,291.8,287.68,7372090,21208.0,49557, 715875, 9.71,1.65
DLF, EQ, 01-Apr-2022,380.45,380.0,387.7,378.85, 385.00,385.95,383.92,3250273,12478.57,33677, 791562, 24.35,1.45
DLF, EQ, 01-Apr-2024,897.0,904.0,967.6,901.0, 949.55,948.25,944.95,8494956,80272.93,149054, 2357534, 27.75,5.71
DLF, EQ, 01-Apr-2025,680.5,678.35,678.85,653.35,662.5,663.1,664.14,3528179,23432.05,78879, 1570031, 44.50,-2.56
DLF, EQ, 01-Jun-2020,150.65,153.0,158.55,150.8, 151.75,152.2,155.1,13138735,20378.27,115948, 2379650, 18.11,1.03
DLF, EQ, 01-Jun-2021,288.45,290.0,290.0,280.45, 286.45,287.3,284.97,5328784,15185.63,43114, 904326, 16.97,-0.4
DLF, EQ, 01-Jun-2022,345.55,346.4,348.85,333.6,337.25,337.0,339.38,5551017,18838.85,57945, 1488658, 26.82,-2.47
DLF, EQ, 01-Jun-2023,474.9,475.0,480.05,473.05, 475.95,477.2,476.66,4270077,20353.7,49215, 1749590, 40.97,0.48
DLF, EQ, 01-Jul-2020,148.05,148.45,152.5,147.9, 150.00,150.25,150.06,7325712,10993.15,37973, 762483, 10.41,1.49
DLF, EQ, 01-Jul-2021,281.1,282.6,285.95,279.45, 280.45,280.25,282.12,4909910,13851.7,42540, 1167232, 23.77,-0.3
DLF, EQ, 01-Jul-2022,312.7,310.4,324.4,309.45,323.0,323.15,317.4,5557896,17640.92,45392, 1255657, 22.59,3.34
DLF, EQ, 01-Jul-2024,824.75,826.0,831.75,819.55,825.5,825.4,825.54,1970264,16265.29,71816, 1100406, 55.85,0.08
DLF, EQ, 01-Aug-2022,385.95,385.0,387.9,376.7, 385.50,384.25,382.7,7429671,28433.47,58574, 1709828, 23.01,-0.44
DLF, EQ, 01-Aug-2023,518.75,509.5,511.5,496.9, 499.65,499.7,504.53,15013979,75750.29,109476, 5017769, 33.42,-3.67
DLF, EQ, 01-Aug-2024,889.15,890.0,901.0,867.25,871.95,873.9,885.57,6040354,53491.3,124804, 3367205, 55.75,-1.72
DLF, EQ, 01-Sep-2020,158.35,158.8,161.8,153.2, 160.90,160.9,157.73,17246779,27203.49,90740, 2922509, 16.95,1.61
DLF, EQ, 01-Sep-2021,320.55,322.65,335.0,319.25,333.0,332.85,328.63,14296207,46981.81,116116, 2612992, 18.28,3.84
DLF, EQ, 01-Sep-2022,390.0,388.0,400.0,386.0,398.0,398.3,395.26,9880155,39052.28,91192, 2210150, 22.37,2.13
DLF, EQ, 01-Sep-2023,504.1,503.9,509.5,500.3, 503.90,503.25,505.14,3044080,15376.9,46003, 1189736, 39.08,-0.17
DLF, EQ, 01-Oct-2020,152.65,153.5,158.7,153.5, 155.65,155.9,156.25,9336209,14588.11,54439, 753270, 8.07,2.13
DLF, EQ, 01-Oct-2021,417.2,419.0,422.85,411.15, 416.30,417.2,416.39,11265711,46909.5,103396, 1297198, 11.51,0.0
DLF, EQ, 01-Oct-2024,895.15,896.8,916.1,895.3,912.55,913.75,906.35,1899090,17212.34,45920, 541914, 28.54,2.08
DLF, EQ, 01-Nov-2021,398.6,404.35,415.0,403.05, 409.90,408.85,409.76,12418986,50887.43,102195, 3579588, 28.82,2.57
DLF, EQ, 01-Nov-2022,385.5,387.0,392.0,385.0,388.35,389.65,388.7,4655525,18096.02,37870, 863846, 18.56,1.08
DLF, EQ, 01-Nov-2023,563.5,565.0,586.8,565.0, 574.70,574.85,578.39,11265190,65156.97,175770, 5615018, 49.84,2.01
DLF, EQ, 01-Dec-2020,187.2,192.0,197.5,189.6,195.1,195.1,194.68,19225092,37427.55,111410, 3460332, 18.00,4.22
DLF, EQ, 01-Dec-2021,374.8,380.0,385.8,375.35,383.1,383.1,380.84,7479832,28486.08,78217, 2009677, 26.87,2.21
DLF, EQ, 01-Dec-2022,402.65,405.8,414.8,402.35,411.0,412.7,409.33,7882120,32263.8,65307, 3045618, 38.64,2.5
DLF, EQ, 01-Dec-2023,625.85,631.9,634.3,625.55, 626.95,629.25,629.91,3438389,21658.65,34834, 2259093, 65.70,0.54
DLF, EQ, 02-Jan-2020,227.55,227.5,234.4,226.5, 233.85,233.75,231.08,4513308,10429.2,26456, 818948, 18.15,2.72
