SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
DMART, EQ, 01-Jan-2020,1838.35,1849.7,1867.0,1820.0, 1829.00,1828.5,1842.05,429407,7909.88,18482, 140343, 32.68,-0.54
DMART, EQ, 01-Jan-2021,2763.6,2767.0,2804.1,2747.0, 2780.00,2789.1,2780.51,432860,12035.72,24263, 87434, 20.20,0.92
DMART, EQ, 01-Jan-2024,4082.65,4075.0,4080.0,4042.1, 4065.00,4064.75,4064.09,131614,5348.91,18875, 81710, 62.08,-0.44
DMART, EQ, 01-Jan-2025,3561.85,3560.0,3586.95,3536.55,3562.0,3561.0,3562.2,241116,8589.04,30908, 124353, 51.57,-0.02
DMART, EQ, 01-Feb-2021,2651.5,2700.0,2894.0,2640.0, 2810.10,2812.0,2787.26,1120547,31232.52,73686, 478439, 42.70,6.05
DMART, EQ, 01-Feb-2022,4114.35,4133.2,4278.0,4092.0,4253.0,4225.6,4167.12,321735,13407.1,42681, 110001, 34.19,2.7
DMART, EQ, 01-Feb-2023,3502.3,3558.0,3580.0,3469.7, 3549.00,3551.35,3544.8,361698,12821.45,41015, 198517, 54.88,1.4
DMART, EQ, 01-Feb-2024,3792.7,3810.0,3826.6,3772.0, 3792.00,3808.2,3802.95,188297,7160.84,22581, 110306, 58.58,0.41
DMART, EQ, 01-Mar-2021,2994.2,3023.4,3024.15,2900.0, 2903.05,2908.45,2947.86,439920,12968.23,45554, 208598, 47.42,-2.86
DMART, EQ, 01-Mar-2023,3416.95,3441.4,3474.0,3431.05, 3445.00,3439.35,3449.92,145318,5013.36,20002, 73065, 50.28,0.66
DMART, EQ, 01-Mar-2024,3918.9,3925.0,3936.75,3867.0, 3896.25,3884.15,3886.01,261674,10168.67,36865, 155230, 59.32,-0.89
DMART, EQ, 01-Apr-2021,2859.05,2885.0,2925.0,2855.5, 2910.00,2912.7,2895.79,416624,12064.55,36076, 179583, 43.10,1.88
DMART, EQ, 01-Apr-2022,4003.35,4013.0,4093.0,4000.0, 4080.00,4082.2,4051.3,416596,16877.57,41730, 205722, 49.38,1.97
DMART, EQ, 01-Apr-2024,4525.6,4570.0,4592.0,4456.3, 4484.00,4483.3,4504.59,410983,18513.1,46285, 205331, 49.96,-0.93
DMART, EQ, 01-Apr-2025,4083.2,4109.75,4163.4,3994.6,4016.0,4003.6,4073.08,401323,16346.2,42130, 154467, 38.49,-1.95
DMART, EQ, 01-Jun-2020,2269.35,2320.1,2328.55,2282.65, 2304.00,2305.5,2305.49,448583,10342.03,62602, 304316, 67.84,1.59
DMART, EQ, 01-Jun-2021,3069.4,3071.05,3087.95,3030.8, 3048.00,3044.8,3054.4,180498,5513.14,17113, 73392, 40.66,-0.8
DMART, EQ, 01-Jun-2022,3972.8,3960.0,4039.0,3812.55,3884.0,3874.05,3888.78,620365,24124.62,72783, 136311, 21.97,-2.49
DMART, EQ, 01-Jun-2023,3471.25,3480.0,3527.0,3473.0, 3501.00,3500.9,3509.43,189632,6655.0,28344, 111390, 58.74,0.85
DMART, EQ, 01-Jul-2020,2317.15,2325.0,2327.0,2285.0, 2290.00,2289.35,2298.12,230105,5288.08,29820, 139825, 60.77,-1.2
DMART, EQ, 01-Jul-2021,3344.1,3373.7,3373.7,3305.0, 3323.00,3315.65,3336.51,155967,5203.86,17806, 64649, 41.45,-0.85
DMART, EQ, 01-Jul-2022,3406.1,3394.45,3406.65,3331.1,3395.0,3388.75,3372.64,311228,10496.59,48482, 143950, 46.25,-0.51
DMART, EQ, 01-Jul-2024,4716.75,4725.1,4754.45,4612.5,4721.9,4735.9,4693.69,642169,30141.4,55571, 371674, 57.88,0.41
DMART, EQ, 01-Aug-2022,4243.85,4251.95,4317.0,4246.5, 4310.00,4307.65,4298.06,399725,17180.43,45771, 149263, 37.34,1.5
DMART, EQ, 01-Aug-2023,3752.8,3758.95,3768.15,3716.2, 3744.00,3740.3,3740.29,212462,7946.7,25750, 143723, 67.65,-0.33
DMART, EQ, 01-Aug-2024,4935.95,4949.0,5008.0,4883.0,4990.0,4993.8,4947.06,202176,10001.76,29478, 100086, 49.50,1.17
DMART, EQ, 01-Sep-2020,2251.25,2244.0,2280.0,2202.0, 2240.00,2241.6,2238.89,623862,13967.61,33896, 289949, 46.48,-0.43
DMART, EQ, 01-Sep-2021,3954.8,3978.0,4015.0,3960.05,3963.0,3968.6,3977.14,249485,9922.37,26980, 142448, 57.10,0.35
DMART, EQ, 01-Sep-2022,4531.35,4494.0,4599.4,4462.0,4557.95,4565.85,4539.39,431835,19602.68,48336, 160361, 37.13,0.76
DMART, EQ, 01-Sep-2023,3720.4,3730.0,3765.0,3716.0, 3759.80,3761.05,3742.47,361003,13510.43,34195, 247260, 68.49,1.09
DMART, EQ, 01-Oct-2020,2203.15,2210.0,2242.0,2171.1, 2175.00,2184.8,2205.22,551443,12160.51,34328, 206094, 37.37,-0.83
DMART, EQ, 01-Oct-2021,4250.2,4250.0,4284.2,4220.1, 4242.00,4235.6,4241.88,203932,8650.55,38056, 137966, 67.65,-0.34
DMART, EQ, 01-Oct-2024,5096.3,5095.0,5138.0,4936.1,4959.0,4954.35,4989.19,562718,28075.06,78725, 376272, 66.87,-2.79
DMART, EQ, 01-Nov-2021,4635.45,4670.0,4708.0,4550.0, 4570.00,4564.75,4595.42,392446,18034.54,69416, 155648, 39.66,-1.53
DMART, EQ, 01-Nov-2022,4320.9,4329.0,4347.1,4232.55,4260.0,4247.5,4273.02,249229,10649.6,33889, 137413, 55.14,-1.7
DMART, EQ, 01-Nov-2023,3633.4,3637.5,3660.6,3621.0, 3628.05,3639.45,3643.6,242467,8834.52,18703, 185565, 76.53,0.17
DMART, EQ, 01-Dec-2020,2289.2,2330.0,2450.0,2315.0,2430.0,2426.7,2393.74,912165,21834.85,53795, 344535, 37.77,6.01
DMART, EQ, 01-Dec-2021,4710.9,4750.0,4848.0,4666.0,4698.0,4693.7,4748.76,374830,17799.77,56790, 151889, 40.52,-0.37
DMART, EQ, 01-Dec-2022,4025.5,4041.0,4064.0,4032.1,4047.0,4044.15,4048.13,255279,10334.02,30731, 153975, 60.32,0.46
DMART, EQ, 01-Dec-2023,3949.75,3969.65,3995.0,3931.15, 3985.00,3988.4,3969.64,380041,15086.26,50483, 227332, 59.82,0.98
DMART, EQ, 02-Jan-2020,1828.5,1831.0,1854.85,1815.0, 1826.95,1824.2,1834.58,459356,8427.26,26025, 182999, 39.84,-0.24
DMART, EQ, 02-Jan-2023,4068.75,4075.0,4117.95,4055.0, 4070.00,4072.75,4079.63,119118,4859.57,14245, 33298, 27.95,0.1
DMART, EQ, 02-Jan-2024,4064.75,4070.0,4155.0,4006.25, 4091.00,4103.35,4068.07,843252,34304.04,43456, 690879, 81.93,0.95
DMART, EQ, 02-Jan-2025,3561.0,3564.95,3635.0,3550.25,3615.3,3611.1,3602.98,566194,20399.88,47951, 367823, 64.96,1.41
DMART, EQ, 02-Feb-2021,2812.0,2820.5,2907.0,2781.7, 2865.00,2869.1,2857.62,837632,23936.34,51796, 345576, 41.26,2.03
DMART, EQ, 02-Feb-2022,4225.6,4274.3,4275.0,4211.0, 4228.00,4236.65,4235.28,249200,10554.33,41666, 103479, 41.52,0.26
DMART, EQ, 02-Feb-2023,3551.35,3547.0,3577.8,3485.0, 3506.00,3502.9,3513.96,222692,7825.32,30657, 110257, 49.51,-1.36
DMART, EQ, 02-Feb-2024,3808.2,3808.2,3815.0,3770.0, 3771.00,3784.3,3789.87,186318,7061.21,25854, 126263, 67.77,-0.63
DMART, EQ, 02-Mar-2020,2323.95,2335.0,2340.0,2220.0, 2225.00,2228.95,2252.44,2050214,46179.92,140583, 1176231, 57.37,-4.09
DMART, EQ, 02-Mar-2021,2908.45,2908.45,3106.0,2885.5,3089.0,3073.5,2992.78,721426,21590.68,64501, 241346, 33.45,5.67
DMART, EQ, 02-Mar-2022,4340.35,4299.95,4446.95,4270.0, 4292.00,4295.15,4358.35,479507,20898.59,60747, 151652, 31.63,-1.04
DMART, EQ, 02-Mar-2023,3439.35,3447.0,3450.0,3425.5, 3444.00,3443.2,3433.31,191133,6562.19,23414, 144467, 75.58,0.11
DMART, EQ, 02-Apr-2024,4483.3,4503.0,4563.0,4400.05, 4407.00,4411.85,4471.01,442907,19802.4,49326, 212374, 47.95,-1.59
DMART, EQ, 02-Apr-2025,4003.6,4045.0,4131.7,3996.0,4104.0,4121.45,4073.53,390709,15915.66,38694, 174889, 44.76,2.94
DMART, EQ, 02-May-2022,3944.25,3939.6,3997.8,3889.0,3989.0,3983.35,3935.93,265831,10462.92,42182, 143411, 53.95,0.99
DMART, EQ, 02-May-2023,3511.95,3515.0,3552.75,3504.65, 3549.00,3545.9,3537.29,237127,8387.87,28501, 131676, 55.53,0.97
DMART, EQ, 02-May-2024,4603.8,4609.95,4642.45,4578.0, 4605.00,4605.05,4602.63,256067,11785.81,34407, 151831, 59.29,0.03
DMART, EQ, 02-Jun-2020,2305.5,2309.1,2389.0,2290.05,2365.0,2381.7,2351.78,503206,11834.32,73803, 301273, 59.87,3.31
DMART, EQ, 02-Jun-2021,3044.8,3050.0,3093.3,3050.0, 3064.50,3066.2,3073.45,236968,7283.1,27439, 113137, 47.74,0.7
DMART, EQ, 02-Jun-2022,3874.05,3885.0,3927.55,3831.1,3869.6,3856.9,3881.78,302036,11724.36,33326, 66020, 21.86,-0.44
DMART, EQ, 02-Jun-2023,3500.9,3510.0,3555.0,3506.1, 3520.00,3531.6,3533.34,396067,13994.4,37674, 255654, 64.55,0.88
DMART, EQ, 02-Jul-2020,2289.35,2302.0,2325.0,2285.0, 2298.00,2295.5,2305.14,412115,9499.84,26293, 244477, 59.32,0.27
DMART, EQ, 02-Jul-2021,3315.65,3340.0,3342.75,3305.0,3318.0,3314.3,3318.27,262656,8715.64,17836, 159390, 60.68,-0.04
DMART, EQ, 02-Jul-2024,4735.9,4759.1,4825.25,4719.55,4782.0,4773.85,4766.31,360009,17159.14,41249, 180024, 50.01,0.8
DMART, EQ, 02-Aug-2021,3500.8,3524.8,3524.8,3486.0,3506.95,3502.4,3498.92,147600,5164.4,15733, 87577, 59.33,0.05
DMART, EQ, 02-Aug-2022,4307.65,4306.0,4306.0,4235.05,4250.0,4259.1,4255.87,311279,13247.63,35996, 138886, 44.62,-1.13
DMART, EQ, 02-Aug-2023,3740.3,3750.0,3779.9,3690.05, 3705.20,3713.4,3723.87,206748,7699.04,26349, 102048, 49.36,-0.72
DMART, EQ, 02-Aug-2024,4993.8,4950.0,5029.75,4890.15,4905.0,4909.7,4959.62,486355,24121.35,36662, 365235, 75.10,-1.68
DMART, EQ, 02-Sep-2020,2241.6,2247.85,2275.0,2212.05, 2221.80,2218.45,2233.6,590823,13196.6,37822, 426836, 72.24,-1.03
DMART, EQ, 02-Sep-2021,3968.6,3979.0,3984.45,3911.0, 3922.50,3917.65,3934.97,206216,8114.53,29040, 106649, 51.72,-1.28
DMART, EQ, 02-Sep-2022,4565.85,4572.9,4609.0,4511.0,4575.0,4576.8,4564.3,268702,12264.37,28896, 88803, 33.05,0.24
DMART, EQ, 02-Sep-2024,4927.45,4977.0,5023.95,4951.0,5000.0,4999.85,4981.71,290596,14476.65,45053, 173550, 59.72,1.47
DMART, EQ, 02-Nov-2020,2239.9,2240.0,2259.0,2163.0, 2181.90,2205.75,2235.03,397527,8884.86,37447, 144257, 36.29,-1.52
DMART, EQ, 02-Nov-2021,4564.75,4596.7,4666.8,4580.0, 4600.00,4597.05,4617.77,304774,14073.76,44221, 104793, 34.38,0.71
DMART, EQ, 02-Nov-2022,4247.5,4264.8,4268.0,4177.0,4193.0,4193.65,4206.55,254614,10710.47,28597, 136981, 53.80,-1.27
DMART, EQ, 02-Nov-2023,3639.45,3639.0,3677.95,3624.15, 3653.00,3647.45,3648.82,216100,7885.1,23295, 133763, 61.90,0.22
DMART, EQ, 02-Dec-2020,2426.7,2435.0,2473.0,2380.15, 2458.00,2456.0,2431.29,494720,12028.09,38277, 154653, 31.26,1.21
DMART, EQ, 02-Dec-2021,4693.7,4750.0,4794.55,4718.45, 4780.00,4782.95,4772.86,351343,16769.12,53149, 135552, 38.58,1.9
DMART, EQ, 02-Dec-2022,4044.15,4049.0,4055.0,3992.55, 4006.00,4005.75,4019.82,222148,8929.94,32843, 126750, 57.06,-0.95
DMART, EQ, 02-Dec-2024,3709.6,3715.45,3722.95,3622.7,3687.0,3678.4,3647.76,975522,35584.74,61432, 675372, 69.23,-0.84
DMART, EQ, 03-Jan-2020,1824.2,1827.0,1853.0,1827.0, 1839.60,1843.55,1841.76,394268,7261.46,26515, 132906, 33.71,1.06
