SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
DONEAR, EQ, 01-Jan-2020,30.05,30.1,30.6,30.0, 30.00,30.1,30.19,17909,5.41,83, 8932, 49.87,0.17
DONEAR, EQ, 01-Jan-2021,34.5,34.85,35.6,34.25, 34.80,34.6,34.89,55222,19.27,512, 31247, 56.58,0.29
DONEAR, EQ, 01-Jan-2024,99.3,99.3,101.85,99.3, 99.85,100.25,100.76,94568,95.28,1569, 52322, 55.33,0.96
DONEAR, EQ, 01-Jan-2025,153.66,155.6,169.4,137.55,167.78,166.54,160.5,697806,1119.99,8843, 232315, 33.29,8.38
DONEAR, EQ, 01-Feb-2021,34.1,34.2,34.85,33.6, 34.00,34.1,34.17,45760,15.63,584, 27574, 60.26,0.0
DONEAR, EQ, 01-Feb-2022,70.7,70.9,71.95,67.3,68.5,69.4,69.32,28862,20.01,515, 20277, 70.26,-1.84
DONEAR, EQ, 01-Feb-2023,98.45,99.9,101.2,91.55, 95.45,95.35,97.67,136116,132.95,1642, 70609, 51.87,-3.15
DONEAR, EQ, 01-Feb-2024,105.9,104.5,111.4,103.65, 109.55,109.95,108.62,735206,798.6,8149, 281504, 38.29,3.82
DONEAR, EQ, 01-Mar-2021,33.05,33.9,34.25,32.9, 33.25,33.55,33.65,32731,11.01,340, 16628, 50.80,1.51
DONEAR, EQ, 01-Mar-2023,78.15,79.0,93.1,78.05, 90.00,90.85,88.9,1693346,1505.37,14107, 354693, 20.95,16.25
DONEAR, EQ, 01-Mar-2024,104.15,105.0,105.6,103.0, 104.80,104.7,104.36,79115,82.56,1956, 36677, 46.36,0.53
DONEAR, EQ, 01-Apr-2020,20.85,20.85,21.6,20.1,20.3,20.65,20.55,1263,0.26,69, 394, 31.20,-0.96
DONEAR, EQ, 01-Apr-2021,29.8,30.5,31.7,30.25, 31.30,31.2,31.17,36833,11.48,331, 22420, 60.87,4.7
DONEAR, EQ, 01-Apr-2022,52.85,54.5,55.45,52.7, 55.45,55.45,54.64,19975,10.91,278, 15302, 76.61,4.92
DONEAR, EQ, 01-Apr-2024,97.35,97.05,103.35,97.05, 101.65,102.9,101.93,100673,102.61,1152, 76716, 76.20,5.7
DONEAR, EQ, 01-Apr-2025,105.19,105.97,107.2,105.43,106.05,106.51,106.34,75476,80.26,1108, 37811, 50.10,1.25
DONEAR, EQ, 01-Jun-2020,24.25,25.0,25.85,24.35, 25.55,25.45,25.32,17509,4.43,309, 11706, 66.86,4.95
DONEAR, EQ, 01-Jun-2021,36.45,36.9,37.05,34.7, 35.50,35.45,35.75,127038,45.41,1597, 66825, 52.60,-2.74
DONEAR, EQ, 01-Jun-2022,53.35,54.3,54.3,51.0,51.2,51.35,51.8,23827,12.34,282, 16414, 68.89,-3.75
DONEAR, EQ, 01-Jun-2023,94.05,94.3,96.6,93.5, 94.30,94.85,95.24,144001,137.15,1887, 56984, 39.57,0.85
DONEAR, EQ, 01-Jul-2020,28.7,27.65,28.8,27.6, 28.35,28.45,28.33,24996,7.08,308, 12654, 50.62,-0.87
DONEAR, EQ, 01-Jul-2021,43.1,44.4,48.7,43.3, 47.90,47.35,46.45,1302176,604.89,7733, 592202, 45.48,9.86
DONEAR, EQ, 01-Jul-2022,53.35,52.35,53.6,51.85,51.85,52.0,52.53,6117,3.21,123, 4230, 69.15,-2.53
DONEAR, EQ, 01-Jul-2024,135.74,135.9,138.85,134.7,135.45,134.96,136.16,238196,324.34,5098, 103688, 43.53,-0.57
DONEAR, EQ, 01-Aug-2022,51.15,51.15,52.05,51.0, 51.50,51.55,51.51,30288,15.6,556, 8691, 28.69,0.78
