SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
DRCSYSTEMS, EQ, 01-Jan-2025,29.82,30.0,31.0,29.5,30.74,30.57,30.39,174993,53.18,1874, 81876, 46.79,2.52
DRCSYSTEMS, EQ, 01-Apr-2021,292.65,307.25,307.25,307.25, 307.25,307.25,307.25,4156,12.77,60, 4156, 100.00,4.99
DRCSYSTEMS, EQ, 01-Apr-2024,20.2,20.9,20.9,19.2, 20.10,20.2,19.94,339715,67.72,1401, 211657, 62.30,0.0
DRCSYSTEMS, EQ, 01-Apr-2025,30.0,29.81,29.81,27.43,27.67,27.74,28.56,516351,147.45,5285, 235380, 45.59,-7.53
DRCSYSTEMS, EQ, 01-Jun-2023,36.95,36.55,38.0,36.35, 38.00,37.7,37.53,4215,1.58,47, 2850, 67.62,2.03
DRCSYSTEMS, EQ, 01-Aug-2023,39.75,39.75,40.5,38.05, 38.80,38.35,39.11,38164,14.93,269, 33450, 87.65,-3.52
DRCSYSTEMS, EQ, 01-Sep-2021,279.05,272.8,292.0,272.7,282.25,287.6,286.66,224,0.64,28, 167, 74.55,3.06
DRCSYSTEMS, EQ, 01-Sep-2022,29.4,30.85,30.85,30.85,30.85,30.85,30.85,5056,1.56,26, 5056, 100.00,4.93
DRCSYSTEMS, EQ, 01-Sep-2023,42.55,46.45,46.45,42.6, 43.05,43.35,44.15,82511,36.43,682, 51527, 62.45,1.88
DRCSYSTEMS, EQ, 01-Oct-2021,264.15,277.9,290.55,267.9, 280.20,277.5,282.63,5596,15.82,354, 1886, 33.70,5.05
DRCSYSTEMS, EQ, 01-Nov-2023,39.8,39.85,40.95,38.35, 39.90,39.3,39.9,24846,9.91,598, 9220, 37.11,-1.26
DRCSYSTEMS, EQ, 02-Jan-2025,30.57,30.99,30.99,29.6,30.25,30.13,30.29,163892,49.64,1694, 109262, 66.67,-1.44
DRCSYSTEMS, EQ, 02-Apr-2024,20.2,20.35,20.4,19.55, 19.85,19.9,20.0,115603,23.13,938, 90209, 78.03,-1.49
DRCSYSTEMS, EQ, 02-Apr-2025,27.74,28.74,28.74,26.39,26.91,26.74,27.07,247214,66.93,2081, 153663, 62.16,-3.6
DRCSYSTEMS, EQ, 02-May-2023,41.85,41.6,43.5,40.05, 43.40,43.1,42.62,4851,2.07,80, 3335, 68.75,2.99
DRCSYSTEMS, EQ, 02-May-2024,18.8,19.3,19.3,18.85, 19.10,18.9,18.96,84271,15.97,607, 50506, 59.93,0.53
DRCSYSTEMS, EQ, 02-Jun-2023,37.7,38.9,39.55,37.45, 39.45,39.25,39.01,9132,3.56,180, 7252, 79.41,4.11
DRCSYSTEMS, EQ, 02-Aug-2021,287.95,290.35,290.5,281.1,288.9,287.4,289.15,1726,4.99,71, 1490, 86.33,-0.19
DRCSYSTEMS, EQ, 02-Aug-2023,38.35,38.95,38.95,37.05, 37.30,37.55,37.9,16349,6.2,177, 10422, 63.75,-2.09
DRCSYSTEMS, EQ, 02-Sep-2021,287.6,290.0,290.0,278.0, 282.25,283.05,285.23,371,1.06,35, 301, 81.13,-1.58
DRCSYSTEMS, EQ, 02-Sep-2022,30.85,32.35,32.35,32.35,32.35,32.35,32.35,347,0.11,14, 347, 100.00,4.86
DRCSYSTEMS, EQ, 02-Nov-2023,39.3,40.4,40.7,39.0, 40.15,39.6,39.77,23913,9.51,690, 10789, 45.12,0.76
DRCSYSTEMS, EQ, 02-Dec-2024,26.72,28.04,28.04,27.09,27.35,27.4,27.56,154822,42.67,1553, 101444, 65.52,2.54
DRCSYSTEMS, EQ, 03-Jan-2025,30.13,30.19,30.55,28.8,29.5,29.48,29.77,130342,38.8,1474, 95621, 73.36,-2.16
DRCSYSTEMS, EQ, 03-Feb-2025,25.78,26.47,26.47,24.9,24.9,25.0,25.3,54983,13.91,1087, 28486, 51.81,-3.03
DRCSYSTEMS, EQ, 03-Mar-2025,19.72,20.28,20.28,17.81,18.1,18.12,18.49,254089,46.98,1594, 136109, 53.57,-8.11
DRCSYSTEMS, EQ, 03-Apr-2023,48.85,48.85,51.25,47.15, 49.00,49.05,50.18,130216,65.35,1057, 80317, 61.68,0.41
DRCSYSTEMS, EQ, 03-Apr-2024,19.9,19.9,19.9,19.05, 19.20,19.2,19.3,231749,44.73,1281, 175915, 75.91,-3.52
DRCSYSTEMS, EQ, 03-Apr-2025,26.74,27.43,28.73,26.6,27.28,27.75,27.48,378784,104.09,1558, 282605, 74.61,3.78
DRCSYSTEMS, EQ, 03-May-2023,43.1,43.4,44.0,42.1,43.85,42.9,43.3,5385,2.33,82, 2255, 41.88,-0.46
DRCSYSTEMS, EQ, 03-May-2024,18.9,19.3,19.3,18.5, 18.80,18.7,18.8,97795,18.38,693, 53847, 55.06,-1.06
DRCSYSTEMS, EQ, 03-Jun-2024,21.9,23.35,23.35,20.1,20.75,20.5,21.18,445453,94.35,1750, 305476, 68.58,-6.39
DRCSYSTEMS, EQ, 03-Jul-2023,39.7,41.7,41.9,37.4, 38.10,38.35,39.2,25124,9.85,479, 8948, 35.62,-3.4
DRCSYSTEMS, EQ, 03-Aug-2021,287.4,282.7,290.0,275.1,275.1,278.95,282.01,955,2.69,117, 651, 68.17,-2.94
DRCSYSTEMS, EQ, 03-Aug-2023,37.55,37.15,38.4,36.75, 37.00,37.1,37.29,10310,3.84,123, 6326, 61.36,-1.2
DRCSYSTEMS, EQ, 03-Sep-2021,283.05,282.1,289.0,282.0, 282.00,287.45,284.79,271,0.77,31, 179, 66.05,1.55
DRCSYSTEMS, EQ, 03-Oct-2023,42.85,43.35,45.95,41.05, 41.70,41.3,42.45,129778,55.09,1477, 66852, 51.51,-3.62
DRCSYSTEMS, EQ, 03-Nov-2023,39.6,39.6,40.2,38.8, 40.20,39.95,39.54,16261,6.43,606, 8174, 50.27,0.88
DRCSYSTEMS, EQ, 03-Dec-2024,27.4,28.0,28.63,27.54,28.3,28.22,28.12,259779,73.04,1494, 211514, 81.42,2.99
DRCSYSTEMS, EQ, 04-Feb-2025,25.0,25.5,27.5,25.22,27.5,27.5,26.97,148977,40.18,973, 100125, 67.21,10.0
DRCSYSTEMS, EQ, 04-Mar-2025,18.12,17.64,18.92,17.64,18.54,18.31,18.5,179900,33.29,904, 123084, 68.42,1.05
DRCSYSTEMS, EQ, 04-Apr-2024,19.2,19.45,19.55,19.05, 19.10,19.25,19.34,106426,20.58,1031, 82985, 77.97,0.26
DRCSYSTEMS, EQ, 04-Apr-2025,27.75,28.0,28.0,25.5,27.32,27.12,26.9,288397,77.57,1858, 208496, 72.29,-2.27
DRCSYSTEMS, EQ, 04-May-2023,42.9,42.95,43.8,40.8, 40.85,41.05,41.75,3513,1.47,62, 2677, 76.20,-4.31
DRCSYSTEMS, EQ, 04-Jun-2024,20.5,20.8,20.8,18.55,19.4,19.4,19.54,274539,53.64,1295, 175174, 63.81,-5.37
DRCSYSTEMS, EQ, 04-Jul-2023,38.35,39.75,39.75,37.55, 38.85,38.65,38.67,2665,1.03,95, 1615, 60.60,0.78
DRCSYSTEMS, EQ, 04-Aug-2021,278.95,278.75,278.75,267.0,269.9,269.85,273.84,1143,3.13,85, 884, 77.34,-3.26
DRCSYSTEMS, EQ, 04-Aug-2023,37.1,37.05,38.65,37.05, 38.65,37.75,37.84,20213,7.65,304, 12694, 62.80,1.75
DRCSYSTEMS, EQ, 04-Sep-2023,43.35,45.8,45.8,42.3, 43.20,43.0,43.5,29491,12.83,556, 12205, 41.39,-0.81
DRCSYSTEMS, EQ, 04-Oct-2021,277.5,283.05,283.05,270.0, 274.35,271.05,271.97,1171,3.18,108, 810, 69.17,-2.32
DRCSYSTEMS, EQ, 04-Oct-2023,41.3,41.1,41.85,40.05, 41.20,41.2,41.15,41414,17.04,462, 32258, 77.89,-0.24
DRCSYSTEMS, EQ, 04-Nov-2024,24.83,25.75,25.75,24.22,24.52,24.67,24.94,74860,18.67,839, 49375, 65.96,-0.64
DRCSYSTEMS, EQ, 04-Dec-2024,28.22,29.54,29.54,28.0,28.24,28.19,28.62,146929,42.04,1119, 102847, 70.00,-0.11
DRCSYSTEMS, EQ, 05-Feb-2025,27.5,30.25,30.25,29.32,30.25,30.25,30.22,167937,50.75,321, 76512, 45.56,10.0
DRCSYSTEMS, EQ, 05-Mar-2025,18.31,18.3,21.97,18.15,21.44,21.44,20.9,514828,107.57,2901, 179474, 34.86,17.09
DRCSYSTEMS, EQ, 05-Apr-2021,307.25,322.0,322.6,322.0,322.6,322.6,322.19,3871,12.47,91, 3286, 84.89,5.0
DRCSYSTEMS, EQ, 05-Apr-2023,49.05,50.8,50.8,46.6, 46.60,46.7,48.01,25344,12.17,249, 18072, 71.31,-4.79
DRCSYSTEMS, EQ, 05-Apr-2024,19.25,20.55,20.55,19.1, 19.40,19.3,19.42,106224,20.63,581, 62635, 58.97,0.26
DRCSYSTEMS, EQ, 05-May-2023,41.05,41.05,41.25,40.15, 40.15,40.5,40.9,1530,0.63,46, 1147, 74.97,-1.34
DRCSYSTEMS, EQ, 05-Jun-2023,39.25,41.2,41.2,39.5, 40.80,40.35,40.35,16993,6.86,326, 8604, 50.63,2.8
DRCSYSTEMS, EQ, 05-Jun-2024,19.4,19.9,20.6,19.65,20.45,20.4,20.13,161848,32.58,830, 116031, 71.69,5.15
DRCSYSTEMS, EQ, 05-Jul-2023,38.65,38.85,39.55,38.25,38.95,38.95,39.03,3548,1.38,58, 2500, 70.46,0.78
DRCSYSTEMS, EQ, 05-Aug-2021,269.85,279.9,280.0,260.0,275.65,264.15,266.17,511,1.36,74, 276, 54.01,-2.11
DRCSYSTEMS, EQ, 05-Sep-2022,32.35,33.95,33.95,33.25, 33.95,33.95,33.94,9733,3.3,58, 9368, 96.25,4.95
DRCSYSTEMS, EQ, 05-Sep-2023,43.0,45.4,45.4,40.0, 41.45,41.1,42.54,48141,20.48,959, 20334, 42.24,-4.42
DRCSYSTEMS, EQ, 05-Oct-2021,271.05,278.9,278.9,262.0, 273.50,266.95,269.68,871,2.35,73, 573, 65.79,-1.51
DRCSYSTEMS, EQ, 05-Oct-2023,41.2,41.85,41.9,40.6, 41.50,41.5,41.26,17346,7.16,295, 8885, 51.22,0.73
DRCSYSTEMS, EQ, 05-Nov-2024,24.67,24.2,25.69,24.2,24.83,25.44,25.32,117462,29.75,773, 91835, 78.18,3.12
DRCSYSTEMS, EQ, 05-Dec-2024,28.19,29.0,29.0,28.3,28.3,28.44,28.66,192772,55.25,1516, 112828, 58.53,0.89
DRCSYSTEMS, EQ, 06-Jan-2025,29.48,29.5,29.99,28.32,28.42,28.64,28.81,418101,120.44,1766, 317486, 75.94,-2.85
DRCSYSTEMS, EQ, 06-Feb-2025,30.25,32.0,33.5,28.08,29.42,29.25,31.16,447711,139.49,3454, 196665, 43.93,-3.31
DRCSYSTEMS, EQ, 06-Mar-2025,21.44,21.44,21.48,20.25,20.25,20.56,20.84,200922,41.88,2063, 108367, 53.93,-4.1
DRCSYSTEMS, EQ, 06-Apr-2021,322.6,338.7,338.7,338.7,338.7,338.7,338.7,594,2.01,21, 575, 96.80,4.99
DRCSYSTEMS, EQ, 06-Apr-2023,46.7,46.0,46.5,44.4, 44.40,44.4,44.73,24041,10.75,217, 16935, 70.44,-4.93
DRCSYSTEMS, EQ, 06-May-2024,18.7,19.15,19.15,18.35,18.75,18.7,18.59,164475,30.57,715, 104424, 63.49,0.0
DRCSYSTEMS, EQ, 06-Jun-2023,40.35,42.2,42.35,41.0,42.0,41.7,41.95,9194,3.86,197, 7724, 84.01,3.35
DRCSYSTEMS, EQ, 06-Jun-2024,20.4,20.4,21.3,20.4,21.1,20.95,20.9,140101,29.29,795, 86508, 61.75,2.7
DRCSYSTEMS, EQ, 06-Jul-2023,38.95,38.4,38.95,37.1,37.25,37.7,37.76,11109,4.2,262, 6382, 57.45,-3.21
DRCSYSTEMS, EQ, 06-Aug-2021,264.15,270.2,289.0,265.1, 289.00,285.2,282.9,1308,3.7,57, 1102, 84.25,7.97
DRCSYSTEMS, EQ, 06-Sep-2021,287.45,287.0,292.95,260.0,260.0,279.25,281.11,1167,3.28,83, 590, 50.56,-2.85
DRCSYSTEMS, EQ, 06-Sep-2022,33.95,35.6,35.6,34.6, 35.60,35.6,35.59,9431,3.36,52, 9006, 95.49,4.86
DRCSYSTEMS, EQ, 06-Sep-2023,41.1,40.5,45.0,40.3, 42.30,42.85,43.77,161529,70.7,2106, 66587, 41.22,4.26
DRCSYSTEMS, EQ, 06-Oct-2021,266.95,282.0,293.6,267.2, 285.00,283.45,282.67,3881,10.97,228, 2901, 74.75,6.18
DRCSYSTEMS, EQ, 06-Oct-2023,41.5,41.8,41.9,41.1, 41.80,41.55,41.61,20467,8.52,299, 14451, 70.61,0.12
DRCSYSTEMS, EQ, 06-Nov-2023,39.95,40.0,41.0,39.7, 40.15,39.95,39.94,25001,9.99,278, 20805, 83.22,0.0
DRCSYSTEMS, EQ, 06-Nov-2024,25.44,25.69,26.71,25.68,26.71,26.59,26.47,159294,42.16,956, 118435, 74.35,4.52
DRCSYSTEMS, EQ, 06-Dec-2022,38.0,39.8,39.8,36.3, 39.80,39.7,38.83,98926,38.41,313, 75184, 76.00,4.47
DRCSYSTEMS, EQ, 06-Dec-2024,28.44,29.5,31.28,28.51,30.9,30.73,30.77,777574,239.27,4172, 407799, 52.45,8.05
DRCSYSTEMS, EQ, 07-Jan-2025,28.64,28.22,29.8,28.22,29.5,29.61,29.2,153584,44.85,1018, 99498, 64.78,3.39
DRCSYSTEMS, EQ, 07-Feb-2025,29.25,29.21,31.2,26.2,26.66,26.69,28.16,335303,94.42,3563, 128102, 38.20,-8.75
DRCSYSTEMS, EQ, 07-Mar-2025,20.56,21.3,23.52,20.53,22.98,22.5,22.34,454689,101.59,3704, 170324, 37.46,9.44
DRCSYSTEMS, EQ, 07-Apr-2021,338.7,355.6,355.6,338.7,355.6,355.6,353.93,9686,34.28,178, 6840, 70.62,4.99
DRCSYSTEMS, EQ, 07-Apr-2025,27.12,24.81,25.44,21.75,25.34,24.87,24.44,178156,43.54,1751, 88606, 49.74,-8.3
DRCSYSTEMS, EQ, 07-May-2024,18.7,18.7,18.7,18.0,18.3,18.1,18.22,109868,20.02,788, 74505, 67.81,-3.21
DRCSYSTEMS, EQ, 07-Jun-2023,41.7,45.25,45.85,39.45, 42.85,41.25,44.02,79900,35.17,678, 49031, 61.37,-1.08
DRCSYSTEMS, EQ, 07-Jun-2024,20.95,21.25,21.9,20.55,20.95,20.75,21.28,197818,42.1,981, 129167, 65.30,-0.95
DRCSYSTEMS, EQ, 07-Jul-2023,37.7,38.4,38.4,37.0, 37.10,37.3,37.5,4370,1.64,54, 3433, 78.56,-1.06
DRCSYSTEMS, EQ, 07-Aug-2023,37.75,39.0,45.3,37.85, 40.95,41.0,43.16,232530,100.36,1320, 88652, 38.12,8.61
DRCSYSTEMS, EQ, 07-Sep-2021,279.25,279.25,284.0,265.0, 274.80,274.8,275.4,621,1.71,81, 294, 47.34,-1.59
DRCSYSTEMS, EQ, 07-Sep-2022,35.6,37.25,37.35,37.25, 37.35,37.35,37.35,4119,1.54,23, 4119, 100.00,4.92
DRCSYSTEMS, EQ, 07-Sep-2023,42.85,42.95,43.6,40.55, 40.75,41.25,42.47,57898,24.59,1218, 22454, 38.78,-3.73
DRCSYSTEMS, EQ, 07-Oct-2021,283.45,293.0,340.1,293.0, 340.10,340.1,337.91,23294,78.71,531, 13721, 58.90,19.99
DRCSYSTEMS, EQ, 07-Nov-2023,39.95,40.0,41.1,40.0, 40.75,40.7,40.61,16913,6.87,402, 8429, 49.84,1.88
