SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
DSPNEWETF, EQ, 01-Jan-2024,274.38,274.39,274.86,273.01, 274.85,274.57,274.08,3574,9.8,166, 2595, 72.61,0.07
DSPNEWETF, EQ, 01-Feb-2022,194.68,198.57,198.57,192.5,197.25,197.13,196.04,1981,3.88,71, 1915, 96.67,1.26
DSPNEWETF, EQ, 01-Feb-2023,206.1,207.0,207.46,202.01, 204.55,204.35,205.48,10385,21.34,347, 6615, 63.70,-0.85
DSPNEWETF, EQ, 01-Feb-2024,277.28,280.05,280.98,275.98, 277.11,277.01,277.5,5075,14.08,144, 3651, 71.94,-0.1
DSPNEWETF, EQ, 01-Mar-2023,197.77,201.73,201.73,198.4, 199.85,200.15,199.62,10544,21.05,82, 10202, 96.76,1.2
DSPNEWETF, EQ, 01-Apr-2022,195.93,196.8,198.1,195.1, 197.00,196.52,196.31,1243,2.44,45, 1133, 91.15,0.3
DSPNEWETF, EQ, 01-Jun-2022,188.25,189.0,190.5,187.75,188.0,188.0,189.29,1172,2.22,36, 528, 45.05,-0.13
DSPNEWETF, EQ, 01-Jun-2023,217.76,217.81,219.59,217.68, 218.01,218.85,219.06,16076,35.22,78, 12333, 76.72,0.5
DSPNEWETF, EQ, 01-Jul-2022,178.77,179.0,180.9,177.0,178.75,178.66,177.67,1361,2.42,75, 893, 65.61,-0.06
DSPNEWETF, EQ, 01-Aug-2022,197.79,200.0,200.1,198.0, 200.00,200.02,199.49,3472,6.93,116, 3041, 87.59,1.13
DSPNEWETF, EQ, 01-Aug-2023,235.02,230.85,239.64,230.85, 236.01,236.2,236.09,16959,40.04,96, 16523, 97.43,0.5
DSPNEWETF, EQ, 01-Sep-2022,205.94,206.0,207.3,202.5,205.57,205.46,204.26,2137,4.37,82, 1711, 80.07,-0.23
DSPNEWETF, EQ, 01-Sep-2023,232.46,232.99,236.14,232.99, 236.14,235.55,234.47,6566,15.4,88, 5857, 89.20,1.33
DSPNEWETF, EQ, 01-Nov-2022,208.71,210.48,210.48,208.31,210.11,210.14,209.83,9341,19.6,197, 5418, 58.00,0.69
DSPNEWETF, EQ, 01-Nov-2023,235.51,235.57,239.6,233.8, 239.60,233.91,234.77,3444,8.09,167, 3285, 95.38,-0.68
DSPNEWETF, EQ, 01-Dec-2021,190.69,193.0,193.0,190.5,190.5,190.87,191.44,906,1.73,64, 764, 84.33,0.09
DSPNEWETF, EQ, 01-Dec-2022,215.23,215.45,218.15,215.45,217.14,216.35,216.56,7925,17.16,87, 3737, 47.15,0.52
DSPNEWETF, EQ, 01-Dec-2023,251.86,253.43,255.4,253.14, 255.40,255.18,254.51,65582,166.92,159, 63633, 97.03,1.32
DSPNEWETF, EQ, 02-Jan-2023,209.44,212.97,212.97,209.0, 209.58,209.66,209.19,6258,13.09,74, 2926, 46.76,0.11
DSPNEWETF, EQ, 02-Jan-2024,274.57,274.58,274.58,270.63, 273.87,273.91,272.6,61670,168.11,177, 41592, 67.44,-0.24
DSPNEWETF, EQ, 02-Feb-2022,197.13,200.98,207.0,196.5, 198.65,198.65,199.01,1480,2.95,47, 1021, 68.99,0.77
