SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
EASTSILK, EQ, 01-Apr-2020,0.7,0.7,0.75,0.65,0.65,0.65,0.68,9284,0.06,30, 8984, 96.77,-7.14
EASTSILK, EQ, 01-Apr-2022,6.7,7.0,7.0,6.45, 6.85,6.8,6.77,128715,8.71,304, 73513, 57.11,1.49
EASTSILK, EQ, 01-Jun-2022,5.7,5.5,5.7,5.45,5.45,5.45,5.51,88122,4.85,209, 53549, 60.77,-4.39
EASTSILK, EQ, 01-Sep-2020,1.4,1.45,1.45,1.35, 1.35,1.35,1.39,53911,0.75,66, 53686, 99.58,-3.57
EASTSILK, EQ, 01-Sep-2021,3.9,3.85,3.95,3.75,3.9,3.8,3.87,52850,2.05,105, 38557, 72.96,-2.56
EASTSILK, EQ, 01-Oct-2020,1.2,1.15,1.2,1.15, 1.20,1.2,1.2,48812,0.58,20, 48812, 100.00,0.0
EASTSILK, EQ, 01-Oct-2021,3.65,3.6,3.8,3.5, 3.65,3.6,3.66,90818,3.33,131, 40393, 44.48,-1.37
EASTSILK, EQ, 01-Nov-2021,4.55,4.55,4.75,4.35, 4.75,4.75,4.73,128263,6.06,219, 82314, 64.18,4.4
EASTSILK, EQ, 01-Dec-2021,5.25,5.0,5.35,5.0,5.0,5.0,5.05,138085,6.98,299, 106269, 76.96,-4.76
EASTSILK, EQ, 02-May-2022,6.2,6.1,6.5,6.0,6.45,6.45,6.19,135510,8.39,338, 75028, 55.37,4.03
EASTSILK, EQ, 02-Jun-2022,5.45,5.6,5.6,5.25,5.4,5.35,5.42,45574,2.47,154, 32838, 72.05,-1.83
EASTSILK, EQ, 02-Aug-2021,3.65,3.8,3.8,3.8,3.8,3.8,3.8,12194,0.46,27, 12194, 100.00,4.11
EASTSILK, EQ, 02-Sep-2020,1.35,1.35,1.35,1.3, 1.30,1.3,1.33,35320,0.47,49, 35320, 100.00,-3.7
EASTSILK, EQ, 02-Sep-2021,3.8,3.7,3.9,3.7, 3.90,3.85,3.83,31782,1.22,78, 19431, 61.14,1.32
EASTSILK, EQ, 02-Nov-2021,4.75,4.9,4.95,4.8, 4.95,4.95,4.9,47882,2.35,119, 33520, 70.01,4.21
EASTSILK, EQ, 02-Dec-2021,5.0,5.1,5.25,5.1, 5.25,5.25,5.25,88556,4.64,161, 76222, 86.07,5.0
EASTSILK, EQ, 03-Jan-2022,10.9,11.4,11.4,11.4, 11.40,11.4,11.4,31605,3.6,62, 31605, 100.00,4.59
EASTSILK, EQ, 03-Apr-2020,0.65,0.7,0.7,0.6, 0.60,0.6,0.67,6222,0.04,18, 6201, 99.66,-7.69
EASTSILK, EQ, 03-Jun-2022,5.35,5.4,5.6,5.3, 5.50,5.5,5.53,59159,3.27,188, 43259, 73.12,2.8
EASTSILK, EQ, 03-Aug-2021,3.8,3.95,3.95,3.95,3.95,3.95,3.95,19902,0.79,27, 19902, 100.00,3.95
EASTSILK, EQ, 03-Sep-2020,1.3,1.35,1.35,1.25, 1.35,1.35,1.35,42567,0.57,49, 42317, 99.41,3.85
EASTSILK, EQ, 03-Sep-2021,3.85,3.9,3.9,3.7, 3.90,3.85,3.84,39240,1.51,110, 27070, 68.99,0.0
EASTSILK, EQ, 03-Nov-2021,4.95,5.15,5.15,5.15, 5.15,5.15,5.15,118687,6.11,139, 72425, 61.02,4.04
EASTSILK, EQ, 03-Dec-2021,5.25,5.4,5.5,5.1, 5.50,5.5,5.47,153788,8.41,321, 141834, 92.23,4.76
EASTSILK, EQ, 04-Mar-2020,0.85,0.9,0.9,0.8, 0.80,0.8,0.88,2884,0.03,11, 2231, 77.36,-5.88
EASTSILK, EQ, 04-Apr-2022,6.8,6.9,7.1,6.7,7.1,7.0,6.97,104625,7.29,355, 74017, 70.75,2.94
EASTSILK, EQ, 04-May-2022,6.45,6.3,6.7,6.15,6.15,6.15,6.3,86977,5.48,249, 58367, 67.11,-4.65
EASTSILK, EQ, 04-Aug-2021,3.95,4.1,4.1,3.8,3.8,3.85,3.98,156355,6.22,247, 88395, 56.53,-2.53
EASTSILK, EQ, 04-Sep-2020,1.35,1.4,1.4,1.3,1.3,1.3,1.34,172992,2.32,76, 150583, 87.05,-3.7
EASTSILK, EQ, 04-Oct-2021,3.6,3.7,3.75,3.55, 3.75,3.75,3.7,76320,2.82,188, 65283, 85.54,4.17
EASTSILK, EQ, 05-Mar-2020,0.8,0.8,0.8,0.75, 0.80,0.8,0.77,646,0.0,8, 646, 100.00,0.0
EASTSILK, EQ, 05-Apr-2022,7.0,7.35,7.35,7.0, 7.35,7.35,7.24,105569,7.65,364, 63812, 60.45,5.0
EASTSILK, EQ, 05-May-2022,6.15,5.9,6.45,5.9, 6.45,6.4,6.4,319474,20.44,278, 161592, 50.58,4.07
