SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
EPACK, EQ, 01-Jan-2025,553.25,567.7,580.9,564.95,580.9,580.9,579.54,307314,1781.02,2998, 260011, 84.61,5.0
EPACK, EQ, 01-Feb-2024,210.65,212.0,214.0,207.6, 208.70,209.6,209.86,2448901,5139.35,34792, 538271, 21.98,-0.5
EPACK, EQ, 01-Mar-2024,184.65,185.95,187.0,181.55, 182.75,182.35,184.38,353906,652.53,11421, 186165, 52.60,-1.25
EPACK, EQ, 01-Apr-2024,151.35,152.9,159.5,152.9, 158.90,158.75,156.39,548165,857.26,9295, 296228, 54.04,4.89
EPACK, EQ, 01-Apr-2025,368.75,364.0,382.95,362.25,376.3,375.9,372.35,844431,3144.21,15248, 388114, 45.96,1.94
EPACK, EQ, 01-Jul-2024,243.74,247.4,268.8,245.0,261.5,260.44,259.95,4285181,11139.39,72921, 1508414, 35.20,6.85
EPACK, EQ, 01-Aug-2024,263.64,265.0,265.1,256.65,258.0,258.1,259.19,717586,1859.88,18813, 467478, 65.15,-2.1
EPACK, EQ, 01-Oct-2024,392.2,395.0,419.0,389.05,415.0,413.95,404.81,1953126,7906.4,20656, 897495, 45.95,5.55
EPACK, EQ, 02-Jan-2025,580.9,609.85,609.9,585.0,593.95,595.35,603.3,1994894,12035.27,26009, 951283, 47.69,2.49
EPACK, EQ, 02-Feb-2024,209.6,210.95,212.2,204.0, 204.65,204.2,208.12,1339191,2787.16,24994, 633574, 47.31,-2.58
EPACK, EQ, 02-Apr-2024,158.75,159.0,176.4,159.0, 172.30,172.75,171.22,1648721,2822.89,40453, 442531, 26.84,8.82
EPACK, EQ, 02-Apr-2025,375.9,375.85,385.0,365.75,381.15,381.55,375.57,599677,2252.2,12689, 266195, 44.39,1.5
EPACK, EQ, 02-May-2024,197.15,198.0,200.5,193.05, 196.35,194.8,195.97,520587,1020.17,9740, 271363, 52.13,-1.19
EPACK, EQ, 02-Jul-2024,260.44,263.4,269.28,258.4,264.0,264.94,264.33,2400289,6344.72,39817, 971054, 40.46,1.73
EPACK, EQ, 02-Aug-2024,258.1,253.4,259.0,252.0,253.7,253.55,255.73,962909,2462.41,31269, 563713, 58.54,-1.76
EPACK, EQ, 02-Sep-2024,252.9,254.2,254.7,246.8,250.0,249.6,249.36,710979,1772.87,18548, 340353, 47.87,-1.3
EPACK, EQ, 03-Jan-2025,595.35,595.35,625.1,575.0,625.1,625.1,620.48,1308492,8118.9,16042, 628544, 48.04,5.0
EPACK, EQ, 03-Feb-2025,440.2,421.1,432.0,418.2,418.2,418.2,420.41,780162,3279.85,8387, 317878, 40.75,-5.0
EPACK, EQ, 03-Mar-2025,369.55,380.95,382.55,351.1,359.5,358.8,358.94,516675,1854.54,10429, 228467, 44.22,-2.91
EPACK, EQ, 03-Apr-2024,172.75,173.8,180.65,170.5, 178.50,178.45,176.5,726343,1282.01,17593, 285701, 39.33,3.3
EPACK, EQ, 03-Apr-2025,381.55,372.0,393.7,372.0,382.85,381.7,385.17,807908,3111.78,13984, 356689, 44.15,0.04
EPACK, EQ, 03-May-2024,194.8,197.7,203.05,196.5, 197.55,197.4,199.24,804361,1602.61,18048, 345515, 42.96,1.33
