SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
EQUITAS, EQ, 01-Jan-2020,106.8,106.7,107.35,105.95, 106.30,106.3,106.65,1093976,1166.69,7004, 163444, 14.94,-0.47
EQUITAS, EQ, 01-Jan-2021,68.1,68.1,68.8,67.6, 68.50,68.35,68.18,781358,532.73,6658, 422894, 54.12,0.37
EQUITAS, EQ, 01-Feb-2021,71.6,72.1,75.9,70.55, 75.70,74.85,72.76,1430096,1040.51,9906, 708589, 49.55,4.54
EQUITAS, EQ, 01-Feb-2022,109.5,109.85,112.9,109.6,112.75,112.3,111.04,545020,605.2,13871, 298009, 54.68,2.56
EQUITAS, EQ, 01-Feb-2023,121.7,123.0,125.65,117.1, 120.25,119.6,122.77,1414455,1736.52,19839, 625452, 44.22,-1.73
EQUITAS, EQ, 01-Mar-2021,85.6,86.0,88.6,85.65, 88.10,88.15,87.33,1993322,1740.76,11968, 902446, 45.27,2.98
EQUITAS, EQ, 01-Apr-2020,42.65,42.4,43.75,40.1,41.05,41.5,42.15,3544959,1494.26,11976, 561877, 15.85,-2.7
EQUITAS, EQ, 01-Apr-2021,87.25,87.25,89.25,87.2, 87.80,87.8,88.13,899852,793.06,9072, 476932, 53.00,0.63
EQUITAS, EQ, 01-Apr-2022,106.5,106.5,109.6,106.45, 108.80,108.9,108.58,408552,443.6,12262, 215698, 52.80,2.25
EQUITAS, EQ, 01-Jun-2020,42.35,42.9,46.1,42.9, 45.45,45.6,45.06,27902426,12573.53,66712, 6444514, 23.10,7.67
EQUITAS, EQ, 01-Jun-2021,91.95,92.0,92.95,88.7, 89.20,89.0,90.01,1523045,1370.93,16961, 935002, 61.39,-3.21
EQUITAS, EQ, 01-Jun-2022,93.3,94.95,94.95,91.75,92.25,92.35,92.8,564159,523.55,6526, 232049, 41.13,-1.02
EQUITAS, EQ, 01-Jul-2020,49.55,50.15,52.0,49.1, 51.70,51.5,50.96,12182002,6207.71,28848, 1596354, 13.10,3.94
EQUITAS, EQ, 01-Jul-2021,94.0,94.0,94.0,92.0, 92.20,92.45,92.96,701204,651.81,8083, 363944, 51.90,-1.65
EQUITAS, EQ, 01-Jul-2022,82.0,82.4,83.0,81.5,82.55,82.9,82.24,198014,162.84,2280, 108394, 54.74,1.1
EQUITAS, EQ, 01-Aug-2022,100.9,101.0,104.0,98.6, 101.45,101.5,100.81,663003,668.37,5709, 343357, 51.79,0.59
EQUITAS, EQ, 01-Sep-2020,54.55,55.25,56.2,53.15, 54.35,54.35,54.82,5100891,2796.24,20292, 1241347, 24.34,-0.37
