SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
FOCUS, EQ, 01-Jan-2024,176.85,176.85,178.85,175.8, 175.95,176.25,176.78,65198,115.25,2686, 32836, 50.36,-0.34
FOCUS, EQ, 01-Jan-2025,130.23,130.73,134.0,129.75,133.43,132.4,131.82,85750,113.04,1094, 53633, 62.55,1.67
FOCUS, EQ, 01-Feb-2022,79.35,78.45,80.4,75.4,75.6,75.5,76.6,4557,3.49,112, 3098, 67.98,-4.85
FOCUS, EQ, 01-Feb-2023,319.15,325.5,327.9,309.0, 315.90,310.3,319.62,15025,48.02,406, 11371, 75.68,-2.77
FOCUS, EQ, 01-Feb-2024,194.65,195.9,202.0,192.05, 198.05,197.2,195.6,268098,524.39,8549, 147502, 55.02,1.31
FOCUS, EQ, 01-Mar-2023,430.55,424.0,438.8,415.5, 417.00,417.8,422.1,49385,208.45,2400, 26909, 54.49,-2.96
FOCUS, EQ, 01-Mar-2024,164.65,165.5,174.8,165.0, 174.20,173.35,171.26,223238,382.31,8544, 132660, 59.43,5.28
FOCUS, EQ, 01-Apr-2024,143.85,145.3,152.95,145.3, 152.95,150.7,149.7,122635,183.59,3148, 67598, 55.12,4.76
FOCUS, EQ, 01-Apr-2025,77.76,80.5,81.64,77.76,81.64,81.64,81.15,59191,48.04,232, 41541, 70.18,4.99
FOCUS, EQ, 01-Jun-2023,541.4,541.4,568.45,541.4, 561.95,562.45,565.13,30313,171.31,875, 18841, 62.15,3.89
FOCUS, EQ, 01-Jul-2022,107.35,109.85,109.85,102.55,105.0,104.35,105.48,1654,1.74,87, 784, 47.40,-2.79
FOCUS, EQ, 01-Jul-2024,150.21,152.0,152.75,143.0,144.3,144.36,146.79,443355,650.81,10767, 258312, 58.26,-3.89
FOCUS, EQ, 01-Aug-2022,109.5,109.95,110.35,106.0, 108.50,109.1,108.12,1640,1.77,120, 491, 29.94,-0.37
FOCUS, EQ, 01-Aug-2023,776.55,776.55,785.0,760.0, 776.35,776.65,774.91,34595,268.08,1600, 21172, 61.20,0.01
FOCUS, EQ, 01-Aug-2024,116.45,118.7,121.5,115.42,118.2,116.45,118.07,1869876,2207.68,17661, 953791, 51.01,0.0
FOCUS, EQ, 01-Sep-2022,144.0,148.0,148.0,137.0,145.95,142.15,143.56,46962,67.42,367, 34333, 73.11,-1.28
FOCUS, EQ, 01-Sep-2023,769.15,779.5,780.0,757.0, 768.00,770.2,768.64,22593,173.66,1185, 14541, 64.36,0.14
FOCUS, EQ, 01-Nov-2022,218.95,219.9,223.55,215.1,218.5,219.4,218.2,63251,138.01,1469, 27527, 43.52,0.21
FOCUS, EQ, 01-Nov-2023,175.85,176.65,181.65,174.75, 180.80,179.9,178.06,399556,711.47,4256, 245394, 61.42,2.3
FOCUS, EQ, 01-Dec-2021,78.1,81.5,81.55,74.2,81.0,79.1,77.33,30380,23.49,154, 22766, 74.94,1.28
FOCUS, EQ, 01-Dec-2022,305.55,303.9,333.9,297.0,308.5,311.2,316.8,190481,603.45,3660, 74355, 39.04,1.85
FOCUS, EQ, 01-Dec-2023,184.7,183.05,187.5,183.0, 185.30,184.45,185.08,165446,306.21,2751, 83004, 50.17,-0.14
FOCUS, EQ, 02-Jan-2023,320.45,322.0,326.95,316.0, 316.95,316.85,320.45,28285,90.64,764, 22013, 77.83,-1.12
FOCUS, EQ, 02-Jan-2024,176.25,176.25,177.85,173.45, 174.70,174.3,174.89,103837,181.6,2956, 43037, 41.45,-1.11
FOCUS, EQ, 02-Jan-2025,132.4,134.0,136.0,132.14,133.6,134.18,134.32,137329,184.46,1710, 92864, 67.62,1.34
FOCUS, EQ, 02-Feb-2022,75.5,76.95,76.95,75.3, 76.35,75.95,75.67,447,0.34,27, 323, 72.26,0.6
FOCUS, EQ, 02-Feb-2023,310.3,313.05,324.7,307.2, 320.00,321.85,316.1,7399,23.39,283, 4589, 62.02,3.72
FOCUS, EQ, 02-Feb-2024,197.2,200.0,201.0,195.65, 200.20,198.8,197.92,282033,558.19,6846, 193192, 68.50,0.81
FOCUS, EQ, 02-Mar-2023,417.8,421.95,431.9,413.5, 426.35,422.5,422.93,22644,95.77,1109, 10415, 45.99,1.12
FOCUS, EQ, 02-Apr-2024,150.7,152.0,164.5,152.0, 163.70,163.3,159.4,239433,381.66,10951, 104696, 43.73,8.36
FOCUS, EQ, 02-Apr-2025,81.64,85.72,85.72,85.72,85.72,85.72,85.72,29469,25.26,101, 29468, 100.00,5.0
FOCUS, EQ, 02-May-2023,771.4,770.55,785.0,732.85, 732.85,732.85,748.48,115697,865.97,3410, 80690, 69.74,-5.0
FOCUS, EQ, 02-May-2024,169.25,170.0,172.9,168.8, 171.10,170.1,170.46,56377,96.1,2715, 32031, 56.82,0.5
FOCUS, EQ, 02-Jun-2023,562.45,560.0,590.55,559.05, 590.55,590.55,584.97,41756,244.26,1371, 22104, 52.94,5.0
FOCUS, EQ, 02-Jul-2024,144.36,146.3,154.4,145.41,150.0,149.61,150.7,637852,961.21,7744, 446378, 69.98,3.64
FOCUS, EQ, 02-Aug-2022,109.1,109.55,114.55,109.55,114.55,114.15,113.0,7138,8.07,134, 5930, 83.08,4.63
FOCUS, EQ, 02-Aug-2023,776.65,779.0,815.45,775.55, 795.00,790.95,805.32,86928,700.05,2170, 58575, 67.38,1.84
FOCUS, EQ, 02-Aug-2024,116.45,117.61,119.26,115.2,118.33,118.15,117.36,450131,528.26,7805, 249038, 55.33,1.46
FOCUS, EQ, 02-Sep-2022,142.15,144.9,149.25,137.3,146.0,146.1,145.92,29353,42.83,359, 22585, 76.94,2.78
FOCUS, EQ, 02-Nov-2022,219.4,222.9,222.9,213.0,213.9,215.0,216.25,75310,162.86,1248, 35212, 46.76,-2.01
FOCUS, EQ, 02-Nov-2023,179.9,183.0,193.2,180.2, 188.70,188.35,187.32,768167,1438.97,8190, 423529, 55.14,4.7
FOCUS, EQ, 02-Dec-2021,79.1,80.45,80.95,75.15, 80.90,78.6,78.65,12604,9.91,215, 7105, 56.37,-0.63
FOCUS, EQ, 02-Dec-2022,311.2,311.0,315.0,307.0, 313.70,312.5,311.27,30115,93.74,747, 18015, 59.82,0.42
FOCUS, EQ, 03-Jan-2022,84.9,86.0,86.0,83.25, 83.25,83.75,84.32,2900,2.45,42, 2815, 97.07,-1.35
FOCUS, EQ, 03-Jan-2023,316.85,317.0,318.7,305.2, 313.00,311.35,312.38,10064,31.44,544, 5833, 57.96,-1.74
FOCUS, EQ, 03-Jan-2024,174.3,175.45,183.0,172.65, 178.00,180.1,176.18,317286,558.99,7083, 209795, 66.12,3.33
FOCUS, EQ, 03-Jan-2025,134.18,134.18,135.98,130.41,134.0,131.55,132.75,97900,129.96,1631, 58995, 60.26,-1.96
FOCUS, EQ, 03-Feb-2022,75.95,77.85,79.7,77.85, 79.70,79.7,79.65,5570,4.44,40, 5513, 98.98,4.94
FOCUS, EQ, 03-Feb-2023,321.85,325.0,337.9,319.05, 335.40,337.6,330.56,29063,96.07,612, 22329, 76.83,4.89
FOCUS, EQ, 03-Feb-2025,105.0,107.0,107.0,99.75,100.5,99.96,101.21,77545,78.48,947, 48514, 62.56,-4.8
FOCUS, EQ, 03-Mar-2023,422.5,429.85,443.6,425.05, 443.60,443.6,441.21,44046,194.33,737, 34503, 78.33,4.99
FOCUS, EQ, 03-Mar-2025,76.53,76.53,79.75,75.0,75.46,75.96,76.93,218934,168.42,2618, 138878, 63.43,-0.74
FOCUS, EQ, 03-Apr-2023,511.35,520.0,536.9,511.0, 536.90,536.9,527.94,74438,392.99,3160, 54350, 73.01,5.0
FOCUS, EQ, 03-Apr-2024,163.3,163.7,175.15,163.7, 167.00,167.15,168.59,423782,714.45,12743, 239910, 56.61,2.36
FOCUS, EQ, 03-Apr-2025,85.72,90.0,90.0,90.0,90.0,90.0,90.0,39926,35.93,122, 39926, 100.00,4.99
FOCUS, EQ, 03-May-2023,732.85,715.0,724.95,696.2,696.2,696.2,699.52,60402,422.53,1275, 39628, 65.61,-5.0
FOCUS, EQ, 03-May-2024,170.1,170.5,171.95,167.0, 167.00,167.85,168.51,47097,79.37,1538, 26282, 55.80,-1.32
FOCUS, EQ, 03-Jun-2024,153.3,159.0,160.0,151.2,154.0,153.65,157.29,581686,914.91,5009, 51902, 8.92,0.23
FOCUS, EQ, 03-Jul-2023,584.85,599.9,614.05,590.05, 590.05,601.25,610.46,77057,470.4,1446, 53725, 69.72,2.8
FOCUS, EQ, 03-Jul-2024,149.61,150.67,154.0,147.05,148.7,148.05,150.34,421203,633.25,8274, 235602, 55.94,-1.04
FOCUS, EQ, 03-Aug-2022,114.15,113.1,116.9,111.4, 116.00,116.1,113.99,3745,4.27,129, 2421, 64.65,1.71
FOCUS, EQ, 03-Aug-2023,790.95,803.0,824.0,780.0, 795.00,788.5,797.63,30305,241.72,1444, 19154, 63.20,-0.31
FOCUS, EQ, 03-Oct-2022,154.7,162.4,162.4,155.0,155.0,155.0,157.59,66566,104.9,911, 38801, 58.29,0.19
FOCUS, EQ, 03-Oct-2023,837.3,869.9,879.15,853.15, 879.15,879.15,875.2,160492,1404.62,3640, 95329, 59.40,5.0
FOCUS, EQ, 03-Nov-2022,215.0,213.05,216.85,211.0,211.85,211.4,213.14,69476,148.08,914, 46840, 67.42,-1.67
FOCUS, EQ, 03-Nov-2023,188.35,192.15,193.85,185.5, 186.00,186.9,187.95,249909,469.71,2945, 158188, 63.30,-0.77
FOCUS, EQ, 03-Dec-2021,78.6,78.0,80.8,74.7, 74.70,74.7,75.64,9709,7.34,104, 6240, 64.27,-4.96
FOCUS, EQ, 04-Jan-2022,83.75,87.9,87.9,84.1, 85.00,85.0,85.98,1408,1.21,45, 1184, 84.09,1.49
FOCUS, EQ, 04-Jan-2023,311.35,314.5,318.95,308.15, 312.70,311.55,313.81,15235,47.81,469, 8460, 55.53,0.06
FOCUS, EQ, 04-Jan-2024,180.1,182.0,203.0,179.55, 202.00,199.65,194.92,1709149,3331.47,35576, 856559, 50.12,10.86
FOCUS, EQ, 04-Feb-2022,79.7,81.0,83.65,81.0, 83.65,83.65,83.62,27751,23.21,46, 27388, 98.69,4.96
FOCUS, EQ, 04-Feb-2025,99.96,102.99,102.99,98.6,100.88,100.09,99.96,70582,70.55,1109, 48366, 68.52,0.13
FOCUS, EQ, 04-Mar-2024,176.75,179.4,181.8,172.65, 173.40,173.35,177.56,147488,261.87,5926, 66495, 45.09,-1.92
FOCUS, EQ, 04-Mar-2025,75.96,75.8,78.29,73.0,73.49,74.09,74.95,202231,151.57,2640, 132301, 65.42,-2.46
FOCUS, EQ, 04-Apr-2024,167.15,167.95,171.85,167.0, 169.00,167.9,168.29,100514,169.16,3698, 60033, 59.73,0.45
FOCUS, EQ, 04-Apr-2025,90.0,94.5,94.5,94.5,94.5,94.5,94.5,65094,61.51,217, 65094, 100.00,5.0
FOCUS, EQ, 04-May-2023,696.2,661.4,661.4,661.4, 661.40,661.4,661.4,8514,56.31,201, 8514, 100.00,-5.0
FOCUS, EQ, 04-Jun-2024,153.65,152.1,155.95,140.0,148.7,149.9,152.09,438179,666.41,5954, 113421, 25.88,-2.44
FOCUS, EQ, 04-Jul-2022,104.35,109.0,109.0,102.15,104.7,107.0,107.12,3354,3.59,37, 2770, 82.59,2.54
FOCUS, EQ, 04-Jul-2023,601.25,610.0,619.1,600.0, 614.00,605.55,606.75,19792,120.09,873, 13094, 66.16,0.72
FOCUS, EQ, 04-Jul-2024,148.05,148.75,150.48,145.92,148.0,146.76,147.95,452087,668.88,6276, 228358, 50.51,-0.87
FOCUS, EQ, 04-Aug-2022,116.1,118.75,118.75,111.5,116.7,116.7,115.79,7100,8.22,213, 5142, 72.42,0.52
FOCUS, EQ, 04-Aug-2023,788.5,803.95,803.95,778.0, 785.90,784.55,792.41,13552,107.39,952, 8423, 62.15,-0.5
