SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
FSL, EQ, 01-Jan-2020,41.1,41.0,41.85,41.0, 41.25,41.35,41.4,883697,365.82,3523, 207708, 23.50,0.61
FSL, EQ, 01-Jan-2021,101.5,102.0,103.0,99.5, 100.30,100.2,100.64,2003780,2016.54,15077, 1063201, 53.06,-1.28
FSL, EQ, 01-Jan-2024,184.85,185.1,186.35,183.1, 184.60,185.15,184.87,981796,1815.02,14836, 450604, 45.90,0.16
FSL, EQ, 01-Jan-2025,376.0,374.5,387.45,372.1,381.85,383.95,383.03,2651154,10154.69,57289, 875770, 33.03,2.11
FSL, EQ, 01-Feb-2021,87.0,88.0,90.95,84.2, 88.90,89.1,87.19,2848983,2484.17,20196, 1678397, 58.91,2.41
FSL, EQ, 01-Feb-2022,158.65,160.9,162.7,156.5,160.75,160.6,159.49,3609423,5756.57,28063, 748394, 20.73,1.23
FSL, EQ, 01-Feb-2023,108.05,108.05,109.85,106.35, 108.25,108.2,108.55,2550463,2768.63,27400, 1080935, 42.38,0.14
FSL, EQ, 01-Feb-2024,204.6,205.65,205.65,200.0, 201.20,202.0,202.08,1058832,2139.67,14561, 413989, 39.10,-1.27
FSL, EQ, 01-Mar-2021,99.6,100.5,101.9,99.1, 99.60,99.45,100.26,2238899,2244.74,16506, 900483, 40.22,-0.15
FSL, EQ, 01-Mar-2023,112.65,112.7,114.55,112.65, 113.40,113.55,113.73,2157560,2453.73,12617, 456827, 21.17,0.8
FSL, EQ, 01-Mar-2024,205.7,207.0,208.2,204.55, 205.10,205.35,205.52,1316418,2705.46,17846, 777055, 59.03,-0.17
FSL, EQ, 01-Apr-2020,27.45,27.5,28.3,26.95,28.0,27.9,27.45,866846,237.93,6378, 595027, 68.64,1.64
FSL, EQ, 01-Apr-2021,113.9,114.3,120.9,114.3, 118.45,118.1,118.35,8467620,10021.23,58440, 2236016, 26.41,3.69
FSL, EQ, 01-Apr-2022,125.05,125.45,128.9,124.45, 128.80,128.4,127.24,2358495,3000.98,15832, 696423, 29.53,2.68
FSL, EQ, 01-Apr-2024,197.65,197.65,201.5,197.05, 199.90,200.15,199.77,1005499,2008.68,17129, 541673, 53.87,1.26
FSL, EQ, 01-Apr-2025,340.25,337.1,345.45,331.15,332.8,334.2,336.84,2292751,7722.79,55991, 788549, 34.39,-1.78
FSL, EQ, 01-Jun-2020,31.6,31.55,34.3,31.5, 33.80,33.35,32.9,3168892,1042.58,7585, 1384085, 43.68,5.54
FSL, EQ, 01-Jun-2021,142.4,143.0,143.9,138.8, 139.50,139.6,141.19,1388902,1960.93,16864, 498256, 35.87,-1.97
FSL, EQ, 01-Jun-2022,111.05,111.05,112.85,109.1,110.0,109.75,110.96,1247280,1384.01,9542, 390508, 31.31,-1.17
FSL, EQ, 01-Jun-2023,134.6,134.85,137.2,133.3, 133.90,134.1,135.32,2215155,2997.64,15790, 811955, 36.65,-0.37
FSL, EQ, 01-Jul-2020,35.7,35.8,36.7,35.4, 36.00,36.05,36.08,1718327,619.96,6776, 761647, 44.32,0.98
FSL, EQ, 01-Jul-2021,186.95,188.75,197.4,186.0, 192.90,192.05,192.32,14251894,27408.98,93942, 2969894, 20.84,2.73
FSL, EQ, 01-Jul-2022,102.9,102.5,104.3,101.35,103.7,103.8,102.85,1265235,1301.29,7467, 306070, 24.19,0.87
FSL, EQ, 01-Jul-2024,209.96,211.5,216.0,208.45,213.81,213.94,213.68,2914827,6228.53,34083, 1169786, 40.13,1.9
FSL, EQ, 01-Aug-2022,111.55,112.45,112.75,109.05, 109.75,109.65,110.52,4721546,5218.43,26131, 1875010, 39.71,-1.7
FSL, EQ, 01-Aug-2023,144.5,145.5,147.5,142.45, 147.20,146.8,145.09,3766088,5464.09,22994, 1778061, 47.21,1.59
FSL, EQ, 01-Aug-2024,273.44,275.0,309.3,273.4,300.4,301.0,300.07,60241210,180766.08,583310, 6905170, 11.46,10.08
FSL, EQ, 01-Sep-2020,61.8,60.7,62.0,58.1, 62.00,61.35,60.22,3070410,1849.01,24124, 1160962, 37.81,-0.73
FSL, EQ, 01-Sep-2021,181.35,181.6,182.7,178.5,179.2,179.5,180.25,1823683,3287.21,17894, 570566, 31.29,-1.02
FSL, EQ, 01-Sep-2022,107.45,106.85,107.85,105.0,105.6,105.35,105.87,2345664,2483.28,13396, 1028264, 43.84,-1.95
FSL, EQ, 01-Sep-2023,163.2,165.0,174.8,165.0, 167.90,167.8,170.17,12700402,21611.97,82960, 5009700, 39.45,2.82
FSL, EQ, 01-Oct-2020,72.75,73.2,73.9,71.75, 72.05,72.25,72.9,1163864,848.45,6174, 509973, 43.82,-0.69
