SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
GAEL, EQ, 01-Jan-2020,133.05,134.95,136.35,130.0, 131.60,131.5,132.12,43154,57.02,617, 24989, 57.91,-1.16
GAEL, EQ, 01-Jan-2021,117.95,118.0,122.5,118.0, 121.10,121.05,120.35,234542,282.27,3284, 153710, 65.54,2.63
GAEL, EQ, 01-Jan-2024,367.05,368.9,369.7,359.75, 360.00,362.15,364.57,268142,977.57,8672, 133330, 49.72,-1.33
GAEL, EQ, 01-Jan-2025,124.5,124.6,126.05,124.25,124.98,125.4,125.18,255379,319.68,5323, 119158, 46.66,0.72
GAEL, EQ, 01-Feb-2021,142.0,142.95,144.45,137.65, 140.00,141.55,139.88,326434,456.62,5800, 177746, 54.45,-0.32
GAEL, EQ, 01-Feb-2022,214.4,216.5,217.3,205.0,212.5,211.35,212.39,804465,1708.58,20352, 378217, 47.01,-1.42
GAEL, EQ, 01-Feb-2023,257.9,254.75,256.0,232.6, 236.90,235.25,244.95,612545,1500.44,14927, 211381, 34.51,-8.78
GAEL, EQ, 01-Feb-2024,389.1,394.0,404.4,384.8, 399.00,398.3,397.3,1653646,6569.91,36476, 491044, 29.69,2.36
GAEL, EQ, 01-Mar-2021,124.85,126.7,134.7,125.3, 131.90,131.85,131.31,555761,729.78,6059, 224801, 40.45,5.61
GAEL, EQ, 01-Mar-2023,228.25,229.4,234.9,227.7, 231.90,231.25,230.7,155835,359.51,5667, 63119, 40.50,1.31
GAEL, EQ, 01-Mar-2024,392.6,395.9,405.4,395.0, 399.20,400.2,400.22,321417,1286.38,16360, 138334, 43.04,1.94
GAEL, EQ, 01-Apr-2020,104.75,105.9,109.9,103.1,104.2,104.05,105.85,24010,25.41,632, 9142, 38.08,-0.67
GAEL, EQ, 01-Apr-2021,127.85,128.4,137.9,128.4, 135.40,135.2,133.38,407247,543.19,5053, 160575, 39.43,5.75
GAEL, EQ, 01-Apr-2022,260.2,260.95,268.9,259.1, 263.00,264.05,263.77,305564,805.97,7720, 124530, 40.75,1.48
GAEL, EQ, 01-Apr-2024,159.85,159.95,166.3,159.65, 165.95,165.5,164.28,755833,1241.71,18004, 301516, 39.89,3.53
GAEL, EQ, 01-Apr-2025,102.12,102.11,108.7,102.1,107.49,107.43,106.03,1160897,1230.85,18029, 452012, 38.94,5.2
GAEL, EQ, 01-Jun-2020,114.65,116.0,117.45,115.0, 115.70,115.3,116.29,49359,57.4,673, 34823, 70.55,0.57
GAEL, EQ, 01-Jun-2021,167.7,167.7,169.9,162.2, 163.50,162.8,164.77,276423,455.47,4797, 151576, 54.83,-2.92
GAEL, EQ, 01-Jun-2022,336.5,335.75,339.8,321.65,329.0,326.05,331.6,472138,1565.59,12482, 167253, 35.42,-3.11
GAEL, EQ, 01-Jun-2023,242.05,243.0,253.9,242.6, 253.80,252.25,249.26,970674,2419.51,15671, 352246, 36.29,4.21
GAEL, EQ, 01-Jul-2020,141.6,143.25,143.25,139.0, 139.60,139.15,139.93,46252,64.72,1348, 32080, 69.36,-1.73
GAEL, EQ, 01-Jul-2021,173.6,174.7,187.4,171.45, 183.80,182.05,183.1,3154537,5775.92,33907, 778949, 24.69,4.87
