SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
GALLISPAT, EQ, 01-Jan-2020,23.8,23.95,23.95,23.0, 23.00,23.1,23.29,2080,0.48,171, 613, 29.47,-2.94
GALLISPAT, EQ, 01-Jan-2021,35.9,35.5,36.45,35.15, 36.25,36.1,36.04,14041,5.06,130, 8889, 63.31,0.56
GALLISPAT, EQ, 01-Feb-2021,38.55,38.55,41.0,37.3, 37.60,37.85,38.78,45958,17.82,666, 23808, 51.80,-1.82
GALLISPAT, EQ, 01-Feb-2022,51.1,52.7,52.7,50.6,51.4,51.2,51.35,23570,12.1,472, 10567, 44.83,0.2
GALLISPAT, EQ, 01-Mar-2021,40.15,41.0,41.8,40.2, 40.85,40.8,40.9,21851,8.94,372, 9513, 43.54,1.62
GALLISPAT, EQ, 01-Apr-2020,19.0,20.45,20.45,18.5,19.35,18.55,18.66,3716,0.69,91, 2726, 73.36,-2.37
GALLISPAT, EQ, 01-Apr-2021,36.55,37.45,40.75,36.65, 39.65,39.85,39.32,78707,30.94,558, 48233, 61.28,9.03
GALLISPAT, EQ, 01-Apr-2022,50.85,50.25,52.0,50.25, 51.50,51.6,51.54,21758,11.21,385, 13233, 60.82,1.47
GALLISPAT, EQ, 01-Jun-2020,24.45,23.65,25.4,23.65, 25.00,25.0,24.94,22344,5.57,211, 19053, 85.27,2.25
GALLISPAT, EQ, 01-Jun-2021,50.35,51.65,51.65,49.6, 49.60,49.85,50.04,50727,25.38,780, 38643, 76.18,-0.99
GALLISPAT, EQ, 01-Jun-2022,64.9,65.45,66.15,63.45,65.0,65.0,64.94,34609,22.48,474, 19955, 57.66,0.15
GALLISPAT, EQ, 01-Jul-2020,34.05,31.4,32.25,29.1, 30.20,30.5,30.75,202593,62.3,2246, 102565, 50.63,-10.43
GALLISPAT, EQ, 01-Jul-2021,57.4,58.05,58.25,54.45, 55.40,55.05,56.0,151008,84.57,2937, 81198, 53.77,-4.09
GALLISPAT, EQ, 01-Sep-2020,28.4,29.5,29.6,27.1, 28.30,28.25,27.91,10569,2.95,131, 5707, 54.00,-0.53
GALLISPAT, EQ, 01-Sep-2021,55.15,54.6,55.65,53.0,54.2,54.05,54.6,29860,16.3,669, 16248, 54.41,-1.99
GALLISPAT, EQ, 01-Oct-2020,27.4,27.65,27.9,27.05, 27.50,27.6,27.54,4496,1.24,80, 3840, 85.41,0.73
GALLISPAT, EQ, 01-Oct-2021,55.65,55.65,56.75,54.6, 55.70,55.6,55.69,32546,18.12,592, 16467, 50.60,-0.09
GALLISPAT, EQ, 01-Nov-2021,50.3,50.9,51.5,47.85, 50.95,50.8,50.25,55711,27.99,741, 29048, 52.14,0.99
GALLISPAT, EQ, 01-Dec-2020,30.85,31.95,31.95,30.0,31.8,31.45,31.41,38262,12.02,450, 22923, 59.91,1.94
GALLISPAT, EQ, 01-Dec-2021,46.15,47.05,48.2,46.3,47.4,47.3,47.22,22331,10.54,584, 10260, 45.95,2.49
GALLISPAT, EQ, 02-Jan-2020,23.1,22.7,27.7,22.7, 27.70,27.7,26.49,26322,6.97,382, 21343, 81.08,19.91
GALLISPAT, EQ, 02-Feb-2021,37.85,39.55,40.75,37.15, 39.00,38.7,38.21,39616,15.14,917, 16285, 41.11,2.25
GALLISPAT, EQ, 02-Feb-2022,51.2,51.2,52.35,50.0, 52.05,51.75,51.49,38282,19.71,788, 21229, 55.45,1.07
GALLISPAT, EQ, 02-Mar-2020,20.1,22.95,22.95,19.0, 20.00,20.0,20.04,48901,9.8,115, 46709, 95.52,-0.5
GALLISPAT, EQ, 02-Mar-2021,40.8,41.3,41.3,38.9,39.45,39.45,39.81,43822,17.45,347, 34399, 78.50,-3.31
GALLISPAT, EQ, 02-Mar-2022,52.9,52.35,54.8,51.6, 54.00,52.95,53.64,139884,75.04,3109, 66114, 47.26,0.09
GALLISPAT, EQ, 02-May-2022,59.75,59.25,63.45,58.65,62.85,63.05,62.08,159687,99.14,2112, 98063, 61.41,5.52
GALLISPAT, EQ, 02-Jun-2020,25.0,25.05,25.4,24.45,24.8,24.8,24.95,1577,0.39,50, 911, 57.77,-0.8
GALLISPAT, EQ, 02-Jun-2021,49.85,49.85,50.5,49.25, 50.00,49.9,49.83,28685,14.29,689, 16559, 57.73,0.1
GALLISPAT, EQ, 02-Jun-2022,65.0,65.65,65.65,62.9,65.0,64.65,64.13,58102,37.26,700, 32203, 55.42,-0.54
GALLISPAT, EQ, 02-Jul-2020,30.5,30.4,31.9,27.65, 28.80,29.0,29.2,155581,45.42,1145, 81385, 52.31,-4.92
GALLISPAT, EQ, 02-Jul-2021,55.05,55.65,56.3,54.2,55.2,54.85,55.15,139292,76.82,1963, 78367, 56.26,-0.36
GALLISPAT, EQ, 02-Aug-2021,63.8,64.75,70.0,64.55,65.9,65.1,67.52,687123,463.98,10852, 336232, 48.93,2.04
GALLISPAT, EQ, 02-Sep-2020,28.25,28.15,29.0,27.8, 28.70,28.45,28.44,3211,0.91,93, 2171, 67.61,0.71
GALLISPAT, EQ, 02-Sep-2021,54.05,54.55,56.5,53.75, 53.75,53.95,54.35,40821,22.19,553, 24560, 60.17,-0.19
GALLISPAT, EQ, 02-Nov-2020,27.7,27.8,28.2,27.0, 27.95,27.8,27.58,4403,1.21,59, 2690, 61.09,0.36
GALLISPAT, EQ, 02-Nov-2021,50.8,50.8,51.4,50.2, 50.70,50.5,50.66,14407,7.3,274, 8798, 61.07,-0.59
