SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
GARDENSILK, EQ, 01-Jan-2020,11.75,11.5,11.75,11.3, 11.55,11.5,11.59,29214,3.39,146, 21046, 72.04,-2.13
GARDENSILK, EQ, 01-Jan-2021,13.0,13.3,13.3,12.7, 12.70,12.85,12.92,39412,5.09,266, 29045, 73.70,-1.15
GARDENSILK, EQ, 01-Jun-2020,6.3,6.6,6.6,6.35, 6.60,6.6,6.56,16862,1.11,56, 14286, 84.72,4.76
GARDENSILK, EQ, 01-Dec-2020,9.8,10.25,10.25,10.25,10.25,10.25,10.25,13998,1.43,42, 13998, 100.00,4.59
GARDENSILK, EQ, 02-Jun-2020,6.6,6.9,6.9,6.9,6.9,6.9,6.9,26347,1.82,41, 26227, 99.54,4.55
GARDENSILK, EQ, 02-Dec-2020,10.25,10.75,10.75,10.75, 10.75,10.75,10.75,19044,2.05,43, 19044, 100.00,4.88
GARDENSILK, EQ, 03-Jun-2020,6.9,7.2,7.2,7.2,7.2,7.2,7.2,17096,1.23,30, 17096, 100.00,4.35
GARDENSILK, EQ, 03-Dec-2020,10.75,11.25,11.25,11.25,11.25,11.25,11.25,22050,2.48,51, 22050, 100.00,4.65
GARDENSILK, EQ, 04-Jan-2021,12.85,12.25,12.6,12.25,12.25,12.25,12.25,536535,65.73,193, 429742, 80.10,-4.67
GARDENSILK, EQ, 04-May-2020,5.85,5.65,5.85,5.6, 5.85,5.8,5.63,21245,1.2,90, 17212, 81.02,-0.85
GARDENSILK, EQ, 04-Jun-2020,7.2,7.55,7.55,7.2,7.55,7.55,7.45,50884,3.79,127, 44905, 88.25,4.86
GARDENSILK, EQ, 04-Dec-2020,11.25,11.8,11.8,11.8, 11.80,11.8,11.8,14800,1.75,34, 14800, 100.00,4.89
GARDENSILK, EQ, 05-Jan-2021,12.25,11.65,11.65,11.65, 11.65,11.65,11.65,67224,7.83,159, 67224, 100.00,-4.9
GARDENSILK, EQ, 05-May-2020,5.8,5.8,5.95,5.65, 5.95,5.95,5.81,10875,0.63,78, 7262, 66.78,2.59
GARDENSILK, EQ, 05-Jun-2020,7.55,8.3,8.3,7.9, 8.30,8.3,8.24,33708,2.78,224, 32705, 97.02,9.93
GARDENSILK, EQ, 06-Jan-2021,11.65,11.1,11.1,11.1, 11.10,11.1,11.1,59045,6.55,139, 59045, 100.00,-4.72
