SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
GENUSPOWER, EQ, 01-Jan-2020,25.05,25.45,26.5,25.15, 26.25,26.1,25.85,313578,81.06,5490, 241200, 76.92,4.19
GENUSPOWER, EQ, 01-Jan-2021,39.5,40.3,40.4,38.65, 39.55,39.6,39.71,140403,55.75,811, 86962, 61.94,0.25
GENUSPOWER, EQ, 01-Jan-2024,232.0,230.05,238.0,230.05, 234.00,233.5,235.1,407620,958.3,4718, 232071, 56.93,0.65
GENUSPOWER, EQ, 01-Jan-2025,383.85,383.9,399.5,383.2,398.35,398.15,393.56,542469,2134.93,11168, 270443, 49.85,3.73
GENUSPOWER, EQ, 01-Feb-2021,34.65,35.4,36.5,33.8, 35.95,35.6,35.37,725555,256.59,4041, 218149, 30.07,2.74
GENUSPOWER, EQ, 01-Feb-2022,68.6,68.6,72.95,68.0,71.0,70.75,70.68,1326281,937.39,11746, 422075, 31.82,3.13
GENUSPOWER, EQ, 01-Feb-2023,92.8,92.8,98.0,92.0, 93.70,94.15,95.52,1855710,1772.54,14779, 726375, 39.14,1.45
GENUSPOWER, EQ, 01-Feb-2024,264.6,269.95,277.8,269.75, 277.80,277.7,276.9,1614029,4469.18,17947, 1114935, 69.08,4.95
GENUSPOWER, EQ, 01-Mar-2021,37.95,38.7,38.7,37.2, 37.35,37.4,37.81,203285,76.86,3518, 82177, 40.42,-1.45
GENUSPOWER, EQ, 01-Mar-2023,89.0,89.05,90.5,88.55, 88.95,88.9,89.85,186713,167.76,2245, 87313, 46.76,-0.11
GENUSPOWER, EQ, 01-Mar-2024,250.15,257.0,262.3,252.35, 257.50,256.5,258.0,1205125,3109.24,16798, 677763, 56.24,2.54
GENUSPOWER, EQ, 01-Apr-2020,13.95,14.2,14.5,13.85,14.0,13.85,14.09,48687,6.86,347, 34823, 71.52,-0.72
GENUSPOWER, EQ, 01-Apr-2021,48.25,48.7,51.15,48.3, 50.40,50.65,50.34,298678,150.37,1294, 202246, 67.71,4.97
GENUSPOWER, EQ, 01-Apr-2022,71.95,71.9,74.3,71.9, 72.70,72.7,73.18,815196,596.55,7005, 278441, 34.16,1.04
GENUSPOWER, EQ, 01-Apr-2024,230.3,236.95,241.8,235.5, 241.80,241.8,240.67,191707,461.39,1768, 134716, 70.27,4.99
