SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
GET&D, EQ, 01-Jan-2020,147.2,148.2,150.0,147.05, 148.00,148.2,148.34,11671,17.31,588, 7858, 67.33,0.68
GET&D, EQ, 01-Jan-2021,117.2,117.45,122.0,116.55, 119.50,119.35,118.98,107202,127.55,2531, 38835, 36.23,1.83
GET&D, EQ, 01-Feb-2021,116.4,116.9,120.0,115.55, 118.45,118.35,117.95,99163,116.96,4210, 37083, 37.40,1.68
GET&D, EQ, 01-Feb-2022,121.9,122.25,123.75,120.1,121.6,121.25,121.79,81986,99.85,1306, 32324, 39.43,-0.53
GET&D, EQ, 01-Feb-2023,117.9,118.05,119.5,115.1, 117.70,116.75,117.87,26812,31.6,1094, 11568, 43.14,-0.98
GET&D, EQ, 01-Mar-2021,127.85,129.9,134.0,127.5, 132.00,131.8,131.14,121326,159.11,2070, 59880, 49.35,3.09
GET&D, EQ, 01-Mar-2023,100.7,101.65,105.95,100.05, 105.85,105.6,103.68,48725,50.52,1798, 29219, 59.97,4.87
GET&D, EQ, 01-Apr-2020,71.9,72.0,73.95,65.0,65.5,65.95,68.06,64980,44.23,1289, 50750, 78.10,-8.28
GET&D, EQ, 01-Apr-2021,116.3,116.65,124.7,116.2, 122.80,121.6,119.53,99882,119.39,1419, 52604, 52.67,4.56
GET&D, EQ, 01-Apr-2022,91.65,91.0,100.0,91.0, 97.05,98.3,96.48,249167,240.39,3297, 106684, 42.82,7.26
GET&D, EQ, 01-Jun-2020,59.15,58.0,62.1,58.0, 61.85,61.7,61.67,1027797,633.84,3844, 860434, 83.72,4.31
GET&D, EQ, 01-Jun-2021,131.8,133.45,138.5,132.0, 134.70,134.0,135.05,322962,436.16,5221, 119146, 36.89,1.67
GET&D, EQ, 01-Jun-2022,103.7,104.45,105.0,100.35,101.15,102.05,102.99,28053,28.89,544, 18040, 64.31,-1.59
GET&D, EQ, 01-Jul-2020,75.2,72.85,74.75,72.8, 73.45,73.3,73.42,76841,56.42,945, 54513, 70.94,-2.53
GET&D, EQ, 01-Jul-2021,140.5,141.85,142.05,138.2, 139.60,138.6,139.87,128958,180.38,2742, 68755, 53.32,-1.35
GET&D, EQ, 01-Jul-2022,97.65,97.05,99.7,96.5,99.0,98.75,97.58,10457,10.2,415, 5988, 57.26,1.13
GET&D, EQ, 01-Aug-2022,114.65,115.25,119.0,113.65, 116.90,116.15,115.29,105307,121.4,1860, 74011, 70.28,1.31
GET&D, EQ, 01-Sep-2020,104.2,104.35,104.35,99.0, 103.80,102.05,99.95,71792,71.76,1682, 46677, 65.02,-2.06
GET&D, EQ, 01-Sep-2021,141.2,142.2,143.2,135.1,137.4,136.65,138.54,354360,490.93,7041, 156789, 44.25,-3.22
GET&D, EQ, 01-Sep-2022,134.9,136.0,137.8,130.7,135.8,135.15,134.29,127682,171.46,2445, 56669, 44.38,0.19
GET&D, EQ, 01-Sep-2023,330.7,322.8,326.85,314.2, 314.20,316.1,319.48,180187,575.67,8729, 119397, 66.26,-4.41
GET&D, EQ, 01-Oct-2020,90.1,90.9,92.0,88.35, 90.60,90.3,88.57,1257139,1113.47,1193, 1225285, 97.47,0.22
GET&D, EQ, 01-Oct-2021,128.6,127.5,128.8,126.6, 127.45,127.4,127.38,122577,156.13,3220, 63063, 51.45,-0.93
GET&D, EQ, 01-Nov-2021,127.95,128.75,130.6,127.0, 127.00,129.0,128.72,130061,167.41,1725, 79732, 61.30,0.82
GET&D, EQ, 01-Nov-2022,128.05,128.8,133.05,127.9,130.25,131.8,130.05,58401,75.95,1568, 40699, 69.69,2.93
GET&D, EQ, 01-Dec-2020,99.25,100.0,103.0,98.85,102.8,101.85,101.43,91784,93.1,1380, 63540, 69.23,2.62
GET&D, EQ, 01-Dec-2021,115.7,116.7,117.35,115.35,117.0,116.35,116.25,63666,74.01,1799, 38872, 61.06,0.56
GET&D, EQ, 01-Dec-2022,131.05,131.0,132.95,129.5,129.65,130.25,130.91,44356,58.07,1057, 26451, 59.63,-0.61
GET&D, EQ, 02-Jan-2020,148.2,147.0,154.9,147.0, 151.80,152.3,152.75,56106,85.7,1468, 25757, 45.91,2.77
GET&D, EQ, 02-Jan-2023,115.35,116.4,118.0,115.05, 117.00,116.75,116.15,25895,30.08,608, 16381, 63.26,1.21
GET&D, EQ, 02-Feb-2021,118.35,119.4,122.9,117.5, 119.75,119.85,120.3,137218,165.07,6492, 42125, 30.70,1.27
GET&D, EQ, 02-Feb-2022,121.25,123.0,124.9,121.0, 121.20,122.2,122.57,108925,133.51,1894, 53222, 48.86,0.78
GET&D, EQ, 02-Feb-2023,116.75,117.75,118.95,113.75, 114.65,115.65,115.94,37974,44.03,1299, 19394, 51.07,-0.94
GET&D, EQ, 02-Mar-2020,120.5,121.1,133.5,121.1, 127.00,127.5,127.52,106579,135.91,7403, 63297, 59.39,5.81
GET&D, EQ, 02-Mar-2021,131.8,133.0,138.0,132.0,134.85,135.95,135.45,363809,492.8,5451, 195620, 53.77,3.15
GET&D, EQ, 02-Mar-2022,88.45,88.45,89.4,85.1, 88.00,87.0,87.85,102357,89.93,2579, 46793, 45.72,-1.64
GET&D, EQ, 02-Mar-2023,105.6,105.85,106.8,103.0, 103.20,103.4,104.85,19086,20.01,840, 11039, 57.84,-2.08
GET&D, EQ, 02-May-2022,126.75,123.0,125.0,120.6,121.05,121.45,122.59,72645,89.05,1742, 27549, 37.92,-4.18
GET&D, EQ, 02-May-2023,176.2,176.8,184.0,174.0, 176.90,175.95,178.56,488803,872.8,8838, 167227, 34.21,-0.14
GET&D, EQ, 02-Jun-2020,61.7,62.75,64.5,62.1,64.35,64.35,63.87,297730,190.16,1968, 215834, 72.49,4.29
GET&D, EQ, 02-Jun-2021,134.0,134.6,137.65,133.2, 136.00,134.9,135.51,171290,232.11,3252, 60251, 35.17,0.67
GET&D, EQ, 02-Jun-2022,102.05,101.65,103.55,97.55,103.0,102.95,101.8,44096,44.89,1935, 20137, 45.67,0.88
GET&D, EQ, 02-Jul-2020,73.3,74.1,76.95,74.1, 76.95,76.95,76.51,42606,32.6,466, 40155, 94.25,4.98
