SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
GMRAIRPORT, EQ, 01-Jan-2025,78.56,78.99,79.05,77.8,78.73,78.59,78.55,3400151,2670.98,18662, 1420371, 41.77,0.04
GMRAIRPORT, EQ, 01-Apr-2025,75.73,76.8,78.14,75.9,77.29,77.36,77.05,14007197,10792.03,51255, 5213928, 37.22,2.15
GMRAIRPORT, EQ, 02-Jan-2025,78.59,78.74,79.05,78.03,78.72,78.69,78.61,4945975,3888.04,22512, 2909710, 58.83,0.13
GMRAIRPORT, EQ, 02-Apr-2025,77.36,77.49,79.1,75.83,78.98,78.84,77.92,14793006,11526.85,30711, 10033134, 67.82,1.91
GMRAIRPORT, EQ, 03-Jan-2025,78.69,78.41,79.92,78.26,78.55,78.68,79.07,6224506,4921.93,22917, 2663266, 42.79,-0.01
GMRAIRPORT, EQ, 03-Feb-2025,73.78,73.45,73.88,71.64,73.5,73.48,72.94,12042878,8783.6,39320, 4436501, 36.84,-0.41
GMRAIRPORT, EQ, 03-Mar-2025,69.47,70.3,70.3,68.35,69.8,69.82,69.39,9150104,6349.14,34023, 3742130, 40.90,0.5
GMRAIRPORT, EQ, 03-Apr-2025,78.84,78.26,83.2,78.11,82.72,82.7,82.05,24331046,19964.14,63538, 9234873, 37.96,4.9
GMRAIRPORT, EQ, 04-Feb-2025,73.48,73.9,75.19,72.75,74.45,74.54,74.11,11094557,8221.93,42011, 5094425, 45.92,1.44
GMRAIRPORT, EQ, 04-Mar-2025,69.82,69.5,71.6,69.0,71.05,71.2,70.88,8454397,5992.36,37925, 4149635, 49.08,1.98
GMRAIRPORT, EQ, 04-Apr-2025,82.7,83.15,84.08,80.31,81.0,80.74,82.2,29180057,23987.37,49375, 14264310, 48.88,-2.37
GMRAIRPORT, EQ, 05-Feb-2025,74.54,74.87,76.6,74.79,75.31,75.45,75.61,11174536,8449.6,45750, 5954885, 53.29,1.22
GMRAIRPORT, EQ, 05-Mar-2025,71.2,70.53,74.4,70.53,74.36,74.15,73.18,11847842,8670.83,35339, 6204824, 52.37,4.14
GMRAIRPORT, EQ, 06-Jan-2025,78.68,78.99,78.99,75.93,76.24,76.42,76.92,19299307,14845.02,52979, 12438305, 64.45,-2.87
GMRAIRPORT, EQ, 06-Feb-2025,75.45,75.65,76.05,74.0,74.66,74.68,75.16,12500383,9394.8,53934, 7084962, 56.68,-1.02
GMRAIRPORT, EQ, 06-Mar-2025,74.15,74.31,74.87,73.47,73.69,73.71,74.0,6972387,5159.35,19119, 3005076, 43.10,-0.59
GMRAIRPORT, EQ, 07-Jan-2025,76.42,76.3,77.57,76.11,76.49,76.64,76.81,6456372,4959.19,22505, 3186485, 49.35,0.29
GMRAIRPORT, EQ, 07-Feb-2025,74.68,75.25,75.32,73.25,74.62,74.53,74.25,8991765,6676.8,26384, 4159378, 46.26,-0.2
GMRAIRPORT, EQ, 07-Mar-2025,73.71,73.06,74.52,72.25,72.62,72.82,73.24,7258727,5316.29,23207, 3910034, 53.87,-1.21
GMRAIRPORT, EQ, 07-Apr-2025,80.74,77.0,83.0,76.66,82.35,82.22,80.76,57951987,46803.99,121511, 27993904, 48.31,1.83
GMRAIRPORT, EQ, 08-Jan-2025,76.64,76.49,77.22,75.0,76.79,76.81,76.4,9678431,7394.06,32431, 4623483, 47.77,0.22
GMRAIRPORT, EQ, 08-Apr-2025,82.22,83.92,85.85,81.87,85.65,85.38,84.07,23365934,19643.18,69919, 9612981, 41.14,3.84
GMRAIRPORT, EQ, 09-Jan-2025,76.81,77.36,77.36,75.86,76.09,76.08,76.52,5515487,4220.56,22684, 2798169, 50.73,-0.95
GMRAIRPORT, EQ, 09-Apr-2025,85.38,85.65,86.55,84.5,85.45,85.85,85.55,14444164,12356.46,61548, 5794404, 40.12,0.55
GMRAIRPORT, EQ, 10-Jan-2025,76.08,76.09,76.3,74.0,74.15,74.53,74.82,11314699,8465.12,35624, 6043052, 53.41,-2.04
GMRAIRPORT, EQ, 10-Feb-2025,74.53,74.49,74.89,72.85,73.55,73.67,73.65,6258171,4609.25,17966, 3145367, 50.26,-1.15
GMRAIRPORT, EQ, 10-Mar-2025,72.82,72.9,74.18,71.35,71.5,71.79,72.79,5552361,4041.78,25536, 2228136, 40.13,-1.41
GMRAIRPORT, EQ, 11-Feb-2025,73.67,73.35,73.61,71.26,71.9,71.91,72.17,11227846,8102.9,26897, 6128521, 54.58,-2.39
GMRAIRPORT, EQ, 11-Mar-2025,71.79,71.35,74.7,70.54,74.2,74.11,73.35,11741836,8612.11,33373, 5536049, 47.15,3.23
GMRAIRPORT, EQ, 11-Apr-2025,85.85,86.1,87.14,85.07,85.4,85.72,86.08,31659595,27252.84,60778, 18866116, 59.59,-0.15
GMRAIRPORT, EQ, 11-Dec-2024,85.13,84.75,85.84,84.75,85.55,85.44,85.36,5476910,4675.09,25488, 3653155, 66.70,0.36
GMRAIRPORT, EQ, 12-Feb-2025,71.91,71.63,72.48,69.4,72.2,72.06,71.19,12117986,8626.72,39849, 5782937, 47.72,0.21
GMRAIRPORT, EQ, 12-Mar-2025,74.11,74.15,74.64,72.57,73.6,73.62,73.52,5529681,4065.61,25097, 2225601, 40.25,-0.66
GMRAIRPORT, EQ, 12-Dec-2024,85.44,85.7,85.7,84.2,84.51,84.56,84.83,7381845,6262.26,24588, 4656356, 63.08,-1.03
GMRAIRPORT, EQ, 13-Jan-2025,74.53,73.0,73.98,69.27,69.53,69.7,71.33,18419378,13139.21,72156, 8788581, 47.71,-6.48
GMRAIRPORT, EQ, 13-Feb-2025,72.06,72.79,73.79,72.25,72.3,72.61,73.0,6707272,4896.21,33866, 3176417, 47.36,0.76
GMRAIRPORT, EQ, 13-Mar-2025,73.62,73.99,74.69,73.0,74.2,74.33,74.06,8234957,6098.98,40500, 4883953, 59.31,0.96
GMRAIRPORT, EQ, 13-Dec-2024,84.56,83.81,84.47,81.92,84.24,83.95,83.19,7881359,6556.26,45445, 3223528, 40.90,-0.72
GMRAIRPORT, EQ, 14-Jan-2025,69.7,70.99,73.13,70.34,72.96,72.2,71.58,23038361,16489.77,74311, 10991769, 47.71,3.59
GMRAIRPORT, EQ, 14-Feb-2025,72.61,72.65,73.0,68.71,70.05,70.48,70.17,17831038,12511.56,36090, 9511592, 53.34,-2.93
GMRAIRPORT, EQ, 15-Jan-2025,72.2,72.5,74.69,72.5,74.3,74.32,73.81,9958755,7350.25,35776, 4955543, 49.76,2.94
GMRAIRPORT, EQ, 15-Apr-2025,85.72,87.0,87.07,85.71,85.91,86.03,86.37,28056085,24230.81,51703, 18650371, 66.48,0.36
GMRAIRPORT, EQ, 16-Jan-2025,74.32,74.91,75.65,74.49,74.84,74.68,74.91,13439651,10067.43,27601, 8361377, 62.21,0.48
GMRAIRPORT, EQ, 16-Apr-2025,86.03,86.0,86.55,84.8,85.6,85.64,85.54,7446581,6369.99,26574, 3398120, 45.63,-0.45
GMRAIRPORT, EQ, 16-Dec-2024,83.95,84.05,84.44,83.65,84.06,83.9,83.97,4526525,3801.03,20936, 2572502, 56.83,-0.06
GMRAIRPORT, EQ, 17-Jan-2025,74.68,74.68,76.49,74.14,76.15,76.07,75.83,8571378,6500.03,27781, 4100704, 47.84,1.86
GMRAIRPORT, EQ, 17-Feb-2025,70.48,70.05,70.67,68.34,70.6,70.26,69.62,24818366,17278.09,30550, 8721641, 35.14,-0.31
GMRAIRPORT, EQ, 17-Mar-2025,74.33,74.8,75.19,73.8,74.11,74.17,74.47,8310284,6188.46,27355, 4177088, 50.26,-0.22
GMRAIRPORT, EQ, 17-Apr-2025,85.64,85.5,87.5,85.49,86.53,86.53,86.68,8528599,7392.5,25422, 4130006, 48.43,1.04
GMRAIRPORT, EQ, 17-Dec-2024,83.9,85.4,85.76,83.0,83.0,83.44,84.43,13065340,11030.75,48680, 5440796, 41.64,-0.55
GMRAIRPORT, EQ, 18-Feb-2025,70.26,71.25,71.9,68.67,70.64,70.79,70.2,14300469,10038.3,34406, 5452519, 38.13,0.75
GMRAIRPORT, EQ, 18-Mar-2025,74.17,74.74,75.3,74.35,74.92,74.95,74.99,6809908,5106.86,22164, 4125335, 60.58,1.05
GMRAIRPORT, EQ, 18-Dec-2024,83.44,83.0,83.16,81.58,82.22,82.15,82.31,7559892,6222.86,31909, 3891307, 51.47,-1.55
GMRAIRPORT, EQ, 19-Feb-2025,70.79,70.78,71.43,69.45,70.37,70.27,70.19,20210142,14184.72,48887, 10050626, 49.73,-0.73
GMRAIRPORT, EQ, 19-Mar-2025,74.95,75.5,76.98,74.79,76.6,76.68,76.21,6798346,5181.09,24374, 3236635, 47.61,2.31
GMRAIRPORT, EQ, 19-Dec-2024,82.15,80.2,81.49,80.2,80.72,80.63,80.76,4878495,3939.94,22111, 2088627, 42.81,-1.85
GMRAIRPORT, EQ, 20-Jan-2025,76.07,75.89,77.35,75.62,76.77,76.77,76.78,8011477,6151.22,37117, 3343750, 41.74,0.92
GMRAIRPORT, EQ, 20-Feb-2025,70.27,70.3,71.71,69.41,71.35,71.33,70.86,13866438,9825.54,26718, 5894188, 42.51,1.51
GMRAIRPORT, EQ, 20-Mar-2025,76.68,77.0,77.49,75.91,76.7,76.65,76.67,9665287,7409.99,22291, 6599570, 68.28,-0.04
GMRAIRPORT, EQ, 20-Dec-2024,80.63,81.6,81.6,78.0,78.2,78.82,79.48,10082347,8013.01,35180, 5884064, 58.36,-2.24
GMRAIRPORT, EQ, 21-Jan-2025,76.77,77.01,77.3,74.11,74.26,74.36,75.24,10210742,7682.28,31203, 4877967, 47.77,-3.14
GMRAIRPORT, EQ, 21-Feb-2025,71.33,70.55,71.92,69.44,69.75,69.93,70.39,7232594,5091.37,31059, 2680077, 37.06,-1.96
GMRAIRPORT, EQ, 21-Mar-2025,76.65,76.7,77.75,76.35,77.36,77.36,77.22,9877735,7627.23,29936, 6098344, 61.74,0.93
GMRAIRPORT, EQ, 21-Apr-2025,86.53,87.2,87.4,86.03,86.75,86.75,86.62,9542428,8265.33,29084, 5161376, 54.09,0.25
GMRAIRPORT, EQ, 22-Jan-2025,74.36,74.57,74.7,70.85,72.83,72.98,72.34,14826279,10725.82,37362, 7259576, 48.96,-1.86
GMRAIRPORT, EQ, 22-Apr-2025,86.75,86.98,87.95,86.2,86.65,86.65,87.22,12081653,10537.7,32258, 5668934, 46.92,-0.12
GMRAIRPORT, EQ, 23-Jan-2025,72.98,73.2,73.74,72.33,73.5,73.5,73.17,6441341,4712.89,23632, 3368602, 52.30,0.71
GMRAIRPORT, EQ, 23-Apr-2025,86.65,87.0,87.9,85.71,87.51,87.57,86.82,7867039,6830.47,40579, 4176778, 53.09,1.06
GMRAIRPORT, EQ, 23-Dec-2024,78.82,79.18,80.64,78.55,79.39,79.3,79.54,19622227,15607.22,45289, 9971107, 50.82,0.61
GMRAIRPORT, EQ, 24-Jan-2025,73.5,73.5,74.01,71.1,71.49,71.49,72.53,10814737,7843.9,27037, 6215918, 57.48,-2.73
GMRAIRPORT, EQ, 24-Feb-2025,69.93,69.1,70.08,67.81,69.6,69.63,69.19,11087449,7671.37,38656, 5922637, 53.42,-0.43
GMRAIRPORT, EQ, 24-Mar-2025,77.36,78.0,78.75,77.56,77.8,77.92,78.08,7652689,5975.58,26061, 3993624, 52.19,0.72
GMRAIRPORT, EQ, 24-Apr-2025,87.57,87.75,89.5,87.3,88.75,89.0,88.72,16901230,14994.86,40706, 9271451, 54.86,1.63
GMRAIRPORT, EQ, 24-Dec-2024,79.3,79.49,80.48,78.66,79.07,79.15,79.43,6303126,5006.32,26091, 2002277, 31.77,-0.19
GMRAIRPORT, EQ, 25-Feb-2025,69.63,69.6,70.3,69.35,69.6,69.77,69.86,3943887,2755.1,15382, 1391582, 35.28,0.2
GMRAIRPORT, EQ, 25-Mar-2025,77.92,78.6,78.6,75.39,75.39,75.68,76.56,5077844,3887.71,18853, 2295520, 45.21,-2.87
GMRAIRPORT, EQ, 25-Apr-2025,89.0,89.72,90.19,83.86,85.42,85.5,86.12,18253042,15720.2,53551, 7999232, 43.82,-3.93
GMRAIRPORT, EQ, 26-Mar-2025,75.68,75.69,77.25,75.4,76.2,76.24,76.44,20718143,15837.45,26497, 11956329, 57.71,0.74
