SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
GMRP&UI, EQ, 01-Jan-2024,56.15,56.95,57.7,54.0, 54.30,54.25,56.04,10327061,5787.65,18335, 4208392, 40.75,-3.38
GMRP&UI, EQ, 01-Jan-2025,120.87,125.0,126.91,119.81,126.91,126.91,124.34,3833824,4766.94,20429, 1620846, 42.28,5.0
GMRP&UI, EQ, 01-Feb-2023,19.8,20.2,20.75,18.85, 19.00,19.15,19.75,597751,118.04,1776, 345917, 57.87,-3.28
GMRP&UI, EQ, 01-Feb-2024,51.15,51.5,53.7,51.0, 53.70,53.7,53.36,9965803,5317.82,10105, 6641079, 66.64,4.99
GMRP&UI, EQ, 01-Mar-2023,18.55,18.2,19.0,18.2, 18.65,18.7,18.75,828138,155.24,1284, 703187, 84.91,0.81
GMRP&UI, EQ, 01-Mar-2024,52.25,52.55,52.85,51.1, 52.10,52.15,52.21,3863264,2017.01,6795, 2612103, 67.61,-0.19
GMRP&UI, EQ, 01-Apr-2024,42.85,43.85,44.95,43.75, 44.95,44.95,44.7,528496,236.26,1517, 410070, 77.59,4.9
GMRP&UI, EQ, 01-Apr-2025,114.33,113.0,117.65,111.95,115.05,115.32,115.14,2640585,3040.48,22448, 1109918, 42.03,0.87
GMRP&UI, EQ, 01-Jun-2022,20.1,19.3,21.1,19.2,20.75,21.05,20.51,3498465,717.4,7319, 2630327, 75.19,4.73
GMRP&UI, EQ, 01-Jun-2023,16.85,17.25,17.25,16.8, 17.00,16.95,16.94,187254,31.71,722, 144241, 77.03,0.59
GMRP&UI, EQ, 01-Jul-2022,19.55,19.65,20.5,19.55,19.95,20.1,19.94,155588,31.03,791, 113961, 73.25,2.81
GMRP&UI, EQ, 01-Jul-2024,83.89,85.3,87.9,83.95,87.0,86.49,85.87,2447737,2101.88,10778, 1503834, 61.44,3.1
GMRP&UI, EQ, 01-Aug-2022,24.25,24.5,24.7,23.9, 24.10,24.05,24.17,405515,98.02,1668, 316167, 77.97,-0.82
GMRP&UI, EQ, 01-Aug-2023,19.95,20.05,20.45,19.65, 19.75,19.75,19.94,3452935,688.35,8572, 2031767, 58.84,-1.0
GMRP&UI, EQ, 01-Aug-2024,97.94,98.4,99.36,94.0,96.65,95.93,95.36,4546206,4335.47,9449, 3693893, 81.25,-2.05
GMRP&UI, EQ, 01-Sep-2022,34.95,33.25,35.95,33.25,33.25,33.25,34.11,8764958,2989.36,10055, 5267377, 60.10,-4.86
GMRP&UI, EQ, 01-Sep-2023,25.0,25.2,30.0,24.95, 28.80,28.45,28.04,22654211,6352.34,31818, 10939927, 48.29,13.8
GMRP&UI, EQ, 01-Oct-2024,159.7,159.0,159.92,153.5,154.99,155.34,156.17,1656344,2586.78,10300, 1003861, 60.61,-2.73
GMRP&UI, EQ, 01-Nov-2022,25.15,25.2,25.5,24.75,24.9,24.85,25.11,299241,75.13,959, 254622, 85.09,-1.19
GMRP&UI, EQ, 01-Nov-2023,30.9,30.9,31.5,30.4, 30.55,30.6,30.92,698108,215.86,3200, 442601, 63.40,-0.97
GMRP&UI, EQ, 01-Dec-2022,23.05,23.3,23.9,22.65,23.1,23.2,23.24,1063033,247.0,1833, 808830, 76.09,0.65
GMRP&UI, EQ, 01-Dec-2023,43.75,44.4,44.95,42.65, 42.85,43.05,43.81,3600138,1577.11,7121, 2670134, 74.17,-1.6
GMRP&UI, EQ, 02-Jan-2023,23.05,23.25,23.65,23.1, 23.35,23.45,23.38,205090,47.96,888, 143855, 70.14,1.74
GMRP&UI, EQ, 02-Jan-2024,54.25,54.35,55.1,51.65, 53.55,53.65,53.44,6029665,3222.02,12644, 3555500, 58.97,-1.11
GMRP&UI, EQ, 02-Jan-2025,126.91,130.0,133.25,128.01,130.05,130.25,131.55,6600936,8683.45,26285, 3285998, 49.78,2.63
GMRP&UI, EQ, 02-Feb-2023,19.15,19.4,19.7,18.2, 18.85,19.0,18.93,337175,63.82,1299, 201129, 59.65,-0.78
GMRP&UI, EQ, 02-Feb-2024,53.7,55.4,55.8,52.9, 53.15,53.2,54.5,7463261,4067.39,16978, 5696833, 76.33,-0.93
GMRP&UI, EQ, 02-Mar-2023,18.7,18.6,18.85,18.55, 18.65,18.6,18.7,161110,30.13,826, 112552, 69.86,-0.53
GMRP&UI, EQ, 02-Apr-2024,44.95,45.05,46.85,45.05, 46.45,46.45,46.28,2619607,1212.45,5534, 1736413, 66.29,3.34
GMRP&UI, EQ, 02-Apr-2025,115.32,116.48,117.75,113.14,116.7,116.49,116.08,1314779,1526.18,13967, 562427, 42.78,1.01
GMRP&UI, EQ, 02-May-2022,30.1,29.1,30.85,28.6,30.0,30.05,29.31,981036,287.54,2425, 747674, 76.21,-0.17
GMRP&UI, EQ, 02-May-2023,18.9,19.1,19.45,18.9, 19.10,19.05,19.13,486952,93.14,1478, 350237, 71.92,0.79
GMRP&UI, EQ, 02-May-2024,64.0,64.4,67.2,64.4, 67.20,67.2,67.07,2839301,1904.19,2772, 1871854, 65.93,5.0
GMRP&UI, EQ, 02-Jun-2022,21.05,20.65,21.75,20.55,21.05,20.95,21.26,2358378,501.5,2344, 2106685, 89.33,-0.48
GMRP&UI, EQ, 02-Jun-2023,16.95,17.15,17.15,16.85, 17.00,16.95,16.99,191141,32.47,714, 152862, 79.97,0.0
GMRP&UI, EQ, 02-Jul-2024,86.49,86.88,87.62,83.45,84.29,84.17,85.29,2128812,1815.62,8910, 1604522, 75.37,-2.68
GMRP&UI, EQ, 02-Aug-2022,24.05,24.05,25.25,24.05,25.25,25.25,25.13,1429153,359.11,1846, 947738, 66.31,4.99
