SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
GOYALALUM, EQ, 01-Jan-2025,10.08,10.2,10.49,9.81,9.97,9.95,10.09,480069,48.46,2205, 262794, 54.74,-1.29
GOYALALUM, EQ, 01-Feb-2023,223.45,223.45,227.05,201.1, 201.20,202.4,205.84,128407,264.31,858, 122142, 95.12,-9.42
GOYALALUM, EQ, 01-Mar-2023,271.7,272.15,274.65,272.15, 274.60,274.6,273.8,345061,944.77,1740, 71414, 20.70,1.07
GOYALALUM, EQ, 01-Apr-2025,8.26,8.7,8.74,8.17,8.21,8.21,8.29,126214,10.46,955, 93372, 73.98,-0.61
GOYALALUM, EQ, 01-Jun-2023,14.1,13.4,13.4,13.4, 13.40,13.4,13.4,132275,17.72,698, 132275, 100.00,-4.96
GOYALALUM, EQ, 01-Aug-2024,9.42,9.59,9.67,9.48,9.55,9.54,9.54,215418,20.56,1531, 174251, 80.89,1.27
GOYALALUM, EQ, 01-Oct-2024,10.78,11.14,11.19,10.35,10.75,10.63,10.87,908608,98.75,4377, 671690, 73.93,-1.39
GOYALALUM, EQ, 01-Dec-2022,159.5,155.05,160.0,150.65,153.55,155.2,158.38,28073,44.46,197, 1184, 4.22,-2.7
GOYALALUM, EQ, 02-Jan-2023,191.1,193.9,200.0,182.2, 195.95,192.15,193.06,70758,136.61,1376, 27340, 38.64,0.55
GOYALALUM, EQ, 02-Jan-2025,9.95,10.04,10.05,9.51,9.87,9.8,9.82,369739,36.3,2611, 235692, 63.75,-1.51
GOYALALUM, EQ, 02-Feb-2023,202.4,196.6,222.6,195.1, 222.60,222.6,215.85,38483,83.07,1286, 9147, 23.77,9.98
GOYALALUM, EQ, 02-Mar-2023,274.6,275.35,277.85,275.35, 277.60,277.65,276.81,316140,875.11,1514, 94934, 30.03,1.11
GOYALALUM, EQ, 02-Apr-2025,8.21,8.44,8.46,8.25,8.38,8.41,8.37,82456,6.9,714, 53325, 64.67,2.44
GOYALALUM, EQ, 02-Jun-2023,13.4,12.75,13.4,12.75, 12.75,12.75,12.82,4990708,639.58,3202, 3410213, 68.33,-4.85
GOYALALUM, EQ, 02-Aug-2024,9.54,9.15,9.44,9.15,9.44,9.32,9.25,308800,28.58,1602, 198056, 64.14,-2.31
GOYALALUM, EQ, 02-Sep-2024,9.39,9.5,9.52,9.33,9.33,9.36,9.42,202890,19.12,1536, 115754, 57.05,-0.32
GOYALALUM, EQ, 02-Dec-2022,155.2,155.0,158.55,153.65, 154.95,155.8,155.75,27136,42.26,82, 1097, 4.04,0.39
GOYALALUM, EQ, 02-Dec-2024,9.73,9.93,10.05,9.74,9.9,9.88,9.94,366005,36.39,2401, 240134, 65.61,1.54
GOYALALUM, EQ, 03-Jan-2023,192.15,198.9,201.0,185.75, 196.00,195.2,192.77,81777,157.64,1234, 19993, 24.45,1.59
GOYALALUM, EQ, 03-Jan-2025,9.8,9.59,10.2,9.55,10.13,10.12,9.99,207790,20.76,1938, 122389, 58.90,3.27
GOYALALUM, EQ, 03-Feb-2023,222.6,235.0,244.85,217.25, 221.00,221.8,227.22,136753,310.73,2678, 64979, 47.52,-0.36
GOYALALUM, EQ, 03-Feb-2025,9.02,9.02,9.14,8.85,8.94,9.01,8.93,73862,6.59,916, 53485, 72.41,-0.11
GOYALALUM, EQ, 03-Mar-2023,277.65,278.3,281.2,278.3, 280.45,280.55,280.06,341846,957.38,2007, 135498, 39.64,1.04
GOYALALUM, EQ, 03-Mar-2025,8.37,8.38,8.64,8.0,8.08,8.08,8.17,124932,10.2,1194, 81930, 65.58,-3.46
GOYALALUM, EQ, 03-Apr-2025,8.41,8.53,8.65,8.18,8.48,8.42,8.47,132496,11.23,961, 78758, 59.44,0.12
GOYALALUM, EQ, 03-Sep-2024,9.36,9.36,9.5,8.96,9.2,9.19,9.26,248900,23.04,1322, 154363, 62.02,-1.82
GOYALALUM, EQ, 03-Oct-2024,10.63,10.6,10.9,10.06,10.2,10.18,10.26,402454,41.31,2098, 254207, 63.16,-4.23
GOYALALUM, EQ, 03-Dec-2024,9.88,10.02,10.09,9.88,9.99,9.97,9.97,191512,19.09,1837, 127181, 66.41,0.91
GOYALALUM, EQ, 04-Jan-2023,195.2,195.2,201.9,190.6, 192.25,193.45,196.54,34615,68.03,393, 4568, 13.20,-0.9
GOYALALUM, EQ, 04-Feb-2025,9.01,9.1,9.1,8.91,9.04,9.0,9.01,108668,9.79,937, 83037, 76.41,-0.11
GOYALALUM, EQ, 04-Mar-2025,8.08,7.65,8.46,7.65,8.39,8.35,8.24,83693,6.89,809, 48499, 57.95,3.34
GOYALALUM, EQ, 04-Apr-2025,8.42,8.3,8.49,8.3,8.4,8.36,8.39,59961,5.03,481, 35530, 59.26,-0.71
GOYALALUM, EQ, 04-Sep-2024,9.19,9.27,9.38,9.14,9.32,9.2,9.28,207090,19.22,1159, 121533, 58.69,0.11
GOYALALUM, EQ, 04-Oct-2024,10.18,10.02,10.5,9.81,10.1,10.07,10.11,351828,35.56,1757, 162640, 46.23,-1.08
GOYALALUM, EQ, 04-Nov-2022,135.1,144.8,148.6,126.3,142.85,143.05,140.64,26500,37.27,810, 15595, 58.85,5.88
GOYALALUM, EQ, 04-Nov-2024,10.28,10.5,10.7,10.0,10.15,10.09,10.11,276835,27.98,1972, 183215, 66.18,-1.85
GOYALALUM, EQ, 04-Dec-2024,9.97,10.18,10.3,10.03,10.15,10.1,10.15,284901,28.91,2618, 189813, 66.62,1.3
GOYALALUM, EQ, 05-Jan-2023,193.45,197.95,198.95,191.5,191.5,194.4,195.55,70459,137.78,252, 34231, 48.58,0.49
GOYALALUM, EQ, 05-Feb-2025,9.0,8.8,9.09,8.8,8.93,8.85,8.87,149029,13.21,1137, 82404, 55.29,-1.67
GOYALALUM, EQ, 05-Mar-2025,8.35,8.5,8.69,8.06,8.6,8.51,8.57,58084,4.98,585, 39774, 68.48,1.92
GOYALALUM, EQ, 05-Jun-2023,12.75,12.15,12.15,12.15, 12.15,12.15,12.15,155194,18.86,674, 155194, 100.00,-4.71
GOYALALUM, EQ, 05-Aug-2024,9.32,9.32,9.32,9.01,9.19,9.06,9.17,231434,21.22,2158, 178802, 77.26,-2.79
GOYALALUM, EQ, 05-Sep-2024,9.2,9.38,9.44,9.2,9.27,9.33,9.35,182883,17.1,1202, 119784, 65.50,1.41
GOYALALUM, EQ, 05-Nov-2024,10.09,10.2,10.26,10.0,10.05,10.06,10.11,236755,23.94,1642, 143188, 60.48,-0.3
GOYALALUM, EQ, 05-Dec-2022,155.8,157.0,160.0,150.1, 150.10,154.55,155.84,26775,41.73,131, 789, 2.95,-0.8
GOYALALUM, EQ, 05-Dec-2024,10.1,10.3,10.64,9.97,10.1,10.21,10.29,651360,66.99,2999, 315794, 48.48,1.09
GOYALALUM, EQ, 06-Jan-2023,194.4,199.4,210.0,191.5,194.9,194.85,196.62,82290,161.8,517, 41612, 50.57,0.23
