SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
GROWWEV, EQ, 01-Jan-2025,29.76,29.94,30.07,29.6,29.98,29.98,29.81,357364,106.52,3577, 260822, 72.98,0.74
GROWWEV, EQ, 01-Apr-2025,26.66,26.66,26.92,26.26,26.5,26.58,26.6,452920,120.46,3594, 374942, 82.78,-0.3
GROWWEV, EQ, 01-Oct-2024,35.04,35.34,35.35,34.74,35.04,35.04,35.02,985490,345.15,6700, 842358, 85.48,0.0
GROWWEV, EQ, 02-Jan-2025,29.98,29.61,30.63,29.61,30.4,30.6,30.42,602887,183.38,3536, 428737, 71.11,2.07
GROWWEV, EQ, 02-Apr-2025,26.58,26.85,26.9,26.0,26.86,26.85,26.72,243400,65.03,2428, 188386, 77.40,1.02
GROWWEV, EQ, 02-Sep-2024,34.01,34.35,34.49,33.65,34.09,33.91,34.01,1947298,662.27,13133, 1603032, 82.32,-0.29
GROWWEV, EQ, 02-Dec-2024,30.56,32.0,32.0,30.1,30.81,30.83,30.75,802909,246.89,5369, 578422, 72.04,0.88
GROWWEV, EQ, 03-Jan-2025,30.6,30.6,30.69,30.39,30.48,30.48,30.54,341438,104.27,3897, 258675, 75.76,-0.39
GROWWEV, EQ, 03-Feb-2025,28.92,28.92,29.24,28.36,28.66,28.59,28.66,757428,217.07,4899, 676228, 89.28,-1.14
GROWWEV, EQ, 03-Mar-2025,25.74,25.89,26.24,25.0,25.59,25.42,25.43,966353,245.7,5839, 782371, 80.96,-1.24
GROWWEV, EQ, 03-Apr-2025,26.85,26.35,26.85,26.05,26.65,26.46,26.47,503161,133.18,3466, 430731, 85.61,-1.45
GROWWEV, EQ, 03-Sep-2024,33.91,34.24,34.27,33.72,34.0,33.91,33.91,1328372,450.49,8913, 1083466, 81.56,0.0
GROWWEV, EQ, 03-Oct-2024,35.04,35.19,35.28,34.0,34.27,34.27,34.41,1957285,673.51,14634, 1624465, 83.00,-2.2
GROWWEV, EQ, 03-Dec-2024,30.83,31.14,31.4,30.65,31.2,31.1,31.1,547583,170.28,4222, 438347, 80.05,0.88
GROWWEV, EQ, 04-Feb-2025,28.59,28.75,29.1,28.44,28.93,28.97,28.95,327225,94.73,3074, 256285, 78.32,1.33
GROWWEV, EQ, 04-Mar-2025,25.42,25.93,27.0,25.0,25.47,25.39,25.37,302145,76.65,2913, 260295, 86.15,-0.12
GROWWEV, EQ, 04-Apr-2025,26.46,26.64,26.64,25.3,25.71,25.5,25.57,534951,136.8,6007, 454268, 84.92,-3.63
GROWWEV, EQ, 04-Sep-2024,33.91,34.17,34.17,33.5,33.8,33.73,33.69,1067601,359.67,10507, 840389, 78.72,-0.53
GROWWEV, EQ, 04-Oct-2024,34.27,34.37,34.5,33.5,34.0,33.99,33.99,1371691,466.23,9928, 1079553, 78.70,-0.82
GROWWEV, EQ, 04-Nov-2024,31.86,31.97,32.08,30.9,31.35,31.29,31.24,1098600,343.17,10371, 937978, 85.38,-1.79
GROWWEV, EQ, 04-Dec-2024,31.1,31.2,31.7,30.8,31.15,31.14,31.12,480909,149.66,4605, 318615, 66.25,0.13
GROWWEV, EQ, 05-Feb-2025,28.97,28.97,29.34,28.83,29.2,29.16,29.11,380753,110.84,3665, 266107, 69.89,0.66
GROWWEV, EQ, 05-Mar-2025,25.39,26.0,27.0,25.3,26.19,26.05,25.91,387662,100.43,3461, 243226, 62.74,2.6
GROWWEV, EQ, 05-Sep-2024,33.73,34.05,34.08,33.51,33.8,33.78,33.75,957169,323.09,8054, 708602, 74.03,0.15
GROWWEV, EQ, 05-Nov-2024,31.29,31.68,31.68,30.91,31.28,31.35,31.21,1200599,374.68,6460, 975061, 81.21,0.19
GROWWEV, EQ, 05-Dec-2024,31.14,31.49,31.61,31.0,31.4,31.36,31.25,455087,142.23,4128, 305800, 67.20,0.71
GROWWEV, EQ, 06-Jan-2025,30.48,30.48,30.58,29.71,30.07,30.03,30.05,592468,178.03,6760, 341427, 57.63,-1.48
GROWWEV, EQ, 06-Feb-2025,29.16,29.43,29.8,28.58,29.12,28.99,29.02,390409,113.32,3206, 305213, 78.18,-0.58
GROWWEV, EQ, 06-Mar-2025,26.05,26.38,26.6,26.1,26.6,26.42,26.38,400952,105.76,2933, 357846, 89.25,1.42
GROWWEV, EQ, 06-Sep-2024,33.78,33.77,34.06,33.2,33.62,33.38,33.44,1297344,433.77,12902, 1015443, 78.27,-1.18
GROWWEV, EQ, 06-Nov-2024,31.35,31.98,32.0,31.04,31.97,31.94,31.79,825235,262.37,5546, 625530, 75.80,1.88
GROWWEV, EQ, 06-Dec-2024,31.36,31.61,31.74,31.01,31.63,31.54,31.47,534519,168.21,4399, 386432, 72.30,0.57
GROWWEV, EQ, 07-Jan-2025,30.03,29.74,30.24,26.9,29.9,29.91,29.94,799827,239.46,4114, 653543, 81.71,-0.4
GROWWEV, EQ, 07-Feb-2025,28.99,29.28,29.28,28.8,29.04,29.1,29.04,303822,88.24,3325, 183731, 60.47,0.38
GROWWEV, EQ, 07-Mar-2025,26.42,26.0,26.67,26.0,26.33,26.51,26.51,311890,82.68,3041, 237950, 76.29,0.34
GROWWEV, EQ, 07-Apr-2025,25.5,24.66,25.0,23.0,24.48,24.44,24.32,1103016,268.28,7934, 839003, 76.06,-4.16
GROWWEV, EQ, 07-Oct-2024,33.99,34.27,34.4,33.0,33.32,33.5,33.43,1683036,562.65,14263, 1278711, 75.98,-1.44
