SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
GSFC, EQ, 01-Jan-2020,70.05,70.0,70.8,69.5, 70.00,69.95,70.01,141032,98.73,1323, 75046, 53.21,-0.14
GSFC, EQ, 01-Jan-2021,72.2,75.0,78.5,74.0, 77.15,76.95,76.66,5549160,4254.07,22670, 1748804, 31.51,6.58
GSFC, EQ, 01-Jan-2024,241.4,242.0,283.85,240.85, 272.30,273.75,268.21,34305864,92012.87,206000, 6181573, 18.02,13.4
GSFC, EQ, 01-Jan-2025,197.64,197.8,205.96,197.62,205.4,204.72,202.8,2304961,4674.57,27146, 601438, 26.09,3.58
GSFC, EQ, 01-Feb-2021,76.65,77.4,79.5,75.3, 78.40,78.3,77.27,1174607,907.59,6691, 383696, 32.67,2.15
GSFC, EQ, 01-Feb-2022,128.6,131.0,131.7,125.8,127.3,126.6,128.66,1708820,2198.5,12013, 771053, 45.12,-1.56
GSFC, EQ, 01-Feb-2023,129.6,131.5,132.3,122.8, 124.75,125.0,128.5,3438499,4418.31,23194, 1372224, 39.91,-3.55
GSFC, EQ, 01-Feb-2024,299.4,301.15,302.9,287.0, 288.65,288.7,293.61,5413205,15893.82,69018, 2404738, 44.42,-3.57
GSFC, EQ, 01-Mar-2021,88.95,90.85,102.9,88.7, 101.45,100.6,96.11,22446656,21573.66,99698, 4655317, 20.74,13.1
GSFC, EQ, 01-Mar-2023,125.15,125.8,128.2,125.25, 128.15,127.65,127.37,1168674,1488.56,11826, 512315, 43.84,2.0
GSFC, EQ, 01-Mar-2024,217.3,220.7,223.3,219.15, 219.70,219.85,220.96,2657309,5871.46,32593, 1232264, 46.37,1.17
GSFC, EQ, 01-Apr-2020,36.55,36.95,37.6,36.2,36.5,36.55,36.74,490607,180.24,3687, 268602, 54.75,0.0
GSFC, EQ, 01-Apr-2021,81.3,81.75,87.9,81.75, 87.25,87.15,86.27,2663260,2297.59,14429, 874821, 32.85,7.2
GSFC, EQ, 01-Apr-2022,162.05,162.5,175.9,161.05, 174.00,174.05,171.42,13666464,23427.27,78642, 3134594, 22.94,7.41
GSFC, EQ, 01-Apr-2024,195.65,198.05,214.3,198.05, 214.00,213.5,208.7,6796460,14184.02,56410, 2135895, 31.43,9.12
GSFC, EQ, 01-Apr-2025,177.28,178.0,182.8,177.31,181.6,181.33,180.95,889406,1609.38,16414, 363727, 40.90,2.28
GSFC, EQ, 01-Jun-2020,41.25,43.3,43.3,42.6, 43.30,43.3,43.22,928642,401.31,3148, 651002, 70.10,4.97
GSFC, EQ, 01-Jun-2021,112.7,113.25,114.65,106.75, 108.45,108.05,110.0,2256259,2481.78,20803, 1003051, 44.46,-4.13
GSFC, EQ, 01-Jun-2022,166.7,168.1,173.4,168.1,169.5,170.55,170.68,2410738,4114.7,26065, 831019, 34.47,2.31
GSFC, EQ, 01-Jun-2023,157.35,158.5,161.1,158.15, 159.05,158.85,159.57,1629059,2599.45,9031, 747039, 45.86,0.95
GSFC, EQ, 01-Jul-2020,53.45,53.7,54.5,53.5, 54.35,54.35,54.03,664943,359.27,3712, 230980, 34.74,1.68
GSFC, EQ, 01-Jul-2021,115.7,116.0,117.0,114.7, 116.50,116.7,116.04,1246489,1446.43,13599, 632978, 50.78,0.86
GSFC, EQ, 01-Jul-2022,132.0,131.3,131.8,127.1,130.6,130.25,129.07,1507206,1945.4,19383, 389889, 25.87,-1.33
GSFC, EQ, 01-Jul-2024,242.4,242.95,249.9,241.92,245.55,245.74,246.8,5410936,13354.38,57908, 1369065, 25.30,1.38
GSFC, EQ, 01-Aug-2022,158.0,158.7,169.0,157.5, 166.00,167.15,163.61,6279824,10274.44,38360, 2076180, 33.06,5.79
GSFC, EQ, 01-Aug-2023,164.65,165.5,168.95,165.3, 168.00,168.05,167.31,2413889,4038.61,12276, 1306014, 54.10,2.06
GSFC, EQ, 01-Aug-2024,246.12,247.6,247.6,240.05,240.87,240.61,243.4,2050521,4990.98,33170, 826789, 40.32,-2.24
GSFC, EQ, 01-Sep-2020,64.35,64.9,65.65,63.1, 63.90,63.9,64.13,533792,342.34,3025, 143055, 26.80,-0.7
GSFC, EQ, 01-Sep-2021,102.05,102.2,103.0,100.8,101.6,101.55,101.74,889426,904.87,8999, 337800, 37.98,-0.49
GSFC, EQ, 01-Sep-2022,158.15,158.3,160.65,157.7,158.9,159.1,159.01,2502073,3978.45,15436, 1308802, 52.31,0.6
GSFC, EQ, 01-Sep-2023,175.3,176.2,179.3,176.0, 177.80,177.6,177.46,2895287,5138.11,17065, 1432713, 49.48,1.31
