SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
GTNTEX, EQ, 01-Jun-2020,4.9,5.0,5.1,5.0, 5.00,5.0,5.06,16056,0.81,57, 15596, 97.14,2.04
GTNTEX, EQ, 01-Jul-2020,6.45,6.75,6.75,6.25, 6.75,6.75,6.66,17056,1.14,69, 16094, 94.36,4.65
GTNTEX, EQ, 02-Jun-2020,5.0,5.15,5.25,4.8,5.15,5.25,5.09,12659,0.64,78, 11699, 92.42,5.0
GTNTEX, EQ, 02-Jul-2020,6.75,7.0,7.0,6.45, 6.70,6.6,6.63,11443,0.76,65, 9414, 82.27,-2.22
GTNTEX, EQ, 03-Jun-2020,5.25,5.5,5.5,5.3,5.5,5.5,5.48,13621,0.75,39, 13089, 96.09,4.76
GTNTEX, EQ, 03-Jul-2020,6.6,6.6,6.6,6.3, 6.30,6.3,6.4,4517,0.29,73, 4517, 100.00,-4.55
GTNTEX, EQ, 04-Jun-2020,5.5,5.5,5.7,5.5,5.7,5.7,5.64,9194,0.52,26, 9194, 100.00,3.64
GTNTEX, EQ, 05-Jun-2020,5.7,5.7,6.0,5.45, 5.75,5.75,5.72,9091,0.52,115, 8584, 94.42,0.88
GTNTEX, EQ, 06-Jul-2020,6.3,6.3,6.5,6.0, 6.15,6.15,6.11,13338,0.82,49, 11659, 87.41,-2.38
GTNTEX, EQ, 07-Jul-2020,6.15,5.9,6.25,5.9, 6.20,6.2,6.04,4790,0.29,27, 4565, 95.30,0.81
GTNTEX, EQ, 08-Jun-2020,5.75,5.75,6.3,5.55, 6.30,6.3,6.02,13876,0.84,68, 13442, 96.87,9.57
GTNTEX, EQ, 08-Jul-2020,6.2,6.2,6.2,6.0,6.0,6.0,6.02,4461,0.27,25, 4261, 95.52,-3.23
GTNTEX, EQ, 09-Jun-2020,6.3,6.3,6.5,5.75, 6.05,6.05,6.07,24232,1.47,107, 17372, 71.69,-3.97
GTNTEX, EQ, 09-Jul-2020,6.0,6.25,6.25,5.7, 5.95,6.0,5.95,10869,0.65,63, 7109, 65.41,0.0
GTNTEX, EQ, 10-Jun-2020,6.05,5.8,6.3,5.8, 6.30,6.3,5.93,2290,0.14,25, 1848, 80.70,4.13
GTNTEX, EQ, 10-Jul-2020,6.0,5.8,5.95,5.7,5.85,5.85,5.77,4431,0.26,30, 3250, 73.35,-2.5
GTNTEX, EQ, 11-Jun-2020,6.3,6.3,6.3,6.0, 6.00,6.0,6.06,6809,0.41,35, 3966, 58.25,-4.76
GTNTEX, EQ, 12-Jun-2020,6.0,6.0,6.25,5.8, 6.00,6.0,5.95,3725,0.22,26, 3451, 92.64,0.0
GTNTEX, EQ, 15-Jun-2020,6.0,5.75,6.2,5.75,6.15,6.15,6.03,2670,0.16,17, 2304, 86.29,2.5
GTNTEX, EQ, 16-Jun-2020,6.15,5.95,6.4,5.9, 5.95,5.95,5.98,1912,0.11,22, 1743, 91.16,-3.25
GTNTEX, EQ, 17-Jun-2020,5.95,6.2,6.2,5.9,6.0,6.0,5.96,5129,0.31,27, 4903, 95.59,0.84
GTNTEX, EQ, 18-Jun-2020,6.0,6.0,6.25,5.7,5.95,5.95,5.83,13996,0.82,25, 12746, 91.07,-0.83
GTNTEX, EQ, 19-Jun-2020,5.95,5.95,6.2,5.7, 6.10,6.05,5.87,58126,3.41,446, 41781, 71.88,1.68
GTNTEX, EQ, 22-Jun-2020,6.05,6.15,6.35,5.95, 6.25,6.25,6.16,43839,2.7,117, 39878, 90.96,3.31
GTNTEX, EQ, 23-Jun-2020,6.25,6.25,6.55,6.05, 6.55,6.55,6.29,41332,2.6,94, 28677, 69.38,4.8
GTNTEX, EQ, 24-Jun-2020,6.55,6.8,6.85,6.7,6.75,6.75,6.82,13844,0.94,63, 13093, 94.58,3.05
GTNTEX, EQ, 25-Jun-2020,6.75,7.05,7.05,6.5, 6.70,6.65,6.8,13123,0.89,65, 9347, 71.23,-1.48
GTNTEX, EQ, 26-Jun-2020,6.65,6.9,6.9,6.35, 6.40,6.4,6.45,64607,4.17,101, 46686, 72.26,-3.76
GTNTEX, EQ, 27-May-2020,4.8,5.0,5.0,4.6,4.6,4.6,4.74,7341,0.35,34, 5899, 80.36,-4.17
GTNTEX, EQ, 28-May-2020,4.6,4.8,4.8,4.8,4.8,4.8,4.8,5579,0.27,17, 4579, 82.08,4.35
GTNTEX, EQ, 28-Sep-2020,5.0,5.25,5.25,4.9,4.9,4.9,5.25,2064,0.11,15,2050,99.32,-2.0
GTNTEX, EQ, 29-May-2020,4.8,4.9,5.0,4.6, 5.00,4.9,4.8,27803,1.34,66, 16753, 60.26,2.08
GTNTEX, EQ, 29-Jun-2020,6.4,6.4,6.4,6.1, 6.20,6.15,6.19,9939,0.62,53, 7124, 71.68,-3.91
GTNTEX, EQ, 30-Jun-2020,6.15,6.35,6.45,6.25, 6.45,6.45,6.4,8456,0.54,45, 6655, 78.70,4.88
