SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
GTPL, EQ, 01-Jan-2020,73.5,73.15,77.75,73.05, 77.05,77.15,75.53,38274,28.91,624, 28530, 74.54,4.97
GTPL, EQ, 01-Jan-2021,133.8,133.8,139.7,132.3, 137.60,137.25,137.12,298537,409.35,4468, 132846, 44.50,2.58
GTPL, EQ, 01-Jan-2024,191.1,192.7,194.4,185.05, 188.00,187.65,189.51,138236,261.96,5091, 67678, 48.96,-1.81
GTPL, EQ, 01-Jan-2025,137.11,138.04,139.88,136.21,139.0,137.28,137.95,11376,15.69,633, 4826, 42.42,0.12
GTPL, EQ, 01-Feb-2021,127.2,127.2,138.6,121.8, 136.50,136.15,130.26,329120,428.72,7247, 152720, 46.40,7.04
GTPL, EQ, 01-Feb-2022,245.05,248.0,249.2,241.65,243.8,243.35,244.98,38839,95.15,2016, 20085, 51.71,-0.69
GTPL, EQ, 01-Feb-2023,124.35,123.25,125.65,120.95, 121.10,121.3,122.81,57646,70.8,1120, 33123, 57.46,-2.45
GTPL, EQ, 01-Feb-2024,195.1,196.45,201.05,191.0, 193.15,192.25,193.66,111482,215.9,6574, 30636, 27.48,-1.46
GTPL, EQ, 01-Mar-2021,122.25,124.0,127.55,122.0, 123.20,123.55,124.39,183292,227.99,2533, 58898, 32.13,1.06
GTPL, EQ, 01-Mar-2023,110.9,110.55,115.0,110.55, 113.70,113.7,113.69,60581,68.87,891, 45279, 74.74,2.52
GTPL, EQ, 01-Mar-2024,188.25,189.95,205.95,189.95, 196.00,197.05,197.16,208513,411.11,11683, 57361, 27.51,4.67
GTPL, EQ, 01-Apr-2020,41.75,44.0,44.9,41.15,43.6,43.8,43.08,65937,28.4,1025, 50389, 76.42,4.91
GTPL, EQ, 01-Apr-2021,119.75,123.6,125.75,121.15, 124.30,124.55,124.18,121598,151.0,1417, 76537, 62.94,4.01
GTPL, EQ, 01-Apr-2022,173.3,176.0,186.0,173.25, 185.00,183.2,181.58,239682,435.21,3964, 139904, 58.37,5.71
GTPL, EQ, 01-Apr-2024,166.5,167.35,175.85,167.35, 174.90,174.7,172.78,55895,96.57,2781, 26846, 48.03,4.92
GTPL, EQ, 01-Apr-2025,108.26,109.15,111.95,108.47,110.3,111.03,110.13,43117,47.48,1876, 17465, 40.51,2.56
GTPL, EQ, 01-Jun-2020,44.05,44.05,45.7,43.45, 44.70,44.6,44.98,34745,15.63,402, 18179, 52.32,1.25
GTPL, EQ, 01-Jun-2021,138.3,141.6,141.65,137.0, 138.45,137.45,138.16,49871,68.9,1003, 35467, 71.12,-0.61
GTPL, EQ, 01-Jun-2022,162.9,160.05,162.35,158.75,160.0,160.35,160.5,32682,52.45,1014, 15539, 47.55,-1.57
GTPL, EQ, 01-Jun-2023,106.0,106.0,109.8,105.45, 108.80,108.15,108.21,53385,57.77,867, 31392, 58.80,2.03
GTPL, EQ, 01-Jul-2020,67.0,68.05,68.5,66.3, 66.60,66.6,67.05,34475,23.11,591, 19111, 55.43,-0.6
GTPL, EQ, 01-Jul-2021,182.9,184.0,186.55,180.0, 182.95,181.6,182.66,80959,147.88,2573, 40600, 50.15,-0.71
GTPL, EQ, 01-Jul-2022,145.0,142.2,149.0,142.2,147.0,147.5,145.2,14766,21.44,404, 11384, 77.10,1.72
GTPL, EQ, 01-Jul-2024,175.78,174.6,180.51,174.6,177.8,178.11,178.17,64211,114.41,3396, 27344, 42.58,1.33
GTPL, EQ, 01-Aug-2022,158.65,160.0,165.3,157.85, 165.00,164.1,161.61,92207,149.01,2332, 55191, 59.86,3.44
GTPL, EQ, 01-Aug-2023,133.6,133.6,136.3,132.1, 134.90,134.5,134.61,52117,70.16,1482, 26067, 50.02,0.67
GTPL, EQ, 01-Aug-2024,167.34,168.64,169.0,164.45,165.5,164.96,165.99,53063,88.08,3338, 30999, 58.42,-1.42
GTPL, EQ, 01-Sep-2020,98.45,98.05,103.0,85.7, 92.65,91.9,92.86,148334,137.74,2256, 95373, 64.30,-6.65
GTPL, EQ, 01-Sep-2021,230.4,232.25,233.0,225.0,226.55,226.05,229.2,49005,112.32,2614, 20874, 42.60,-1.89
GTPL, EQ, 01-Sep-2022,171.0,170.5,176.25,169.9,175.0,174.7,173.03,44311,76.67,1259, 22512, 50.80,2.16
GTPL, EQ, 01-Sep-2023,152.4,157.9,157.9,152.45, 154.40,153.85,153.95,86625,133.36,2276, 28616, 33.03,0.95
GTPL, EQ, 01-Oct-2020,86.3,86.3,88.5,86.0, 87.60,87.8,87.08,29940,26.07,463, 17963, 60.00,1.74
GTPL, EQ, 01-Oct-2021,254.25,256.0,305.1,242.55, 292.90,293.6,286.02,3373182,9647.95,68789, 933832, 27.68,15.48
GTPL, EQ, 01-Oct-2024,166.56,166.5,169.56,164.51,165.5,165.78,166.95,41401,69.12,1160, 22456, 54.24,-0.47
GTPL, EQ, 01-Nov-2021,260.35,268.0,268.0,260.6, 266.20,265.55,264.29,51724,136.7,2446, 23642, 45.71,2.0
GTPL, EQ, 01-Nov-2022,139.4,141.9,141.9,139.4,140.0,139.8,140.08,34783,48.72,622, 28524, 82.01,0.29
GTPL, EQ, 01-Nov-2023,159.65,158.0,162.95,158.0, 158.60,159.85,159.57,34290,54.72,1349, 20299, 59.20,0.13
