SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
GUJTHEM, EQ, 01-Apr-2025,281.91,277.7,285.85,268.1,272.25,272.0,274.19,93390,256.06,6604, 29353, 31.43,-3.52
GUJTHEM, EQ, 02-Apr-2025,272.0,274.9,274.95,268.85,274.0,272.85,272.56,185378,505.26,3045, 162796, 87.82,0.31
GUJTHEM, EQ, 03-Mar-2025,218.91,228.73,245.0,208.0,240.0,238.59,226.17,109454,247.56,4126, 65073, 59.45,8.99
GUJTHEM, EQ, 03-Apr-2025,272.85,272.0,289.9,268.1,280.1,282.2,280.39,243128,681.7,7807, 104637, 43.04,3.43
GUJTHEM, EQ, 04-Mar-2025,238.59,235.0,264.1,229.99,259.74,262.7,250.78,568219,1425.0,7683, 393203, 69.20,10.11
GUJTHEM, EQ, 04-Apr-2025,282.2,284.45,284.45,260.5,262.5,262.45,267.37,80958,216.46,5523, 39387, 48.65,-7.0
GUJTHEM, EQ, 05-Mar-2025,262.7,258.75,274.9,252.01,269.75,272.63,265.84,140229,372.78,6316, 54577, 38.92,3.78
GUJTHEM, EQ, 06-Mar-2025,272.63,272.63,281.69,260.2,260.5,262.33,270.09,39230,105.96,3250, 19541, 49.81,-3.78
GUJTHEM, EQ, 07-Mar-2025,262.33,260.5,269.7,252.5,256.0,255.46,259.72,69388,180.21,4210, 48501, 69.90,-2.62
GUJTHEM, EQ, 07-Apr-2025,262.45,235.5,252.05,222.05,246.95,248.4,238.41,211863,505.1,11838, 82611, 38.99,-5.35
GUJTHEM, EQ, 08-Apr-2025,248.4,252.15,269.8,250.0,256.7,253.1,255.6,61178,156.37,4582, 23409, 38.26,1.89
GUJTHEM, EQ, 09-Apr-2025,253.1,250.2,254.95,243.9,246.75,246.05,246.39,33562,82.69,2528, 15775, 47.00,-2.79
GUJTHEM, EQ, 10-Mar-2025,255.46,259.3,259.75,246.61,249.7,248.6,253.57,20377,51.67,2207, 9717, 47.69,-2.69
GUJTHEM, EQ, 11-Mar-2025,248.6,248.6,251.69,236.71,250.5,247.57,244.71,58517,143.2,3885, 36710, 62.73,-0.41
GUJTHEM, EQ, 11-Apr-2025,246.05,256.0,272.0,251.25,263.5,264.6,261.37,137563,359.55,8271, 51770, 37.63,7.54
GUJTHEM, EQ, 12-Mar-2025,247.57,251.03,251.03,233.41,240.0,244.03,238.67,234856,560.52,26660, 131713, 56.08,-1.43
GUJTHEM, EQ, 13-Mar-2025,244.03,240.35,263.0,236.78,251.0,248.14,244.85,107057,262.13,4248, 53041, 49.54,1.68
GUJTHEM, EQ, 15-Apr-2025,264.6,271.05,287.15,271.0,278.8,278.5,281.36,221950,624.48,11599, 148652, 66.98,5.25
GUJTHEM, EQ, 16-Apr-2025,278.5,279.75,295.0,272.25,288.2,290.15,285.07,113207,322.72,8232, 51475, 45.47,4.18
GUJTHEM, EQ, 17-Mar-2025,248.14,242.12,273.4,242.12,256.06,258.18,261.22,144268,376.86,9072, 61782, 42.82,4.05
GUJTHEM, EQ, 17-Apr-2025,290.15,288.25,330.45,282.05,308.55,315.95,308.54,1537996,4745.29,53005, 722883, 47.00,8.89
GUJTHEM, EQ, 18-Mar-2025,258.18,267.0,273.0,251.75,257.9,255.16,263.1,100603,264.68,6048, 33722, 33.52,-1.17
GUJTHEM, EQ, 19-Mar-2025,255.16,259.0,269.0,250.0,251.25,254.6,258.85,80524,208.43,5014, 42179, 52.38,-0.22
GUJTHEM, EQ, 20-Mar-2025,254.6,252.01,259.48,251.63,253.02,253.51,253.23,326626,827.11,22789, 166955, 51.12,-0.43
GUJTHEM, EQ, 21-Mar-2025,253.51,255.25,257.18,252.1,254.88,254.34,254.46,33668,85.67,3543, 17503, 51.99,0.33
GUJTHEM, EQ, 21-Apr-2025,315.95,310.0,322.0,303.15,313.0,315.55,310.28,202332,627.79,12958, 94684, 46.80,-0.13
GUJTHEM, EQ, 22-Apr-2025,315.55,313.55,317.7,303.0,304.0,304.55,309.2,93426,288.87,7323, 44583, 47.72,-3.49
GUJTHEM, EQ, 23-Apr-2025,304.55,310.0,314.4,300.85,306.0,306.0,305.24,51857,158.29,4554, 19349, 37.31,0.48
GUJTHEM, EQ, 24-Mar-2025,254.34,258.4,298.7,256.41,286.5,289.75,275.57,718925,1981.15,21698, 346046, 48.13,13.92
GUJTHEM, EQ, 24-Apr-2025,306.0,305.0,308.15,295.0,296.9,296.6,299.92,65629,196.84,5064, 33971, 51.76,-3.07
GUJTHEM, EQ, 25-Feb-2025,248.55,269.85,269.85,240.14,243.0,243.46,249.43,33559,83.71,1179, 15564, 46.38,-2.05
GUJTHEM, EQ, 25-Mar-2025,289.75,289.5,295.0,268.37,286.37,285.29,281.15,614103,1726.57,19513, 434437, 70.74,-1.54
GUJTHEM, EQ, 25-Apr-2025,296.6,296.55,305.1,280.0,283.5,283.2,284.11,144170,409.6,8667, 69722, 48.36,-4.52
GUJTHEM, EQ, 26-Mar-2025,285.29,285.5,288.99,280.62,285.1,286.14,286.0,162916,465.94,4519, 89607, 55.00,0.3
GUJTHEM, EQ, 27-Feb-2025,243.46,243.46,255.0,231.12,231.55,233.63,242.59,24659,59.82,1916, 15538, 63.01,-4.04
GUJTHEM, EQ, 27-Mar-2025,286.14,285.0,300.62,273.42,292.5,296.3,286.45,387109,1108.89,18089, 155469, 40.16,3.55
GUJTHEM, EQ, 28-Feb-2025,233.63,238.98,238.98,212.93,224.0,218.91,224.33,163276,366.28,6112, 109630, 67.14,-6.3
GUJTHEM, EQ, 28-Mar-2025,296.3,291.85,298.0,277.0,280.0,281.91,284.73,79717,226.98,5127, 41091, 51.55,-4.86
