SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
HCG, EQ, 01-Jan-2020,104.4,108.75,108.75,103.4, 104.25,104.25,104.26,5200,5.42,376, 4512, 86.77,-0.14
HCG, EQ, 01-Jan-2021,162.75,163.9,166.9,162.2, 163.50,164.25,164.52,32520,53.5,1079, 12246, 37.66,0.92
HCG, EQ, 01-Jan-2024,365.5,364.15,368.7,362.0, 365.75,365.3,365.6,38014,138.98,3132, 16499, 43.40,-0.05
HCG, EQ, 01-Jan-2025,489.15,492.0,493.6,482.55,484.8,485.0,487.58,67735,330.26,3013, 24251, 35.80,-0.85
HCG, EQ, 01-Feb-2021,152.15,157.8,157.8,151.95, 153.00,152.7,154.05,90802,139.88,2289, 54673, 60.21,0.36
HCG, EQ, 01-Feb-2022,248.0,250.5,254.9,244.9,249.7,247.9,248.96,72275,179.94,1739, 49676, 68.73,-0.04
HCG, EQ, 01-Feb-2023,283.95,282.9,288.6,277.7, 282.00,282.05,284.62,60828,173.13,3821, 37862, 62.24,-0.67
HCG, EQ, 01-Feb-2024,372.05,372.0,374.6,362.5, 365.30,363.55,366.01,262646,961.31,11609, 180673, 68.79,-2.28
HCG, EQ, 01-Mar-2021,168.8,170.0,171.0,166.0, 167.00,167.95,168.35,102585,172.7,1030, 59665, 58.16,-0.5
HCG, EQ, 01-Mar-2023,279.3,280.15,280.15,273.4, 275.40,274.8,275.89,50316,138.82,3179, 34958, 69.48,-1.61
HCG, EQ, 01-Mar-2024,361.65,359.8,362.15,346.1, 347.00,348.2,352.42,527032,1857.35,14236, 371139, 70.42,-3.72
HCG, EQ, 01-Apr-2020,74.1,77.4,77.4,72.8,74.5,73.55,73.55,13014,9.57,436, 10474, 80.48,-0.74
HCG, EQ, 01-Apr-2021,190.5,192.4,193.8,184.05, 187.90,187.05,188.97,215841,407.87,6231, 72271, 33.48,-1.81
HCG, EQ, 01-Apr-2022,269.9,268.0,292.7,268.0, 275.00,275.4,283.04,768345,2174.71,20030, 203017, 26.42,2.04
HCG, EQ, 01-Apr-2024,337.85,334.1,346.0,331.9, 335.05,336.9,338.2,160007,541.15,9381, 77451, 48.40,-0.28
HCG, EQ, 01-Apr-2025,542.1,547.0,547.95,527.05,529.55,529.3,535.52,170811,914.73,14144, 73513, 43.04,-2.36
HCG, EQ, 01-Jun-2020,100.45,100.5,113.7,100.3, 112.50,111.75,108.22,685185,741.54,2754, 461320, 67.33,11.25
HCG, EQ, 01-Jun-2021,182.8,187.0,187.0,181.25, 181.50,181.75,182.83,44587,81.52,1153, 29517, 66.20,-0.57
HCG, EQ, 01-Jun-2022,280.85,281.55,281.85,275.8,279.35,278.2,278.64,54198,151.02,1996, 35156, 64.87,-0.94
HCG, EQ, 01-Jun-2023,315.4,315.4,324.5,315.1, 322.80,320.4,320.2,832348,2665.2,10690, 462797, 55.60,1.59
HCG, EQ, 01-Jul-2020,122.8,123.45,123.45,122.0, 122.00,122.05,122.3,73448,89.83,496, 63491, 86.44,-0.61
HCG, EQ, 01-Jul-2021,224.0,226.5,226.5,212.4, 215.30,217.55,220.36,349783,770.8,12981, 63782, 18.23,-2.88
HCG, EQ, 01-Jul-2022,278.05,275.2,282.0,270.25,273.0,277.3,274.8,218007,599.08,3619, 109206, 50.09,-0.27
HCG, EQ, 01-Jul-2024,380.0,380.5,383.9,374.2,378.0,377.7,377.92,221998,838.97,8983, 125722, 56.63,-0.61
HCG, EQ, 01-Aug-2022,269.5,272.65,274.95,265.25, 266.15,266.05,268.8,52943,142.31,2247, 35405, 66.87,-1.28
HCG, EQ, 01-Aug-2023,323.7,320.6,347.4,320.6, 345.00,344.6,340.35,735854,2504.47,13016, 320166, 43.51,6.46
HCG, EQ, 01-Aug-2024,353.15,357.4,367.0,354.55,360.0,359.6,360.08,323863,1166.17,15048, 201714, 62.28,1.83
HCG, EQ, 01-Sep-2020,121.35,115.15,125.35,115.1, 118.50,118.3,119.72,43451,52.02,871, 17996, 41.42,-2.51
HCG, EQ, 01-Sep-2021,239.5,241.0,242.9,230.7,234.75,233.25,237.96,152079,361.88,6944, 68157, 44.82,-2.61
HCG, EQ, 01-Sep-2022,273.5,274.05,277.0,271.4,276.0,273.3,273.9,61321,167.96,1939, 31974, 52.14,-0.07
HCG, EQ, 01-Sep-2023,351.0,350.0,356.35,349.8, 349.95,350.45,353.35,161771,571.61,6645, 85737, 53.00,-0.16
HCG, EQ, 01-Oct-2020,120.15,123.0,123.25,119.0, 120.25,120.3,121.27,16869,20.46,385, 10970, 65.03,0.12
HCG, EQ, 01-Oct-2021,247.4,245.9,247.75,240.3, 246.05,245.4,244.44,88712,216.85,6433, 37291, 42.04,-0.81
HCG, EQ, 01-Oct-2024,419.2,419.95,420.85,413.1,416.55,416.0,417.36,60743,253.52,3197, 31154, 51.29,-0.76
HCG, EQ, 01-Nov-2021,225.6,225.45,243.9,225.45, 240.00,239.95,236.22,131599,310.87,6009, 64523, 49.03,6.36
HCG, EQ, 01-Nov-2022,288.25,290.15,292.05,281.1,283.5,283.55,287.88,169951,489.25,6786, 67424, 39.67,-1.63
HCG, EQ, 01-Nov-2023,370.45,372.1,377.8,358.1, 371.95,370.7,367.32,143072,525.53,8381, 65357, 45.68,0.07
HCG, EQ, 01-Dec-2020,147.95,150.0,152.0,144.4,149.0,149.0,148.7,130895,194.64,4137, 83709, 63.95,0.71
HCG, EQ, 01-Dec-2021,253.05,251.05,254.8,246.55,251.0,250.2,250.64,108609,272.22,5741, 52476, 48.32,-1.13
HCG, EQ, 01-Dec-2022,295.85,297.3,304.0,295.85,303.15,303.1,301.56,195004,588.06,6685, 125430, 64.32,2.45
HCG, EQ, 01-Dec-2023,369.7,370.1,372.3,365.0, 365.05,365.8,368.62,87538,322.68,5024, 47680, 54.47,-1.05
HCG, EQ, 02-Jan-2020,104.25,106.5,109.5,103.0, 108.95,107.95,107.08,56843,60.87,792, 51916, 91.33,3.55
HCG, EQ, 02-Jan-2023,287.45,292.0,292.0,283.8, 283.80,284.4,285.94,58716,167.89,3438, 39046, 66.50,-1.06
HCG, EQ, 02-Jan-2024,365.3,365.1,382.0,364.25, 371.00,369.8,372.59,259556,967.08,15976, 87088, 33.55,1.23
HCG, EQ, 02-Jan-2025,485.0,485.0,488.0,480.75,484.0,484.35,485.23,80871,392.41,4272, 48528, 60.01,-0.13
HCG, EQ, 02-Feb-2021,152.7,155.95,156.85,150.5, 152.00,150.95,152.88,98440,150.49,3411, 53499, 54.35,-1.15
HCG, EQ, 02-Feb-2022,247.9,249.0,253.7,247.0, 247.65,248.5,249.85,118510,296.1,3471, 66413, 56.04,0.24
HCG, EQ, 02-Feb-2023,282.05,282.05,287.0,275.1, 286.50,285.1,281.4,66023,185.79,6416, 38364, 58.11,1.08
HCG, EQ, 02-Feb-2024,363.55,365.4,366.0,358.0, 359.90,359.55,362.93,102279,371.2,5880, 69418, 67.87,-1.1
HCG, EQ, 02-Mar-2020,111.1,110.5,114.85,110.0, 112.00,110.6,111.96,257364,288.14,1534, 255062, 99.11,-0.45
HCG, EQ, 02-Mar-2021,167.95,168.0,170.5,166.75,169.0,169.55,168.77,50799,85.73,708, 38837, 76.45,0.95
HCG, EQ, 02-Mar-2022,228.2,230.95,231.95,224.3, 225.50,225.2,226.53,61069,138.34,3567, 27197, 44.53,-1.31
HCG, EQ, 02-Mar-2023,274.8,274.85,275.95,270.0, 275.25,274.95,272.6,109716,299.08,6401, 79263, 72.24,0.05
HCG, EQ, 02-Apr-2024,336.9,337.95,343.95,336.75, 343.30,342.25,340.12,122972,418.25,5077, 78727, 64.02,1.59
HCG, EQ, 02-Apr-2025,529.3,529.4,533.95,516.0,528.4,528.9,524.05,112658,590.38,9354, 53958, 47.90,-0.08
HCG, EQ, 02-May-2022,281.85,280.0,291.0,276.65,289.05,289.25,283.65,73542,208.6,3292, 38186, 51.92,2.63
HCG, EQ, 02-May-2023,270.0,270.7,275.0,268.35, 270.00,270.2,270.19,46376,125.31,2731, 26250, 56.60,0.07
HCG, EQ, 02-May-2024,366.05,367.9,369.4,353.0, 358.80,355.95,358.09,301248,1078.73,14883, 162761, 54.03,-2.76
HCG, EQ, 02-Jun-2020,111.75,116.0,118.5,114.95,115.6,116.65,116.4,1182178,1376.11,3893, 1002566, 84.81,4.38
HCG, EQ, 02-Jun-2021,181.75,181.05,188.7,181.05, 183.70,183.6,184.62,48277,89.13,1305, 14197, 29.41,1.02
HCG, EQ, 02-Jun-2022,278.2,280.95,286.85,273.5,284.0,282.5,282.24,98116,276.92,3112, 49916, 50.87,1.55
HCG, EQ, 02-Jun-2023,320.4,323.0,323.0,315.0, 319.60,317.7,317.95,214003,680.42,5796, 137877, 64.43,-0.84
HCG, EQ, 02-Jul-2020,122.05,122.05,122.9,121.1, 121.10,121.65,122.25,56107,68.59,323, 44534, 79.37,-0.33
HCG, EQ, 02-Jul-2021,217.55,219.35,229.1,216.3,218.6,221.55,223.59,278034,621.65,9097, 81602, 29.35,1.84
HCG, EQ, 02-Jul-2024,377.7,378.4,379.9,372.25,375.0,374.75,376.67,164568,619.87,6149, 100708, 61.20,-0.78
HCG, EQ, 02-Aug-2021,250.2,257.0,262.9,251.75,256.35,257.75,258.17,1016756,2625.01,13144, 458367, 45.08,3.02
HCG, EQ, 02-Aug-2022,266.05,267.7,275.8,264.75,274.0,273.95,271.14,112321,304.54,2516, 61385, 54.65,2.97
HCG, EQ, 02-Aug-2023,344.6,347.45,347.5,330.05, 338.00,335.8,340.12,206049,700.81,9310, 106629, 51.75,-2.55
HCG, EQ, 02-Aug-2024,359.6,359.6,363.8,357.25,363.0,362.75,361.76,145278,525.56,9157, 104335, 71.82,0.88
HCG, EQ, 02-Sep-2020,118.3,123.95,123.95,118.1, 119.90,118.65,119.12,19079,22.73,374, 10559, 55.34,0.3
HCG, EQ, 02-Sep-2021,233.25,236.8,240.1,233.25, 235.00,234.6,236.87,133542,316.32,5290, 76498, 57.28,0.58
HCG, EQ, 02-Sep-2022,273.3,274.95,275.05,268.0,268.75,269.0,270.4,48528,131.22,2162, 28146, 58.00,-1.57
HCG, EQ, 02-Sep-2024,387.2,387.0,389.25,381.65,386.3,386.85,385.5,123200,474.94,7303, 71215, 57.80,-0.09
HCG, EQ, 02-Nov-2020,120.1,119.9,121.95,118.9, 120.00,120.05,120.09,21189,25.45,401, 11555, 54.53,-0.04
HCG, EQ, 02-Nov-2021,239.95,244.45,244.45,235.55, 237.05,237.9,238.26,119490,284.7,4771, 82645, 69.16,-0.85
HCG, EQ, 02-Nov-2022,283.55,287.3,292.75,281.3,291.0,291.1,288.74,185623,535.97,6286, 112191, 60.44,2.66
HCG, EQ, 02-Nov-2023,370.7,371.7,375.0,367.2, 369.10,372.3,371.23,66312,246.17,3370, 28568, 43.08,0.43
HCG, EQ, 02-Dec-2020,149.0,149.0,151.75,146.3, 149.50,150.15,149.09,116151,173.17,1601, 84407, 72.67,0.77
HCG, EQ, 02-Dec-2021,250.2,252.5,253.0,245.6, 249.00,247.95,249.52,104344,260.36,6835, 44918, 43.05,-0.9
HCG, EQ, 02-Dec-2022,303.1,304.85,306.45,300.45, 304.95,304.9,304.08,140818,428.2,3985, 111424, 79.13,0.59
HCG, EQ, 02-Dec-2024,502.4,497.4,510.4,492.65,496.0,499.9,501.59,254801,1278.06,20041, 149619, 58.72,-0.5
HCG, EQ, 03-Jan-2020,107.95,110.0,111.2,106.0, 108.00,106.8,108.36,13603,14.74,244, 11488, 84.45,-1.07
HCG, EQ, 03-Jan-2022,239.05,246.85,260.0,237.55, 245.00,245.05,249.11,385665,960.74,11600, 195477, 50.69,2.51
HCG, EQ, 03-Jan-2023,284.4,285.05,286.65,282.5, 284.75,284.15,283.99,42867,121.74,1402, 30692, 71.60,-0.09
HCG, EQ, 03-Jan-2024,369.8,371.65,379.0,368.0, 372.45,370.5,373.78,120145,449.08,6966, 63889, 53.18,0.19
HCG, EQ, 03-Jan-2025,484.35,488.9,488.9,480.25,483.9,482.3,484.14,51856,251.05,3482, 28740, 55.42,-0.42
HCG, EQ, 03-Feb-2020,113.3,115.0,117.9,111.35, 115.25,117.55,116.5,9999,11.65,167, 9450, 94.51,3.75
HCG, EQ, 03-Feb-2021,150.95,152.0,153.1,150.15, 151.00,151.25,151.61,56491,85.65,1387, 39299, 69.57,0.2
HCG, EQ, 03-Feb-2022,248.5,245.4,253.45,245.4, 249.00,249.35,250.24,116670,291.96,3270, 68370, 58.60,0.34
HCG, EQ, 03-Feb-2023,285.1,284.3,286.5,277.65, 282.00,283.1,280.56,74769,209.77,5316, 41114, 54.99,-0.7
HCG, EQ, 03-Feb-2025,512.3,567.7,567.7,515.55,519.0,522.6,538.41,1234784,6648.18,35843, 312718, 25.33,2.01
HCG, EQ, 03-Mar-2020,110.6,113.45,117.15,112.0, 115.00,114.9,114.33,34145,39.04,446, 25585, 74.93,3.89
HCG, EQ, 03-Mar-2021,169.55,169.85,170.7,166.0,169.25,169.15,167.85,70721,118.7,795, 55266, 78.15,-0.24
HCG, EQ, 03-Mar-2022,225.2,226.9,244.8,225.05,242.9,237.7,232.87,98024,228.27,4127, 59985, 61.19,5.55
HCG, EQ, 03-Mar-2023,274.95,274.75,278.95,271.1, 275.70,275.85,274.02,641076,1756.68,3323, 605738, 94.49,0.33
HCG, EQ, 03-Mar-2025,501.65,500.0,507.45,486.05,489.0,489.9,491.49,343491,1688.22,12270, 214951, 62.58,-2.34
HCG, EQ, 03-Apr-2020,73.55,73.15,74.9,72.0, 74.10,74.0,73.26,13452,9.86,326, 11255, 83.67,0.61
HCG, EQ, 03-Apr-2023,262.45,258.5,274.9,258.5, 271.50,273.2,267.9,68431,183.32,6258, 32762, 47.88,4.1
HCG, EQ, 03-Apr-2024,342.25,339.8,353.0,339.8, 349.20,349.1,348.06,177064,616.29,9463, 111652, 63.06,2.0
HCG, EQ, 03-Apr-2025,528.9,531.85,541.0,528.55,533.45,533.6,536.0,162884,873.05,12115, 78870, 48.42,0.89
HCG, EQ, 03-May-2021,177.6,182.0,197.7,180.9,193.0,194.0,189.18,264482,500.36,5315, 111560, 42.18,9.23
HCG, EQ, 03-May-2023,270.2,269.75,271.15,264.8,268.0,268.75,267.5,50695,135.61,4587, 23303, 45.97,-0.54
HCG, EQ, 03-May-2024,355.95,368.0,373.4,355.0, 370.00,369.35,365.17,923292,3371.58,28033, 451711, 48.92,3.76
HCG, EQ, 03-Jun-2020,116.65,118.5,119.8,113.05,114.7,114.0,114.95,1129718,1298.66,3566, 967531, 85.64,-2.27
HCG, EQ, 03-Jun-2021,183.6,185.9,186.7,181.15, 181.90,182.15,182.76,80457,147.04,2469, 47293, 58.78,-0.79
HCG, EQ, 03-Jun-2022,282.5,285.0,288.8,279.8, 285.80,283.5,283.29,284967,807.29,10849, 197039, 69.14,0.35
HCG, EQ, 03-Jun-2024,360.75,366.0,366.0,352.0,352.5,355.1,356.94,111561,398.2,5169, 61117, 54.78,-1.57
HCG, EQ, 03-Jul-2020,121.65,120.7,122.6,120.7, 121.45,121.5,121.81,38906,47.39,278, 21900, 56.29,-0.12
HCG, EQ, 03-Jul-2023,318.45,319.95,319.95,314.0, 316.30,317.1,316.96,67827,214.98,2236, 42344, 62.43,-0.42
HCG, EQ, 03-Jul-2024,374.75,378.0,381.9,373.5,376.0,374.25,378.3,312189,1181.0,6933, 224842, 72.02,-0.13
HCG, EQ, 03-Aug-2020,126.05,124.25,132.65,124.25,127.25,126.9,129.65,654194,848.14,2915, 549697, 84.03,0.67
HCG, EQ, 03-Aug-2021,257.75,256.85,261.0,250.15,251.15,254.75,257.87,217142,559.94,5887, 117123, 53.94,-1.16
HCG, EQ, 03-Aug-2022,273.95,273.95,275.9,271.55, 271.85,273.35,273.56,114403,312.96,2202, 83179, 72.71,-0.22
HCG, EQ, 03-Aug-2023,335.8,336.0,342.85,333.3, 341.00,341.7,339.61,106558,361.89,4482, 59802, 56.12,1.76
HCG, EQ, 03-Sep-2020,118.65,122.85,122.85,117.6, 120.00,119.6,120.63,29187,35.21,1242, 20737, 71.05,0.8
HCG, EQ, 03-Sep-2021,234.6,236.4,240.0,233.2, 237.30,236.8,236.58,132330,313.07,4578, 73149, 55.28,0.94
HCG, EQ, 03-Sep-2024,386.85,386.85,392.85,384.1,390.65,390.4,390.05,128991,503.13,4976, 65825, 51.03,0.92
HCG, EQ, 03-Oct-2022,286.1,286.1,293.65,283.15,286.25,288.05,289.76,229029,663.64,10198, 158970, 69.41,0.68
HCG, EQ, 03-Oct-2023,357.6,359.4,362.95,350.55, 356.00,357.6,355.59,164611,585.34,5757, 76744, 46.62,0.0
HCG, EQ, 03-Oct-2024,416.0,416.0,421.0,408.0,409.55,413.05,412.65,103492,427.06,3091, 60779, 58.73,-0.71
HCG, EQ, 03-Nov-2020,120.05,120.05,121.8,119.15,120.45,120.5,120.67,32552,39.28,674, 6505, 19.98,0.37
HCG, EQ, 03-Nov-2021,237.9,238.2,240.0,232.2, 232.50,232.7,235.8,69944,164.93,4461, 29266, 41.84,-2.19
HCG, EQ, 03-Nov-2022,291.1,289.0,300.45,287.9,298.15,299.15,296.3,304019,900.81,8452, 180041, 59.22,2.77
HCG, EQ, 03-Nov-2023,372.3,372.3,378.0,369.5, 375.75,375.25,374.13,90827,339.81,5246, 47161, 51.92,0.79
HCG, EQ, 03-Dec-2020,150.15,155.45,155.45,151.0,151.9,152.0,152.8,201720,308.23,3483, 152563, 75.63,1.23
HCG, EQ, 03-Dec-2021,247.95,250.45,254.2,246.2, 248.10,249.45,250.16,104183,260.63,6518, 41497, 39.83,0.6
HCG, EQ, 03-Dec-2024,499.9,498.0,514.4,495.0,510.0,509.55,507.1,349553,1772.6,22766, 205116, 58.68,1.93
HCG, EQ, 04-Jan-2021,164.25,164.5,167.0,162.9,163.95,163.4,164.76,82798,136.42,2231, 42902, 51.82,-0.52
HCG, EQ, 04-Jan-2022,245.05,247.75,250.0,242.45, 244.10,243.8,245.38,137006,336.19,4370, 78324, 57.17,-0.51
HCG, EQ, 04-Jan-2023,284.15,285.45,288.3,283.5, 283.50,284.15,285.64,65824,188.02,2196, 40898, 62.13,0.0
HCG, EQ, 04-Jan-2024,370.5,372.0,374.0,365.0, 367.00,366.9,369.31,73565,271.68,4793, 40108, 54.52,-0.97
HCG, EQ, 04-Feb-2020,117.55,119.95,120.0,114.25, 115.00,115.05,115.51,12108,13.99,223, 9210, 76.07,-2.13
HCG, EQ, 04-Feb-2021,151.25,150.3,156.5,150.3, 155.60,155.75,154.65,47965,74.18,1169, 31902, 66.51,2.98
HCG, EQ, 04-Feb-2022,249.35,248.0,257.5,247.8, 249.00,250.05,252.67,172258,435.24,4129, 87226, 50.64,0.28
HCG, EQ, 04-Feb-2025,522.6,529.0,535.0,520.25,529.05,530.8,527.82,205141,1082.77,12323, 109663, 53.46,1.57
HCG, EQ, 04-Mar-2020,114.9,112.0,115.85,111.6, 112.00,112.05,112.35,11295,12.69,174, 10007, 88.60,-2.48
HCG, EQ, 04-Mar-2021,169.15,171.9,171.9,167.1, 170.00,169.2,168.98,33963,57.39,773, 20814, 61.28,0.03
HCG, EQ, 04-Mar-2022,237.7,237.1,258.9,237.1, 245.10,246.15,249.08,912994,2274.09,19738, 307253, 33.65,3.55
HCG, EQ, 04-Mar-2024,351.45,356.9,356.9,342.1, 342.50,344.1,347.88,237994,827.94,11797, 156686, 65.84,-2.09
