SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
HDFCLOWVOL, EQ, 01-Jan-2024,17.36,17.36,17.9,17.3, 17.30,17.38,17.38,22716,3.95,192, 10788, 47.49,0.12
HDFCLOWVOL, EQ, 01-Jan-2025,19.54,19.74,19.75,19.35,19.6,19.46,19.47,5363,1.04,193, 3732, 69.59,-0.41
HDFCLOWVOL, EQ, 01-Feb-2023,133.0,134.8,134.8,130.5, 130.50,133.36,133.58,151,0.2,21, 144, 95.36,0.27
HDFCLOWVOL, EQ, 01-Feb-2024,17.49,17.9,17.9,17.49, 17.49,17.58,17.59,19834,3.49,142, 19806, 99.86,0.51
HDFCLOWVOL, EQ, 01-Mar-2023,128.2,128.61,128.61,128.61, 128.61,128.61,128.61,100,0.13,2, 100, 100.00,0.32
HDFCLOWVOL, EQ, 01-Mar-2024,18.08,18.08,18.53,17.8, 18.28,18.25,18.3,19555,3.58,190, 14392, 73.60,0.94
HDFCLOWVOL, EQ, 01-Apr-2024,18.3,18.64,18.67,18.31, 18.66,18.4,18.44,20447,3.77,194, 16026, 78.38,0.55
HDFCLOWVOL, EQ, 01-Apr-2025,19.08,19.3,19.3,18.3,18.85,18.87,18.96,5638,1.07,148, 4929, 87.42,-1.1
HDFCLOWVOL, EQ, 01-Jun-2023,139.5,139.42,140.55,139.42, 140.55,140.55,140.17,382,0.54,20, 98, 25.65,0.75
HDFCLOWVOL, EQ, 01-Jul-2024,19.26,19.26,19.65,19.1,19.3,19.31,19.34,28422,5.5,273, 25337, 89.15,0.26
HDFCLOWVOL, EQ, 01-Aug-2023,151.0,147.05,151.25,147.05, 151.06,151.03,151.19,3058,4.62,19, 3018, 98.69,0.02
HDFCLOWVOL, EQ, 01-Aug-2024,20.44,20.44,20.54,20.03,20.39,20.4,20.41,30289,6.18,227, 21202, 70.00,-0.2
HDFCLOWVOL, EQ, 01-Sep-2023,148.31,148.79,149.43,148.38, 148.94,149.0,148.91,429,0.64,18, 303, 70.63,0.47
HDFCLOWVOL, EQ, 01-Oct-2024,21.74,22.05,22.05,21.57,21.73,21.72,21.71,20724,4.5,313, 15911, 76.78,-0.09
HDFCLOWVOL, EQ, 01-Nov-2022,125.37,126.15,134.01,126.15,129.12,129.45,129.71,29186,37.86,86, 27333, 93.65,3.25
HDFCLOWVOL, EQ, 01-Nov-2023,14.97,15.25,15.25,14.9, 14.93,14.93,14.99,1015,0.15,75, 920, 90.64,-0.27
HDFCLOWVOL, EQ, 01-Dec-2022,137.0,137.0,137.6,136.95,136.95,137.27,137.19,314,0.43,10, 310, 98.73,0.2
HDFCLOWVOL, EQ, 01-Dec-2023,17.44,17.27,17.27,15.86, 16.15,16.12,16.11,148016,23.85,421, 136305, 92.09,-7.57
HDFCLOWVOL, EQ, 02-Jan-2023,131.92,132.0,133.9,130.8, 132.88,132.88,133.62,115,0.15,16, 108, 93.91,0.73
HDFCLOWVOL, EQ, 02-Jan-2024,17.38,17.38,17.45,17.21, 17.45,17.41,17.29,34103,5.9,145, 5128, 15.04,0.17
HDFCLOWVOL, EQ, 02-Jan-2025,19.46,19.68,19.85,19.47,19.81,19.81,19.73,21916,4.32,187, 19039, 86.87,1.8
HDFCLOWVOL, EQ, 02-Feb-2023,133.36,132.55,133.8,128.88, 133.80,133.8,130.25,61,0.08,37, 41, 67.21,0.33
HDFCLOWVOL, EQ, 02-Feb-2024,17.58,17.95,17.95,17.58, 17.62,17.72,17.73,15612,2.77,175, 8087, 51.80,0.8
HDFCLOWVOL, EQ, 02-Mar-2023,128.61,129.9,129.9,129.9, 129.90,129.9,129.9,90,0.12,4, 90, 100.00,1.0
HDFCLOWVOL, EQ, 02-Apr-2024,18.4,18.41,18.69,18.3, 18.69,18.37,18.37,51170,9.4,215, 49066, 95.89,-0.16
HDFCLOWVOL, EQ, 02-Apr-2025,18.87,19.15,19.15,18.7,18.95,19.0,18.91,6091,1.15,112, 4064, 66.72,0.69
HDFCLOWVOL, EQ, 02-May-2023,134.98,137.0,137.0,134.0, 135.39,135.39,134.55,643,0.87,25, 505, 78.54,0.3
HDFCLOWVOL, EQ, 02-May-2024,18.04,18.04,18.45,17.55, 18.20,18.15,18.12,13345,2.42,210, 9771, 73.22,0.61
HDFCLOWVOL, EQ, 02-Jun-2023,140.55,140.55,140.55,140.55, 140.55,140.55,140.55,8,0.01,2, 8, 100.00,0.0
HDFCLOWVOL, EQ, 02-Jul-2024,19.31,19.45,19.45,19.1,19.24,19.2,19.26,30694,5.91,278, 26863, 87.52,-0.57
HDFCLOWVOL, EQ, 02-Aug-2023,151.03,149.81,151.49,149.81, 150.75,150.7,150.45,928,1.4,30, 688, 74.14,-0.22
HDFCLOWVOL, EQ, 02-Aug-2024,20.4,20.81,21.47,20.23,20.23,20.26,20.35,27169,5.53,215, 23735, 87.36,-0.69
HDFCLOWVOL, EQ, 02-Sep-2024,20.86,21.3,21.87,20.9,21.0,21.02,21.04,45125,9.49,301, 40679, 90.15,0.77
HDFCLOWVOL, EQ, 02-Nov-2022,129.45,130.19,133.8,128.51,130.0,128.85,129.68,4150,5.38,103, 2721, 65.57,-0.46
HDFCLOWVOL, EQ, 02-Nov-2023,14.93,15.3,15.3,14.89, 14.99,14.98,14.97,2298,0.34,88, 1993, 86.73,0.33
HDFCLOWVOL, EQ, 02-Dec-2022,137.27,136.4,136.99,134.3, 135.18,135.18,135.27,213,0.29,26, 121, 56.81,-1.52
HDFCLOWVOL, EQ, 02-Dec-2024,19.64,19.88,19.89,19.35,19.71,19.75,19.72,19055,3.76,265, 15091, 79.20,0.56
HDFCLOWVOL, EQ, 03-Jan-2023,132.88,131.8,133.0,129.8, 132.00,132.0,130.84,92,0.12,20, 51, 55.43,-0.66
HDFCLOWVOL, EQ, 03-Jan-2024,17.41,17.75,17.84,17.23, 17.30,17.29,17.31,21488,3.72,209, 15403, 71.68,-0.69
HDFCLOWVOL, EQ, 03-Jan-2025,19.81,19.82,19.82,19.65,19.75,19.78,19.75,14810,2.92,157, 11620, 78.46,-0.15
HDFCLOWVOL, EQ, 03-Feb-2023,133.8,131.8,134.2,130.3, 131.90,131.9,131.73,28,0.04,15, 22, 78.57,-1.42
HDFCLOWVOL, EQ, 03-Feb-2025,19.65,19.5,21.0,19.23,19.41,19.51,19.64,40142,7.88,226, 11846, 29.51,-0.71
HDFCLOWVOL, EQ, 03-Mar-2023,129.9,129.6,130.9,128.25, 128.55,128.57,129.53,428,0.55,21, 210, 49.07,-1.02
HDFCLOWVOL, EQ, 03-Mar-2025,18.21,18.32,18.32,18.06,18.18,18.16,18.15,10370,1.88,157, 9886, 95.33,-0.27
HDFCLOWVOL, EQ, 03-Apr-2023,129.09,130.0,130.76,129.23, 129.42,129.42,130.27,229,0.3,7, 107, 46.72,0.26
HDFCLOWVOL, EQ, 03-Apr-2024,18.37,18.38,18.69,18.23, 18.68,18.29,18.31,54172,9.92,262, 35691, 65.88,-0.44
HDFCLOWVOL, EQ, 03-Apr-2025,19.0,18.95,19.1,18.74,18.94,18.9,18.89,2048,0.39,103, 1402, 68.46,-0.53
