SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
HDFCMOMENT, EQ, 01-Jan-2024,27.4,28.08,28.25,27.44, 27.45,27.5,27.56,27379,7.55,239, 21360, 78.02,0.36
HDFCMOMENT, EQ, 01-Jan-2025,33.1,32.61,33.47,32.52,33.2,33.12,33.08,183936,60.84,1449, 96649, 52.54,0.06
HDFCMOMENT, EQ, 01-Feb-2023,185.0,185.0,188.56,181.0, 181.00,181.0,186.66,481,0.9,41, 463, 96.26,-2.16
HDFCMOMENT, EQ, 01-Feb-2024,29.08,29.2,31.0,28.73, 28.97,29.15,29.0,54535,15.82,583, 31941, 58.57,0.24
HDFCMOMENT, EQ, 01-Mar-2023,178.87,181.0,183.27,181.0, 183.27,182.0,182.0,504,0.92,4, 503, 99.80,1.75
HDFCMOMENT, EQ, 01-Mar-2024,30.03,30.57,30.58,29.83, 30.30,30.47,30.49,315086,96.06,936, 280818, 89.12,1.47
HDFCMOMENT, EQ, 01-Apr-2024,30.8,30.81,31.5,30.6, 31.30,31.25,31.25,232517,72.67,1074, 169458, 72.88,1.46
HDFCMOMENT, EQ, 01-Apr-2025,28.26,28.26,28.49,27.8,28.1,27.91,28.06,261087,73.26,1752, 148568, 56.90,-1.24
HDFCMOMENT, EQ, 01-Jun-2023,203.71,204.31,205.7,203.1, 203.10,203.19,203.97,5246,10.7,41, 4442, 84.67,-0.26
HDFCMOMENT, EQ, 01-Jul-2024,35.66,35.79,35.85,35.4,35.73,35.71,35.69,326126,116.39,1605, 202950, 62.23,0.14
HDFCMOMENT, EQ, 01-Aug-2023,223.48,225.0,225.0,221.11, 221.26,221.26,223.23,1246,2.78,37, 1056, 84.75,-0.99
HDFCMOMENT, EQ, 01-Aug-2024,37.05,37.05,37.39,36.8,36.94,36.91,37.01,241655,89.45,1625, 154463, 63.92,-0.38
HDFCMOMENT, EQ, 01-Sep-2023,229.49,236.35,236.93,221.51, 236.93,231.93,223.9,1993,4.46,88, 936, 46.96,1.06
HDFCMOMENT, EQ, 01-Oct-2024,37.97,38.58,38.58,37.86,38.33,38.1,38.08,243879,92.88,2614, 134804, 55.27,0.34
HDFCMOMENT, EQ, 01-Nov-2022,190.85,192.0,205.0,192.0,205.0,200.96,195.76,18949,37.1,112, 18179, 95.94,5.3
HDFCMOMENT, EQ, 01-Nov-2023,22.5,22.02,22.59,22.02, 22.33,22.33,22.43,12651,2.84,135, 7118, 56.26,-0.76
HDFCMOMENT, EQ, 01-Dec-2022,201.17,200.5,203.75,199.67,202.6,202.6,201.0,368,0.74,22, 227, 61.68,0.71
HDFCMOMENT, EQ, 01-Dec-2023,25.11,25.0,26.1,25.0, 25.50,25.74,25.69,83227,21.38,421, 45475, 54.64,2.51
HDFCMOMENT, EQ, 02-Jan-2023,195.0,196.0,196.0,192.5, 195.90,195.9,195.63,641,1.25,25, 586, 91.42,0.46
HDFCMOMENT, EQ, 02-Jan-2024,27.5,27.5,28.23,27.26, 28.00,27.91,27.64,46401,12.82,416, 33708, 72.64,1.49
HDFCMOMENT, EQ, 02-Jan-2025,33.12,33.0,33.75,33.0,33.65,33.67,33.45,100207,33.52,896, 68265, 68.12,1.66
HDFCMOMENT, EQ, 02-Feb-2023,181.0,182.0,182.0,178.0, 180.50,179.78,180.85,323,0.58,44, 303, 93.81,-0.67
HDFCMOMENT, EQ, 02-Feb-2024,29.15,29.5,29.6,28.71, 29.36,29.51,29.4,62376,18.34,554, 52800, 84.65,1.23
HDFCMOMENT, EQ, 02-Mar-2023,182.0,183.27,184.22,183.0, 183.00,183.0,184.05,238,0.44,20, 231, 97.06,0.55
HDFCMOMENT, EQ, 02-Apr-2024,31.25,31.62,36.78,31.0, 31.44,31.45,31.44,146672,46.11,890, 100700, 68.66,0.64
HDFCMOMENT, EQ, 02-Apr-2025,27.91,27.92,28.57,27.4,28.57,28.38,28.13,87356,24.57,688, 52879, 60.53,1.68
HDFCMOMENT, EQ, 02-May-2023,192.45,193.0,197.0,193.0, 197.00,196.23,194.91,786,1.53,79, 622, 79.13,1.96
HDFCMOMENT, EQ, 02-May-2024,32.6,33.25,33.4,32.74, 33.40,33.35,33.2,211793,70.31,985, 162731, 76.83,2.3
HDFCMOMENT, EQ, 02-Jun-2023,203.19,204.59,206.29,204.23, 204.88,205.8,204.63,4176,8.55,37, 3168, 75.86,1.28
HDFCMOMENT, EQ, 02-Jul-2024,35.71,35.73,35.96,35.13,35.8,35.57,35.62,246226,87.7,1756, 154345, 62.68,-0.39
HDFCMOMENT, EQ, 02-Aug-2023,221.26,221.36,221.36,216.31, 217.24,217.41,218.52,3133,6.85,104, 2089, 66.68,-1.74
HDFCMOMENT, EQ, 02-Aug-2024,36.91,36.91,36.91,36.01,36.4,36.21,36.39,292334,106.37,2649, 217453, 74.39,-1.9
HDFCMOMENT, EQ, 02-Sep-2024,37.2,37.4,37.4,36.12,37.17,37.13,37.11,211068,78.33,1778, 111618, 52.88,-0.19
HDFCMOMENT, EQ, 02-Nov-2022,200.96,200.99,202.99,196.5,196.5,198.4,200.52,1255,2.52,65, 787, 62.71,-1.27
HDFCMOMENT, EQ, 02-Nov-2023,22.33,22.51,22.78,22.51, 22.78,22.74,22.58,26833,6.06,120, 14027, 52.28,1.84
HDFCMOMENT, EQ, 02-Dec-2022,202.6,202.0,204.0,199.6, 202.90,202.86,201.13,135,0.27,32, 76, 56.30,0.13
HDFCMOMENT, EQ, 02-Dec-2024,34.52,34.84,34.84,34.03,34.68,34.63,34.5,211036,72.81,2060, 111414, 52.79,0.32
HDFCMOMENT, EQ, 03-Jan-2023,195.9,196.0,197.0,191.8, 195.99,195.0,194.82,494,0.96,30, 372, 75.30,-0.46
HDFCMOMENT, EQ, 03-Jan-2024,27.91,27.91,28.6,27.27, 27.62,27.59,27.52,41835,11.51,410, 27931, 66.76,-1.15
HDFCMOMENT, EQ, 03-Jan-2025,33.67,33.71,33.98,33.45,33.5,33.51,33.58,211231,70.94,1280, 153487, 72.66,-0.48
HDFCMOMENT, EQ, 03-Feb-2023,179.78,179.78,181.99,178.0, 181.71,181.8,180.07,2351,4.23,39, 2296, 97.66,1.12
HDFCMOMENT, EQ, 03-Feb-2025,29.83,29.72,30.0,29.2,30.0,29.81,29.67,181741,53.92,1534, 89489, 49.24,-0.07
HDFCMOMENT, EQ, 03-Mar-2023,183.0,183.0,186.75,183.0, 185.01,185.17,185.43,347,0.64,35, 240, 69.16,1.19
HDFCMOMENT, EQ, 03-Mar-2025,26.93,27.4,27.4,26.65,27.25,27.09,26.93,505779,136.22,2123, 312976, 61.88,0.59
HDFCMOMENT, EQ, 03-Apr-2023,183.4,187.1,187.1,184.0, 184.00,184.0,184.07,780,1.44,16, 778, 99.74,0.33
HDFCMOMENT, EQ, 03-Apr-2024,31.45,31.74,31.75,31.28, 31.64,31.59,31.55,72273,22.8,651, 55487, 76.77,0.45
HDFCMOMENT, EQ, 03-Apr-2025,28.38,27.93,28.77,27.81,28.25,28.05,28.16,280103,78.86,1534, 204609, 73.05,-1.16
HDFCMOMENT, EQ, 03-May-2023,196.23,194.95,196.51,194.07,194.15,194.15,195.75,2295,4.49,17, 1661, 72.37,-1.06
HDFCMOMENT, EQ, 03-May-2024,33.35,33.49,33.6,33.11, 33.49,33.37,33.34,262955,87.67,1210, 179163, 68.13,0.06
HDFCMOMENT, EQ, 03-Jun-2024,34.42,35.32,36.5,34.64,36.5,36.0,35.83,1242927,445.39,1816, 973872, 78.35,4.59
HDFCMOMENT, EQ, 03-Jul-2023,211.48,211.49,214.1,211.49, 214.10,214.07,213.33,627,1.34,29, 401, 63.96,1.22
HDFCMOMENT, EQ, 03-Jul-2024,35.57,35.89,36.08,35.58,35.89,35.92,35.92,191039,68.61,1062, 124753, 65.30,0.98
HDFCMOMENT, EQ, 03-Aug-2023,217.41,227.2,227.2,216.31, 217.20,217.2,218.17,1552,3.39,41, 1096, 70.62,-0.1
HDFCMOMENT, EQ, 03-Sep-2024,37.13,37.3,37.43,36.99,37.11,37.08,37.06,525957,194.92,1330, 289850, 55.11,-0.13
HDFCMOMENT, EQ, 03-Oct-2023,231.93,227.29,235.0,227.29, 235.00,233.55,233.48,4929,11.51,62, 4600, 93.33,0.7
HDFCMOMENT, EQ, 03-Oct-2024,38.1,37.97,38.08,37.0,37.4,37.49,37.51,631110,236.73,4498, 446780, 70.79,-1.6
HDFCMOMENT, EQ, 03-Nov-2022,198.4,198.0,205.0,198.0,205.0,202.71,200.21,642,1.29,31, 499, 77.73,2.17
HDFCMOMENT, EQ, 03-Nov-2023,22.74,23.77,23.77,22.5, 22.87,22.86,22.81,16471,3.76,138, 3540, 21.49,0.53
HDFCMOMENT, EQ, 03-Dec-2024,34.63,34.98,35.18,34.64,35.09,35.05,34.97,196850,68.84,1099, 159382, 80.97,1.21
HDFCMOMENT, EQ, 04-Jan-2023,195.0,194.0,194.41,192.31, 192.32,192.32,193.74,400,0.77,18, 392, 98.00,-1.37
HDFCMOMENT, EQ, 04-Jan-2024,27.59,28.74,28.74,27.6, 27.85,27.84,27.8,18100,5.03,190, 12100, 66.85,0.91
HDFCMOMENT, EQ, 04-Feb-2025,29.81,29.76,30.39,29.36,30.26,30.28,29.98,2480023,743.48,1396, 189575, 7.64,1.58
HDFCMOMENT, EQ, 04-Mar-2024,30.65,30.65,31.55,30.65, 31.20,31.22,31.07,431646,134.13,1381, 326276, 75.59,1.86
HDFCMOMENT, EQ, 04-Mar-2025,27.09,27.24,27.34,26.52,27.03,26.88,26.95,285038,76.81,1751, 114433, 40.15,-0.78
HDFCMOMENT, EQ, 04-Apr-2024,31.59,32.09,32.09,31.43, 31.79,31.65,31.64,116818,36.97,848, 93517, 80.05,0.19
HDFCMOMENT, EQ, 04-Apr-2025,28.05,28.05,28.17,27.05,27.43,27.18,27.35,554469,151.67,3754, 383132, 69.10,-3.1
