SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
HDFCNIF100, EQ, 01-Jan-2024,22.16,22.39,22.71,21.75, 21.75,22.12,22.16,69488,15.4,270, 55538, 79.92,-0.18
HDFCNIF100, EQ, 01-Jan-2025,25.0,25.49,25.49,24.9,25.15,25.11,25.08,24024,6.02,341, 22542, 93.83,0.44
HDFCNIF100, EQ, 01-Feb-2023,177.77,177.78,181.7,176.02, 176.80,177.23,178.58,1958,3.5,107, 1034, 52.81,-0.3
HDFCNIF100, EQ, 01-Feb-2024,22.33,22.35,22.45,22.26, 22.30,22.31,22.34,15526,3.47,244, 9087, 58.53,-0.09
HDFCNIF100, EQ, 01-Mar-2023,171.8,171.8,175.85,171.8, 174.50,174.5,174.62,642,1.12,52, 504, 78.50,1.57
HDFCNIF100, EQ, 01-Mar-2024,22.82,23.0,23.25,22.3, 23.06,23.1,23.07,17361,4.0,284, 16386, 94.38,1.23
HDFCNIF100, EQ, 01-Apr-2024,23.4,23.4,24.04,23.31, 23.47,23.4,23.46,83181,19.52,341, 67482, 81.13,0.0
HDFCNIF100, EQ, 01-Apr-2025,24.55,24.77,24.77,24.14,24.75,24.24,24.39,30086,7.34,461, 23303, 77.45,-1.26
HDFCNIF100, EQ, 01-Jun-2023,185.41,186.38,186.38,185.24, 185.78,185.92,185.86,1163,2.16,24, 1097, 94.33,0.28
HDFCNIF100, EQ, 01-Jul-2024,25.37,25.58,25.74,25.21,25.55,25.58,25.55,40502,10.35,420, 34199, 84.44,0.83
HDFCNIF100, EQ, 01-Aug-2023,198.96,196.94,200.9,196.94, 198.11,198.11,198.09,3285,6.51,53, 2741, 83.44,-0.43
HDFCNIF100, EQ, 01-Aug-2024,26.48,26.75,26.75,26.42,26.43,26.49,26.55,38571,10.24,370, 33455, 86.74,0.04
HDFCNIF100, EQ, 01-Sep-2022,181.54,181.5,181.5,179.3,179.3,179.3,179.81,510,0.92,28, 469, 91.96,-1.23
HDFCNIF100, EQ, 01-Sep-2023,194.84,194.36,196.51,193.62, 196.51,196.51,195.44,875,1.71,42, 829, 94.74,0.86
HDFCNIF100, EQ, 01-Oct-2024,27.44,28.25,28.25,27.28,27.3,27.39,27.44,25875,7.1,503, 21200, 81.93,-0.18
HDFCNIF100, EQ, 01-Nov-2022,180.59,181.5,184.45,181.5,184.03,184.41,184.1,4280,7.88,54, 4238, 99.02,2.12
HDFCNIF100, EQ, 01-Nov-2023,19.32,19.29,19.36,19.07, 19.07,19.15,19.25,17818,3.43,154, 9329, 52.36,-0.88
HDFCNIF100, EQ, 01-Dec-2022,189.72,185.23,194.08,185.23,189.85,189.98,190.0,4965,9.43,61, 3305, 66.57,0.14
HDFCNIF100, EQ, 01-Dec-2023,20.5,20.52,20.7,20.05, 20.54,20.57,20.55,36595,7.52,224, 25658, 70.11,0.34
HDFCNIF100, EQ, 02-Jan-2023,183.5,184.0,189.2,182.68, 183.56,184.84,184.84,559,1.03,72, 475, 84.97,0.73
HDFCNIF100, EQ, 02-Jan-2024,22.12,22.39,22.39,22.01, 22.30,22.14,22.14,35986,7.97,482, 20806, 57.82,0.09
HDFCNIF100, EQ, 02-Jan-2025,25.11,25.11,25.5,25.0,25.45,25.49,25.31,21818,5.52,307, 16987, 77.86,1.51
HDFCNIF100, EQ, 02-Feb-2023,177.23,177.0,180.0,176.16, 180.00,179.75,177.71,297,0.53,19, 103, 34.68,1.42
HDFCNIF100, EQ, 02-Feb-2024,22.31,22.69,22.7,21.95, 22.45,22.42,22.51,39026,8.79,290, 21191, 54.30,0.49
HDFCNIF100, EQ, 02-Mar-2023,174.5,174.3,176.55,172.8, 172.81,172.87,174.98,2241,3.92,63, 1430, 63.81,-0.93
HDFCNIF100, EQ, 02-Apr-2024,23.4,23.4,24.14,23.31, 23.49,23.44,23.43,57708,13.52,255, 50996, 88.37,0.17
HDFCNIF100, EQ, 02-Apr-2025,24.24,24.16,24.64,24.12,24.45,24.42,24.35,36121,8.8,295, 31280, 86.60,0.74
HDFCNIF100, EQ, 02-May-2023,179.77,179.3,181.22,179.0, 181.22,181.17,180.58,2507,4.53,52, 2098, 83.69,0.78
HDFCNIF100, EQ, 02-May-2024,23.79,23.82,23.92,23.71, 23.88,23.88,23.87,18092,4.32,311, 16549, 91.47,0.38
HDFCNIF100, EQ, 02-Jun-2023,185.92,186.1,186.48,183.0, 183.90,185.04,185.51,1587,2.94,28, 1364, 85.95,-0.47
HDFCNIF100, EQ, 02-Jul-2024,25.58,25.75,25.88,25.4,25.58,25.54,25.62,54113,13.86,541, 33984, 62.80,-0.16
HDFCNIF100, EQ, 02-Aug-2023,198.11,198.11,204.05,195.0, 195.50,196.25,196.88,4376,8.62,126, 2824, 64.53,-0.94
HDFCNIF100, EQ, 02-Aug-2024,26.49,26.49,26.5,26.13,26.25,26.29,26.35,35888,9.46,410, 33403, 93.08,-0.76
HDFCNIF100, EQ, 02-Sep-2022,179.3,179.7,180.49,178.92,178.92,179.53,179.8,885,1.59,57, 783, 88.47,0.13
HDFCNIF100, EQ, 02-Sep-2024,26.74,26.97,27.06,26.55,26.9,26.89,26.9,62805,16.89,631, 56972, 90.71,0.56
HDFCNIF100, EQ, 02-Nov-2022,184.41,184.5,184.65,183.22,183.33,183.44,183.72,866,1.59,35, 858, 99.08,-0.53
HDFCNIF100, EQ, 02-Nov-2023,19.15,19.23,19.39,19.09, 19.36,19.18,19.28,6346,1.22,79, 3013, 47.48,0.16
HDFCNIF100, EQ, 02-Dec-2022,189.98,189.99,193.7,188.81, 190.00,189.5,190.89,22781,43.49,112, 10901, 47.85,-0.25
HDFCNIF100, EQ, 02-Dec-2024,25.6,26.11,26.11,25.31,25.79,25.7,25.63,106727,27.35,556, 98218, 92.03,0.39
HDFCNIF100, EQ, 03-Jan-2023,184.84,185.0,185.36,182.3, 184.00,184.0,183.63,229,0.42,32, 115, 50.22,-0.45
HDFCNIF100, EQ, 03-Jan-2024,22.14,22.8,22.8,21.86, 22.30,22.06,22.09,16566,3.66,278, 9666, 58.35,-0.36
HDFCNIF100, EQ, 03-Jan-2025,25.49,25.49,25.78,25.07,25.41,25.4,25.45,17367,4.42,375, 11541, 66.45,-0.35
HDFCNIF100, EQ, 03-Feb-2023,179.75,177.5,180.0,175.3, 178.10,178.1,176.85,1202,2.13,78, 1149, 95.59,-0.92
HDFCNIF100, EQ, 03-Feb-2025,24.58,24.45,24.84,24.2,24.41,24.34,24.36,74926,18.26,677, 67834, 90.53,-0.98
HDFCNIF100, EQ, 03-Mar-2023,172.87,173.49,175.5,172.99, 175.50,175.49,174.13,1625,2.83,44, 1257, 77.35,1.52
HDFCNIF100, EQ, 03-Mar-2025,23.17,23.16,23.44,22.8,23.01,23.04,22.94,100625,23.08,1010, 86151, 85.62,-0.56
HDFCNIF100, EQ, 03-Apr-2023,172.38,172.38,174.23,172.04, 174.00,173.31,172.97,1584,2.74,50, 492, 31.06,0.54
HDFCNIF100, EQ, 03-Apr-2024,23.44,24.02,24.02,23.1, 23.51,23.46,23.48,64222,15.08,201, 56198, 87.51,0.09
HDFCNIF100, EQ, 03-Apr-2025,24.42,24.42,24.42,24.23,24.39,24.35,24.38,21945,5.35,342, 18986, 86.52,-0.29
HDFCNIF100, EQ, 03-May-2023,181.17,184.15,184.15,179.68,180.01,180.02,180.53,598,1.08,51, 206, 34.45,-0.63
