SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
HINDCOMPOS, EQ, 01-Jan-2020,170.85,169.0,175.0,169.0, 170.00,170.35,171.27,3107,5.32,146, 2165, 69.68,-0.29
HINDCOMPOS, EQ, 01-Jan-2021,223.45,224.85,227.8,221.45, 225.45,223.25,224.09,3874,8.68,233, 2815, 72.66,-0.09
HINDCOMPOS, EQ, 01-Jan-2024,452.2,452.4,465.1,442.05, 447.00,448.8,452.82,14147,64.06,1531, 7611, 53.80,-0.75
HINDCOMPOS, EQ, 01-Jan-2025,551.2,549.0,598.0,549.0,564.75,560.9,569.88,22965,130.87,1840, 6762, 29.44,1.76
HINDCOMPOS, EQ, 01-Feb-2021,309.25,315.0,319.0,302.95, 319.00,313.4,311.5,4962,15.46,413, 3565, 71.85,1.34
HINDCOMPOS, EQ, 01-Feb-2022,313.2,312.6,318.45,310.5,318.0,315.2,314.36,2478,7.79,138, 1040, 41.97,0.64
HINDCOMPOS, EQ, 01-Feb-2023,296.9,301.35,303.2,296.0, 296.00,296.1,298.15,2124,6.33,105, 1672, 78.72,-0.27
HINDCOMPOS, EQ, 01-Feb-2024,442.95,441.1,448.0,438.0, 443.10,440.7,442.08,4950,21.88,888, 2453, 49.56,-0.51
HINDCOMPOS, EQ, 01-Mar-2021,299.65,310.6,310.6,298.45, 300.50,300.95,301.97,3738,11.29,386, 1611, 43.10,0.43
HINDCOMPOS, EQ, 01-Mar-2023,269.85,272.95,279.0,266.1, 271.00,270.55,273.45,2574,7.04,323, 1020, 39.63,0.26
HINDCOMPOS, EQ, 01-Mar-2024,418.35,427.15,428.9,417.1, 420.50,423.2,422.52,8964,37.87,936, 4084, 45.56,1.16
HINDCOMPOS, EQ, 01-Apr-2020,109.8,112.85,112.9,98.25,105.8,104.1,104.33,6526,6.81,322, 3424, 52.47,-5.19
HINDCOMPOS, EQ, 01-Apr-2021,263.85,261.35,272.75,261.35, 270.00,270.35,270.04,8714,23.53,348, 3082, 35.37,2.46
HINDCOMPOS, EQ, 01-Apr-2022,264.15,264.05,274.95,264.05, 274.65,273.3,270.83,3111,8.43,229, 2115, 67.98,3.46
HINDCOMPOS, EQ, 01-Apr-2024,389.2,399.7,420.0,395.05, 405.00,404.9,402.44,10779,43.38,1220, 5087, 47.19,4.03
HINDCOMPOS, EQ, 01-Apr-2025,430.85,445.15,445.15,430.0,434.15,435.15,436.39,3425,14.95,405, 1663, 48.55,1.0
