SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
HLVLTD, EQ, 01-Jan-2021,5.15,5.1,5.5,5.1, 5.35,5.35,5.32,600766,31.93,700, 358319, 59.64,3.88
HLVLTD, EQ, 01-Jan-2024,26.95,27.0,30.15,26.95, 28.45,28.7,28.85,2204723,636.13,7079, 1310051, 59.42,6.49
HLVLTD, EQ, 01-Jan-2025,18.37,18.37,19.6,18.35,18.75,18.78,18.93,2702272,511.67,4857, 1298351, 48.05,2.23
HLVLTD, EQ, 01-Feb-2021,5.95,5.95,6.05,5.8, 6.00,6.0,5.95,238677,14.2,404, 140769, 58.98,0.84
HLVLTD, EQ, 01-Feb-2023,10.3,10.5,11.15,10.1, 10.55,10.45,10.73,890649,95.58,1271, 384772, 43.20,1.46
HLVLTD, EQ, 01-Feb-2024,34.3,34.5,34.75,33.0, 33.40,33.6,33.88,1099124,372.41,5673, 670836, 61.03,-2.04
HLVLTD, EQ, 01-Mar-2021,5.65,5.8,6.0,5.7, 5.85,5.85,5.93,580694,34.41,650, 420602, 72.43,3.54
HLVLTD, EQ, 01-Mar-2023,10.2,10.35,10.5,9.95, 10.15,10.15,10.18,430074,43.8,646, 252191, 58.64,-0.49
HLVLTD, EQ, 01-Mar-2024,30.4,30.6,31.45,29.75, 30.00,29.9,30.59,1962135,600.13,6950, 1321280, 67.34,-1.64
HLVLTD, EQ, 01-Apr-2020,3.15,3.1,3.35,3.1,3.25,3.3,3.21,53790,1.73,138, 36408, 67.69,4.76
HLVLTD, EQ, 01-Apr-2021,5.75,5.95,6.2,5.8, 6.20,6.15,6.04,215997,13.05,358, 163102, 75.51,6.96
HLVLTD, EQ, 01-Apr-2022,9.15,9.3,9.45,9.1, 9.20,9.15,9.23,298558,27.55,585, 224220, 75.10,0.0
HLVLTD, EQ, 01-Apr-2024,26.05,27.2,28.45,26.75, 28.25,28.15,27.85,3594986,1001.05,9522, 2193179, 61.01,8.06
HLVLTD, EQ, 01-Apr-2025,12.02,12.1,12.82,12.02,12.69,12.65,12.46,1238696,154.3,3267, 557689, 45.02,5.24
HLVLTD, EQ, 01-Jun-2020,3.85,4.1,4.25,3.95, 4.25,4.2,4.14,420868,17.44,594, 315063, 74.86,9.09
HLVLTD, EQ, 01-Jun-2021,7.3,7.45,7.6,7.25, 7.30,7.3,7.43,744916,55.33,1122, 389494, 52.29,0.0
HLVLTD, EQ, 01-Jun-2022,8.95,9.3,9.3,9.0,9.2,9.2,9.19,108642,9.98,317, 65044, 59.87,2.79
HLVLTD, EQ, 01-Jun-2023,11.7,11.85,12.05,11.4, 11.55,11.5,11.68,714178,83.44,1137, 428210, 59.96,-1.71
HLVLTD, EQ, 01-Jul-2020,5.3,5.35,5.5,5.1, 5.35,5.35,5.33,128897,6.87,219, 87848, 68.15,0.94
HLVLTD, EQ, 01-Jul-2021,10.0,10.0,10.0,9.75, 9.90,9.85,9.86,280654,27.67,673, 208007, 74.12,-1.5
HLVLTD, EQ, 01-Jul-2022,9.25,9.45,9.45,8.95,9.4,9.25,9.22,234886,21.65,606, 127652, 54.35,0.0
HLVLTD, EQ, 01-Aug-2022,9.35,9.5,9.55,9.25, 9.45,9.4,9.4,220614,20.73,536, 161830, 73.35,0.53
HLVLTD, EQ, 01-Aug-2023,13.9,14.0,14.3,13.85, 14.05,13.95,14.09,702315,98.93,1309, 382065, 54.40,0.36
HLVLTD, EQ, 01-Aug-2024,21.98,22.09,22.45,21.6,21.8,21.75,21.95,1033796,226.96,3197, 690889, 66.83,-1.05
HLVLTD, EQ, 01-Sep-2020,5.0,5.3,5.3,4.95, 5.10,5.1,5.04,106377,5.36,215, 52417, 49.27,2.0
HLVLTD, EQ, 01-Sep-2021,8.05,8.0,8.15,7.8,7.9,7.9,7.97,129465,10.32,356, 90042, 69.55,-1.86
HLVLTD, EQ, 01-Sep-2022,9.55,9.55,10.1,9.5,9.95,9.95,9.88,344162,34.01,594, 241866, 70.28,4.19
HLVLTD, EQ, 01-Sep-2023,15.9,16.2,19.0,15.5, 17.70,18.25,17.71,14566534,2579.01,16690, 5824312, 39.98,14.78
HLVLTD, EQ, 01-Oct-2020,4.85,4.85,5.0,4.8, 4.90,4.9,4.92,99329,4.89,117, 41701, 41.98,1.03
HLVLTD, EQ, 01-Oct-2021,10.2,10.1,11.2,9.9, 11.20,11.2,10.98,2713966,297.88,3694, 1385535, 51.05,9.8
HLVLTD, EQ, 01-Oct-2024,17.4,17.5,18.2,17.16,17.44,17.35,17.69,7892955,1396.1,11818, 2982930, 37.79,-0.29
HLVLTD, EQ, 01-Nov-2022,9.75,9.95,9.95,9.55,9.7,9.7,9.71,231365,22.46,415, 156936, 67.83,-0.51
HLVLTD, EQ, 01-Nov-2023,20.4,20.5,20.7,19.95, 20.10,20.1,20.29,504109,102.29,2114, 237239, 47.06,-1.47
HLVLTD, EQ, 01-Dec-2020,4.9,4.9,5.35,4.85,5.1,5.1,5.11,943453,48.17,885, 778500, 82.52,4.08
HLVLTD, EQ, 01-Dec-2022,13.2,13.85,15.4,13.75,14.35,14.2,14.54,9939848,1445.07,14757, 4184898, 42.10,7.58
HLVLTD, EQ, 01-Dec-2023,22.75,23.1,23.2,22.1, 22.60,22.6,22.84,888288,202.9,2909, 509802, 57.39,-0.66
HLVLTD, EQ, 02-Jan-2023,11.85,12.0,12.25,11.85, 12.10,12.0,12.04,353336,42.54,702, 227715, 64.45,1.27
HLVLTD, EQ, 02-Jan-2024,28.7,28.9,29.7,27.9, 28.80,28.8,28.84,1399359,403.59,5894, 682825, 48.80,0.35
HLVLTD, EQ, 02-Jan-2025,18.78,18.8,19.3,18.58,18.75,18.73,18.85,2933287,552.83,4460, 1550194, 52.85,-0.27
HLVLTD, EQ, 02-Feb-2021,6.0,5.95,6.0,5.8, 5.85,5.85,5.88,286623,16.85,575, 196109, 68.42,-2.5
HLVLTD, EQ, 02-Feb-2023,10.45,10.45,10.8,10.35, 10.50,10.45,10.57,183399,19.39,501, 112863, 61.54,0.0
HLVLTD, EQ, 02-Feb-2024,33.6,33.7,37.0,33.65, 35.70,35.65,35.73,2979357,1064.58,10005, 1754358, 58.88,6.1
HLVLTD, EQ, 02-Mar-2020,3.65,3.75,4.15,3.75, 4.00,3.9,3.97,266383,10.58,377, 191594, 71.92,6.85
HLVLTD, EQ, 02-Mar-2021,5.85,5.85,5.95,5.75,5.95,5.9,5.88,167083,9.82,312, 101989, 61.04,0.85
HLVLTD, EQ, 02-Mar-2022,9.0,9.35,9.35,8.9, 9.00,9.05,9.09,106786,9.71,390, 84966, 79.57,0.56
HLVLTD, EQ, 02-Mar-2023,10.15,10.2,10.35,10.0, 10.10,10.1,10.21,269436,27.52,492, 127008, 47.14,-0.49
HLVLTD, EQ, 02-Apr-2024,28.15,27.9,28.7,27.55, 28.50,28.45,28.14,1706432,480.2,5921, 1009573, 59.16,1.07
HLVLTD, EQ, 02-Apr-2025,12.65,12.69,12.81,12.29,12.8,12.73,12.59,578064,72.8,1588, 264969, 45.84,0.63
HLVLTD, EQ, 02-May-2022,10.1,10.1,10.35,9.2,9.55,9.55,9.73,577330,56.19,901, 441526, 76.48,-5.45
HLVLTD, EQ, 02-May-2023,10.8,10.9,11.2,10.9, 11.05,11.0,11.0,349992,38.49,743, 240689, 68.77,1.85
HLVLTD, EQ, 02-Jun-2020,4.2,4.3,4.95,4.0,4.9,4.9,4.64,730826,33.93,855, 496206, 67.90,16.67
HLVLTD, EQ, 02-Jun-2021,7.3,7.2,7.6,7.2, 7.45,7.55,7.45,462990,34.49,839, 353276, 76.30,3.42
HLVLTD, EQ, 02-Jun-2022,9.2,9.2,9.45,9.0,9.45,9.35,9.27,104294,9.67,315, 71285, 68.35,1.63
HLVLTD, EQ, 02-Jun-2023,11.5,11.55,11.8,11.5, 11.60,11.55,11.62,307911,35.79,773, 193571, 62.87,0.43
HLVLTD, EQ, 02-Jul-2020,5.35,5.35,5.7,5.25, 5.50,5.4,5.49,164110,9.01,240, 116436, 70.95,0.93
HLVLTD, EQ, 02-Jul-2021,9.85,9.9,10.05,9.8,9.85,9.9,9.94,265335,26.38,610, 181619, 68.45,0.51
HLVLTD, EQ, 02-Aug-2021,10.1,10.5,10.6,9.8,10.25,10.25,10.25,872710,89.47,1334, 552003, 63.25,1.49
HLVLTD, EQ, 02-Aug-2022,9.4,9.2,10.0,9.2,9.85,9.8,9.78,495343,48.45,717, 389015, 78.53,4.26
HLVLTD, EQ, 02-Aug-2023,13.95,14.0,14.35,13.5, 13.80,13.8,13.96,735413,102.67,1394, 382049, 51.95,-1.08
HLVLTD, EQ, 02-Aug-2024,21.75,21.86,22.0,21.05,21.77,21.58,21.7,549339,119.21,2198, 322070, 58.63,-0.78
HLVLTD, EQ, 02-Sep-2020,5.1,5.25,5.25,5.05, 5.20,5.15,5.16,140135,7.23,179, 72175, 51.50,0.98
HLVLTD, EQ, 02-Sep-2021,7.9,7.9,8.25,7.9, 8.25,8.15,8.1,180264,14.61,413, 132477, 73.49,3.16
HLVLTD, EQ, 02-Sep-2022,9.95,10.0,10.75,9.8,10.6,10.5,10.36,1181959,122.44,1526, 674375, 57.06,5.53
HLVLTD, EQ, 02-Sep-2024,21.01,21.4,21.4,20.15,20.7,20.53,20.85,448204,93.43,2555, 270557, 60.36,-2.28
HLVLTD, EQ, 02-Nov-2020,4.65,4.75,4.75,4.7, 4.70,4.7,4.7,45219,2.13,90, 41425, 91.61,1.08
HLVLTD, EQ, 02-Nov-2022,9.7,9.7,9.8,9.55,9.6,9.65,9.68,126269,12.22,294, 103257, 81.78,-0.52
HLVLTD, EQ, 02-Nov-2023,20.1,20.25,21.4,20.15, 21.10,21.05,20.76,1252846,260.09,3413, 601410, 48.00,4.73
HLVLTD, EQ, 02-Dec-2020,5.1,5.25,5.25,5.1, 5.20,5.15,5.18,236929,12.28,312, 194321, 82.02,0.98
HLVLTD, EQ, 02-Dec-2022,14.2,14.5,14.75,13.65, 14.00,13.95,14.19,3684657,522.89,5268, 1748651, 47.46,-1.76
HLVLTD, EQ, 02-Dec-2024,19.27,18.61,19.29,18.61,19.0,19.0,18.92,1256694,237.72,3639, 567767, 45.18,-1.4
HLVLTD, EQ, 03-Jan-2023,12.0,11.9,12.3,11.9, 12.05,12.0,12.1,424539,51.35,707, 241319, 56.84,0.0
HLVLTD, EQ, 03-Jan-2024,28.8,29.0,29.1,28.25, 28.60,28.55,28.6,703735,201.29,3378, 435420, 61.87,-0.87
HLVLTD, EQ, 03-Jan-2025,18.73,18.81,19.35,18.81,18.97,18.88,19.13,4092064,782.88,6142, 2293614, 56.05,0.8
HLVLTD, EQ, 03-Feb-2020,5.55,5.55,5.65,5.45, 5.55,5.55,5.56,93006,5.17,205, 59744, 64.24,0.0
HLVLTD, EQ, 03-Feb-2021,5.85,5.95,6.05,5.85, 6.00,5.95,5.98,296138,17.7,452, 210974, 71.24,1.71
HLVLTD, EQ, 03-Feb-2023,10.45,10.5,10.55,10.0, 10.10,10.15,10.15,290027,29.45,550, 203163, 70.05,-2.87
HLVLTD, EQ, 03-Feb-2025,15.76,15.76,16.21,15.4,15.75,15.79,15.8,1240123,195.99,2475, 719091, 57.99,0.19
HLVLTD, EQ, 03-Mar-2020,3.9,4.0,4.0,3.75, 3.95,3.9,3.86,67652,2.61,135, 46267, 68.39,0.0
HLVLTD, EQ, 03-Mar-2021,5.9,5.8,6.05,5.8,6.05,6.05,6.03,446720,26.95,457, 335373, 75.07,2.54
HLVLTD, EQ, 03-Mar-2022,9.05,9.4,9.4,9.0,9.15,9.15,9.21,129593,11.94,461, 69906, 53.94,1.1
HLVLTD, EQ, 03-Mar-2023,10.1,10.3,10.4,10.2, 10.35,10.3,10.3,315932,32.53,555, 193219, 61.16,1.98
HLVLTD, EQ, 03-Mar-2025,13.25,13.25,13.49,12.25,12.89,12.83,12.75,1284947,163.85,3315, 531137, 41.34,-3.17
HLVLTD, EQ, 03-Apr-2020,3.3,3.3,3.3,3.15, 3.30,3.3,3.26,60718,1.98,177, 51391, 84.64,0.0
HLVLTD, EQ, 03-Apr-2023,9.15,9.3,9.85,9.1, 9.80,9.75,9.5,343088,32.6,1078, 217588, 63.42,6.56
HLVLTD, EQ, 03-Apr-2024,28.45,29.05,31.25,29.0, 31.25,31.25,30.73,3135756,963.67,7739, 2249318, 71.73,9.84
HLVLTD, EQ, 03-Apr-2025,12.73,12.65,13.25,12.32,13.09,12.94,12.96,1045612,135.5,2267, 469104, 44.86,1.65
