SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
HYUNDAI, EQ, 01-Jan-2025,1806.1,1800.0,1805.0,1791.0,1798.0,1799.4,1799.54,130344,2345.59,21329, 80080, 61.44,-0.37
HYUNDAI, EQ, 01-Apr-2025,1707.65,1706.8,1733.55,1700.05,1703.1,1703.25,1711.71,527047,9021.49,35435, 339889, 64.49,-0.26
HYUNDAI, EQ, 02-Jan-2025,1799.4,1791.3,1854.0,1791.3,1816.1,1818.65,1825.43,624221,11394.73,37118, 208022, 33.33,1.07
HYUNDAI, EQ, 02-Apr-2025,1703.25,1720.0,1722.35,1666.15,1682.0,1680.4,1684.53,649728,10944.85,41571, 376263, 57.91,-1.34
HYUNDAI, EQ, 02-Dec-2024,1916.55,1875.0,1915.45,1870.25,1883.0,1880.9,1890.27,476433,9005.88,32315, 207160, 43.48,-1.86
HYUNDAI, EQ, 03-Jan-2025,1818.65,1821.95,1834.4,1812.05,1826.8,1828.65,1825.78,246250,4495.98,24806, 109971, 44.66,0.55
HYUNDAI, EQ, 03-Feb-2025,1750.45,1750.85,1811.9,1741.3,1799.6,1799.9,1795.47,3536130,63490.26,128756, 2825843, 79.91,2.82
HYUNDAI, EQ, 03-Mar-2025,1729.9,1681.0,1729.2,1661.1,1698.0,1695.25,1694.14,936736,15869.66,63308, 400542, 42.76,-2.0
HYUNDAI, EQ, 03-Apr-2025,1680.4,1664.55,1669.8,1639.05,1647.0,1652.4,1650.88,893654,14753.12,57315, 560718, 62.74,-1.67
HYUNDAI, EQ, 03-Dec-2024,1880.9,1885.0,1889.85,1825.5,1848.0,1849.2,1851.61,961607,17805.19,51459, 607826, 63.21,-1.69
HYUNDAI, EQ, 04-Feb-2025,1799.9,1801.05,1850.0,1801.05,1845.0,1844.85,1834.73,1154361,21179.4,76149, 782426, 67.78,2.5
HYUNDAI, EQ, 04-Mar-2025,1695.25,1695.0,1729.95,1688.05,1713.2,1712.85,1714.32,756354,12966.36,62863, 434445, 57.44,1.04
HYUNDAI, EQ, 04-Apr-2025,1652.4,1658.95,1670.95,1625.0,1636.0,1639.0,1649.9,699970,11548.81,33744, 434770, 62.11,-0.81
HYUNDAI, EQ, 04-Nov-2024,1832.3,1832.25,1841.0,1796.1,1816.0,1814.45,1814.61,926694,16815.91,80527, 619684, 66.87,-0.97
HYUNDAI, EQ, 04-Dec-2024,1849.2,1840.25,1877.0,1840.25,1873.0,1872.2,1861.53,640379,11920.87,34997, 327886, 51.20,1.24
HYUNDAI, EQ, 05-Feb-2025,1844.85,1840.0,1847.0,1801.55,1832.0,1841.35,1827.99,673537,12312.19,66222, 376778, 55.94,-0.19
HYUNDAI, EQ, 05-Mar-2025,1712.85,1712.85,1732.25,1704.3,1716.8,1718.1,1715.42,506644,8691.09,35266, 290559, 57.35,0.31
HYUNDAI, EQ, 05-Nov-2024,1814.45,1802.35,1840.0,1800.0,1829.0,1828.25,1827.59,889751,16261.03,60337, 530211, 59.59,0.76
HYUNDAI, EQ, 05-Dec-2024,1872.2,1875.9,1898.9,1866.3,1876.0,1878.05,1879.76,506260,9516.47,32392, 243540, 48.11,0.31
