SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
IBVENTURES, EQ, 01-Jan-2020,214.35,220.05,223.2,207.1, 208.00,209.05,214.49,1805814,3873.32,22988, 804846, 44.57,-2.47
IBVENTURES, EQ, 01-Apr-2020,107.7,107.1,109.9,102.35,105.5,106.55,105.91,381635,404.19,4905, 147726, 38.71,-1.07
IBVENTURES, EQ, 01-Jun-2020,70.6,70.0,73.4,69.95, 71.75,71.75,72.23,1065120,769.3,6205, 523424, 49.14,1.63
IBVENTURES, EQ, 01-Jul-2020,118.05,116.0,123.95,115.95, 120.65,119.9,121.98,5262343,6419.16,18527, 2631318, 50.00,1.57
IBVENTURES, EQ, 01-Sep-2020,196.75,197.1,205.0,193.0, 194.75,195.4,198.05,1180270,2337.57,12053, 591310, 50.10,-0.69
IBVENTURES, EQ, 01-Oct-2020,249.95,253.8,267.45,250.65, 265.00,264.9,260.6,2558725,6667.95,20117, 985557, 38.52,5.98
IBVENTURES, EQ, 02-Jan-2020,209.05,210.4,214.9,203.8, 209.20,209.4,208.76,1818287,3795.87,15551, 656696, 36.12,0.17
IBVENTURES, EQ, 02-Mar-2020,169.95,186.9,186.9,177.6, 183.00,180.5,183.88,2985105,5488.98,26435, 1280334, 42.89,6.21
IBVENTURES, EQ, 02-Jun-2020,71.75,72.0,75.3,71.8,75.3,75.3,73.68,666541,491.1,3861, 488499, 73.29,4.95
IBVENTURES, EQ, 02-Jul-2020,119.9,120.65,125.85,117.25, 118.50,118.85,122.72,5021141,6162.16,19452, 2541046, 50.61,-0.88
IBVENTURES, EQ, 02-Sep-2020,195.4,197.3,204.35,195.0, 202.00,200.4,200.03,911651,1823.61,7613, 421239, 46.21,2.56
IBVENTURES, EQ, 03-Jan-2020,209.4,209.0,213.9,204.65, 206.55,207.65,209.38,1004951,2104.13,9423, 248216, 24.70,-0.84
IBVENTURES, EQ, 03-Feb-2020,167.65,163.1,167.55,159.3, 159.30,159.3,160.32,1019848,1635.0,6450, 580597, 56.93,-4.98
IBVENTURES, EQ, 03-Mar-2020,180.5,184.8,198.55,184.0, 198.55,198.25,192.75,4477894,8631.19,43466, 2549047, 56.93,9.83
IBVENTURES, EQ, 03-Apr-2020,106.55,107.85,107.85,102.0, 103.00,102.95,104.71,742236,777.19,2828, 587142, 79.10,-3.38
IBVENTURES, EQ, 03-Jun-2020,75.3,78.8,79.05,76.6,79.05,78.95,78.81,1031459,812.93,3517, 613963, 59.52,4.85
IBVENTURES, EQ, 03-Jul-2020,118.85,118.6,120.25,112.95, 112.95,113.7,115.28,3268805,3768.23,18824, 1873105, 57.30,-4.33
IBVENTURES, EQ, 03-Aug-2020,114.05,116.0,116.0,112.0,114.55,114.5,114.16,517033,590.23,3326, 349161, 67.53,0.39
IBVENTURES, EQ, 03-Sep-2020,200.4,205.0,213.95,199.5, 209.60,210.15,207.71,2122050,4407.77,15005, 1273698, 60.02,4.87
IBVENTURES, EQ, 04-Feb-2020,159.3,151.35,167.25,151.35, 164.00,164.15,159.71,1842183,2942.21,16186, 684273, 37.14,3.04
IBVENTURES, EQ, 04-Mar-2020,198.25,201.55,212.0,198.5, 209.95,208.55,205.61,3376109,6941.58,60231, 1658276, 49.12,5.2
IBVENTURES, EQ, 04-May-2020,107.05,101.7,107.5,101.7, 105.70,105.3,104.0,680433,707.63,11939, 305654, 44.92,-1.63
