SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ICEMAKE, EQ, 01-Jan-2021,105.3,108.9,108.95,100.2, 101.70,101.7,103.23,39632,40.91,725, 25731, 64.92,-3.42
ICEMAKE, EQ, 01-Jan-2024,616.8,621.0,627.8,611.8, 615.00,615.0,617.8,16251,100.4,1897, 11204, 68.94,-0.29
ICEMAKE, EQ, 01-Jan-2025,747.65,746.6,766.0,746.6,762.75,762.65,760.11,12116,92.1,1308, 6194, 51.12,2.01
ICEMAKE, EQ, 01-Feb-2021,73.15,76.45,76.45,70.6, 74.00,73.1,72.0,20505,14.76,377, 11277, 55.00,-0.07
ICEMAKE, EQ, 01-Feb-2022,73.45,74.9,75.4,73.1,74.45,74.3,74.26,10238,7.6,187, 5108, 49.89,1.16
ICEMAKE, EQ, 01-Feb-2023,261.35,264.9,265.0,248.3, 252.70,249.7,255.08,14360,36.63,586, 8849, 61.62,-4.46
ICEMAKE, EQ, 01-Feb-2024,580.3,582.0,587.0,570.0, 573.00,573.25,577.38,20226,116.78,2643, 13362, 66.06,-1.21
ICEMAKE, EQ, 01-Mar-2021,71.4,73.95,73.95,71.5, 73.40,73.15,72.83,15798,11.51,184, 9759, 61.77,2.45
ICEMAKE, EQ, 01-Mar-2023,261.4,266.4,287.5,261.1, 273.00,273.4,275.58,49896,137.51,1650, 27813, 55.74,4.59
ICEMAKE, EQ, 01-Mar-2024,495.95,498.5,507.9,496.55, 502.95,499.55,501.97,32914,165.22,3763, 18048, 54.83,0.73
ICEMAKE, EQ, 01-Apr-2021,66.75,66.25,68.75,66.1, 67.90,67.5,67.63,2902,1.96,76, 2188, 75.40,1.12
ICEMAKE, EQ, 01-Apr-2024,473.2,476.0,510.3,476.0, 503.00,499.85,500.44,49914,249.79,5843, 22895, 45.87,5.63
ICEMAKE, EQ, 01-Apr-2025,900.3,897.0,897.0,861.55,869.2,868.1,876.66,30579,268.07,1924, 19029, 62.23,-3.58
ICEMAKE, EQ, 01-Jun-2021,74.05,77.95,77.95,73.5, 75.95,75.4,75.58,10716,8.1,123, 7911, 73.82,1.82
ICEMAKE, EQ, 01-Jun-2023,366.6,382.0,384.9,361.25, 366.00,371.55,378.0,92262,348.75,1924, 64238, 69.63,1.35
ICEMAKE, EQ, 01-Jul-2021,80.15,79.05,81.1,77.95, 79.50,78.85,79.2,21125,16.73,255, 13786, 65.26,-1.62
ICEMAKE, EQ, 01-Jul-2022,120.4,122.0,122.0,117.2,120.0,119.65,119.29,12152,14.5,285, 6912, 56.88,-0.62
ICEMAKE, EQ, 01-Jul-2024,856.5,860.0,879.0,845.0,856.0,858.4,859.0,21860,187.78,1311, 12500, 57.18,0.22
ICEMAKE, EQ, 01-Aug-2022,126.8,128.0,133.1,128.0, 133.10,133.1,131.72,33927,44.69,486, 25045, 73.82,4.97
ICEMAKE, EQ, 01-Aug-2023,462.9,476.0,486.0,458.0, 486.00,486.0,474.41,21351,101.29,863, 14862, 69.61,4.99
ICEMAKE, EQ, 01-Aug-2024,814.9,816.0,850.0,816.0,846.1,844.5,836.72,54874,459.14,6471, 26682, 48.62,3.63
ICEMAKE, EQ, 01-Sep-2021,71.1,72.5,74.25,70.55,72.55,73.05,72.82,7944,5.78,112, 6063, 76.32,2.74
ICEMAKE, EQ, 01-Sep-2022,203.6,201.05,213.75,201.05,213.75,213.75,211.83,69695,147.63,523, 40889, 58.67,4.99
ICEMAKE, EQ, 01-Sep-2023,496.15,504.0,504.0,488.15, 493.80,491.1,491.05,18307,89.9,1339, 11915, 65.08,-1.02
ICEMAKE, EQ, 01-Oct-2021,74.25,74.25,74.25,72.05, 73.00,73.1,73.12,11454,8.38,545, 3665, 32.00,-1.55
ICEMAKE, EQ, 01-Oct-2024,701.25,704.9,711.25,690.2,700.0,700.15,699.94,22337,156.34,2019, 10980, 49.16,-0.16
ICEMAKE, EQ, 01-Nov-2021,64.85,67.85,67.85,63.15, 65.75,64.95,65.01,19163,12.46,202, 13306, 69.44,0.15
ICEMAKE, EQ, 01-Nov-2023,652.85,650.0,665.0,628.2, 638.00,634.05,646.69,38770,250.72,2913, 21516, 55.50,-2.88
ICEMAKE, EQ, 01-Dec-2020,86.45,89.95,89.95,87.55,89.0,88.8,88.87,40749,36.22,489, 30499, 74.85,2.72
ICEMAKE, EQ, 01-Dec-2021,59.25,60.45,60.95,59.15,60.95,60.4,60.17,8015,4.82,98, 4626, 57.72,1.94
ICEMAKE, EQ, 01-Dec-2023,574.7,571.0,606.0,571.0, 589.50,588.75,589.4,40752,240.19,2044, 19799, 48.58,2.44
ICEMAKE, EQ, 02-Jan-2023,252.75,256.95,265.35,256.05, 265.35,265.35,262.55,13028,34.2,519, 9311, 71.47,4.99
ICEMAKE, EQ, 02-Jan-2024,615.0,622.0,632.3,603.0, 613.00,611.6,613.66,32846,201.56,3213, 16059, 48.89,-0.55
ICEMAKE, EQ, 02-Jan-2025,762.65,751.6,770.9,751.6,761.0,759.1,761.97,8399,64.0,1235, 5044, 60.05,-0.47
ICEMAKE, EQ, 02-Feb-2021,73.1,75.9,76.75,70.05, 76.40,75.2,72.7,25637,18.64,416, 13506, 52.68,2.87
ICEMAKE, EQ, 02-Feb-2022,74.3,73.6,77.8,73.6, 74.55,74.8,75.38,13733,10.35,243, 9863, 71.82,0.67
ICEMAKE, EQ, 02-Feb-2023,249.7,259.0,262.15,251.1, 262.15,261.45,258.25,8134,21.01,336, 5510, 67.74,4.71
ICEMAKE, EQ, 02-Feb-2024,573.25,581.85,584.5,566.5, 569.00,569.4,575.02,28060,161.35,3100, 15724, 56.04,-0.67
ICEMAKE, EQ, 02-Mar-2021,73.15,76.0,76.0,73.0,74.1,73.2,73.78,13671,10.09,148, 12060, 88.22,0.07
ICEMAKE, EQ, 02-Mar-2022,71.55,71.45,74.0,70.0, 74.00,73.65,73.03,22405,16.36,257, 12562, 56.07,2.94
ICEMAKE, EQ, 02-Mar-2023,273.4,279.5,280.0,261.5, 270.00,269.6,272.95,20810,56.8,848, 12547, 60.29,-1.39
ICEMAKE, EQ, 02-Apr-2024,499.85,501.85,521.0,500.05, 511.50,513.95,514.92,43472,223.85,3617, 22897, 52.67,2.82
ICEMAKE, EQ, 02-Apr-2025,868.1,874.0,875.05,845.0,850.1,848.25,855.41,32484,277.87,1652, 22548, 69.41,-2.29
ICEMAKE, EQ, 02-May-2023,326.55,330.0,342.85,330.0, 342.85,342.85,339.06,19566,66.34,669, 14000, 71.55,4.99
ICEMAKE, EQ, 02-May-2024,513.55,517.35,518.05,506.1, 509.80,508.75,511.06,23307,119.11,2256, 13147, 56.41,-0.93
ICEMAKE, EQ, 02-Jun-2021,75.4,76.5,76.5,73.7, 76.00,75.85,75.43,8141,6.14,154, 4819, 59.19,0.6
ICEMAKE, EQ, 02-Jun-2023,371.55,371.55,374.4,354.3, 369.00,368.6,364.65,47710,173.98,1920, 23638, 49.55,-0.79
ICEMAKE, EQ, 02-Jul-2021,78.85,81.65,81.65,79.05,79.95,79.9,80.1,15204,12.18,141, 10830, 71.23,1.33
ICEMAKE, EQ, 02-Jul-2024,858.4,864.0,920.0,855.6,872.0,869.9,886.53,73808,654.33,3476, 29689, 40.22,1.34
ICEMAKE, EQ, 02-Aug-2021,85.5,86.95,86.95,84.5,85.95,85.35,85.59,14126,12.09,244, 8655, 61.27,-0.18
ICEMAKE, EQ, 02-Aug-2022,133.1,135.0,139.75,133.55,138.05,139.45,137.99,55289,76.29,639, 44043, 79.66,4.77
ICEMAKE, EQ, 02-Aug-2023,486.0,508.0,510.3,493.05, 510.30,510.3,507.84,37935,192.65,848, 30803, 81.20,5.0
ICEMAKE, EQ, 02-Aug-2024,844.5,844.5,917.95,821.6,910.0,903.15,887.0,190865,1692.97,9795, 85596, 44.85,6.94
ICEMAKE, EQ, 02-Sep-2021,73.05,71.6,75.0,71.6, 73.55,73.95,73.81,6790,5.01,104, 5161, 76.01,1.23
ICEMAKE, EQ, 02-Sep-2022,213.75,224.4,224.4,224.4,224.4,224.4,224.4,25918,58.16,143, 25918, 100.00,4.98
ICEMAKE, EQ, 02-Sep-2024,705.25,707.0,708.35,695.0,696.0,697.2,700.54,14209,99.54,2285, 8363, 58.86,-1.14
ICEMAKE, EQ, 02-Nov-2020,81.7,83.35,83.35,77.65, 78.60,79.0,79.25,19417,15.39,189, 14738, 75.90,-3.3
ICEMAKE, EQ, 02-Nov-2021,64.95,63.55,70.5,63.55, 69.00,68.8,68.21,36578,24.95,475, 17883, 48.89,5.93
ICEMAKE, EQ, 02-Nov-2023,634.05,648.0,658.55,636.1, 650.05,652.2,649.24,19192,124.6,1716, 8984, 46.81,2.86
ICEMAKE, EQ, 02-Dec-2020,88.8,90.0,91.0,86.2, 89.35,89.05,88.75,19515,17.32,314, 11020, 56.47,0.28
ICEMAKE, EQ, 02-Dec-2021,60.4,62.9,62.9,59.7, 61.00,61.35,60.81,15805,9.61,158, 11720, 74.15,1.57
ICEMAKE, EQ, 02-Dec-2024,795.05,797.25,802.8,785.45,790.2,792.7,794.25,12187,96.79,1993, 5789, 47.50,-0.3
ICEMAKE, EQ, 03-Jan-2022,72.0,73.9,73.9,72.0, 72.85,72.25,72.77,24342,17.71,247, 21662, 88.99,0.35
ICEMAKE, EQ, 03-Jan-2023,265.35,278.6,278.6,278.6, 278.60,278.6,278.6,7588,21.14,89, 7588, 100.00,4.99
ICEMAKE, EQ, 03-Jan-2024,611.6,613.0,621.95,611.0, 617.00,617.35,616.15,16429,101.23,2058, 9660, 58.80,0.94
ICEMAKE, EQ, 03-Jan-2025,759.1,760.0,787.7,757.55,785.1,783.3,774.74,19997,154.92,1645, 9410, 47.06,3.19
ICEMAKE, EQ, 03-Feb-2021,75.2,77.0,77.0,73.65, 73.80,75.8,75.62,25253,19.1,617, 12413, 49.15,0.8
ICEMAKE, EQ, 03-Feb-2022,74.8,74.8,82.4,73.3, 79.20,79.7,79.82,173638,138.61,1690, 69160, 39.83,6.55
ICEMAKE, EQ, 03-Feb-2023,261.45,264.9,264.9,248.6, 250.00,252.4,252.36,12420,31.34,630, 7699, 61.99,-3.46
ICEMAKE, EQ, 03-Feb-2025,713.25,710.25,733.85,690.0,708.0,699.35,706.5,26363,186.25,2150, 10472, 39.72,-1.95
