SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ICICIALPLV, EQ, 01-Jan-2021,138.2,138.65,139.2,138.1, 139.20,138.98,138.65,633,0.88,40, 464, 73.30,0.56
ICICIALPLV, EQ, 01-Feb-2021,135.2,141.7,141.7,133.95, 136.95,136.61,135.67,4818,6.54,133, 3931, 81.59,1.04
ICICIALPLV, EQ, 01-Feb-2022,169.31,170.0,171.99,169.49,171.56,171.54,171.45,51066,87.55,443, 47986, 93.97,1.32
ICICIALPLV, EQ, 01-Feb-2023,171.02,170.99,172.69,167.91, 170.30,168.45,170.48,170575,290.79,568, 79689, 46.72,-1.5
ICICIALPLV, EQ, 01-Mar-2021,135.93,139.7,140.99,134.0, 137.40,137.4,136.95,3519,4.82,167, 2529, 71.87,1.08
ICICIALPLV, EQ, 01-Mar-2023,168.78,168.82,169.89,168.82, 169.14,169.77,169.39,22048,37.35,420, 14270, 64.72,0.59
ICICIALPLV, EQ, 01-Apr-2021,141.63,145.2,145.2,141.63, 142.90,143.35,143.04,4541,6.5,117, 3257, 71.72,1.21
ICICIALPLV, EQ, 01-Apr-2022,170.63,173.87,187.2,170.17, 171.30,171.76,171.63,242263,415.79,423, 177964, 73.46,0.66
ICICIALPLV, EQ, 01-Jun-2021,152.99,154.9,154.9,150.51, 153.30,153.3,153.45,31973,49.06,205, 19043, 59.56,0.2
ICICIALPLV, EQ, 01-Jun-2022,160.61,161.95,162.17,158.7,159.63,159.39,159.45,79713,127.11,382, 79262, 99.43,-0.76
ICICIALPLV, EQ, 01-Jun-2023,185.8,186.01,186.8,185.62, 186.30,186.23,186.26,6988,13.02,410, 5626, 80.51,0.23
ICICIALPLV, EQ, 01-Jul-2021,158.25,158.0,159.97,158.0, 158.85,158.84,158.96,4766,7.58,209, 4333, 90.91,0.37
ICICIALPLV, EQ, 01-Jul-2022,151.84,151.84,152.95,150.79,152.95,151.73,151.67,125512,190.37,467, 102058, 81.31,-0.07
ICICIALPLV, EQ, 01-Aug-2022,166.17,167.9,168.0,165.55, 167.69,167.97,167.71,31539,52.9,730, 28107, 89.12,1.08
ICICIALPLV, EQ, 01-Aug-2023,202.66,202.66,204.0,201.82, 202.36,202.41,202.72,17685,35.85,489, 13477, 76.21,-0.12
ICICIALPLV, EQ, 01-Sep-2020,116.0,117.0,117.0,116.0, 116.02,116.05,116.3,302,0.35,12, 168, 55.63,0.04
ICICIALPLV, EQ, 01-Sep-2021,174.73,179.7,179.7,173.6,176.0,176.15,176.23,4742,8.36,271, 4007, 84.50,0.81
ICICIALPLV, EQ, 01-Sep-2022,172.86,173.49,173.49,171.94,172.25,172.23,172.78,33518,57.91,711, 29781, 88.85,-0.36
ICICIALPLV, EQ, 01-Sep-2023,196.89,196.89,198.97,195.15, 197.89,197.82,197.8,26953,53.31,516, 25452, 94.43,0.47
ICICIALPLV, EQ, 01-Oct-2020,120.85,140.0,140.0,120.85, 121.70,121.7,122.88,1753,2.15,23, 1506, 85.91,0.7
ICICIALPLV, EQ, 01-Oct-2021,178.82,179.99,181.0,175.95, 178.20,178.19,178.28,70716,126.07,738, 43665, 61.75,-0.35
ICICIALPLV, EQ, 01-Nov-2021,174.32,176.49,176.8,173.41, 176.64,176.35,175.8,17199,30.24,526, 15319, 89.07,1.16
ICICIALPLV, EQ, 01-Nov-2022,177.81,184.84,184.84,177.33,180.0,179.58,179.56,30379,54.55,472, 22840, 75.18,1.0
ICICIALPLV, EQ, 01-Nov-2023,201.04,202.97,202.97,199.61, 200.39,200.0,200.62,45588,91.46,409, 44568, 97.76,-0.52
ICICIALPLV, EQ, 01-Dec-2020,129.48,129.7,130.0,128.6,130.0,130.0,129.28,2339,3.02,52, 1075, 45.96,0.4
ICICIALPLV, EQ, 01-Dec-2021,172.13,173.99,177.7,170.1,170.32,170.36,170.64,101878,173.84,547, 74852, 73.47,-1.03
ICICIALPLV, EQ, 01-Dec-2022,181.01,182.47,182.47,178.37,182.0,181.66,181.46,13991,25.39,439, 11474, 82.01,0.36
ICICIALPLV, EQ, 01-Dec-2023,219.61,221.01,223.5,220.55, 222.98,222.74,222.45,49775,110.73,490, 37984, 76.31,1.43
ICICIALPLV, EQ, 02-Jan-2023,174.3,175.76,175.76,173.0, 173.78,173.32,173.49,65936,114.39,863, 64710, 98.14,-0.56
ICICIALPLV, EQ, 02-Feb-2021,136.61,132.11,143.7,132.11, 139.50,139.44,138.17,8326,11.5,98, 5399, 64.85,2.07
ICICIALPLV, EQ, 02-Feb-2022,171.54,173.95,173.95,171.54, 173.50,173.21,173.14,26519,45.92,300, 26230, 98.91,0.97
ICICIALPLV, EQ, 02-Feb-2023,168.45,169.98,171.29,169.0, 171.14,171.1,170.61,75820,129.36,402, 61725, 81.41,1.57
ICICIALPLV, EQ, 02-Mar-2021,137.4,138.95,139.45,137.99,138.41,139.11,138.65,1888,2.62,86, 1210, 64.09,1.24
ICICIALPLV, EQ, 02-Mar-2022,166.42,166.8,166.8,164.09, 165.76,165.34,165.33,373778,617.96,712, 369719, 98.91,-0.65
ICICIALPLV, EQ, 02-Mar-2023,169.77,171.77,171.77,168.47, 168.47,168.83,169.15,19649,33.24,440, 17643, 89.79,-0.55
ICICIALPLV, EQ, 02-May-2022,169.45,184.7,184.7,166.8,167.98,167.96,167.61,9978,16.72,968, 8311, 83.29,-0.88
ICICIALPLV, EQ, 02-May-2023,179.39,179.38,180.49,178.0, 180.29,180.09,180.0,22395,40.31,1038, 16607, 74.15,0.39
ICICIALPLV, EQ, 02-Jun-2021,153.3,154.98,154.98,152.85, 153.45,153.79,153.64,2387,3.67,155, 1837, 76.96,0.32
ICICIALPLV, EQ, 02-Jun-2022,159.39,160.95,160.95,158.6,160.0,160.01,159.78,15140,24.19,286, 14367, 94.89,0.39
ICICIALPLV, EQ, 02-Jun-2023,186.23,187.87,188.22,186.31, 187.15,187.1,187.06,63432,118.66,393, 60348, 95.14,0.47
ICICIALPLV, EQ, 02-Jul-2021,158.84,163.08,163.97,158.01,158.11,158.66,158.81,5241,8.32,197, 3600, 68.69,-0.11
ICICIALPLV, EQ, 02-Aug-2021,163.51,164.97,165.48,162.25,164.0,163.96,163.98,4428,7.26,409, 4019, 90.76,0.28
ICICIALPLV, EQ, 02-Aug-2022,167.97,168.9,168.9,165.12,168.03,168.32,168.08,18794,31.59,321, 14224, 75.68,0.21
ICICIALPLV, EQ, 02-Aug-2023,202.41,203.09,203.09,199.49, 200.01,199.89,200.05,25026,50.07,430, 20276, 81.02,-1.24
ICICIALPLV, EQ, 02-Sep-2020,116.05,118.0,118.45,117.4, 117.50,117.5,117.91,1851,2.18,36, 1159, 62.61,1.25
ICICIALPLV, EQ, 02-Sep-2021,176.15,178.97,180.8,176.15, 178.85,178.68,178.34,6976,12.44,313, 5591, 80.15,1.44
ICICIALPLV, EQ, 02-Sep-2022,172.23,173.98,173.98,171.8,171.8,171.92,172.72,88139,152.24,356, 80036, 90.81,-0.18
ICICIALPLV, EQ, 02-Nov-2020,123.07,124.1,124.1,121.32, 121.90,121.9,122.7,557,0.68,21, 516, 92.64,-0.95
ICICIALPLV, EQ, 02-Nov-2021,176.35,177.99,178.9,175.51, 175.70,175.79,175.93,11718,20.62,307, 11270, 96.18,-0.32
ICICIALPLV, EQ, 02-Nov-2022,179.58,181.39,181.39,178.0,179.2,178.37,178.94,35456,63.45,337, 25298, 71.35,-0.67
ICICIALPLV, EQ, 02-Nov-2023,200.0,199.99,202.98,199.99, 202.50,202.67,201.97,117704,237.73,371, 72294, 61.42,1.33
ICICIALPLV, EQ, 02-Dec-2020,130.0,130.0,130.81,129.15, 130.81,130.81,129.47,464,0.6,16, 390, 84.05,0.62
ICICIALPLV, EQ, 02-Dec-2021,170.36,171.99,174.99,170.01, 172.51,173.39,173.3,45091,78.14,274, 44020, 97.62,1.78
ICICIALPLV, EQ, 02-Dec-2022,181.66,182.44,182.44,180.0, 180.99,180.82,180.55,27921,50.41,405, 26187, 93.79,-0.46
ICICIALPLV, EQ, 03-Jan-2022,180.1,181.9,182.5,179.7, 180.50,180.82,180.79,31775,57.45,705, 28803, 90.65,0.4
ICICIALPLV, EQ, 03-Jan-2023,173.32,173.29,174.53,172.13, 174.45,174.26,174.35,63196,110.18,325, 60681, 96.02,0.54
ICICIALPLV, EQ, 03-Feb-2021,139.44,144.7,144.7,139.0, 140.28,141.09,140.83,2004,2.82,132, 1022, 51.00,1.18
ICICIALPLV, EQ, 03-Feb-2022,173.21,172.9,174.96,171.3, 171.75,171.34,171.57,60270,103.41,337, 58370, 96.85,-1.08
ICICIALPLV, EQ, 03-Feb-2023,171.1,172.97,172.97,170.01, 172.73,172.3,171.04,25354,43.37,382, 22465, 88.61,0.7
ICICIALPLV, EQ, 03-Mar-2021,139.11,141.88,146.8,137.15,141.0,142.02,141.59,40206,56.93,126, 22560, 56.11,2.09
ICICIALPLV, EQ, 03-Mar-2022,165.34,167.49,167.9,163.14,164.17,164.11,164.35,142560,234.29,402, 118852, 83.37,-0.74
ICICIALPLV, EQ, 03-Mar-2023,168.83,168.83,171.25,168.83, 170.55,171.15,170.99,44136,75.47,393, 41962, 95.07,1.37
ICICIALPLV, EQ, 03-Apr-2023,170.81,172.78,173.84,170.5, 172.00,171.56,171.64,44182,75.83,799, 40593, 91.88,0.44
ICICIALPLV, EQ, 03-May-2021,144.46,131.7,145.96,131.7,145.2,145.18,144.85,2798,4.05,264, 2081, 74.37,0.5
ICICIALPLV, EQ, 03-May-2023,180.09,179.28,180.29,179.01,179.01,179.29,179.99,85753,154.35,450, 82496, 96.20,-0.44
ICICIALPLV, EQ, 03-Jun-2021,153.79,154.98,155.98,153.0, 154.30,154.29,154.14,3700,5.7,147, 2964, 80.11,0.33
ICICIALPLV, EQ, 03-Jun-2022,160.01,162.95,162.95,158.0, 158.41,158.39,159.25,32444,51.67,312, 31550, 97.24,-1.01
ICICIALPLV, EQ, 03-Jul-2023,193.84,195.89,195.89,194.08, 194.65,194.82,194.79,7260,14.14,834, 5877, 80.95,0.51
ICICIALPLV, EQ, 03-Aug-2021,163.96,164.98,165.5,162.52,165.0,165.0,164.14,3719,6.1,218, 2695, 72.47,0.63
ICICIALPLV, EQ, 03-Aug-2022,168.32,169.4,169.4,166.34, 168.01,167.99,167.55,22444,37.61,313, 12339, 54.98,-0.2
ICICIALPLV, EQ, 03-Aug-2023,199.89,200.05,201.87,199.02, 199.30,199.36,199.4,100473,200.35,390, 97389, 96.93,-0.27
ICICIALPLV, EQ, 03-Sep-2020,117.5,117.5,119.0,117.5, 118.75,118.62,118.61,2689,3.19,28, 2667, 99.18,0.95
ICICIALPLV, EQ, 03-Sep-2021,178.68,183.7,183.7,176.2, 179.00,178.91,178.84,9258,16.56,282, 5878, 63.49,0.13
ICICIALPLV, EQ, 03-Oct-2022,172.15,172.14,172.99,170.25,171.44,170.9,171.63,23041,39.55,797, 16810, 72.96,-0.73
ICICIALPLV, EQ, 03-Oct-2023,204.17,204.17,205.98,201.96, 202.76,202.08,202.5,71059,143.89,1248, 42401, 59.67,-1.02
ICICIALPLV, EQ, 03-Nov-2020,121.9,122.0,124.0,121.5,122.83,122.81,122.58,679,0.83,23, 447, 65.83,0.75
ICICIALPLV, EQ, 03-Nov-2021,175.79,177.49,177.74,175.08, 175.75,175.68,175.78,11628,20.44,264, 10628, 91.40,-0.06
ICICIALPLV, EQ, 03-Nov-2022,178.37,178.0,179.88,177.01,178.1,178.27,177.89,152973,272.12,371, 128061, 83.71,-0.06
ICICIALPLV, EQ, 03-Nov-2023,202.67,202.98,204.46,202.98, 204.46,203.95,203.94,41446,84.53,376, 36805, 88.80,0.63
ICICIALPLV, EQ, 03-Dec-2020,130.81,130.0,131.96,129.0,131.96,131.96,131.1,1451,1.9,32, 1238, 85.32,0.88
ICICIALPLV, EQ, 03-Dec-2021,173.39,175.39,175.8,172.36, 172.50,172.75,172.94,21384,36.98,256, 19466, 91.03,-0.37
ICICIALPLV, EQ, 04-Jan-2021,138.98,158.0,158.0,139.0,140.48,140.47,139.7,7657,10.7,119, 1738, 22.70,1.07
ICICIALPLV, EQ, 04-Jan-2022,180.82,182.5,182.5,179.5, 180.80,181.2,180.67,30286,54.72,344, 17387, 57.41,0.21
ICICIALPLV, EQ, 04-Jan-2023,174.26,173.31,174.46,172.51, 173.00,173.01,173.79,13715,23.84,300, 12436, 90.67,-0.72
ICICIALPLV, EQ, 04-Feb-2021,141.09,147.0,147.0,140.35, 141.00,141.29,141.22,2420,3.42,73, 1109, 45.83,0.14
ICICIALPLV, EQ, 04-Feb-2022,171.34,173.49,173.49,171.34, 172.22,172.25,172.25,12434,21.42,239, 6428, 51.70,0.53
ICICIALPLV, EQ, 04-Mar-2021,142.02,143.0,143.98,140.2, 142.30,142.02,141.58,2107,2.98,78, 728, 34.55,0.0
ICICIALPLV, EQ, 04-Mar-2022,164.11,163.99,163.99,159.83, 161.20,161.0,161.34,141817,228.81,755, 73619, 51.91,-1.9
ICICIALPLV, EQ, 04-Apr-2022,171.76,173.75,174.98,170.85,172.68,173.4,173.25,80520,139.5,705, 74366, 92.36,0.95
ICICIALPLV, EQ, 04-May-2021,145.18,149.7,154.7,142.26, 144.40,144.03,144.87,3333,4.83,153, 2981, 89.44,-0.79
ICICIALPLV, EQ, 04-May-2022,167.96,169.9,169.98,163.66,164.47,164.19,164.66,70577,116.21,807, 42441, 60.13,-2.24
ICICIALPLV, EQ, 04-May-2023,179.29,179.5,180.78,179.5, 179.71,180.22,180.7,84993,153.59,342, 84066, 98.91,0.52
ICICIALPLV, EQ, 04-Jun-2021,154.29,155.9,155.98,154.0, 154.10,154.48,154.53,1861,2.88,118, 1254, 67.38,0.12
ICICIALPLV, EQ, 04-Jul-2022,151.73,151.73,154.8,147.3,154.8,154.65,153.75,26829,41.25,640, 24783, 92.37,1.92
ICICIALPLV, EQ, 04-Jul-2023,194.82,194.82,195.99,194.01, 194.89,194.83,194.6,8182,15.92,371, 4657, 56.92,0.01
ICICIALPLV, EQ, 04-Aug-2021,165.0,163.01,167.48,163.01,164.45,163.73,164.78,5795,9.55,196, 2721, 46.95,-0.77
ICICIALPLV, EQ, 04-Aug-2022,167.99,169.45,169.45,166.34,168.03,168.02,167.47,27581,46.19,285, 8510, 30.85,0.02
ICICIALPLV, EQ, 04-Aug-2023,199.36,200.27,201.08,198.81, 200.00,198.83,199.78,155873,311.4,451, 142927, 91.69,-0.27
ICICIALPLV, EQ, 04-Sep-2020,118.62,118.05,123.4,117.6,117.7,118.48,118.78,1852,2.2,60, 966, 52.16,-0.12
ICICIALPLV, EQ, 04-Sep-2023,197.82,199.5,199.5,197.65, 198.75,198.63,198.51,23752,47.15,896, 22218, 93.54,0.41
ICICIALPLV, EQ, 04-Oct-2021,178.19,180.49,180.49,178.2, 180.23,180.23,180.07,41467,74.67,573, 39129, 94.36,1.14
ICICIALPLV, EQ, 04-Oct-2022,170.9,170.9,173.97,170.9, 172.11,172.52,172.53,2254,3.89,269, 1439, 63.84,0.95
ICICIALPLV, EQ, 04-Oct-2023,202.08,200.16,203.95,199.58, 199.70,199.83,200.32,62140,124.48,358, 61331, 98.70,-1.11
ICICIALPLV, EQ, 04-Nov-2020,122.81,124.0,126.0,123.0,123.6,123.6,124.57,1262,1.57,19, 610, 48.34,0.64
ICICIALPLV, EQ, 04-Nov-2022,178.27,179.99,179.99,176.05,178.75,178.07,177.9,19974,35.53,338, 9768, 48.90,-0.11
ICICIALPLV, EQ, 04-Dec-2020,131.96,133.0,134.0,131.75, 131.80,131.8,132.19,1567,2.07,49, 1505, 96.04,-0.12
ICICIALPLV, EQ, 04-Dec-2023,222.74,222.74,226.85,222.74, 226.19,226.65,226.24,228953,517.99,846, 200720, 87.67,1.76
ICICIALPLV, EQ, 05-Jan-2021,140.47,140.95,141.35,139.63, 141.35,140.94,140.63,1391,1.96,88, 1231, 88.50,0.33
ICICIALPLV, EQ, 05-Jan-2022,181.2,182.79,182.79,180.0, 180.90,181.05,180.96,16712,30.24,170, 14649, 87.66,-0.08
ICICIALPLV, EQ, 05-Jan-2023,173.01,173.79,174.99,172.81,174.65,174.44,174.02,29988,52.19,258, 26058, 86.89,0.83
ICICIALPLV, EQ, 05-Feb-2021,141.29,142.0,142.0,136.63, 141.00,141.0,140.1,1982,2.78,126, 1222, 61.65,-0.21
ICICIALPLV, EQ, 05-Mar-2021,142.02,146.7,146.7,136.23,140.35,140.29,141.1,3116,4.4,173, 2423, 77.76,-1.22
ICICIALPLV, EQ, 05-Apr-2021,143.35,146.7,146.7,141.31,142.85,142.83,142.29,3526,5.02,302, 2660, 75.44,-0.36
ICICIALPLV, EQ, 05-Apr-2022,173.4,175.0,175.37,172.57, 174.95,175.2,175.04,104155,182.32,270, 79083, 75.93,1.04
ICICIALPLV, EQ, 05-Apr-2023,171.56,171.55,172.73,171.01, 172.30,172.33,172.34,27439,47.29,368, 20638, 75.21,0.45
ICICIALPLV, EQ, 05-May-2021,144.03,145.95,145.95,142.51, 145.25,145.5,144.48,7810,11.28,262, 6097, 78.07,1.02
ICICIALPLV, EQ, 05-May-2022,164.19,168.9,168.9,163.66, 163.88,163.85,164.05,27593,45.27,264, 26602, 96.41,-0.21
ICICIALPLV, EQ, 05-May-2023,180.22,180.71,181.5,179.9, 179.91,180.58,181.2,38633,70.0,296, 32494, 84.11,0.2
ICICIALPLV, EQ, 05-Jun-2023,187.1,187.09,188.13,187.04, 187.05,187.07,187.8,116063,217.96,639, 81070, 69.85,-0.02
ICICIALPLV, EQ, 05-Jul-2021,158.66,163.7,163.7,158.4, 159.50,159.5,159.37,3312,5.28,294, 2572, 77.66,0.53
ICICIALPLV, EQ, 05-Jul-2022,154.65,156.9,156.9,153.7,154.71,154.59,154.7,21970,33.99,182, 20630, 93.90,-0.04
ICICIALPLV, EQ, 05-Jul-2023,194.83,195.12,197.0,195.12,197.0,196.73,196.47,137871,270.88,228, 129484, 93.92,0.98
ICICIALPLV, EQ, 05-Aug-2021,163.73,167.7,167.7,164.0,166.18,164.88,164.85,9574,15.78,146, 8797, 91.88,0.7
ICICIALPLV, EQ, 05-Aug-2022,168.02,165.1,169.5,165.1,168.79,168.74,168.74,5307,8.96,240, 3052, 57.51,0.43
ICICIALPLV, EQ, 05-Sep-2022,171.92,175.3,175.3,171.88, 172.80,172.87,172.96,32441,56.11,567, 23018, 70.95,0.55
ICICIALPLV, EQ, 05-Sep-2023,198.63,198.63,199.65,198.48, 199.65,199.53,199.43,28552,56.94,330, 24255, 84.95,0.45
ICICIALPLV, EQ, 05-Oct-2020,121.7,121.7,139.55,117.68, 122.10,122.1,122.17,3796,4.64,44, 773, 20.36,0.33
ICICIALPLV, EQ, 05-Oct-2021,180.23,181.95,182.0,179.12, 180.90,180.8,180.41,19809,35.74,188, 13622, 68.77,0.32
ICICIALPLV, EQ, 05-Oct-2023,199.83,199.84,201.43,199.84, 200.88,200.33,200.63,60077,120.53,227, 28056, 46.70,0.25
ICICIALPLV, EQ, 05-Nov-2020,123.6,124.1,124.88,124.0, 124.50,124.33,124.47,1748,2.18,23, 1647, 94.22,0.59
ICICIALPLV, EQ, 05-Dec-2022,180.82,183.97,183.97,178.16, 180.39,180.07,179.88,5431,9.77,560, 3798, 69.93,-0.41
ICICIALPLV, EQ, 05-Dec-2023,226.65,226.65,228.59,226.14, 228.09,228.08,227.6,83347,189.7,328, 59232, 71.07,0.63
ICICIALPLV, EQ, 06-Jan-2021,140.94,149.25,158.0,137.15, 140.70,140.65,139.78,12047,16.84,216, 6070, 50.39,-0.21
ICICIALPLV, EQ, 06-Jan-2022,181.05,181.99,182.49,178.51, 179.80,179.67,179.69,58548,105.2,505, 44812, 76.54,-0.76
ICICIALPLV, EQ, 06-Jan-2023,174.44,176.96,176.96,173.0,173.82,173.62,173.8,49561,86.14,401, 47928, 96.71,-0.47
ICICIALPLV, EQ, 06-Feb-2023,172.3,169.01,173.14,169.01, 173.14,172.5,172.47,28541,49.23,665, 21295, 74.61,0.12
ICICIALPLV, EQ, 06-Mar-2023,171.15,171.14,172.47,169.37, 171.26,171.33,172.29,44243,76.23,684, 41095, 92.88,0.11
ICICIALPLV, EQ, 06-Apr-2021,142.83,144.9,146.7,141.5,143.85,143.68,143.69,2061,2.96,145, 1496, 72.59,0.6
ICICIALPLV, EQ, 06-Apr-2022,175.2,175.99,176.99,172.77, 174.05,174.04,174.05,49331,85.86,434, 43511, 88.20,-0.66
ICICIALPLV, EQ, 06-Apr-2023,172.33,172.32,172.91,172.01, 172.61,172.44,172.62,4074,7.03,384, 3297, 80.93,0.06
ICICIALPLV, EQ, 06-May-2021,145.5,146.8,147.0,145.41, 147.00,146.88,146.56,969,1.42,143, 777, 80.19,0.95
ICICIALPLV, EQ, 06-May-2022,163.85,163.8,164.49,159.65,160.45,159.99,160.57,64894,104.2,715, 53281, 82.10,-2.36
ICICIALPLV, EQ, 06-Jun-2022,158.39,159.9,159.9,156.42,157.7,157.55,157.45,12758,20.09,590, 11336, 88.85,-0.53
ICICIALPLV, EQ, 06-Jun-2023,187.07,188.55,188.55,187.07,187.61,187.74,187.52,3314,6.21,399, 2400, 72.42,0.36
ICICIALPLV, EQ, 06-Jul-2021,159.5,160.97,160.97,158.8, 159.10,159.01,159.7,1698,2.71,189, 1391, 81.92,-0.31
ICICIALPLV, EQ, 06-Jul-2022,154.59,153.05,156.5,153.0,156.0,156.33,155.73,26073,40.6,404, 16938, 64.96,1.13
ICICIALPLV, EQ, 06-Jul-2023,196.73,197.83,198.45,196.74,198.45,198.18,197.5,36319,71.73,447, 15145, 41.70,0.74
ICICIALPLV, EQ, 06-Aug-2021,164.88,169.7,169.7,163.95, 164.25,164.25,164.6,2719,4.48,177, 2529, 93.01,-0.38
ICICIALPLV, EQ, 06-Sep-2021,178.91,181.98,181.98,177.11,179.8,179.69,179.83,7087,12.74,494, 5504, 77.66,0.44
ICICIALPLV, EQ, 06-Sep-2022,172.87,175.3,175.3,170.4, 173.25,173.17,173.06,31493,54.5,393, 19222, 61.04,0.17
ICICIALPLV, EQ, 06-Sep-2023,199.53,199.49,199.9,199.1, 199.57,199.74,199.61,3925,7.83,406, 3027, 77.12,0.11
ICICIALPLV, EQ, 06-Oct-2020,122.1,123.0,123.45,122.3,122.3,122.82,123.06,248,0.31,16, 186, 75.00,0.59
ICICIALPLV, EQ, 06-Oct-2021,180.8,182.0,182.0,178.2, 178.59,179.03,179.32,27399,49.13,411, 21416, 78.16,-0.98
ICICIALPLV, EQ, 06-Oct-2022,172.52,174.97,174.97,171.51, 173.00,173.46,173.47,38962,67.59,425, 36504, 93.69,0.54
ICICIALPLV, EQ, 06-Oct-2023,200.33,200.33,202.57,200.33, 202.50,202.48,202.14,15099,30.52,435, 14089, 93.31,1.07
ICICIALPLV, EQ, 06-Nov-2020,124.33,124.0,125.55,124.0, 125.00,125.0,124.89,36571,45.67,18, 36063, 98.61,0.54
ICICIALPLV, EQ, 06-Nov-2023,203.95,203.95,206.0,203.94, 205.91,205.89,205.05,101771,208.68,689, 97026, 95.34,0.95
ICICIALPLV, EQ, 06-Dec-2021,172.75,174.9,174.9,170.0, 170.21,170.12,170.87,31168,53.26,616, 24766, 79.46,-1.52
ICICIALPLV, EQ, 06-Dec-2022,180.07,182.74,182.74,179.33, 180.14,179.93,179.93,3692,6.64,392, 2566, 69.50,-0.08
ICICIALPLV, EQ, 06-Dec-2023,228.08,228.26,229.0,227.67, 228.85,228.55,228.65,17828,40.76,454, 16541, 92.78,0.21
ICICIALPLV, EQ, 07-Jan-2021,140.65,153.25,153.25,140.6, 141.23,141.23,141.51,1973,2.79,63, 1310, 66.40,0.41
ICICIALPLV, EQ, 07-Jan-2022,179.67,179.8,181.6,178.55,181.0,181.33,181.25,9603,17.41,348, 9157, 95.36,0.92
ICICIALPLV, EQ, 07-Feb-2022,172.25,174.19,174.96,168.57, 169.18,169.37,170.77,24420,41.7,837, 17663, 72.33,-1.67
ICICIALPLV, EQ, 07-Feb-2023,172.5,174.48,174.48,170.15, 171.66,171.9,172.12,61750,106.29,484, 40467, 65.53,-0.35
ICICIALPLV, EQ, 07-Mar-2022,161.0,160.7,162.95,156.74, 160.00,157.9,158.3,77493,122.67,1253,56866,73.38,-1.93
ICICIALPLV, EQ, 07-Apr-2021,143.68,145.0,145.8,141.68,144.9,145.2,145.28,1999,2.9,125, 1737, 86.89,1.06
ICICIALPLV, EQ, 07-Apr-2022,174.04,172.77,175.9,172.77,173.4,173.35,173.44,52055,90.29,486, 22587, 43.39,-0.4
ICICIALPLV, EQ, 07-May-2021,146.88,149.98,149.98,146.21, 146.80,146.8,147.01,3982,5.85,133, 3723, 93.50,-0.05
