SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ICICICOMMO, EQ, 01-Feb-2023,57.19,57.25,57.6,55.7, 56.53,56.5,56.73,37798,21.44,54, 13135, 34.75,-1.21
ICICICOMMO, EQ, 01-Mar-2023,53.83,54.95,54.99,54.34, 54.51,54.64,54.6,2873,1.57,41, 2130, 74.14,1.5
ICICICOMMO, EQ, 01-Jun-2023,58.44,58.58,58.58,58.2, 58.31,58.31,58.35,13241,7.73,113, 8828, 66.67,-0.22
ICICICOMMO, EQ, 01-Aug-2023,63.58,64.12,64.21,63.01, 63.86,63.95,63.86,24290,15.51,229, 16976, 69.89,0.58
ICICICOMMO, EQ, 01-Sep-2023,62.56,63.09,63.66,63.09, 63.64,63.63,63.39,20701,13.12,142, 13925, 67.27,1.71
ICICICOMMO, EQ, 01-Nov-2023,62.78,61.52,62.92,61.52, 62.54,62.25,62.54,4072,2.55,117, 2655, 65.20,-0.84
ICICICOMMO, EQ, 01-Dec-2023,68.82,68.98,69.77,68.98, 69.50,69.46,69.42,36118,25.07,274, 24785, 68.62,0.93
ICICICOMMO, EQ, 02-Jan-2023,59.61,59.79,60.33,59.71, 60.33,60.32,59.97,6124,3.67,30, 217, 3.54,1.19
ICICICOMMO, EQ, 02-Feb-2023,56.5,56.4,56.4,56.0, 56.19,56.19,56.19,10860,6.1,22, 10296, 94.81,-0.55
ICICICOMMO, EQ, 02-Mar-2023,54.64,54.7,54.79,54.64, 54.74,54.74,54.78,765,0.42,17, 741, 96.86,0.18
ICICICOMMO, EQ, 02-May-2023,57.76,58.0,58.49,57.92, 58.25,58.44,58.32,8670,5.06,92, 5102, 58.85,1.18
ICICICOMMO, EQ, 02-Jun-2023,58.31,59.28,59.28,58.01, 58.31,58.48,58.53,13919,8.15,91, 11204, 80.49,0.29
ICICICOMMO, EQ, 02-Aug-2023,63.95,63.91,63.99,62.73, 63.25,63.15,63.23,52224,33.02,307, 33458, 64.07,-1.25
ICICICOMMO, EQ, 02-Nov-2023,62.25,62.54,63.21,62.54, 63.21,63.19,62.94,10379,6.53,63, 8780, 84.59,1.51
ICICICOMMO, EQ, 03-Jan-2023,60.32,60.28,60.28,59.4, 59.40,59.76,59.88,3237,1.94,43, 2078, 64.20,-0.93
ICICICOMMO, EQ, 03-Feb-2023,56.19,56.2,56.79,55.21, 56.05,55.98,55.83,16088,8.98,71, 10165, 63.18,-0.37
ICICICOMMO, EQ, 03-Mar-2023,54.74,54.87,55.2,54.87, 55.20,55.12,55.17,4815,2.66,34, 2752, 57.15,0.69
ICICICOMMO, EQ, 03-Apr-2023,55.58,55.59,55.9,55.54, 55.54,55.54,55.63,1905,1.06,73, 1902, 99.84,-0.07
ICICICOMMO, EQ, 03-May-2023,58.44,59.48,59.48,58.0,58.32,58.3,58.33,10516,6.13,99, 8928, 84.90,-0.24
ICICICOMMO, EQ, 03-Jul-2023,60.34,61.19,61.19,60.46, 61.14,61.04,60.92,22429,13.66,152, 16872, 75.22,1.16
ICICICOMMO, EQ, 03-Aug-2023,63.15,63.15,63.15,62.27, 62.83,62.57,62.77,87930,55.19,203, 8362, 9.51,-0.92
ICICICOMMO, EQ, 03-Oct-2023,65.12,64.8,65.99,64.4, 64.70,64.57,64.65,11653,7.53,196, 6412, 55.02,-0.84
ICICICOMMO, EQ, 03-Nov-2023,63.19,63.4,63.59,63.29, 63.42,63.48,63.45,5675,3.6,103, 3258, 57.41,0.46
ICICICOMMO, EQ, 04-Jan-2023,59.76,60.1,60.98,59.25, 59.25,59.25,59.3,7775,4.61,25, 7685, 98.84,-0.85
ICICICOMMO, EQ, 04-May-2023,58.3,58.39,58.6,58.21, 58.60,58.53,58.47,2542,1.49,37, 1943, 76.44,0.39
ICICICOMMO, EQ, 04-Jul-2023,61.04,61.3,61.97,60.75, 61.01,60.98,60.97,43824,26.72,296, 34204, 78.05,-0.1
