SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ICICIGI, EQ, 01-Jan-2020,1386.8,1389.3,1398.4,1381.6, 1385.00,1385.45,1389.55,104012,1445.3,12396, 51144, 49.17,-0.1
ICICIGI, EQ, 01-Jan-2021,1520.85,1518.0,1523.9,1505.0, 1520.00,1519.2,1515.46,172139,2608.7,10746, 64570, 37.51,-0.11
ICICIGI, EQ, 01-Jan-2024,1420.1,1429.0,1443.4,1420.0, 1440.00,1437.2,1431.64,156358,2238.48,13291, 59979, 38.36,1.2
ICICIGI, EQ, 01-Jan-2025,1787.75,1783.8,1813.55,1763.75,1807.0,1809.45,1800.54,325526,5861.21,32418, 214903, 66.02,1.21
ICICIGI, EQ, 01-Feb-2021,1315.5,1326.1,1381.9,1295.0, 1376.10,1365.35,1338.92,1468725,19665.09,94536, 690076, 46.98,3.79
ICICIGI, EQ, 01-Feb-2022,1369.1,1374.0,1402.85,1365.7,1367.85,1369.15,1381.61,857386,11845.7,46552, 498056, 58.09,0.0
ICICIGI, EQ, 01-Feb-2023,1129.75,1134.8,1144.8,1106.1, 1126.75,1125.35,1126.66,657740,7410.49,31588, 395436, 60.12,-0.39
ICICIGI, EQ, 01-Feb-2024,1497.1,1498.55,1517.5,1494.1, 1512.40,1512.35,1508.65,339207,5117.45,21388, 204099, 60.17,1.02
ICICIGI, EQ, 01-Mar-2021,1426.0,1430.0,1454.95,1406.0, 1428.50,1427.1,1429.9,414978,5933.76,37623, 243894, 58.77,0.08
ICICIGI, EQ, 01-Mar-2023,1101.85,1102.0,1105.9,1091.85, 1100.80,1100.45,1097.31,196382,2154.92,17241, 105523, 53.73,-0.13
ICICIGI, EQ, 01-Mar-2024,1711.75,1724.4,1724.4,1635.05, 1648.95,1643.85,1675.97,1532835,25689.87,83263, 965760, 63.00,-3.97
ICICIGI, EQ, 01-Apr-2020,1081.65,1084.0,1143.0,1051.1,1105.0,1105.75,1103.55,538692,5944.72,56126, 303053, 56.26,2.23
ICICIGI, EQ, 01-Apr-2021,1433.2,1438.0,1446.95,1411.0, 1439.00,1437.6,1426.16,410607,5855.93,24517, 244896, 59.64,0.31
ICICIGI, EQ, 01-Apr-2022,1328.3,1321.1,1353.15,1316.95, 1341.35,1348.6,1338.28,212179,2839.56,19898, 116301, 54.81,1.53
ICICIGI, EQ, 01-Apr-2024,1684.5,1709.0,1717.15,1690.3, 1700.00,1697.85,1702.16,296627,5049.06,22931, 142270, 47.96,0.79
ICICIGI, EQ, 01-Apr-2025,1792.85,1772.5,1808.7,1768.05,1796.0,1791.9,1791.44,535773,9598.06,47370, 337872, 63.06,-0.05
ICICIGI, EQ, 01-Jun-2020,1300.7,1310.0,1340.0,1292.0, 1296.00,1302.6,1313.04,416681,5471.19,52222, 264752, 63.54,0.15
ICICIGI, EQ, 01-Jun-2021,1471.9,1480.5,1496.0,1462.0, 1470.00,1466.8,1476.64,423101,6247.7,36869, 206779, 48.87,-0.35
ICICIGI, EQ, 01-Jun-2022,1265.85,1267.95,1267.95,1243.0,1252.2,1252.65,1252.56,469989,5886.89,30823, 343932, 73.18,-1.04
ICICIGI, EQ, 01-Jun-2023,1182.1,1173.0,1228.8,1173.0, 1224.20,1225.25,1215.24,1228214,14925.73,49255, 560519, 45.64,3.65
ICICIGI, EQ, 01-Jul-2020,1266.6,1265.0,1274.6,1248.15, 1269.00,1266.6,1259.29,405555,5107.11,26103, 238104, 58.71,0.0
ICICIGI, EQ, 01-Jul-2021,1567.0,1578.0,1594.45,1555.05, 1557.00,1558.8,1576.55,620571,9783.61,40104, 333146, 53.68,-0.52
ICICIGI, EQ, 01-Jul-2022,1120.95,1120.0,1150.0,1105.85,1144.0,1145.75,1130.65,228217,2580.35,17243, 107919, 47.29,2.21
ICICIGI, EQ, 01-Jul-2024,1789.55,1787.0,1833.0,1782.15,1802.0,1807.1,1814.77,514895,9344.16,34926, 299331, 58.13,0.98
ICICIGI, EQ, 01-Aug-2022,1219.9,1225.0,1235.0,1216.5, 1232.00,1230.8,1229.01,518200,6368.71,51892, 360598, 69.59,0.89
ICICIGI, EQ, 01-Aug-2023,1385.5,1392.0,1392.0,1352.2, 1365.70,1362.65,1365.97,850668,11619.83,39082, 522540, 61.43,-1.65
ICICIGI, EQ, 01-Aug-2024,2007.8,2024.65,2031.0,1993.55,2009.8,2004.35,2007.74,397222,7975.17,31027, 207686, 52.28,-0.17
ICICIGI, EQ, 01-Sep-2020,1256.7,1260.0,1285.0,1245.0, 1251.80,1259.45,1268.72,762728,9676.89,35346, 479200, 62.83,0.22
ICICIGI, EQ, 01-Sep-2021,1594.6,1600.0,1653.8,1600.0,1631.2,1633.45,1630.76,955812,15586.95,45217, 406690, 42.55,2.44
ICICIGI, EQ, 01-Sep-2022,1288.3,1287.9,1287.9,1265.05,1270.0,1271.5,1273.69,296026,3770.45,27061, 172726, 58.35,-1.3
ICICIGI, EQ, 01-Sep-2023,1313.7,1315.0,1354.5,1315.0, 1349.95,1341.35,1342.55,639870,8590.55,31981, 400499, 62.59,2.1
ICICIGI, EQ, 01-Oct-2020,1299.5,1291.5,1309.35,1285.0, 1301.85,1301.3,1302.08,237110,3087.37,11612, 182369, 76.91,0.14
ICICIGI, EQ, 01-Oct-2021,1589.5,1589.0,1628.0,1561.3, 1589.00,1582.55,1586.47,953316,15124.09,57858, 450129, 47.22,-0.44
ICICIGI, EQ, 01-Oct-2024,2174.4,2168.05,2214.25,2145.0,2150.3,2153.9,2159.6,381613,8241.32,30393, 172318, 45.16,-0.94
ICICIGI, EQ, 01-Nov-2021,1481.55,1489.0,1521.9,1478.05, 1520.00,1517.75,1506.91,517466,7797.74,34886, 349723, 67.58,2.44
ICICIGI, EQ, 01-Nov-2022,1169.95,1175.0,1176.75,1162.1,1172.0,1172.1,1170.79,375840,4400.31,23333, 217866, 57.97,0.18
ICICIGI, EQ, 01-Nov-2023,1373.8,1373.55,1385.4,1354.8, 1360.00,1357.8,1366.99,197008,2693.09,17873, 92100, 46.75,-1.16
ICICIGI, EQ, 01-Dec-2020,1451.4,1470.0,1499.9,1459.05,1473.15,1471.15,1483.72,1102450,16357.26,63049, 663274, 60.16,1.36
ICICIGI, EQ, 01-Dec-2021,1437.35,1446.0,1449.8,1433.55,1440.55,1440.5,1442.63,397870,5739.81,38712, 227891, 57.28,0.22
ICICIGI, EQ, 01-Dec-2022,1211.15,1212.4,1229.0,1205.0,1224.8,1224.6,1219.04,971036,11837.33,28160, 718448, 73.99,1.11
ICICIGI, EQ, 01-Dec-2023,1480.0,1492.0,1492.0,1449.55, 1456.00,1457.65,1460.84,454189,6634.96,22385, 263960, 58.12,-1.51
