SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ICICISENSX, EQ, 01-Jan-2020,430.44,432.12,445.0,429.0, 445.00,441.03,433.83,120650,523.42,216, 110553, 91.63,2.46
ICICISENSX, EQ, 01-Jan-2021,513.42,559.6,559.6,510.0, 516.70,517.27,516.85,881,4.55,98, 557, 63.22,0.75
ICICISENSX, EQ, 01-Feb-2021,499.74,500.0,525.5,499.51, 519.00,524.7,512.75,4319,22.15,189, 2917, 67.54,4.99
ICICISENSX, EQ, 01-Feb-2022,633.2,630.02,641.99,630.02,639.97,638.81,635.94,2394,15.22,193, 1726, 72.10,0.89
ICICISENSX, EQ, 01-Feb-2023,656.46,662.97,669.07,648.04, 659.30,659.11,661.79,16720,110.65,346, 2603, 15.57,0.4
ICICISENSX, EQ, 01-Mar-2021,533.6,538.0,547.0,534.01, 536.00,536.35,537.33,3019,16.22,127, 2855, 94.57,0.52
ICICISENSX, EQ, 01-Mar-2023,651.14,655.69,656.24,652.2, 653.90,654.32,653.97,2150,14.06,123, 1198, 55.72,0.49
ICICISENSX, EQ, 01-Apr-2020,324.88,329.95,329.95,310.0,317.95,316.24,318.57,7533,24.0,402, 5876, 78.00,-2.66
ICICISENSX, EQ, 01-Apr-2021,533.86,538.99,540.98,526.05, 540.50,537.49,534.86,2693,14.4,152, 1459, 54.18,0.68
ICICISENSX, EQ, 01-Apr-2022,636.12,640.99,645.0,615.0, 645.00,641.68,641.05,2578,16.53,126, 1259, 48.84,0.87
ICICISENSX, EQ, 01-Jun-2020,343.22,344.0,358.7,344.0, 357.00,356.09,355.96,14286,50.85,187, 7666, 53.66,3.75
ICICISENSX, EQ, 01-Jun-2021,556.68,560.0,562.7,559.25, 562.45,562.48,561.44,1883,10.57,121, 1048, 55.66,1.04
ICICISENSX, EQ, 01-Jun-2022,608.05,610.0,611.15,605.1,605.53,606.07,606.35,2329,14.12,100, 2120, 91.03,-0.33
ICICISENSX, EQ, 01-Jun-2023,693.97,696.79,696.79,690.0, 692.18,692.5,693.27,3540,24.54,151, 2832, 80.00,-0.21
ICICISENSX, EQ, 01-Jul-2020,373.99,377.0,389.0,371.98, 376.00,376.0,373.53,1897,7.09,69, 954, 50.29,0.54
ICICISENSX, EQ, 01-Jul-2021,569.04,567.0,570.0,566.95, 567.80,567.89,569.44,1844,10.5,58, 1766, 95.77,-0.2
ICICISENSX, EQ, 01-Jul-2022,582.44,581.3,581.3,572.0,578.4,578.08,575.08,8113,46.66,227, 2374, 29.26,-0.75
ICICISENSX, EQ, 01-Aug-2022,629.38,629.38,637.2,625.03, 636.00,635.88,635.63,13633,86.66,293, 10028, 73.56,1.03
ICICISENSX, EQ, 01-Aug-2023,738.55,739.68,741.99,738.0, 739.50,739.28,739.5,911,6.74,105, 550, 60.37,0.1
ICICISENSX, EQ, 01-Sep-2020,417.45,415.05,427.23,395.0, 418.00,417.91,417.86,22874,95.58,127, 14320, 62.60,0.11
ICICISENSX, EQ, 01-Sep-2021,620.52,624.99,628.99,622.0,624.0,624.6,625.71,708,4.43,96, 351, 49.58,0.66
ICICISENSX, EQ, 01-Sep-2022,650.65,647.0,650.5,644.01,645.0,646.54,648.0,4390,28.45,217, 3491, 79.52,-0.63
ICICISENSX, EQ, 01-Sep-2023,722.99,726.1,728.0,722.99, 728.00,727.99,725.43,649,4.71,119, 477, 73.50,0.69
ICICISENSX, EQ, 01-Oct-2020,408.84,416.0,417.15,413.06, 415.00,415.25,416.38,925,3.85,63, 800, 86.49,1.57
ICICISENSX, EQ, 01-Oct-2021,642.56,632.04,640.3,543.95, 639.00,639.0,633.31,1987,12.58,143, 1125, 56.62,-0.55
ICICISENSX, EQ, 01-Nov-2021,646.67,651.99,654.89,645.11, 654.00,652.49,650.54,1778,11.57,157, 1525, 85.77,0.9
ICICISENSX, EQ, 01-Nov-2022,666.11,671.69,672.59,666.6,670.16,671.65,671.01,7991,53.62,226, 5567, 69.67,0.83
ICICISENSX, EQ, 01-Nov-2023,713.29,714.64,714.64,708.36, 711.19,710.11,711.27,2525,17.96,202, 2264, 89.66,-0.45
ICICISENSX, EQ, 01-Dec-2020,473.91,479.97,481.48,470.01,481.0,479.6,479.33,490,2.35,92, 292, 59.59,1.2
ICICISENSX, EQ, 01-Dec-2021,622.32,632.99,632.99,618.1,625.01,624.96,625.54,5088,31.83,116, 2444, 48.03,0.42
ICICISENSX, EQ, 01-Dec-2022,692.26,698.97,701.13,695.01,695.01,697.13,696.74,2853,19.88,167, 1872, 65.62,0.7
ICICISENSX, EQ, 01-Dec-2023,747.55,751.0,753.81,748.19, 750.67,751.0,751.35,2184,16.41,214, 1536, 70.33,0.46
ICICISENSX, EQ, 02-Jan-2020,441.03,442.53,444.27,440.41, 443.00,443.0,442.34,448,1.98,43, 419, 93.53,0.45
ICICISENSX, EQ, 02-Jan-2023,671.63,673.58,675.9,668.02, 674.10,673.66,671.85,2313,15.54,155, 1292, 55.86,0.3
ICICISENSX, EQ, 02-Feb-2021,524.7,524.71,538.94,524.71, 535.00,533.29,534.5,1592,8.51,157, 1272, 79.90,1.64
ICICISENSX, EQ, 02-Feb-2022,638.81,640.0,647.99,640.0, 645.90,646.51,645.02,1717,11.07,119, 1097, 63.89,1.21
ICICISENSX, EQ, 02-Feb-2023,659.11,656.95,659.99,654.98, 659.50,659.46,658.07,833,5.48,112, 688, 82.59,0.05
ICICISENSX, EQ, 02-Mar-2020,409.7,430.3,446.0,403.07, 407.92,405.16,411.04,2848,11.71,212, 1715, 60.22,-1.11
ICICISENSX, EQ, 02-Mar-2021,536.35,539.99,544.31,538.0,541.01,542.01,541.77,3483,18.87,88, 3027, 86.91,1.06
ICICISENSX, EQ, 02-Mar-2022,610.21,614.98,614.98,599.74, 605.60,604.01,602.2,9721,58.54,421, 5674, 58.37,-1.02
ICICISENSX, EQ, 02-Mar-2023,654.32,654.32,654.32,647.58, 650.10,651.04,651.36,3820,24.88,170, 3138, 82.15,-0.5
ICICISENSX, EQ, 02-May-2022,623.65,622.0,622.33,610.65,619.51,621.69,618.67,2074,12.83,164, 1672, 80.62,-0.31
ICICISENSX, EQ, 02-May-2023,671.6,674.9,699.7,673.01, 677.08,675.37,676.66,2462,16.66,229, 1678, 68.16,0.56
ICICISENSX, EQ, 02-Jun-2020,356.09,358.0,361.0,345.0,359.95,360.01,358.97,2442,8.77,119, 1872, 76.66,1.1
ICICISENSX, EQ, 02-Jun-2021,562.48,564.0,564.97,555.25, 561.50,557.77,557.51,1133,6.32,121, 731, 64.52,-0.84
ICICISENSX, EQ, 02-Jun-2022,606.07,609.0,612.1,605.5,608.05,610.78,608.61,568,3.46,85, 502, 88.38,0.78
ICICISENSX, EQ, 02-Jun-2023,692.5,694.0,698.98,691.91, 693.25,694.01,694.22,1117,7.75,102, 836, 74.84,0.22
ICICISENSX, EQ, 02-Jul-2020,376.0,377.99,385.8,374.61, 383.68,382.73,384.16,2182,8.38,120, 1409, 64.57,1.79
ICICISENSX, EQ, 02-Jul-2021,567.89,566.0,568.35,566.0,566.75,566.75,567.35,508,2.88,47, 471, 92.72,-0.2
ICICISENSX, EQ, 02-Aug-2021,570.38,574.99,576.0,570.0,571.2,572.11,573.11,1435,8.22,133, 957, 66.69,0.3
ICICISENSX, EQ, 02-Aug-2022,635.88,638.0,639.0,631.0,637.0,638.13,636.02,7354,46.77,286, 3929, 53.43,0.35
ICICISENSX, EQ, 02-Aug-2023,739.28,743.98,743.98,729.25, 732.90,732.66,733.0,2559,18.76,250, 2037, 79.60,-0.9
ICICISENSX, EQ, 02-Sep-2020,417.91,422.0,422.0,416.52, 421.40,419.1,418.57,408,1.71,60, 210, 51.47,0.28
ICICISENSX, EQ, 02-Sep-2021,624.6,627.99,630.5,617.05, 630.50,629.0,627.55,1462,9.17,113, 822, 56.22,0.7
ICICISENSX, EQ, 02-Sep-2022,646.54,647.99,647.99,642.84,647.08,647.43,646.07,1419,9.17,114, 920, 64.83,0.14
ICICISENSX, EQ, 02-Nov-2020,426.75,429.95,429.95,423.04, 429.00,428.73,426.43,532,2.27,78, 247, 46.43,0.46
ICICISENSX, EQ, 02-Nov-2021,652.49,657.99,662.0,650.12, 650.12,651.47,655.73,1351,8.86,104, 886, 65.58,-0.16
ICICISENSX, EQ, 02-Nov-2022,671.65,673.99,673.99,668.02,668.25,668.6,669.06,4396,29.41,133, 4012, 91.26,-0.45
ICICISENSX, EQ, 02-Nov-2023,710.11,715.99,716.99,712.58, 716.29,715.33,714.59,1204,8.6,110, 705, 58.55,0.74
ICICISENSX, EQ, 02-Dec-2020,479.6,482.0,482.0,474.8, 478.84,477.74,478.28,927,4.43,74, 609, 65.70,-0.39
ICICISENSX, EQ, 02-Dec-2021,624.96,625.0,635.23,620.04, 633.60,633.62,631.77,4907,31.0,127, 1911, 38.94,1.39
