SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
IFCI, EQ, 01-Jan-2020,6.6,6.65,6.9,6.6, 6.70,6.7,6.76,2112650,142.75,11068, 951056, 45.02,1.52
IFCI, EQ, 01-Jan-2021,9.15,9.2,9.6,9.15, 9.45,9.4,9.39,5683500,533.72,37818, 2159449, 38.00,2.73
IFCI, EQ, 01-Jan-2024,29.15,29.3,29.55,28.8, 29.00,29.0,29.2,16660307,4865.09,15417, 4524864, 27.16,-0.51
IFCI, EQ, 01-Jan-2025,62.26,62.03,62.9,61.26,62.0,62.03,62.12,5094745,3164.86,26960, 1263995, 24.81,-0.37
IFCI, EQ, 01-Feb-2021,8.8,8.9,9.15,8.8, 9.05,9.05,9.0,3736855,336.34,34621, 1827541, 48.91,2.84
IFCI, EQ, 01-Feb-2022,15.05,15.2,15.3,14.9,15.15,15.2,15.16,2958082,448.43,7735, 1074491, 36.32,1.0
IFCI, EQ, 01-Feb-2023,12.6,12.8,12.9,11.95, 12.00,12.15,12.57,12644756,1589.78,6419, 2501097, 19.78,-3.57
IFCI, EQ, 01-Feb-2024,61.05,62.8,64.1,60.0, 62.30,62.1,63.06,103412383,65207.96,200703, 28704228, 27.76,1.72
IFCI, EQ, 01-Mar-2021,8.9,9.05,9.9,8.95, 9.50,9.5,9.49,10008636,950.3,59118, 3665378, 36.62,6.74
IFCI, EQ, 01-Mar-2023,10.9,10.9,11.5,10.9, 11.50,11.35,11.25,5616805,632.1,3835, 2049343, 36.49,4.13
IFCI, EQ, 01-Mar-2024,45.9,47.0,47.0,45.1, 45.60,45.5,45.69,10266169,4690.91,26778, 5072772, 49.41,-0.87
IFCI, EQ, 01-Apr-2020,4.05,4.0,4.05,3.95,4.0,3.95,3.97,1277753,50.74,18555, 869094, 68.02,-2.47
IFCI, EQ, 01-Apr-2021,12.0,12.1,12.6,12.05, 12.60,12.6,12.5,5987391,748.34,11887, 2384781, 39.83,5.0
IFCI, EQ, 01-Apr-2022,11.1,11.2,12.05,11.15, 11.90,12.0,11.78,8566823,1008.82,8383, 3539971, 41.32,8.11
IFCI, EQ, 01-Apr-2024,39.65,40.2,41.6,40.2, 41.60,41.6,41.25,2974284,1226.94,5831, 2363162, 79.45,4.92
IFCI, EQ, 01-Apr-2025,43.07,42.9,44.97,42.62,44.25,44.22,44.03,7124916,3137.26,27217, 1832826, 25.72,2.67
IFCI, EQ, 01-Jun-2020,4.75,5.05,5.7,5.0, 5.70,5.7,5.61,9139145,512.43,8907, 5393612, 59.02,20.0
IFCI, EQ, 01-Jun-2021,12.35,12.5,12.65,11.8, 11.95,11.95,12.08,5269097,636.63,10562, 3285032, 62.35,-3.24
IFCI, EQ, 01-Jun-2022,10.0,10.05,10.5,10.0,10.35,10.4,10.24,5820948,596.27,3959, 1637767, 28.14,4.0
IFCI, EQ, 01-Jun-2023,11.05,11.05,11.45,11.05, 11.35,11.35,11.33,5391336,610.59,3189, 2214619, 41.08,2.71
IFCI, EQ, 01-Jul-2020,7.5,7.5,7.6,7.2, 7.20,7.2,7.28,4778481,348.1,167333, 2088038, 43.70,-4.0
IFCI, EQ, 01-Jul-2021,13.95,13.95,14.3,13.75, 13.85,13.8,13.99,4583361,641.07,14140, 1295442, 28.26,-1.08
IFCI, EQ, 01-Jul-2022,8.65,8.6,9.55,8.6,9.05,9.1,9.07,3960742,359.2,4694, 1421724, 35.90,5.2
IFCI, EQ, 01-Jul-2024,61.58,61.8,62.4,60.61,60.88,60.93,61.57,10513522,6473.23,33245, 4154701, 39.52,-1.06
IFCI, EQ, 01-Aug-2022,9.7,9.75,10.1,9.7, 9.90,9.85,9.88,4639870,458.42,4020, 1943311, 41.88,1.55
IFCI, EQ, 01-Aug-2023,13.25,13.3,14.05,13.25, 13.80,13.75,13.72,18100324,2483.41,9433, 6333885, 34.99,3.77
IFCI, EQ, 01-Aug-2024,87.33,88.4,88.8,82.79,83.85,83.78,85.2,45709596,38944.39,136455, 14727142, 32.22,-4.07
IFCI, EQ, 01-Sep-2020,6.9,6.85,7.05,6.75, 6.85,6.85,6.87,1911612,131.26,80788, 1200598, 62.81,-0.72
IFCI, EQ, 01-Sep-2021,11.5,11.7,11.7,11.3,11.5,11.4,11.47,1510637,173.28,10039, 814602, 53.92,-0.87
IFCI, EQ, 01-Sep-2022,11.0,10.9,12.7,10.8,12.25,12.3,12.11,34611387,4189.81,21643, 11458830, 33.11,11.82
IFCI, EQ, 01-Sep-2023,15.25,15.3,16.05,15.0, 15.90,15.9,15.57,27649712,4304.63,15544, 10279008, 37.18,4.26
IFCI, EQ, 01-Oct-2020,6.0,6.1,6.1,5.95, 6.00,6.0,6.01,622897,37.42,33032, 388857, 62.43,0.0
IFCI, EQ, 01-Oct-2021,13.45,13.3,13.5,12.95, 13.00,13.05,13.23,5596932,740.37,31000, 2836329, 50.68,-2.97
IFCI, EQ, 01-Oct-2024,66.1,66.0,67.64,65.0,65.15,65.1,65.89,7630821,5027.92,27817, 3287358, 43.08,-1.51
IFCI, EQ, 01-Nov-2021,12.2,12.3,12.5,12.2, 12.30,12.25,12.3,1964867,241.67,12604, 742981, 37.81,0.41
IFCI, EQ, 01-Nov-2022,10.2,10.2,10.3,9.95,10.1,10.0,10.12,1849396,187.21,2604, 888694, 48.05,-1.96
IFCI, EQ, 01-Nov-2023,21.7,21.9,22.5,21.55, 21.85,21.65,21.94,24325815,5337.53,14385, 3513136, 14.44,-0.23
IFCI, EQ, 01-Dec-2020,6.4,6.45,6.7,6.35,6.65,6.65,6.57,3626938,238.18,63327, 2195345, 60.53,3.91
IFCI, EQ, 01-Dec-2021,11.7,11.95,12.05,11.75,12.05,11.95,11.91,1551438,184.71,8013, 760925, 49.05,2.14
IFCI, EQ, 01-Dec-2022,13.15,13.25,13.4,13.05,13.1,13.1,13.17,5572192,733.72,4844, 2725922, 48.92,-0.38
IFCI, EQ, 01-Dec-2023,25.4,25.4,25.7,24.85, 24.95,25.1,25.3,22417283,5670.62,15503, 6522944, 29.10,-1.18
IFCI, EQ, 02-Jan-2020,6.7,6.7,7.05,6.7, 6.80,6.85,6.86,3339811,229.05,18173, 1574979, 47.16,2.24
IFCI, EQ, 02-Jan-2023,13.8,13.8,14.25,13.7, 14.15,14.1,14.03,12221206,1714.25,9349, 3045279, 24.92,2.17
IFCI, EQ, 02-Jan-2024,29.0,29.05,29.35,28.25, 28.80,28.75,28.77,21173457,6090.71,18440, 5177779, 24.45,-0.86
IFCI, EQ, 02-Jan-2025,62.03,62.39,62.89,61.62,61.95,62.02,62.18,5178832,3220.1,24342, 1475913, 28.50,-0.02
IFCI, EQ, 02-Feb-2021,9.05,9.1,9.2,8.85, 8.95,8.9,8.97,1924872,172.73,92417, 1116795, 58.02,-1.66
IFCI, EQ, 02-Feb-2022,15.2,15.3,15.5,15.0, 15.25,15.15,15.19,3740912,568.42,5475, 1961994, 52.45,-0.33
IFCI, EQ, 02-Feb-2023,12.15,12.05,12.6,11.9, 12.20,12.3,12.37,19273795,2384.68,7585, 1926682, 10.00,1.23
IFCI, EQ, 02-Feb-2024,62.1,63.5,63.5,59.3, 60.20,60.3,60.54,44292974,26815.12,133301, 20223375, 45.66,-2.9
IFCI, EQ, 02-Mar-2020,5.3,5.35,5.5,5.2, 5.20,5.3,5.38,1777067,95.67,18651, 1021753, 57.50,0.0
IFCI, EQ, 02-Mar-2021,9.5,9.7,11.05,9.55,10.7,10.7,10.44,43350797,4526.91,65976, 13036076, 30.07,12.63
IFCI, EQ, 02-Mar-2022,12.25,12.1,12.25,11.85, 12.10,12.05,12.08,2681300,323.87,4271, 1138623, 42.47,-1.63
IFCI, EQ, 02-Mar-2023,11.35,11.45,11.6,11.05, 11.10,11.1,11.31,4247092,480.27,3846, 1079216, 25.41,-2.2
IFCI, EQ, 02-Apr-2024,41.6,42.3,43.65,42.1, 43.65,43.65,43.33,2790810,1209.34,3197, 2677527, 95.94,4.93
IFCI, EQ, 02-Apr-2025,44.22,44.22,44.74,42.9,44.52,44.43,44.02,5295364,2330.98,20792, 1614848, 30.50,0.47
IFCI, EQ, 02-May-2022,11.3,11.2,11.4,11.0,11.05,11.05,11.17,4424312,494.05,3604, 1878342, 42.46,-2.21
IFCI, EQ, 02-May-2023,11.35,11.4,11.85,11.35, 11.50,11.5,11.59,9123333,1057.82,5296, 3066449, 33.61,1.32
IFCI, EQ, 02-May-2024,45.5,49.15,50.05,47.6, 50.05,50.05,49.03,36498357,17894.94,56406, 20315734, 55.66,10.0
IFCI, EQ, 02-Jun-2020,5.7,6.5,6.8,6.25,6.8,6.8,6.72,15384790,1034.62,8019, 6524996, 42.41,19.3
IFCI, EQ, 02-Jun-2021,11.95,12.05,12.5,11.95, 12.35,12.45,12.35,5142299,635.05,9635, 2841455, 55.26,4.18
IFCI, EQ, 02-Jun-2022,10.4,10.25,11.05,10.2,10.6,10.7,10.64,8900884,947.48,5858, 2460825, 27.65,2.88
IFCI, EQ, 02-Jun-2023,11.35,11.45,11.6,11.3, 11.40,11.4,11.43,4173951,476.97,2745, 1287751, 30.85,0.44
IFCI, EQ, 02-Jul-2020,7.2,7.35,7.9,7.3, 7.90,7.9,7.69,6249512,480.88,52078, 4007305, 64.12,9.72
IFCI, EQ, 02-Jul-2021,13.8,13.9,14.1,13.65,13.85,13.8,13.84,3637004,503.37,10412, 1449183, 39.85,0.0
IFCI, EQ, 02-Jul-2024,60.93,61.18,61.37,59.35,60.15,59.95,60.36,12253956,7397.1,40942, 4767565, 38.91,-1.61
IFCI, EQ, 02-Aug-2021,14.4,14.5,14.75,14.45,14.55,14.6,14.59,3879150,565.85,4481, 2024780, 52.20,1.39
IFCI, EQ, 02-Aug-2022,9.85,9.8,10.55,9.8,10.25,10.3,10.3,11631040,1198.33,7664, 3845567, 33.06,4.57
IFCI, EQ, 02-Aug-2023,13.75,13.75,14.3,13.05, 13.30,13.25,13.69,32736688,4482.14,14119, 8795829, 26.87,-3.64
IFCI, EQ, 02-Aug-2024,83.78,81.0,83.28,80.03,81.8,81.92,82.05,33937915,27847.14,106537, 9096556, 26.80,-2.22
IFCI, EQ, 02-Sep-2020,6.85,6.9,6.95,6.8, 6.85,6.85,6.85,1241310,85.0,42028, 897585, 72.31,0.0
IFCI, EQ, 02-Sep-2021,11.4,11.5,11.6,11.35, 11.40,11.4,11.46,1317093,151.0,6297, 723298, 54.92,0.0
IFCI, EQ, 02-Sep-2022,12.3,12.3,12.35,11.85,11.95,11.9,12.05,8986452,1083.16,6094, 3619145, 40.27,-3.25
IFCI, EQ, 02-Sep-2024,74.93,74.99,75.28,72.52,72.95,73.0,73.35,12937691,9490.18,48177, 4250174, 32.85,-2.58
IFCI, EQ, 02-Nov-2020,5.8,5.9,5.9,5.8, 5.80,5.8,5.84,781710,45.62,84890, 371507, 47.52,0.0
IFCI, EQ, 02-Nov-2021,12.25,12.4,12.75,12.25, 12.55,12.5,12.48,2516487,314.14,12034, 981424, 39.00,2.04
IFCI, EQ, 02-Nov-2022,10.0,10.05,12.0,10.0,11.95,11.95,11.71,66514035,7789.52,30753, 15764216, 23.70,19.5
IFCI, EQ, 02-Nov-2023,21.65,22.05,22.7,21.8, 22.50,22.55,22.34,24205720,5406.78,14428, 4846844, 20.02,4.16
IFCI, EQ, 02-Dec-2020,6.65,6.65,7.05,6.55, 6.90,6.85,6.86,5318568,365.1,65204, 2835544, 53.31,3.01
IFCI, EQ, 02-Dec-2021,11.95,12.05,14.3,11.85, 14.30,14.3,13.58,18566698,2520.66,22925, 8279745, 44.59,19.67
IFCI, EQ, 02-Dec-2022,13.1,13.05,14.2,13.05, 13.85,13.8,13.71,29423258,4033.82,15506, 8462651, 28.76,5.34
IFCI, EQ, 02-Dec-2024,63.87,63.44,64.4,62.7,63.77,63.79,63.66,8957198,5702.11,34185, 2152762, 24.03,-0.13
IFCI, EQ, 03-Jan-2020,6.85,6.8,6.9,6.65, 6.70,6.75,6.79,1868679,126.89,9983, 1079485, 57.77,-1.46
IFCI, EQ, 03-Jan-2022,16.25,16.5,17.3,16.1, 16.75,16.7,16.76,15105022,2531.38,30460, 5581472, 36.95,2.77
IFCI, EQ, 03-Jan-2023,14.1,14.15,14.9,14.15, 14.50,14.5,14.59,20455408,2984.53,12995, 4839212, 23.66,2.84
IFCI, EQ, 03-Jan-2024,28.75,28.8,29.9,28.55, 28.95,29.0,29.31,27380111,8024.14,21709, 6618527, 24.17,0.87
IFCI, EQ, 03-Jan-2025,62.02,62.1,62.82,61.11,61.4,61.37,62.06,5400353,3351.69,27947, 1436186, 26.59,-1.05
IFCI, EQ, 03-Feb-2020,6.2,6.2,6.3,5.95, 6.05,6.05,6.08,1671573,101.62,5791, 998815, 59.75,-2.42
IFCI, EQ, 03-Feb-2021,8.9,9.1,9.1,8.9, 8.95,8.95,8.97,4178638,374.77,78246, 940049, 22.50,0.56
IFCI, EQ, 03-Feb-2022,15.15,15.2,15.7,15.1, 15.25,15.25,15.33,4758658,729.6,5811, 1948364, 40.94,0.66
IFCI, EQ, 03-Feb-2023,12.3,12.3,12.45,11.7, 12.00,12.05,12.04,24011054,2890.34,8107, 1748601, 7.28,-2.03
IFCI, EQ, 03-Feb-2025,54.05,53.5,54.04,51.61,51.95,51.92,52.49,5682722,2982.95,29768, 2192260, 38.58,-3.94
IFCI, EQ, 03-Mar-2020,5.3,5.35,5.5,5.3, 5.45,5.45,5.38,1161962,62.47,9729, 836379, 71.98,2.83
IFCI, EQ, 03-Mar-2021,10.7,10.9,12.8,10.85,12.8,12.8,12.15,54844924,6661.1,32186, 21448030, 39.11,19.63
IFCI, EQ, 03-Mar-2022,12.05,12.4,12.4,12.0,12.1,12.1,12.16,3040834,369.83,4043, 1577050, 51.86,0.41
IFCI, EQ, 03-Mar-2023,11.1,11.2,11.4,11.15, 11.25,11.3,11.3,3625286,409.74,2251, 1432486, 39.51,1.8
IFCI, EQ, 03-Mar-2025,41.09,41.7,42.44,38.81,40.78,40.71,40.32,11397973,4595.6,55506, 2597863, 22.79,-0.92
IFCI, EQ, 03-Apr-2020,3.95,4.0,4.0,3.9, 3.95,3.95,3.96,1467452,58.06,20652, 901149, 61.41,0.0
IFCI, EQ, 03-Apr-2023,9.8,9.85,10.4,9.8, 10.20,10.1,10.09,5210155,525.76,3370, 1570906, 30.15,3.06
IFCI, EQ, 03-Apr-2024,43.65,45.8,45.8,44.0, 45.80,45.8,45.57,29756158,13558.95,31889, 12153209, 40.84,4.93
IFCI, EQ, 03-Apr-2025,44.43,43.25,45.47,43.25,45.39,45.19,44.76,6546356,2930.15,25005, 2239498, 34.21,1.71
IFCI, EQ, 03-May-2021,10.9,10.8,10.95,10.7,10.95,10.85,10.84,1355023,146.88,6069, 803095, 59.27,-0.46
IFCI, EQ, 03-May-2023,11.5,11.45,12.8,11.35,12.75,12.5,12.22,27984073,3418.37,13753, 7139888, 25.51,8.7
IFCI, EQ, 03-May-2024,50.05,52.0,55.05,51.7, 52.50,52.5,53.6,93147890,49924.0,142522, 27924807, 29.98,4.9
IFCI, EQ, 03-Jun-2020,6.8,7.45,7.45,7.45,7.45,7.45,7.45,3202068,238.55,2419, 3059499, 95.55,9.56
IFCI, EQ, 03-Jun-2021,12.45,12.5,13.05,12.4, 13.05,13.05,12.94,15053416,1947.82,15180, 6469455, 42.98,4.82
IFCI, EQ, 03-Jun-2022,10.7,10.85,10.9,10.2, 10.25,10.3,10.55,3334062,351.63,3235, 1379294, 41.37,-3.74
IFCI, EQ, 03-Jun-2024,58.1,63.0,63.0,60.05,60.9,60.9,61.21,26001551,15916.42,62345, 11584104, 44.55,4.82
IFCI, EQ, 03-Jul-2020,7.9,8.15,8.2,7.65, 7.70,7.7,7.79,8069941,628.49,113253, 3722503, 46.13,-2.53
IFCI, EQ, 03-Jul-2023,11.55,11.6,12.3,11.6, 12.05,12.1,11.99,10073186,1207.36,5251, 4317626, 42.86,4.76
IFCI, EQ, 03-Jul-2024,59.95,60.35,61.48,60.03,60.66,60.71,60.69,11867481,7202.96,41564, 3727546, 31.41,1.27
IFCI, EQ, 03-Aug-2020,6.2,6.2,6.25,6.05,6.1,6.1,6.15,1556289,95.78,20300, 1081873, 69.52,-1.61
IFCI, EQ, 03-Aug-2021,14.6,14.75,14.75,14.1,14.2,14.2,14.36,5757859,826.65,5647, 2567454, 44.59,-2.74
IFCI, EQ, 03-Aug-2022,10.3,10.2,10.3,9.9, 10.10,10.1,10.1,5541693,559.9,4312, 1741285, 31.42,-1.94
IFCI, EQ, 03-Aug-2023,13.25,13.3,13.7,13.25, 13.65,13.6,13.48,12428846,1675.43,7195, 3519506, 28.32,2.64
IFCI, EQ, 03-Sep-2020,6.85,6.85,6.9,6.75, 6.85,6.8,6.81,1289642,87.85,24320, 809659, 62.78,-0.73
IFCI, EQ, 03-Sep-2021,11.4,11.45,11.8,11.35, 11.50,11.5,11.54,2520227,290.78,5023, 990435, 39.30,0.88
IFCI, EQ, 03-Sep-2024,73.0,72.99,75.75,72.5,73.58,73.8,74.24,21539551,15989.91,76366, 4649936, 21.59,1.1
IFCI, EQ, 03-Oct-2022,9.55,9.45,9.65,9.4,9.55,9.5,9.52,1948627,185.45,2239, 890214, 45.68,-0.52
IFCI, EQ, 03-Oct-2023,24.4,24.4,24.7,23.6, 23.90,23.95,24.0,31661487,7599.17,27156, 7837932, 24.76,-1.84
IFCI, EQ, 03-Oct-2024,65.1,63.45,64.25,61.5,61.85,61.98,62.73,8275099,5191.3,39553, 4454309, 53.83,-4.79
IFCI, EQ, 03-Nov-2020,5.8,5.85,5.9,5.75,5.85,5.8,5.82,611216,35.57,80836, 266725, 43.64,0.0
IFCI, EQ, 03-Nov-2021,12.5,12.65,12.75,11.5, 11.90,11.9,12.06,6969393,840.49,16762, 3154834, 45.27,-4.8
IFCI, EQ, 03-Nov-2022,11.95,11.7,11.7,11.05,11.1,11.1,11.38,16624733,1891.46,9240, 7373703, 44.35,-7.11
IFCI, EQ, 03-Nov-2023,22.55,22.65,23.85,22.4, 23.55,23.6,23.29,37961777,8839.9,24502, 8918071, 23.49,4.66
IFCI, EQ, 03-Dec-2020,6.85,6.9,7.8,6.9,7.55,7.6,7.41,16029787,1187.18,45600, 6390884, 39.87,10.95
IFCI, EQ, 03-Dec-2021,14.3,14.7,14.75,13.55, 13.55,13.65,14.0,25096688,3512.96,32931, 11525811, 45.93,-4.55
IFCI, EQ, 03-Dec-2024,63.79,63.79,67.1,63.75,65.44,65.55,65.81,13337521,8777.34,60906, 4258956, 31.93,2.76
IFCI, EQ, 04-Jan-2021,9.4,9.5,9.65,9.35,9.45,9.45,9.48,3576639,339.23,57727, 2039532, 57.02,0.53
IFCI, EQ, 04-Jan-2022,16.7,16.85,16.9,16.0, 16.25,16.3,16.35,9783291,1599.88,26897, 4470348, 45.69,-2.4
IFCI, EQ, 04-Jan-2023,14.5,14.6,14.75,13.8, 13.90,13.85,14.15,20021032,2833.59,8877, 5685264, 28.40,-4.48
IFCI, EQ, 04-Jan-2024,29.0,29.2,30.4,29.15, 29.70,29.65,29.86,37495592,11194.94,29717, 9864516, 26.31,2.24
IFCI, EQ, 04-Feb-2020,6.05,6.1,6.2,6.0, 6.15,6.1,6.11,1179901,72.07,8148, 674355, 57.15,0.83
IFCI, EQ, 04-Feb-2021,8.95,8.95,9.1,8.95, 9.00,9.0,9.0,2308698,207.82,104878, 1166425, 50.52,0.56
IFCI, EQ, 04-Feb-2022,15.25,15.4,15.45,14.8, 14.85,14.9,15.1,4848703,732.0,5370, 2510821, 51.78,-2.3
IFCI, EQ, 04-Feb-2025,51.92,53.0,53.45,51.84,52.94,52.86,52.66,4410804,2322.73,21848, 1161355, 26.33,1.81
IFCI, EQ, 04-Mar-2020,5.45,5.55,5.55,5.2, 5.35,5.3,5.33,976999,52.08,3739, 546890, 55.98,-2.75
IFCI, EQ, 04-Mar-2021,12.8,12.5,13.2,11.85, 11.90,11.9,12.37,44277323,5475.33,55801, 18729363, 42.30,-7.03
IFCI, EQ, 04-Mar-2022,12.1,11.95,12.15,11.8, 12.00,11.9,11.96,3304355,395.2,5821, 1553733, 47.02,-1.65
IFCI, EQ, 04-Mar-2024,45.75,45.95,46.0,43.65, 43.70,43.8,44.21,6295502,2783.14,24762, 3238092, 51.44,-4.26
IFCI, EQ, 04-Mar-2025,40.71,39.99,42.09,39.66,41.35,41.44,41.23,8088153,3334.35,33665, 2019416, 24.97,1.79
IFCI, EQ, 04-Apr-2022,12.0,12.2,12.45,12.05,12.3,12.3,12.23,5277677,645.68,5943, 2572556, 48.74,2.5
IFCI, EQ, 04-Apr-2024,45.8,46.65,47.8,44.35, 45.25,45.2,45.55,17236417,7851.38,35524, 8476820, 49.18,-1.31
IFCI, EQ, 04-Apr-2025,45.19,44.98,45.13,42.5,43.3,43.11,43.46,7523709,3269.66,31351, 3407223, 45.29,-4.6
IFCI, EQ, 04-May-2020,4.05,4.0,4.0,3.9, 3.95,3.95,3.95,2698914,106.49,65677, 1642864, 60.87,-2.47
IFCI, EQ, 04-May-2021,10.85,11.0,11.35,10.9, 11.00,10.95,11.2,5200861,582.26,8543, 2103641, 40.45,0.92
IFCI, EQ, 04-May-2022,11.05,11.1,11.25,10.85,10.9,10.9,11.02,3635753,400.5,4391, 1639082, 45.08,-1.36
IFCI, EQ, 04-May-2023,12.5,12.7,13.05,12.15, 12.30,12.2,12.57,15749630,1980.21,8744, 5202782, 33.03,-2.4
IFCI, EQ, 04-Jun-2020,7.45,8.15,8.15,6.75,7.2,7.15,7.31,23557938,1720.92,81632, 9524923, 40.43,-4.03
IFCI, EQ, 04-Jun-2021,13.05,13.25,13.25,12.8, 12.90,12.85,12.98,5942398,771.28,10248, 3154146, 53.08,-1.53
IFCI, EQ, 04-Jun-2024,60.9,60.9,60.9,54.85,54.85,54.85,56.27,31657453,17814.52,84773, 14344812, 45.31,-9.93
IFCI, EQ, 04-Jul-2022,9.1,9.1,9.25,9.0,9.1,9.15,9.12,1181208,107.71,1850, 593946, 50.28,0.55
IFCI, EQ, 04-Jul-2023,12.1,12.1,12.3,11.8, 11.95,11.9,12.03,9399534,1131.17,5584, 3537871, 37.64,-1.65
IFCI, EQ, 04-Jul-2024,60.71,61.0,62.69,60.66,60.9,60.87,61.65,15967234,9843.78,49207, 5350542, 33.51,0.26
IFCI, EQ, 04-Aug-2020,6.1,6.15,6.2,6.05,6.15,6.1,6.12,1481793,90.7,85434, 884862, 59.72,0.0
IFCI, EQ, 04-Aug-2021,14.2,14.25,14.35,13.75,13.8,13.8,13.97,3375988,471.76,4643, 2004380, 59.37,-2.82
IFCI, EQ, 04-Aug-2022,10.1,10.1,10.6,9.9,10.3,10.25,10.22,12162119,1243.49,7745, 2881265, 23.69,1.49
IFCI, EQ, 04-Aug-2023,13.6,13.7,14.4,13.7, 13.80,13.9,14.03,19032111,2670.88,10252, 6190782, 32.53,2.21
IFCI, EQ, 04-Sep-2020,6.8,6.8,7.8,6.65,7.15,7.05,7.25,7021444,509.36,79070, 3071337, 43.74,3.68
IFCI, EQ, 04-Sep-2023,15.9,16.1,17.55,16.05, 17.50,17.4,16.93,69635460,11792.26,40034, 21819289, 31.33,9.43
