SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
IGIL, EQ, 01-Jan-2025,553.9,561.0,603.35,557.05,595.0,594.9,581.85,5350965,31134.62,84434, 1842664, 34.44,7.4
IGIL, EQ, 01-Apr-2025,385.2,380.5,395.0,377.75,390.0,386.75,385.48,1557478,6003.82,30913, 774798, 49.75,0.4
IGIL, EQ, 02-Jan-2025,594.9,601.4,624.0,582.75,600.35,597.25,603.7,8248826,49797.91,110308, 1839922, 22.31,0.4
IGIL, EQ, 02-Apr-2025,386.75,389.15,394.5,373.2,391.25,391.1,382.03,1174281,4486.11,28040, 589203, 50.18,1.12
IGIL, EQ, 03-Jan-2025,597.25,599.4,629.0,591.35,613.6,615.2,614.63,6118584,37606.57,101116, 1584084, 25.89,3.01
IGIL, EQ, 03-Feb-2025,512.7,503.0,516.8,498.5,510.2,509.25,506.41,1176432,5957.6,17456, 659486, 56.06,-0.67
IGIL, EQ, 03-Mar-2025,406.95,385.0,385.0,366.25,366.25,366.25,369.84,2194807,8117.34,16854, 845600, 38.53,-10.0
IGIL, EQ, 03-Apr-2025,391.1,380.05,406.8,380.05,402.45,402.45,395.54,1522426,6021.79,23157, 516067, 33.90,2.9
IGIL, EQ, 04-Feb-2025,509.25,513.0,534.4,506.0,532.0,530.45,521.79,1864367,9728.07,37950, 828926, 44.46,4.16
IGIL, EQ, 04-Mar-2025,366.25,332.25,343.65,329.65,332.65,331.45,332.22,9138989,30361.13,62645, 3966734, 43.40,-9.5
IGIL, EQ, 04-Apr-2025,402.45,400.1,405.2,382.35,382.35,382.35,390.05,938525,3660.7,14227, 463435, 49.38,-4.99
IGIL, EQ, 05-Feb-2025,530.45,533.0,542.05,497.55,500.0,504.8,520.73,2582663,13448.67,42494, 1473551, 57.06,-4.84
IGIL, EQ, 05-Mar-2025,331.45,334.0,342.5,318.0,324.8,325.6,326.56,5530837,18061.29,68999, 3131557, 56.62,-1.76
