SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
IKS, EQ, 01-Jan-2025,1919.5,1928.0,1974.9,1915.25,1938.5,1943.25,1945.05,373589,7266.48,22600, 132458, 35.46,1.24
IKS, EQ, 01-Apr-2025,1528.95,1519.05,1550.95,1479.85,1485.65,1487.05,1506.38,145135,2186.29,18835, 65393, 45.06,-2.74
IKS, EQ, 02-Jan-2025,1943.25,1943.0,1951.25,1891.75,1930.9,1936.35,1924.84,424457,8170.11,21647, 152217, 35.86,-0.36
IKS, EQ, 02-Apr-2025,1487.05,1496.0,1530.0,1468.6,1520.6,1518.55,1505.9,77936,1173.64,8092, 31243, 40.09,2.12
IKS, EQ, 03-Jan-2025,1936.35,1933.3,1967.2,1910.5,1936.9,1939.1,1940.62,441187,8561.75,33267, 161225, 36.54,0.14
IKS, EQ, 03-Feb-2025,1722.25,1724.95,1807.45,1711.05,1730.0,1729.2,1745.22,131649,2297.56,14536, 52665, 40.00,0.4
IKS, EQ, 03-Mar-2025,1794.75,1811.0,1821.0,1747.2,1785.65,1786.6,1793.06,189908,3405.16,11213, 132568, 69.81,-0.45
IKS, EQ, 03-Apr-2025,1518.55,1500.0,1523.15,1448.6,1474.0,1469.95,1479.5,178507,2641.0,15279, 95283, 53.38,-3.2
IKS, EQ, 04-Feb-2025,1729.2,1735.0,1793.85,1703.2,1713.0,1724.05,1744.88,129810,2265.03,11149, 71380, 54.99,-0.3
IKS, EQ, 04-Mar-2025,1786.6,1755.0,1818.9,1739.95,1740.2,1750.6,1777.74,101928,1812.02,13012, 56102, 55.04,-2.02
IKS, EQ, 04-Apr-2025,1469.95,1462.0,1470.95,1406.2,1425.0,1420.5,1428.69,172338,2462.18,13338, 91714, 53.22,-3.36
IKS, EQ, 05-Feb-2025,1724.05,1724.05,1792.0,1715.4,1750.0,1751.9,1759.24,229233,4032.76,25175, 123391, 53.83,1.62
IKS, EQ, 05-Mar-2025,1750.6,1732.0,1806.85,1732.0,1770.0,1778.75,1777.17,65268,1159.93,10190, 23409, 35.87,1.61
IKS, EQ, 06-Jan-2025,1939.1,1948.0,1948.0,1860.0,1865.0,1867.35,1897.79,408946,7760.92,20714, 211049, 51.61,-3.7
IKS, EQ, 06-Feb-2025,1751.9,1750.25,1756.45,1672.1,1707.75,1705.75,1697.15,290264,4926.23,21483, 160306, 55.23,-2.63
IKS, EQ, 06-Mar-2025,1778.75,1785.0,1825.0,1767.8,1778.0,1789.7,1795.02,61437,1102.81,7194, 17612, 28.67,0.62
IKS, EQ, 07-Jan-2025,1867.35,1878.35,1983.85,1871.05,1975.0,1973.95,1945.18,534478,10396.58,29970, 252212, 47.19,5.71
IKS, EQ, 07-Feb-2025,1705.75,1704.95,1804.65,1694.95,1740.0,1740.7,1759.21,182342,3207.78,16439, 71569, 39.25,2.05
IKS, EQ, 07-Mar-2025,1789.7,1799.95,1800.0,1711.0,1735.0,1732.15,1746.05,69886,1220.24,11175, 32420, 46.39,-3.22
IKS, EQ, 07-Apr-2025,1420.5,1282.1,1386.4,1236.8,1342.1,1349.45,1350.82,212368,2868.72,20193, 122150, 57.52,-5.0
IKS, EQ, 08-Jan-2025,1973.95,1979.9,1980.95,1921.85,1940.0,1946.95,1949.97,215148,4195.32,13498, 55116, 25.62,-1.37
IKS, EQ, 08-Apr-2025,1349.45,1397.0,1397.0,1336.85,1359.6,1357.55,1356.07,126435,1714.55,10539, 67978, 53.77,0.6
IKS, EQ, 09-Jan-2025,1946.95,1947.0,1970.0,1924.9,1966.0,1954.05,1947.11,200486,3903.68,13751, 95237, 47.50,0.36
IKS, EQ, 09-Apr-2025,1357.55,1350.0,1352.0,1298.15,1324.85,1333.05,1323.58,214093,2833.7,20021, 147056, 68.69,-1.8
