SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
IMFA, EQ, 01-Jan-2020,189.7,194.8,194.8,191.0, 192.00,192.75,193.03,20165,38.92,270, 16898, 83.80,1.61
IMFA, EQ, 01-Jan-2021,281.15,283.1,292.0,279.05, 285.00,285.6,286.54,14569,41.75,665, 8495, 58.31,1.58
IMFA, EQ, 01-Jan-2024,499.35,500.5,522.5,498.55, 516.00,517.4,516.61,288806,1491.99,18219, 113464, 39.29,3.61
IMFA, EQ, 01-Jan-2025,855.5,855.65,914.95,854.75,901.9,902.6,893.09,159337,1423.02,17089, 56108, 35.21,5.51
IMFA, EQ, 01-Feb-2021,393.5,385.15,434.1,385.15, 428.00,427.55,413.94,100797,417.24,3479, 57643, 57.19,8.65
IMFA, EQ, 01-Feb-2022,355.3,356.0,368.35,346.0,365.0,364.6,358.49,123435,442.5,4717, 62319, 50.49,2.62
IMFA, EQ, 01-Feb-2023,286.95,286.95,294.25,277.0, 290.00,285.2,287.67,195353,561.98,8358, 78374, 40.12,-0.61
IMFA, EQ, 01-Feb-2024,657.4,661.7,661.7,636.2, 650.00,649.25,648.23,521820,3382.6,25482, 213287, 40.87,-1.24
IMFA, EQ, 01-Mar-2021,477.8,481.6,495.15,477.75, 488.05,488.85,487.83,45511,222.02,2197, 21565, 47.38,2.31
IMFA, EQ, 01-Mar-2023,311.65,314.35,323.0,310.65, 319.90,318.95,317.93,62190,197.72,4498, 37326, 60.02,2.34
IMFA, EQ, 01-Mar-2024,609.5,612.2,629.3,612.2, 623.80,622.95,622.72,92114,573.62,8497, 35479, 38.52,2.21
IMFA, EQ, 01-Apr-2020,111.15,114.95,114.95,105.2,110.9,110.7,109.87,3011,3.31,127, 1435, 47.66,-0.4
IMFA, EQ, 01-Apr-2021,452.35,455.1,495.0,455.0, 485.25,482.25,481.62,61100,294.27,2082, 39997, 65.46,6.61
IMFA, EQ, 01-Apr-2022,414.5,419.1,461.45,418.6, 458.50,459.0,447.69,277959,1244.39,8441, 152091, 54.72,10.74
IMFA, EQ, 01-Apr-2024,639.6,665.0,665.0,640.4, 646.55,646.65,651.33,311313,2027.67,13201, 170250, 54.69,1.1
IMFA, EQ, 01-Apr-2025,611.15,615.0,629.85,609.35,622.55,625.9,619.9,56076,347.62,8242, 24046, 42.88,2.41
IMFA, EQ, 01-Jun-2020,144.55,148.95,154.0,144.05, 145.00,145.3,146.46,8896,13.03,211, 6874, 77.27,0.52
IMFA, EQ, 01-Jun-2021,427.4,428.1,445.0,426.65, 444.95,443.05,436.38,55486,242.13,2503, 35627, 64.21,3.66
IMFA, EQ, 01-Jun-2022,301.5,301.5,307.55,285.0,289.0,290.2,294.72,121096,356.9,4917, 73178, 60.43,-3.75
IMFA, EQ, 01-Jun-2023,293.45,296.4,302.9,289.65, 297.40,293.6,296.7,101012,299.7,4152, 59303, 58.71,0.05
