SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
IOB, EQ, 01-Jan-2020,11.3,11.3,11.4,11.0, 11.05,11.1,11.15,856923,95.54,1464, 424706, 49.56,-1.77
IOB, EQ, 01-Jan-2021,10.7,10.75,10.85,10.65, 10.85,10.8,10.77,2686950,289.28,4031, 1294268, 48.17,0.93
IOB, EQ, 01-Jan-2024,43.3,43.25,44.3,43.15, 43.70,43.6,43.76,12879177,5636.44,19841, 3587625, 27.86,0.69
IOB, EQ, 01-Jan-2025,51.76,51.6,52.18,51.2,51.88,51.87,51.79,2928341,1516.71,14358, 797805, 27.24,0.21
IOB, EQ, 01-Feb-2021,10.7,11.0,11.2,10.8, 10.95,11.0,11.02,5262334,579.72,5689, 1744639, 33.15,2.8
IOB, EQ, 01-Feb-2022,21.4,21.8,21.95,20.05,20.85,20.8,21.31,7948546,1694.03,15091, 2827132, 35.57,-2.8
IOB, EQ, 01-Feb-2023,28.45,29.1,29.35,25.95, 27.20,27.2,28.06,44409466,12462.26,30357, 4599020, 10.36,-4.39
IOB, EQ, 01-Feb-2024,49.1,49.5,52.7,48.0, 52.20,52.05,50.76,121711880,61779.45,123896, 24777382, 20.36,6.01
IOB, EQ, 01-Mar-2021,17.9,18.9,18.9,17.7, 17.85,17.8,18.09,13488126,2440.09,18291, 5711860, 42.35,-0.56
IOB, EQ, 01-Mar-2023,24.3,24.3,25.05,24.05, 24.90,24.9,24.62,14111159,3474.23,12321, 2181056, 15.46,2.47
IOB, EQ, 01-Mar-2024,64.65,65.0,65.75,64.1, 64.65,64.6,64.84,12306519,7980.1,34324, 3125915, 25.40,-0.08
IOB, EQ, 01-Apr-2020,7.05,7.1,7.1,6.95,7.1,7.05,7.03,433120,30.43,1351, 267688, 61.80,0.0
IOB, EQ, 01-Apr-2021,16.0,17.1,17.6,16.55, 16.90,16.95,17.03,26467947,4506.83,26203, 5177201, 19.56,5.94
IOB, EQ, 01-Apr-2022,18.15,17.8,18.75,17.8, 18.45,18.55,18.48,3698003,683.35,5310, 1182702, 31.98,2.2
IOB, EQ, 01-Apr-2024,59.95,60.5,65.0,60.3, 64.90,64.75,63.1,26858536,16947.32,53614, 7097286, 26.42,8.01
IOB, EQ, 01-Apr-2025,38.97,39.0,39.05,37.6,37.69,37.7,38.19,12058764,4605.25,46768, 6217533, 51.56,-3.26
IOB, EQ, 01-Jun-2020,7.3,7.4,7.8,7.35, 7.70,7.65,7.63,1994646,152.14,2703, 850009, 42.61,4.79
IOB, EQ, 01-Jun-2021,16.85,16.8,16.9,16.45, 16.70,16.65,16.65,3867570,644.12,5025, 1755052, 45.38,-1.19
IOB, EQ, 01-Jun-2022,18.3,18.35,18.5,17.9,18.1,18.0,18.18,2155096,391.89,4269, 642548, 29.82,-1.64
IOB, EQ, 01-Jun-2023,24.45,24.2,25.45,24.2, 25.00,25.05,25.01,15348111,3839.13,12834, 4569893, 29.77,2.45
IOB, EQ, 01-Jul-2020,12.2,11.65,12.0,11.6, 11.60,11.6,11.68,13326905,1556.46,13116, 4248982, 31.88,-4.92
