SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ITI, EQ, 01-Jan-2020,92.5,92.5,93.5,91.5, 91.80,91.8,92.32,416545,384.57,3357, 138357, 33.22,-0.76
ITI, EQ, 01-Jan-2021,126.55,127.2,128.8,126.8, 127.20,127.2,127.52,279898,356.94,3791, 73435, 26.24,0.51
ITI, EQ, 01-Jan-2024,304.55,305.45,313.95,303.7, 305.85,307.25,307.94,2622245,8074.97,29701, 494392, 18.85,0.89
ITI, EQ, 01-Jan-2025,387.15,390.0,402.5,377.5,383.0,381.75,388.51,27842475,108171.89,350752, 1480147, 5.32,-1.39
ITI, EQ, 01-Feb-2021,121.1,121.95,125.45,120.8, 122.60,122.7,123.0,533866,656.67,6051, 130821, 24.50,1.32
ITI, EQ, 01-Feb-2022,115.2,117.0,119.95,115.25,116.2,116.05,117.74,539458,635.14,9765, 91630, 16.99,0.74
ITI, EQ, 01-Feb-2023,102.9,102.95,104.55,99.5, 100.00,100.45,102.19,268752,274.62,4669, 98182, 36.53,-2.38
ITI, EQ, 01-Feb-2024,341.05,345.2,352.85,339.35, 343.00,342.0,344.65,2431058,8378.74,35163, 491063, 20.20,0.28
ITI, EQ, 01-Mar-2021,126.25,127.2,131.25,126.6, 127.25,127.4,128.46,627512,806.09,6532, 152787, 24.35,0.91
ITI, EQ, 01-Mar-2023,94.25,94.5,96.55,94.4, 95.40,95.35,95.16,188383,179.27,3401, 89055, 47.27,1.17
ITI, EQ, 01-Mar-2024,298.45,298.45,302.4,288.5, 291.00,292.3,294.39,2111485,6216.06,37632, 549075, 26.00,-2.06
ITI, EQ, 01-Apr-2020,62.75,62.5,62.5,57.0,59.5,59.45,60.34,408912,246.74,4627, 154865, 37.87,-5.26
ITI, EQ, 01-Apr-2021,114.95,115.65,118.2,115.45, 117.30,117.15,116.91,266567,311.65,2805, 79904, 29.98,1.91
ITI, EQ, 01-Apr-2022,96.45,95.6,100.4,95.6, 99.20,99.15,98.74,207473,204.87,3461, 84773, 40.86,2.8
ITI, EQ, 01-Apr-2024,252.7,255.0,272.95,253.65, 269.90,270.6,265.51,2661555,7066.77,44855, 492216, 18.49,7.08
ITI, EQ, 01-Jun-2020,82.3,83.7,86.4,83.05, 85.00,85.25,85.44,1681068,1436.3,12299, 434119, 25.82,3.58
ITI, EQ, 01-Jun-2021,122.85,122.5,124.2,119.85, 120.50,120.5,121.93,373964,455.98,4598, 145399, 38.88,-1.91
ITI, EQ, 01-Jun-2022,91.85,93.25,93.5,92.15,92.75,92.5,92.88,192780,179.05,2521, 42176, 21.88,0.71
ITI, EQ, 01-Jun-2023,105.3,106.0,106.85,105.3, 105.70,105.8,105.87,242888,257.14,2453, 86831, 35.75,0.47
ITI, EQ, 01-Jul-2020,104.1,104.6,106.0,102.45, 104.05,103.85,104.11,1084966,1129.56,10174, 221662, 20.43,-0.24
ITI, EQ, 01-Jul-2021,131.45,131.45,131.45,128.0, 128.80,128.45,129.43,503996,652.31,5272, 171745, 34.08,-2.28
ITI, EQ, 01-Jul-2022,100.65,100.65,103.0,97.15,98.8,98.4,99.81,1243276,1240.94,10306, 148796, 11.97,-2.24
ITI, EQ, 01-Jul-2024,308.9,310.2,316.0,306.65,309.2,309.6,310.5,1329569,4128.32,23884, 266277, 20.03,0.23
ITI, EQ, 01-Aug-2022,116.75,117.0,119.4,116.5, 117.00,117.25,117.54,1046213,1229.73,8673, 209611, 20.04,0.43
