SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
JAYNECOIND, EQ, 01-Jan-2020,3.1,3.0,3.25,3.0, 3.25,3.2,3.22,35894,1.16,39, 33977, 94.66,3.23
JAYNECOIND, EQ, 01-Jan-2024,46.85,47.6,49.15,47.45, 49.00,48.8,48.54,508134,246.63,1451, 356554, 70.17,4.16
JAYNECOIND, EQ, 01-Jan-2025,39.38,39.5,40.2,39.32,40.1,40.04,39.78,89409,35.57,698, 62986, 70.45,1.68
JAYNECOIND, EQ, 01-Feb-2023,22.4,22.7,23.2,21.8, 22.10,22.0,22.48,207786,46.71,663, 128952, 62.06,-1.79
JAYNECOIND, EQ, 01-Feb-2024,47.6,47.65,48.2,46.55, 46.65,46.85,47.42,274211,130.04,1343, 189985, 69.28,-1.58
JAYNECOIND, EQ, 01-Mar-2021,8.05,8.45,8.45,8.45, 8.45,8.45,8.45,41043,3.47,39, 41043, 100.00,4.97
JAYNECOIND, EQ, 01-Mar-2023,22.15,22.25,22.65,22.05, 22.50,22.6,22.37,51626,11.55,187, 39709, 76.92,2.03
JAYNECOIND, EQ, 01-Mar-2024,52.8,53.1,55.4,53.1, 55.40,55.35,55.3,283023,156.52,618, 182707, 64.56,4.83
JAYNECOIND, EQ, 01-Apr-2020,1.95,2.0,2.0,2.0,2.0,2.0,2.0,1182,0.02,10, 1182, 100.00,2.56
JAYNECOIND, EQ, 01-Apr-2021,10.6,11.0,11.1,10.2, 11.10,11.1,10.95,164874,18.06,222, 110569, 67.06,4.72
JAYNECOIND, EQ, 01-Apr-2022,22.45,22.5,23.55,22.5, 23.55,23.4,23.38,42686,9.98,175, 36404, 85.28,4.23
JAYNECOIND, EQ, 01-Apr-2024,47.55,49.15,49.9,48.2, 49.90,49.9,49.43,37583,18.58,200, 33198, 88.33,4.94
JAYNECOIND, EQ, 01-Apr-2025,29.94,29.94,32.5,29.94,32.28,32.21,31.54,213316,67.29,2517, 111045, 52.06,7.58
JAYNECOIND, EQ, 01-Jun-2021,18.2,18.75,19.1,17.75, 18.95,18.7,18.75,1419407,266.16,999, 657934, 46.35,2.75
