SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
JBMA, EQ, 01-Jan-2020,285.3,285.15,289.0,280.0, 281.75,281.5,283.49,35111,99.53,1953, 14006, 39.89,-1.33
JBMA, EQ, 01-Jan-2021,278.05,279.45,280.75,271.9, 278.00,278.95,277.7,18789,52.18,725, 8439, 44.91,0.32
JBMA, EQ, 01-Jan-2024,1464.2,1498.0,1667.0,1490.15, 1623.80,1619.35,1614.44,971472,15683.82,71902, 274564, 28.26,10.6
JBMA, EQ, 01-Jan-2025,1527.5,1536.05,1553.0,1530.05,1551.6,1545.75,1543.02,66771,1030.29,7914, 23674, 35.46,1.19
JBMA, EQ, 01-Feb-2021,376.25,378.8,384.95,368.0, 382.15,381.3,377.26,52081,196.48,2263, 24457, 46.96,1.34
JBMA, EQ, 01-Feb-2022,1521.5,1525.0,1576.0,1505.0,1533.0,1528.1,1544.41,82506,1274.23,8966, 37291, 45.20,0.43
JBMA, EQ, 01-Feb-2023,534.35,539.7,547.55,503.45, 518.00,513.6,526.72,186085,980.14,8252, 72151, 38.77,-3.88
JBMA, EQ, 01-Feb-2024,1916.7,1927.6,2010.0,1920.05, 1963.00,1968.0,1972.91,341763,6742.67,30654, 116120, 33.98,2.68
JBMA, EQ, 01-Mar-2021,421.8,425.0,438.25,425.0, 431.10,432.55,433.3,44440,192.56,3647, 14885, 33.49,2.55
JBMA, EQ, 01-Mar-2023,574.35,570.0,575.05,560.0, 568.10,568.15,566.97,164297,931.51,6580, 57588, 35.05,-1.08
JBMA, EQ, 01-Mar-2024,2166.9,2184.6,2200.85,2129.0, 2130.00,2143.1,2166.48,124089,2688.36,12889, 73676, 59.37,-1.1
JBMA, EQ, 01-Apr-2020,139.3,145.0,145.0,137.0,137.0,137.7,139.3,11771,16.4,360, 7647, 64.96,-1.15
JBMA, EQ, 01-Apr-2021,421.55,427.0,432.9,417.85, 426.00,425.95,424.94,17298,73.51,888, 9104, 52.63,1.04
JBMA, EQ, 01-Apr-2022,437.3,446.0,459.15,439.0, 459.15,456.55,450.4,111508,502.23,3234, 72635, 65.14,4.4
JBMA, EQ, 01-Apr-2024,1804.15,1824.0,1866.95,1824.0, 1842.00,1839.8,1842.22,146750,2703.45,13138, 76168, 51.90,1.98
JBMA, EQ, 01-Apr-2025,591.8,582.5,615.95,581.35,607.05,605.95,606.53,549959,3335.65,15908, 145675, 26.49,2.39
JBMA, EQ, 01-Jun-2020,155.55,155.5,163.2,155.0, 156.00,155.95,158.53,32679,51.81,1407, 18587, 56.88,0.26
JBMA, EQ, 01-Jun-2021,413.65,415.75,422.8,411.5, 418.65,417.85,415.9,27901,116.04,1828, 13121, 47.03,1.02
JBMA, EQ, 01-Jun-2022,429.65,434.9,438.0,425.05,432.3,431.3,432.57,62065,268.47,2979, 36670, 59.08,0.38
JBMA, EQ, 01-Jun-2023,807.8,812.65,822.0,798.0, 803.00,804.9,812.59,241422,1961.76,8208, 79777, 33.04,-0.36
JBMA, EQ, 01-Jul-2020,219.35,214.2,222.35,211.95, 218.00,217.0,217.13,42395,92.05,1560, 20400, 48.12,-1.07
JBMA, EQ, 01-Jul-2021,429.4,429.4,444.45,426.7, 434.00,434.35,434.87,55143,239.8,4241, 21644, 39.25,1.15
JBMA, EQ, 01-Jul-2022,425.45,425.0,437.9,421.25,437.0,435.55,431.57,53659,231.57,3174, 22729, 42.36,2.37
JBMA, EQ, 01-Jul-2024,2051.3,2052.0,2277.0,2052.0,2200.25,2197.3,2206.99,1709284,37723.78,109661, 353907, 20.70,7.12
JBMA, EQ, 01-Aug-2022,430.6,437.0,437.45,428.0, 430.80,430.7,431.48,97891,422.38,3065, 69465, 70.96,0.02
