SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
JINDRILL, EQ, 01-Jan-2020,81.4,81.0,84.55,79.9, 80.60,81.0,80.79,19832,16.02,579, 11456, 57.77,-0.49
JINDRILL, EQ, 01-Jan-2021,86.4,87.4,88.4,86.05, 88.30,87.35,87.41,15393,13.45,411, 10080, 65.48,1.1
JINDRILL, EQ, 01-Jan-2024,736.9,752.0,756.95,730.1, 748.00,751.65,746.21,46417,346.37,6537, 20773, 44.75,2.0
JINDRILL, EQ, 01-Jan-2025,770.95,775.0,799.0,771.35,796.85,793.85,793.19,62116,492.7,3310, 37113, 59.75,2.97
JINDRILL, EQ, 01-Feb-2021,82.15,83.5,83.8,81.0, 83.40,83.25,82.98,5767,4.79,340, 4668, 80.94,1.34
JINDRILL, EQ, 01-Feb-2022,153.75,153.9,155.2,148.0,149.85,149.6,151.4,46533,70.45,1588, 25490, 54.78,-2.7
JINDRILL, EQ, 01-Feb-2023,262.95,266.0,266.9,259.1, 264.95,264.3,263.66,166994,440.29,3267, 112161, 67.16,0.51
JINDRILL, EQ, 01-Feb-2024,752.1,779.0,779.0,738.3, 738.30,743.2,754.95,42318,319.48,4212, 27774, 65.63,-1.18
JINDRILL, EQ, 01-Mar-2021,99.7,102.8,102.8,96.0, 97.00,96.75,97.7,35475,34.66,933, 23868, 67.28,-2.96
JINDRILL, EQ, 01-Mar-2023,288.45,286.45,293.6,285.15, 290.80,288.85,290.85,44553,129.58,2875, 30319, 68.05,0.14
JINDRILL, EQ, 01-Mar-2024,646.9,657.05,671.45,645.6, 658.00,654.35,658.22,40556,266.95,5830, 18936, 46.69,1.15
JINDRILL, EQ, 01-Apr-2020,45.8,49.5,49.5,42.5,44.0,43.8,44.22,20612,9.11,428, 13822, 67.06,-4.37
JINDRILL, EQ, 01-Apr-2021,89.8,93.5,94.25,89.4, 94.25,93.75,92.12,21054,19.4,411, 14996, 71.23,4.4
JINDRILL, EQ, 01-Apr-2022,238.8,240.2,247.95,238.0, 240.50,239.75,242.23,113694,275.4,2398, 61586, 54.17,0.4
