SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
JINDWORLD, EQ, 01-Jan-2020,63.3,64.35,64.75,62.4, 63.70,63.2,63.31,117391,74.32,1824, 14854, 12.65,-0.16
JINDWORLD, EQ, 01-Jan-2021,55.25,55.9,56.85,54.5, 55.25,54.95,55.73,181939,101.39,2508, 24034, 13.21,-0.54
JINDWORLD, EQ, 01-Jan-2024,303.4,306.0,319.0,305.85, 312.00,311.0,312.09,66274,206.83,5569, 29384, 44.34,2.5
JINDWORLD, EQ, 01-Jan-2025,396.15,402.1,431.6,398.1,422.5,423.1,423.92,1094084,4638.08,19558, 256568, 23.45,6.8
JINDWORLD, EQ, 01-Feb-2021,57.9,59.95,60.4,57.9, 58.60,58.5,59.0,212588,125.43,3434, 25204, 11.86,1.04
JINDWORLD, EQ, 01-Feb-2022,327.85,332.6,339.5,315.4,326.0,326.05,329.86,205196,676.85,13007, 72915, 35.53,-0.55
JINDWORLD, EQ, 01-Feb-2023,396.2,398.4,403.95,368.0, 379.00,377.35,387.41,91650,355.07,6706, 25031, 27.31,-4.76
JINDWORLD, EQ, 01-Feb-2024,278.95,278.95,283.05,273.0, 275.65,275.85,276.5,153666,424.89,6099, 93193, 60.65,-1.11
JINDWORLD, EQ, 01-Mar-2021,56.0,57.9,57.9,51.95, 55.25,55.8,56.78,167885,95.33,1144, 22248, 13.25,-0.36
JINDWORLD, EQ, 01-Mar-2023,303.8,303.75,329.4,303.75, 323.10,320.6,322.16,236883,763.15,10648, 65641, 27.71,5.53
JINDWORLD, EQ, 01-Mar-2024,425.85,427.8,436.95,413.25, 425.00,431.65,426.47,2340336,9980.91,41842, 402081, 17.18,1.36
JINDWORLD, EQ, 01-Apr-2020,31.0,33.0,33.0,27.9,29.4,28.85,28.91,19336,5.59,466, 10665, 55.16,-6.94
JINDWORLD, EQ, 01-Apr-2021,48.05,49.05,50.8,48.35, 49.95,49.4,48.74,160993,78.48,986, 7361, 4.57,2.81
JINDWORLD, EQ, 01-Apr-2022,280.6,279.8,309.95,277.55, 298.70,298.4,299.12,253790,759.13,9150, 100548, 39.62,6.34
JINDWORLD, EQ, 01-Apr-2024,312.6,315.0,336.1,314.05, 333.50,333.15,328.95,56572,186.09,7257, 20702, 36.59,6.57
JINDWORLD, EQ, 01-Apr-2025,71.37,71.0,74.7,67.8,73.3,73.98,72.02,8479225,6106.62,54968, 812088, 9.58,3.66
JINDWORLD, EQ, 01-Jun-2020,25.75,26.9,28.3,26.9, 28.30,28.3,27.55,26933,7.42,304, 21049, 78.15,9.9
JINDWORLD, EQ, 01-Jun-2021,52.8,53.8,53.8,51.5, 51.50,51.7,52.32,158887,83.13,631, 17758, 11.18,-2.08
JINDWORLD, EQ, 01-Jun-2023,341.65,342.0,352.8,342.0, 345.00,344.2,345.11,30235,104.35,2123, 9478, 31.35,0.75
JINDWORLD, EQ, 01-Jul-2020,47.55,49.45,49.5,46.0, 47.85,47.75,47.76,19851,9.48,204, 13539, 68.20,0.42
JINDWORLD, EQ, 01-Jul-2021,63.05,63.95,63.95,62.15, 62.50,62.55,63.2,204400,129.18,1441, 33090, 16.19,-0.79
JINDWORLD, EQ, 01-Jul-2024,345.75,348.5,349.0,342.0,345.0,344.2,345.41,17373,60.01,2051, 7296, 42.00,-0.45
JINDWORLD, EQ, 01-Aug-2022,215.85,217.9,222.2,213.7, 222.00,221.75,220.83,18240,40.28,577, 11716, 64.23,2.73
JINDWORLD, EQ, 01-Aug-2023,309.55,318.0,364.85,318.0, 336.70,339.5,348.36,2487963,8667.1,35933, 260960, 10.49,9.68
