SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
JISLJALEQS, EQ, 01-Jan-2020,7.95,8.15,8.3,7.95, 8.30,8.3,8.2,2069415,169.72,1774, 1322315, 63.90,4.4
JISLJALEQS, EQ, 01-Jan-2021,19.05,19.25,19.6,18.8, 19.00,19.0,19.2,2063282,396.18,2650, 1294007, 62.72,-0.26
JISLJALEQS, EQ, 01-Jan-2024,63.45,63.75,64.25,62.9, 63.25,63.1,63.56,1704975,1083.69,7703, 918809, 53.89,-0.55
JISLJALEQS, EQ, 01-Jan-2025,67.99,67.95,69.75,67.95,69.51,69.61,69.23,2604265,1802.8,14100, 1098702, 42.19,2.38
JISLJALEQS, EQ, 01-Feb-2021,20.95,21.3,21.65,20.0, 20.35,20.25,20.79,3340544,694.35,5593, 1584190, 47.42,-3.34
JISLJALEQS, EQ, 01-Feb-2022,41.4,41.9,42.7,40.6,41.05,41.15,41.55,2510954,1043.3,10384, 1362523, 54.26,-0.6
JISLJALEQS, EQ, 01-Feb-2023,30.85,31.25,32.25,29.1, 29.90,29.85,30.89,2532338,782.2,6639, 963389, 38.04,-3.24
JISLJALEQS, EQ, 01-Feb-2024,67.55,67.9,68.25,64.7, 65.80,65.45,66.52,6732366,4478.39,18752, 2366616, 35.15,-3.11
JISLJALEQS, EQ, 01-Mar-2021,19.0,19.0,19.3,18.2, 18.60,18.3,18.56,3180061,590.17,5689, 2483592, 78.10,-3.68
JISLJALEQS, EQ, 01-Mar-2023,26.65,26.85,27.7,26.55, 27.15,27.1,27.07,2013469,545.07,4208, 1115971, 55.43,1.69
JISLJALEQS, EQ, 01-Mar-2024,54.9,55.15,58.6,55.15, 56.70,56.8,57.36,4781549,2742.66,11968, 1446852, 30.26,3.46
JISLJALEQS, EQ, 01-Apr-2020,3.3,3.35,3.45,3.2,3.4,3.35,3.33,3065321,102.03,1801, 2191779, 71.50,1.52
