SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
JMFINANCIL, EQ, 01-Jan-2020,94.2,94.4,94.65,91.4, 91.90,91.85,92.89,249907,232.14,2356, 119903, 47.98,-2.49
JMFINANCIL, EQ, 01-Jan-2021,84.45,85.0,87.45,84.1, 86.10,86.3,86.14,1405431,1210.58,8139, 495385, 35.25,2.19
JMFINANCIL, EQ, 01-Jan-2024,98.3,98.7,100.8,97.75, 99.90,99.9,99.66,4803515,4787.09,18976, 1780391, 37.06,1.63
JMFINANCIL, EQ, 01-Jan-2025,130.0,129.56,130.99,127.6,129.8,130.04,129.37,2574249,3330.38,17110, 870471, 33.81,0.03
JMFINANCIL, EQ, 01-Feb-2021,80.0,80.1,84.05,80.1, 83.80,83.2,82.3,924433,760.83,7244, 417621, 45.18,4.0
JMFINANCIL, EQ, 01-Feb-2022,73.35,74.35,74.35,71.3,72.35,72.35,72.66,663355,481.96,6514, 384616, 57.98,-1.36
JMFINANCIL, EQ, 01-Feb-2023,65.3,65.55,68.5,64.35, 65.00,65.25,66.21,3655834,2420.65,16295, 2058944, 56.32,-0.08
JMFINANCIL, EQ, 01-Feb-2024,112.0,112.5,113.7,109.5, 111.00,110.85,111.6,3484143,3888.15,22531, 1240785, 35.61,-1.03
JMFINANCIL, EQ, 01-Mar-2021,90.9,91.5,94.0,91.0, 91.60,91.5,92.29,792668,731.54,4231, 242658, 30.61,0.66
JMFINANCIL, EQ, 01-Mar-2023,65.3,65.3,65.8,64.6, 64.80,64.8,64.93,418448,271.68,2338, 280698, 67.08,-0.77
JMFINANCIL, EQ, 01-Mar-2024,96.3,96.9,100.7,96.9, 99.25,99.4,98.87,3523113,3483.26,19280, 1164012, 33.04,3.22
JMFINANCIL, EQ, 01-Apr-2020,64.75,64.8,64.8,62.75,62.8,63.1,63.45,118348,75.09,2157, 73371, 62.00,-2.55
JMFINANCIL, EQ, 01-Apr-2021,84.55,85.1,86.5,84.25, 85.00,85.4,85.26,913377,778.72,6884, 396473, 43.41,1.01
JMFINANCIL, EQ, 01-Apr-2022,67.6,68.0,69.7,67.65, 68.60,68.3,68.68,828361,568.95,6361, 353243, 42.64,1.04
JMFINANCIL, EQ, 01-Apr-2024,74.7,75.55,80.6,75.5, 79.40,80.05,78.6,6452243,5071.52,20301, 1714244, 26.57,7.16
JMFINANCIL, EQ, 01-Apr-2025,96.09,95.8,97.4,95.0,96.6,96.36,96.25,2161651,2080.63,17978, 622836, 28.81,0.28
JMFINANCIL, EQ, 01-Jun-2020,63.9,65.0,66.95,64.3, 65.25,65.4,65.82,806763,531.05,7896, 344681, 42.72,2.35
JMFINANCIL, EQ, 01-Jun-2021,88.05,88.7,88.7,85.0, 86.10,85.55,86.22,885171,763.22,7378, 380224, 42.95,-2.84
JMFINANCIL, EQ, 01-Jun-2022,65.55,65.6,66.55,64.2,64.7,64.6,65.37,307486,201.01,4510, 124252, 40.41,-1.45
JMFINANCIL, EQ, 01-Jun-2023,70.2,70.5,70.95,69.65, 70.30,70.05,70.35,1729395,1216.55,8805, 732104, 42.33,-0.21
JMFINANCIL, EQ, 01-Jul-2020,70.0,70.5,71.5,69.2, 70.50,69.95,70.12,746815,523.67,6624, 387861, 51.94,-0.07
JMFINANCIL, EQ, 01-Jul-2021,88.5,89.5,94.7,89.15, 90.50,90.45,92.19,3871145,3568.98,18944, 940034, 24.28,2.2
JMFINANCIL, EQ, 01-Jul-2022,60.95,61.5,61.5,59.5,59.65,59.7,60.3,368055,221.94,5035, 157973, 42.92,-2.05
JMFINANCIL, EQ, 01-Jul-2024,87.56,88.5,89.48,87.11,89.09,89.09,88.76,4478789,3975.5,27124, 2484013, 55.46,1.75
JMFINANCIL, EQ, 01-Aug-2022,63.6,63.95,65.7,63.7, 64.35,64.5,64.68,751676,486.17,6226, 427484, 56.87,1.42
JMFINANCIL, EQ, 01-Aug-2023,77.85,78.0,79.65,77.4, 78.20,78.15,78.61,4514184,3548.42,15941, 2632639, 58.32,0.39
JMFINANCIL, EQ, 01-Aug-2024,104.77,105.0,105.9,103.09,104.35,103.73,104.33,2392324,2495.95,18225, 1257654, 52.57,-0.99
JMFINANCIL, EQ, 01-Sep-2020,81.65,81.6,82.25,78.25, 79.80,79.55,79.78,688690,549.4,16723, 310756, 45.12,-2.57
JMFINANCIL, EQ, 01-Sep-2021,92.45,93.05,94.25,90.8,91.25,91.6,92.76,2205582,2045.95,14848, 767312, 34.79,-0.92
JMFINANCIL, EQ, 01-Sep-2022,64.0,63.5,64.9,63.5,64.0,63.9,64.24,476517,306.1,3007, 281449, 59.06,-0.16
