SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
JSWINFRA, EQ, 01-Jan-2024,208.3,208.3,212.4,208.3, 210.30,210.65,210.54,4134909,8705.58,29448, 2227481, 53.87,1.13
JSWINFRA, EQ, 01-Jan-2025,318.0,318.05,327.7,318.05,325.65,324.2,324.88,2334077,7582.99,28289, 797436, 34.16,1.95
JSWINFRA, EQ, 01-Feb-2024,215.0,216.5,221.8,215.0, 217.95,217.75,218.02,5379944,11729.34,35239, 2390110, 44.43,1.28
JSWINFRA, EQ, 01-Mar-2024,256.5,258.4,263.8,254.95, 258.00,257.25,258.89,5578764,14442.81,44628, 2378639, 42.64,0.29
JSWINFRA, EQ, 01-Apr-2024,245.35,245.85,248.95,242.35, 247.40,247.05,246.36,8731852,21511.93,29920, 6300312, 72.15,0.69
JSWINFRA, EQ, 01-Apr-2025,319.8,316.5,326.85,315.55,316.7,316.45,319.89,1507514,4822.4,15284, 760884, 50.47,-1.05
JSWINFRA, EQ, 01-Jul-2024,328.4,330.4,358.8,330.0,354.0,353.2,349.22,11405514,39829.78,115541, 4151863, 36.40,7.55
JSWINFRA, EQ, 01-Aug-2024,338.95,340.4,342.0,331.0,331.8,331.75,335.3,1548936,5193.62,23549, 973705, 62.86,-2.12
JSWINFRA, EQ, 01-Oct-2024,345.1,345.2,351.0,340.0,346.0,345.45,344.17,2347413,8079.14,31454, 784648, 33.43,0.1
JSWINFRA, EQ, 01-Nov-2023,169.55,170.85,173.5,167.65, 168.10,168.15,170.69,2823188,4818.78,18778, 904230, 32.03,-0.83
JSWINFRA, EQ, 01-Dec-2023,210.5,211.85,224.5,211.1, 219.55,219.85,219.1,10488871,22980.95,66028, 5312454, 50.65,4.44
JSWINFRA, EQ, 02-Jan-2024,210.65,210.65,213.45,207.5, 210.25,210.25,209.99,3179497,6676.51,25506, 1595062, 50.17,-0.19
JSWINFRA, EQ, 02-Jan-2025,324.2,325.0,331.45,323.5,326.8,328.2,328.31,1666430,5471.07,23658, 749315, 44.97,1.23
JSWINFRA, EQ, 02-Feb-2024,217.75,219.6,228.0,217.0, 223.30,224.5,222.67,10243059,22808.61,57163, 4137235, 40.39,3.1
JSWINFRA, EQ, 02-Apr-2024,247.05,247.0,253.65,245.35, 251.50,252.0,250.7,4567813,11451.71,37921, 2247906, 49.21,2.0
JSWINFRA, EQ, 02-Apr-2025,316.45,317.9,323.9,314.2,322.5,322.2,320.94,1494340,4795.89,18212, 669653, 44.81,1.82
JSWINFRA, EQ, 02-May-2024,250.0,251.6,258.0,248.3, 257.75,257.3,255.21,5348662,13650.41,45328, 2719865, 50.85,2.92
JSWINFRA, EQ, 02-Jul-2024,353.2,355.2,355.2,343.1,349.75,349.6,349.1,4292107,14983.62,64752, 2601125, 60.60,-1.02
JSWINFRA, EQ, 02-Aug-2024,331.75,329.9,332.55,323.3,326.05,325.9,327.83,1627395,5335.12,27784, 811885, 49.89,-1.76
JSWINFRA, EQ, 02-Sep-2024,324.6,324.6,325.95,316.4,320.0,319.35,320.24,1240710,3973.31,22007, 598944, 48.27,-1.62
JSWINFRA, EQ, 02-Nov-2023,168.15,170.5,173.0,169.55, 171.40,171.75,171.0,1766150,3020.18,15464, 825833, 46.76,2.14
JSWINFRA, EQ, 02-Dec-2024,311.55,310.4,318.8,310.4,315.45,315.5,315.81,1416771,4474.27,37234, 688148, 48.57,1.27
JSWINFRA, EQ, 03-Jan-2024,210.25,210.25,216.8,209.5, 213.40,213.65,213.32,4654889,9929.83,33904, 2169383, 46.60,1.62
JSWINFRA, EQ, 03-Jan-2025,328.2,325.7,334.45,325.7,331.1,330.55,331.81,1868316,6199.17,25955, 1011192, 54.12,0.72
JSWINFRA, EQ, 03-Feb-2025,266.8,264.9,265.05,256.1,257.5,257.15,259.69,1147743,2980.56,30027, 528661, 46.06,-3.62
JSWINFRA, EQ, 03-Mar-2025,254.75,255.25,257.9,241.15,246.95,246.85,248.33,2069897,5140.1,39764, 971662, 46.94,-3.1
JSWINFRA, EQ, 03-Apr-2024,252.0,250.0,252.8,247.65, 250.90,251.1,250.53,3640395,9120.39,30450, 1778967, 48.87,-0.36
JSWINFRA, EQ, 03-Apr-2025,322.2,317.9,325.9,317.2,322.2,322.5,322.01,894382,2880.0,13989, 473803, 52.98,0.09
JSWINFRA, EQ, 03-May-2024,257.3,260.0,264.0,253.4, 259.50,258.5,259.89,12334925,32057.46,78799, 4410120, 35.75,0.47
JSWINFRA, EQ, 03-Jun-2024,283.05,299.9,299.95,288.95,296.2,295.7,296.09,5475517,16212.3,55241, 3112786, 56.85,4.47
JSWINFRA, EQ, 03-Jul-2024,349.6,353.1,355.0,345.3,349.25,348.25,349.43,3239958,11321.25,46258, 1948355, 60.14,-0.39
JSWINFRA, EQ, 03-Sep-2024,319.35,320.4,325.0,315.0,316.9,316.75,319.62,1325056,4235.09,24361, 687499, 51.88,-0.81
JSWINFRA, EQ, 03-Oct-2023,119.0,143.0,157.3,142.2, 157.30,157.3,150.72,122117170,184050.45,259747, 71551691, 58.59,32.18
JSWINFRA, EQ, 03-Oct-2024,345.45,340.0,343.75,330.45,332.8,333.25,336.7,2094424,7051.95,36240, 1016453, 48.53,-3.53
JSWINFRA, EQ, 03-Nov-2023,171.75,172.05,174.7,170.2, 171.30,171.45,172.37,2521359,4346.13,23002, 953775, 37.83,-0.17
JSWINFRA, EQ, 03-Dec-2024,315.5,317.25,324.95,315.95,322.25,321.7,321.83,2369436,7625.46,31402, 1134499, 47.88,1.97
JSWINFRA, EQ, 04-Jan-2024,213.65,214.2,216.25,213.4, 214.60,214.3,214.56,2952871,6335.63,28038, 1757712, 59.53,0.3
JSWINFRA, EQ, 04-Feb-2025,257.15,260.0,263.85,256.25,260.4,260.4,260.06,1348213,3506.18,25728, 643367, 47.72,1.26
