SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
KANORICHEM, EQ, 01-Jan-2020,41.15,40.1,42.0,40.1, 41.50,41.0,41.3,45775,18.91,602, 18703, 40.86,-0.36
KANORICHEM, EQ, 01-Jan-2021,49.4,50.0,50.25,49.0, 49.20,49.45,49.78,94089,46.83,1069, 49844, 52.98,0.1
KANORICHEM, EQ, 01-Jan-2024,134.35,134.95,137.35,133.15, 134.95,134.5,135.34,78717,106.54,1827, 44522, 56.56,0.11
KANORICHEM, EQ, 01-Jan-2025,112.88,112.96,118.7,112.96,117.2,117.51,115.91,43030,49.88,1365, 22744, 52.86,4.1
KANORICHEM, EQ, 01-Feb-2022,152.3,150.65,155.0,149.1,151.05,150.65,150.81,17006,25.65,402, 10335, 60.77,-1.08
KANORICHEM, EQ, 01-Feb-2023,130.3,132.8,132.8,125.6, 128.50,127.3,129.76,18569,24.09,599, 11655, 62.77,-2.3
KANORICHEM, EQ, 01-Feb-2024,132.25,131.95,135.3,130.0, 133.00,132.45,133.03,81601,108.56,1776, 33679, 41.27,0.15
KANORICHEM, EQ, 01-Mar-2023,123.7,122.6,124.75,122.6, 123.75,123.9,124.02,16598,20.59,254, 13428, 80.90,0.16
KANORICHEM, EQ, 01-Mar-2024,124.4,125.1,127.05,124.45, 125.00,124.75,125.35,17249,21.62,393, 11740, 68.06,0.28
KANORICHEM, EQ, 01-Apr-2020,23.55,24.5,25.75,24.05,24.75,24.65,24.94,29118,7.26,331, 15541, 53.37,4.67
KANORICHEM, EQ, 01-Apr-2022,136.7,138.1,143.5,138.05, 143.50,143.5,141.99,9856,13.99,291, 5244, 53.21,4.97
KANORICHEM, EQ, 01-Apr-2024,109.15,108.25,113.2,108.25, 113.10,113.0,111.98,51721,57.92,894, 29941, 57.89,3.53
KANORICHEM, EQ, 01-Apr-2025,74.93,74.01,79.5,74.01,79.5,79.0,77.17,84380,65.12,4592, 31775, 37.66,5.43
KANORICHEM, EQ, 01-Jun-2020,28.9,29.05,30.2,29.05, 29.95,29.95,29.94,14008,4.19,276, 10207, 72.87,3.63
KANORICHEM, EQ, 01-Jun-2021,127.35,121.0,123.5,121.0, 121.35,122.1,121.23,150572,182.54,1005, 105146, 69.83,-4.12
KANORICHEM, EQ, 01-Jun-2022,130.85,132.9,137.35,130.85,137.35,136.85,136.08,46257,62.94,804, 25249, 54.58,4.59
KANORICHEM, EQ, 01-Jun-2023,110.6,113.9,113.9,110.05, 112.90,112.7,112.01,6454,7.23,185, 4134, 64.05,1.9
KANORICHEM, EQ, 01-Jul-2020,33.25,33.5,34.05,32.55, 34.05,33.65,33.25,16705,5.55,226, 12073, 72.27,1.2
KANORICHEM, EQ, 01-Jul-2021,147.0,144.5,150.25,143.05, 143.05,144.55,146.35,40942,59.92,458, 30768, 75.15,-1.67
KANORICHEM, EQ, 01-Jul-2022,113.65,113.0,115.0,112.1,114.35,113.8,113.57,1970,2.24,57, 1381, 70.10,0.13
KANORICHEM, EQ, 01-Jul-2024,124.8,126.21,132.0,126.21,130.6,130.59,130.72,104722,136.89,3454, 61394, 58.63,4.64
KANORICHEM, EQ, 01-Aug-2022,137.35,138.7,140.0,136.15, 136.30,136.95,137.43,12539,17.23,301, 6684, 53.31,-0.29
KANORICHEM, EQ, 01-Aug-2023,120.75,121.9,123.7,120.65, 121.05,121.4,122.19,70662,86.34,941, 37854, 53.57,0.54
KANORICHEM, EQ, 01-Aug-2024,132.48,133.8,133.8,127.5,127.65,127.93,129.63,35966,46.62,1709, 20115, 55.93,-3.43
KANORICHEM, EQ, 01-Sep-2020,38.7,39.0,40.0,38.2, 38.25,38.4,38.57,14748,5.69,214, 11772, 79.82,-0.78
KANORICHEM, EQ, 01-Sep-2021,149.1,149.1,154.8,149.1,153.0,152.35,153.45,55584,85.29,759, 26642, 47.93,2.18
KANORICHEM, EQ, 01-Sep-2022,144.3,146.0,158.7,144.7,158.7,158.7,156.66,95578,149.73,609, 85114, 89.05,9.98
KANORICHEM, EQ, 01-Sep-2023,120.9,121.7,122.4,120.15, 121.85,121.7,121.48,85724,104.14,1303, 39917, 46.56,0.66
KANORICHEM, EQ, 01-Oct-2020,41.5,42.0,42.2,39.5, 39.55,39.8,40.65,65373,26.58,1000, 37877, 57.94,-4.1
KANORICHEM, EQ, 01-Oct-2021,197.3,201.95,203.9,194.55, 202.00,201.7,199.84,18338,36.65,498, 13330, 72.69,2.23
KANORICHEM, EQ, 01-Oct-2024,143.5,144.9,158.0,143.91,156.4,155.5,152.26,464253,706.86,6694, 201395, 43.38,8.36
KANORICHEM, EQ, 01-Nov-2021,173.25,174.0,178.75,166.0, 175.75,174.75,172.44,21995,37.93,491, 12400, 56.38,0.87
KANORICHEM, EQ, 01-Nov-2022,151.15,150.05,152.5,145.45,147.6,148.05,147.74,26371,38.96,552, 16643, 63.11,-2.05
KANORICHEM, EQ, 01-Nov-2023,125.5,124.55,125.1,119.05, 120.55,120.0,121.2,67189,81.44,1189, 41245, 61.39,-4.38
KANORICHEM, EQ, 01-Dec-2020,42.2,41.75,43.75,41.3,41.6,41.9,42.31,65703,27.8,683, 38612, 58.77,-0.71
KANORICHEM, EQ, 01-Dec-2021,158.1,161.95,166.0,157.5,160.0,158.85,163.43,45480,74.33,673, 28697, 63.10,0.47
KANORICHEM, EQ, 01-Dec-2022,131.8,132.0,133.5,128.6,130.0,129.8,130.56,20542,26.82,543, 14685, 71.49,-1.52
KANORICHEM, EQ, 01-Dec-2023,126.95,129.95,131.0,126.05, 127.80,127.7,128.88,61339,79.05,1461, 33780, 55.07,0.59
