SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
KARMAENG, EQ, 01-Jan-2021,12.6,12.95,13.15,12.45, 12.45,12.5,12.82,5996,0.77,57, 3257, 54.32,-0.79
KARMAENG, EQ, 01-Jan-2025,61.57,64.15,67.72,62.89,64.5,64.78,65.63,30678,20.13,1122, 14262, 46.49,5.21
KARMAENG, EQ, 01-Feb-2023,26.5,26.5,27.1,26.2, 26.25,26.3,26.56,1606,0.43,162, 1154, 71.86,-0.75
KARMAENG, EQ, 01-Mar-2023,30.05,30.0,31.55,28.65, 31.55,31.55,30.13,12523,3.77,159, 9693, 77.40,4.99
KARMAENG, EQ, 01-Apr-2020,11.1,11.0,11.0,11.0,11.0,11.0,11.0,1,0.0,1, 1, 100.00,-0.9
KARMAENG, EQ, 01-Apr-2022,32.25,32.9,33.7,30.85, 33.50,32.95,32.08,5253,1.69,149, 3448, 65.64,2.17
KARMAENG, EQ, 01-Apr-2025,51.5,51.51,53.5,50.5,51.99,51.24,51.55,4646,2.39,208, 2368, 50.97,-0.5
KARMAENG, EQ, 01-Jun-2020,8.6,8.6,8.9,8.25, 8.30,8.6,8.55,3074,0.26,61, 2636, 85.75,0.0
KARMAENG, EQ, 01-Jun-2021,15.1,15.1,15.5,14.5, 14.70,14.8,14.87,14579,2.17,81, 6121, 41.99,-1.99
KARMAENG, EQ, 01-Jun-2023,33.35,34.5,35.0,33.35, 34.95,34.95,34.9,7982,2.79,69, 6446, 80.76,4.8
KARMAENG, EQ, 01-Jul-2020,11.5,12.05,12.05,12.05, 12.05,12.05,12.05,1332,0.16,10, 1332, 100.00,4.78
KARMAENG, EQ, 01-Jul-2022,22.8,23.3,23.3,22.7,23.2,23.1,23.02,1251,0.29,43, 936, 74.82,1.32
KARMAENG, EQ, 01-Jul-2024,56.66,57.25,58.79,56.0,58.39,58.26,57.24,69255,39.64,1794, 27323, 39.45,2.82
KARMAENG, EQ, 01-Aug-2022,23.1,23.7,24.25,22.75, 23.35,23.15,23.57,8296,1.95,170, 2249, 27.11,0.22
KARMAENG, EQ, 01-Aug-2023,46.65,47.0,48.0,44.55, 45.05,44.9,45.5,18900,8.6,262, 11963, 63.30,-3.75
KARMAENG, EQ, 01-Sep-2020,11.2,11.15,11.35,10.7, 10.70,10.75,10.99,4901,0.54,21, 4801, 97.96,-4.02
KARMAENG, EQ, 01-Sep-2022,24.65,24.65,25.2,22.3,23.6,23.65,23.69,12669,3.0,163, 6870, 54.23,-4.06
KARMAENG, EQ, 01-Oct-2020,9.1,9.55,9.55,9.0, 9.00,9.0,9.0,255,0.02,6, 254, 99.61,-1.1
KARMAENG, EQ, 01-Nov-2021,21.25,20.85,22.3,20.8, 22.05,21.4,21.99,5305,1.17,119, 2956, 55.72,0.71
KARMAENG, EQ, 01-Dec-2020,9.4,9.4,9.4,8.85,9.4,9.4,9.05,2253,0.2,38, 2074, 92.06,0.0
KARMAENG, EQ, 01-Dec-2021,18.85,19.25,19.75,18.05,18.1,18.2,18.31,18261,3.34,163, 9981, 54.66,-3.45
KARMAENG, EQ, 02-Jan-2023,26.85,28.1,28.15,27.55, 28.15,28.15,28.05,3285,0.92,67, 2339, 71.20,4.84
KARMAENG, EQ, 02-Jan-2025,64.78,65.75,71.25,65.75,71.25,71.25,70.0,39345,27.54,991, 20757, 52.76,9.99
KARMAENG, EQ, 02-Feb-2023,26.3,25.65,26.25,25.05, 26.25,26.05,25.63,3981,1.02,170, 2681, 67.34,-0.95
KARMAENG, EQ, 02-Mar-2023,31.55,33.1,33.1,32.3, 33.10,33.1,33.01,21061,6.95,197, 13484, 64.02,4.91
KARMAENG, EQ, 02-Apr-2025,51.24,50.31,54.0,50.31,54.0,52.98,52.14,2816,1.47,48, 2580, 91.62,3.4
KARMAENG, EQ, 02-May-2022,39.15,38.9,38.9,35.7,35.85,36.8,37.46,32891,12.32,535, 21128, 64.24,-6.0
