SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
KCP, EQ, 01-Jan-2020,60.8,60.6,62.9,60.2, 62.90,62.5,61.8,57086,35.28,568, 31927, 55.93,2.8
KCP, EQ, 01-Jan-2021,72.7,72.85,73.8,72.2, 72.55,72.6,72.85,170437,124.16,1324, 93220, 54.69,-0.14
KCP, EQ, 01-Jan-2024,153.7,153.9,154.4,151.5, 152.00,152.05,152.84,247322,377.99,4671, 123683, 50.01,-1.07
KCP, EQ, 01-Jan-2025,231.09,231.0,239.9,230.86,237.2,237.65,236.47,233477,552.11,7846, 72627, 31.11,2.84
KCP, EQ, 01-Feb-2021,69.5,70.85,71.4,69.2, 71.00,70.8,69.95,232011,162.29,2087, 131325, 56.60,1.87
KCP, EQ, 01-Feb-2022,134.55,137.25,138.85,134.4,138.3,137.0,136.69,165926,226.8,3433, 80181, 48.32,1.82
KCP, EQ, 01-Feb-2023,103.75,105.0,107.75,101.5, 103.45,103.35,105.2,157155,165.32,2320, 76424, 48.63,-0.39
KCP, EQ, 01-Feb-2024,195.95,197.7,197.95,188.25, 190.50,190.35,191.03,655780,1252.75,22429, 297952, 45.43,-2.86
KCP, EQ, 01-Mar-2021,74.4,75.55,81.9,75.55, 80.75,80.95,80.2,1435886,1151.63,11039, 666257, 46.40,8.8
KCP, EQ, 01-Mar-2023,93.4,95.9,97.75,93.55, 97.50,97.15,96.13,117837,113.28,1934, 74123, 62.90,4.01
KCP, EQ, 01-Mar-2024,191.55,192.65,195.9,190.7, 191.80,191.7,193.39,491857,951.18,11699, 213285, 43.36,0.08
KCP, EQ, 01-Apr-2020,42.8,44.4,44.75,42.95,44.45,44.2,43.79,16653,7.29,256, 7756, 46.57,3.27
KCP, EQ, 01-Apr-2021,83.75,84.75,85.55,83.75, 84.00,84.35,84.47,75140,63.47,866, 46619, 62.04,0.72
KCP, EQ, 01-Apr-2022,115.85,116.95,120.15,116.05, 117.95,118.95,118.84,108095,128.46,2315, 65470, 60.57,2.68
KCP, EQ, 01-Apr-2024,173.8,175.3,185.0,175.3, 184.40,184.45,182.19,544634,992.27,11885, 283484, 52.05,6.13
KCP, EQ, 01-Apr-2025,201.27,201.0,205.9,199.67,203.51,203.84,203.85,236930,482.99,8771, 104230, 43.99,1.28
KCP, EQ, 01-Jun-2020,39.1,39.5,42.0,39.05, 40.00,39.95,41.0,219479,89.99,953, 157175, 71.61,2.17
KCP, EQ, 01-Jun-2021,104.85,105.7,105.7,100.0, 100.85,100.85,101.99,452639,461.67,5204, 196627, 43.44,-3.81
KCP, EQ, 01-Jun-2022,110.7,111.05,112.5,108.5,109.6,109.7,110.24,57942,63.87,1622, 32870, 56.73,-0.9
KCP, EQ, 01-Jun-2023,102.4,102.45,103.45,101.25, 102.15,101.8,102.33,187573,191.95,1821, 123681, 65.94,-0.59
KCP, EQ, 01-Jul-2020,47.6,48.1,48.2,46.6, 46.85,46.8,47.13,277244,130.67,1386, 180156, 64.98,-1.68
KCP, EQ, 01-Jul-2021,143.25,143.9,149.0,142.05, 144.95,144.5,145.23,1143376,1660.48,12342, 324854, 28.41,0.87
KCP, EQ, 01-Jul-2022,106.35,106.95,108.5,106.0,107.15,108.05,107.56,57620,61.97,1034, 38490, 66.80,1.6
KCP, EQ, 01-Jul-2024,244.22,244.9,253.5,240.2,252.3,251.14,248.41,1098271,2728.16,12876, 534324, 48.65,2.83
KCP, EQ, 01-Aug-2022,109.75,111.4,113.6,110.4, 113.30,113.05,112.33,112776,126.68,2125, 75820, 67.23,3.01
KCP, EQ, 01-Aug-2023,115.25,115.95,117.3,115.2, 117.00,116.9,116.65,263495,307.35,2413, 148709, 56.44,1.43
KCP, EQ, 01-Aug-2024,248.71,254.99,254.99,240.4,243.4,243.36,247.95,860954,2134.77,13972, 307987, 35.77,-2.15
KCP, EQ, 01-Sep-2020,59.2,59.0,60.9,58.05, 60.40,59.4,59.31,102584,60.84,908, 65650, 64.00,0.34
KCP, EQ, 01-Sep-2021,137.45,138.0,140.3,137.1,138.1,138.0,138.77,114167,158.43,3865, 69299, 60.70,0.4
