SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
KEYFINSERV, EQ, 01-Jan-2021,83.9,80.65,87.0,80.65, 86.45,84.3,84.86,6652,5.64,194, 4055, 60.96,0.48
KEYFINSERV, EQ, 01-Feb-2021,67.65,71.0,71.0,65.1, 65.25,65.8,68.44,2114,1.45,92, 1273, 60.22,-2.73
KEYFINSERV, EQ, 01-Feb-2022,98.45,98.45,101.5,93.35,95.0,94.7,95.55,11826,11.3,589, 4977, 42.09,-3.81
KEYFINSERV, EQ, 01-Feb-2023,98.6,99.7,101.8,95.7, 95.75,97.9,100.18,2978,2.98,110, 1454, 48.82,-0.71
KEYFINSERV, EQ, 01-Feb-2024,137.65,134.9,139.9,134.9, 139.75,138.0,138.19,20066,27.73,1313, 4834, 24.09,0.25
KEYFINSERV, EQ, 01-Mar-2021,61.7,61.45,64.6,61.45, 61.45,61.55,62.2,1195,0.74,54, 920, 76.99,-0.24
KEYFINSERV, EQ, 01-Mar-2023,93.0,94.05,94.9,93.0, 94.00,94.1,93.98,1329,1.25,70, 761, 57.26,1.18
KEYFINSERV, EQ, 01-Mar-2024,157.45,162.5,171.0,156.15, 163.20,167.75,163.0,12935,21.08,1019, 4107, 31.75,6.54
KEYFINSERV, EQ, 01-Apr-2021,53.75,53.8,56.4,53.8, 56.40,56.4,55.93,236,0.13,14, 175, 74.15,4.93
KEYFINSERV, EQ, 01-Apr-2022,108.25,108.3,109.95,105.85, 109.50,107.9,107.69,11260,12.13,275, 4973, 44.17,-0.32
KEYFINSERV, EQ, 01-Apr-2024,144.05,144.95,158.45,144.95, 153.25,153.95,154.84,17140,26.54,476, 6422, 37.47,6.87
KEYFINSERV, EQ, 01-Apr-2025,299.74,302.0,302.0,280.0,283.2,286.2,287.11,16008,45.96,823, 7498, 46.84,-4.52
KEYFINSERV, EQ, 01-Jun-2020,34.3,32.75,36.0,32.75, 32.75,32.75,33.08,247,0.08,10, 247, 100.00,-4.52
KEYFINSERV, EQ, 01-Jun-2021,66.6,67.45,67.5,65.25, 67.00,66.75,66.45,10588,7.04,203, 3366, 31.79,0.23
KEYFINSERV, EQ, 01-Jun-2022,94.35,96.75,103.65,92.1,103.65,100.8,97.1,5002,4.86,119, 3639, 72.75,6.84
KEYFINSERV, EQ, 01-Jun-2023,94.35,96.0,97.75,94.25, 96.80,95.75,95.6,2137,2.04,150, 1194, 55.87,1.48
KEYFINSERV, EQ, 01-Jul-2020,35.45,37.2,37.2,37.0, 37.00,37.0,37.05,4,0.0,2, 4, 100.00,4.37
KEYFINSERV, EQ, 01-Jul-2021,70.0,71.55,73.5,69.8, 73.05,72.65,72.22,6320,4.56,161, 4327, 68.47,3.79
KEYFINSERV, EQ, 01-Jul-2022,97.9,96.9,97.0,96.0,96.1,96.2,96.32,962,0.93,36, 568, 59.04,-1.74
KEYFINSERV, EQ, 01-Aug-2022,119.05,118.35,122.35,114.0, 119.85,116.2,117.9,17999,21.22,376, 9330, 51.84,-2.39
KEYFINSERV, EQ, 01-Aug-2023,94.95,94.95,96.5,93.4, 96.15,95.3,94.85,1493,1.42,83, 926, 62.02,0.37
KEYFINSERV, EQ, 01-Aug-2024,282.89,288.8,288.8,277.0,277.0,277.55,281.71,5548,15.63,275, 3886, 70.04,-1.89
KEYFINSERV, EQ, 01-Sep-2020,38.5,40.7,40.7,37.05, 37.40,37.4,39.18,379,0.15,22, 277, 73.09,-2.86
