SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
KIRLOSBROS, EQ, 01-Jan-2020,148.05,150.6,151.0,140.65, 142.60,142.8,145.08,22087,32.04,1286, 8642, 39.13,-3.55
KIRLOSBROS, EQ, 01-Jan-2021,129.0,130.0,130.4,126.45, 127.20,126.95,127.68,110199,140.7,1501, 76460, 69.38,-1.59
KIRLOSBROS, EQ, 01-Jan-2024,888.05,888.0,905.0,888.0, 904.00,899.8,899.87,50045,450.34,4332, 36650, 73.23,1.32
KIRLOSBROS, EQ, 01-Jan-2025,2064.25,2073.55,2128.0,2059.25,2117.0,2120.65,2100.1,63613,1335.94,14383, 21617, 33.98,2.73
KIRLOSBROS, EQ, 01-Feb-2021,139.5,140.9,141.5,137.75, 140.00,140.2,140.08,66531,93.2,1162, 37376, 56.18,0.5
KIRLOSBROS, EQ, 01-Feb-2022,356.95,361.95,367.0,350.0,367.0,365.05,360.89,8742,31.55,676, 4241, 48.51,2.27
KIRLOSBROS, EQ, 01-Feb-2023,321.75,324.45,326.0,320.0, 320.20,322.2,322.22,44167,142.31,2433, 26680, 60.41,0.14
KIRLOSBROS, EQ, 01-Feb-2024,913.15,925.0,926.55,900.6, 902.85,917.85,913.43,23740,216.85,4973, 14799, 62.34,0.51
KIRLOSBROS, EQ, 01-Mar-2021,157.0,158.8,158.8,153.0, 155.10,154.3,155.19,66919,103.85,1256, 35222, 52.63,-1.72
KIRLOSBROS, EQ, 01-Mar-2023,368.7,370.0,375.0,366.85, 370.10,369.3,371.11,113543,421.37,4756, 45145, 39.76,0.16
KIRLOSBROS, EQ, 01-Mar-2024,919.65,924.3,945.0,914.75, 941.15,939.25,930.2,41063,381.97,4044, 25906, 63.09,2.13
KIRLOSBROS, EQ, 01-Apr-2020,86.8,85.0,89.85,83.1,89.0,88.2,87.21,10871,9.48,456, 5053, 46.48,1.61
KIRLOSBROS, EQ, 01-Apr-2021,239.3,244.0,278.3,243.65, 260.50,260.5,264.45,530676,1403.37,13334, 167739, 31.61,8.86
KIRLOSBROS, EQ, 01-Apr-2022,283.05,287.3,299.2,285.25, 296.95,296.75,292.43,12983,37.97,689, 8818, 67.92,4.84
KIRLOSBROS, EQ, 01-Apr-2024,1095.05,1125.05,1169.0,1097.2, 1131.10,1146.4,1131.44,135779,1536.26,17392, 37215, 27.41,4.69
KIRLOSBROS, EQ, 01-Apr-2025,1712.7,1700.0,1714.8,1681.45,1700.0,1699.95,1698.38,85651,1454.68,18986, 44746, 52.24,-0.74
KIRLOSBROS, EQ, 01-Jun-2020,96.2,98.9,107.2,97.0, 99.00,98.5,101.25,126701,128.28,2889, 76259, 60.19,2.39
KIRLOSBROS, EQ, 01-Jun-2021,401.0,404.7,408.9,381.1, 390.80,388.3,392.37,193642,759.79,11627, 107225, 55.37,-3.17
KIRLOSBROS, EQ, 01-Jun-2022,265.0,266.0,272.55,254.1,259.0,259.35,263.31,21665,57.05,1149, 14113, 65.14,-2.13
KIRLOSBROS, EQ, 01-Jun-2023,572.2,574.25,600.0,570.95, 597.20,597.65,589.88,393972,2323.97,14265, 153326, 38.92,4.45
KIRLOSBROS, EQ, 01-Jul-2020,115.65,114.9,116.1,112.2, 113.90,114.05,114.13,23600,26.93,1019, 15147, 64.18,-1.38
KIRLOSBROS, EQ, 01-Jul-2022,307.1,309.8,316.2,303.0,315.3,313.15,311.77,16763,52.26,1066, 9035, 53.90,1.97
KIRLOSBROS, EQ, 01-Jul-2024,2121.85,2148.0,2248.0,2120.05,2233.9,2234.6,2200.29,163461,3596.61,18354, 77379, 47.34,5.31
KIRLOSBROS, EQ, 01-Aug-2022,339.25,342.0,355.0,338.5, 350.25,350.2,345.78,80587,278.65,1975, 51271, 63.62,3.23
KIRLOSBROS, EQ, 01-Aug-2023,762.85,774.95,850.0,766.05, 837.50,835.35,806.09,1733224,13971.42,55117, 364870, 21.05,9.5
KIRLOSBROS, EQ, 01-Aug-2024,2437.0,2437.0,2472.0,2390.0,2409.7,2405.45,2428.12,60825,1476.9,11062, 26251, 43.16,-1.29
KIRLOSBROS, EQ, 01-Sep-2020,126.65,126.65,128.65,125.2, 126.60,127.4,127.15,41007,52.14,1104, 24187, 58.98,0.59
KIRLOSBROS, EQ, 01-Sep-2022,332.75,333.0,339.25,332.3,333.75,334.25,335.43,21141,70.91,1252, 12299, 58.18,0.45
KIRLOSBROS, EQ, 01-Sep-2023,849.6,837.8,840.85,815.4, 832.00,830.0,826.82,116864,966.26,10568, 67266, 57.56,-2.31
KIRLOSBROS, EQ, 01-Oct-2020,114.85,116.8,117.2,113.35, 115.10,115.55,115.86,24442,28.32,619, 8805, 36.02,0.61
KIRLOSBROS, EQ, 01-Oct-2021,394.3,394.15,414.0,385.0, 406.00,410.9,406.85,200656,816.37,5368, 133827, 66.69,4.21
KIRLOSBROS, EQ, 01-Oct-2024,1853.8,1869.0,1890.0,1781.05,1820.0,1823.25,1843.03,233513,4303.71,27697, 84087, 36.01,-1.65
KIRLOSBROS, EQ, 01-Nov-2021,394.65,375.0,385.0,374.95, 374.95,374.95,375.28,56170,210.79,1215, 48574, 86.48,-4.99
KIRLOSBROS, EQ, 01-Nov-2022,351.05,348.9,357.95,348.0,353.5,350.15,352.2,25859,91.08,2142, 15601, 60.33,-0.26
KIRLOSBROS, EQ, 01-Nov-2023,904.95,908.15,924.95,894.0, 895.65,908.8,913.32,34552,315.57,5588, 17910, 51.83,0.43
KIRLOSBROS, EQ, 01-Dec-2020,138.65,137.6,143.9,137.6,139.95,140.3,140.01,194768,272.69,3236, 69206, 35.53,1.19
KIRLOSBROS, EQ, 01-Dec-2021,350.6,357.95,365.0,349.8,364.9,363.0,359.35,9261,33.28,531, 7241, 78.19,3.54
KIRLOSBROS, EQ, 01-Dec-2022,383.4,393.8,393.8,366.65,372.8,373.75,379.07,96568,366.06,4692, 57931, 59.99,-2.52
KIRLOSBROS, EQ, 01-Dec-2023,983.0,988.95,1010.0,981.6, 988.00,991.25,994.97,62296,619.82,8149, 39200, 62.93,0.84
KIRLOSBROS, EQ, 02-Jan-2020,142.8,144.25,148.3,143.5, 147.00,147.2,146.77,24158,35.46,2117, 13437, 55.62,3.08
KIRLOSBROS, EQ, 02-Jan-2023,324.1,324.0,328.4,314.1, 315.55,315.35,319.37,47519,151.76,3959, 30568, 64.33,-2.7
KIRLOSBROS, EQ, 02-Jan-2024,899.8,907.0,909.4,888.0, 900.05,900.15,899.86,77692,699.12,5452, 58748, 75.62,0.04
KIRLOSBROS, EQ, 02-Jan-2025,2120.65,2129.95,2148.3,2083.3,2112.0,2121.15,2116.81,49175,1040.94,9413, 16548, 33.65,0.02
KIRLOSBROS, EQ, 02-Feb-2021,140.2,141.0,143.0,138.55, 140.80,140.2,140.17,70945,99.44,1229, 45563, 64.22,0.0
KIRLOSBROS, EQ, 02-Feb-2022,365.05,368.9,381.95,360.0, 379.50,377.6,376.57,26748,100.72,1482, 17126, 64.03,3.44
KIRLOSBROS, EQ, 02-Feb-2023,322.2,319.0,325.1,315.0, 320.15,321.5,321.86,45357,145.99,2728, 28306, 62.41,-0.22
KIRLOSBROS, EQ, 02-Feb-2024,917.85,918.3,928.95,903.0, 915.00,915.4,915.73,23039,210.97,3767, 10944, 47.50,-0.27
KIRLOSBROS, EQ, 02-Mar-2020,141.5,144.8,149.5,132.55, 135.00,136.85,141.92,24555,34.85,484, 18579, 75.66,-3.29
KIRLOSBROS, EQ, 02-Mar-2021,154.3,155.35,166.9,155.35,165.8,165.6,162.55,189870,308.63,2719, 130824, 68.90,7.32
KIRLOSBROS, EQ, 02-Mar-2022,305.0,304.4,311.25,300.0, 301.00,301.2,303.27,23701,71.88,950, 16813, 70.94,-1.25
KIRLOSBROS, EQ, 02-Mar-2023,369.3,370.0,379.0,369.15, 373.55,373.25,374.52,83083,311.16,4108, 40004, 48.15,1.07
KIRLOSBROS, EQ, 02-Apr-2024,1146.4,1136.9,1164.4,1088.15, 1098.00,1101.4,1127.36,110064,1240.81,14630, 46683, 42.41,-3.93
KIRLOSBROS, EQ, 02-Apr-2025,1699.95,1699.95,1729.05,1670.85,1701.0,1703.0,1705.97,115593,1971.98,20363, 59039, 51.07,0.18
KIRLOSBROS, EQ, 02-May-2022,324.5,324.5,329.2,312.1,317.9,315.15,318.76,19352,61.69,1010, 9210, 47.59,-2.88
KIRLOSBROS, EQ, 02-May-2023,425.1,429.4,443.5,427.8, 429.50,429.85,434.73,105492,458.61,6573, 49862, 47.27,1.12
KIRLOSBROS, EQ, 02-May-2024,1312.75,1324.95,1374.95,1310.0, 1347.70,1359.4,1351.92,108762,1470.38,18552, 44766, 41.16,3.55
KIRLOSBROS, EQ, 02-Jun-2020,98.5,98.5,104.9,96.45,103.0,102.2,100.26,103666,103.93,2003, 59690, 57.58,3.76
KIRLOSBROS, EQ, 02-Jun-2021,388.3,390.8,427.0,390.35, 419.65,420.55,415.62,425620,1768.96,16362, 211982, 49.81,8.31
KIRLOSBROS, EQ, 02-Jun-2022,259.35,264.0,272.4,254.7,269.0,264.5,264.2,20288,53.6,1178, 10064, 49.61,1.99
KIRLOSBROS, EQ, 02-Jun-2023,597.65,603.0,603.0,581.2, 584.70,584.55,588.25,192027,1129.6,7898, 82272, 42.84,-2.19
KIRLOSBROS, EQ, 02-Jul-2020,114.05,117.65,117.7,112.0, 114.20,112.95,113.79,50986,58.02,1416, 26751, 52.47,-0.96
KIRLOSBROS, EQ, 02-Jul-2024,2234.6,2259.5,2379.95,2259.45,2287.0,2299.2,2324.41,246088,5720.1,24367, 118764, 48.26,2.89
KIRLOSBROS, EQ, 02-Aug-2022,350.2,349.0,359.9,343.5,352.1,352.6,352.96,32665,115.29,1309, 22218, 68.02,0.69
KIRLOSBROS, EQ, 02-Aug-2023,835.35,843.95,850.0,812.3, 839.80,838.4,837.66,768678,6438.9,36510, 275553, 35.85,0.37
KIRLOSBROS, EQ, 02-Aug-2024,2405.45,2375.0,2403.85,2203.55,2256.0,2245.3,2303.49,170110,3918.46,27341, 86202, 50.67,-6.66
KIRLOSBROS, EQ, 02-Sep-2020,127.4,128.95,130.0,127.45, 128.60,128.3,128.55,18606,23.92,631, 11242, 60.42,0.71
KIRLOSBROS, EQ, 02-Sep-2022,334.25,334.3,341.9,330.3,336.0,332.6,334.13,30222,100.98,1776, 18102, 59.90,-0.49
KIRLOSBROS, EQ, 02-Sep-2024,1805.6,1810.95,1816.7,1705.65,1712.0,1712.15,1736.53,157014,2726.6,23013, 86112, 54.84,-5.18
KIRLOSBROS, EQ, 02-Nov-2020,102.75,102.75,109.0,102.5, 104.50,105.35,106.38,107726,114.59,2270, 47959, 44.52,2.53
KIRLOSBROS, EQ, 02-Nov-2022,350.15,355.4,358.0,342.9,346.0,344.9,349.57,35462,123.97,2103, 24456, 68.96,-1.5
KIRLOSBROS, EQ, 02-Nov-2023,908.8,908.8,934.7,896.0, 900.35,901.6,914.05,37488,342.66,5044, 22166, 59.13,-0.79
KIRLOSBROS, EQ, 02-Dec-2020,140.3,141.0,141.8,136.45, 137.00,137.15,138.74,80223,111.3,2405, 47872, 59.67,-2.25
KIRLOSBROS, EQ, 02-Dec-2021,363.0,372.0,372.0,357.95, 363.50,365.2,362.2,7479,27.09,480, 5119, 68.44,0.61
KIRLOSBROS, EQ, 02-Dec-2022,373.75,373.0,387.95,370.4, 380.60,380.8,382.14,141630,541.23,6491, 83809, 59.17,1.89
KIRLOSBROS, EQ, 02-Dec-2024,2279.9,2300.9,2371.0,2260.0,2334.0,2335.15,2335.66,219340,5123.04,28095, 61078, 27.85,2.42
KIRLOSBROS, EQ, 03-Jan-2020,147.2,147.05,153.8,143.7, 150.00,149.95,149.71,44983,67.34,2821, 25296, 56.23,1.87
KIRLOSBROS, EQ, 03-Jan-2022,334.05,335.0,335.0,317.65, 331.00,333.1,329.49,33576,110.63,748, 24833, 73.96,-0.28
KIRLOSBROS, EQ, 03-Jan-2023,315.35,318.45,323.4,317.05, 319.30,321.1,320.31,36303,116.28,3129, 19980, 55.04,1.82
KIRLOSBROS, EQ, 03-Jan-2024,900.15,900.05,925.25,892.95, 905.00,909.1,909.4,93638,851.54,10009, 74876, 79.96,0.99
KIRLOSBROS, EQ, 03-Jan-2025,2121.15,2120.0,2139.5,2056.5,2070.0,2072.55,2094.37,72730,1523.23,10390, 27239, 37.45,-2.29
KIRLOSBROS, EQ, 03-Feb-2020,144.0,145.45,148.95,142.0, 142.75,142.85,145.01,16079,23.32,1218, 8403, 52.26,-0.8
KIRLOSBROS, EQ, 03-Feb-2021,140.2,140.2,142.45,138.1, 140.00,139.3,140.3,86719,121.66,1579, 40227, 46.39,-0.64
KIRLOSBROS, EQ, 03-Feb-2022,377.6,385.0,385.0,373.25, 381.45,381.95,379.34,27371,103.83,1613, 20375, 74.44,1.15
KIRLOSBROS, EQ, 03-Feb-2023,321.5,325.0,325.0,318.45, 320.00,320.6,320.67,20692,66.35,1762, 12157, 58.75,-0.28
KIRLOSBROS, EQ, 03-Feb-2025,1953.2,1970.0,2005.75,1882.8,1895.0,1913.15,1931.72,174545,3371.73,29975, 52747, 30.22,-2.05
KIRLOSBROS, EQ, 03-Mar-2020,136.85,136.1,143.0,135.5, 141.00,141.15,139.27,25906,36.08,867, 18677, 72.10,3.14
KIRLOSBROS, EQ, 03-Mar-2021,165.6,166.9,198.7,166.9,198.7,198.7,192.71,1182402,2278.57,15330, 459556, 38.87,19.99
KIRLOSBROS, EQ, 03-Mar-2022,301.2,303.05,308.0,300.0,300.0,301.65,301.91,13323,40.22,752, 9641, 72.36,0.15
KIRLOSBROS, EQ, 03-Mar-2023,373.25,377.0,378.25,370.35, 372.90,372.85,375.7,44381,166.74,2371, 23583, 53.14,-0.11
KIRLOSBROS, EQ, 03-Mar-2025,1596.25,1599.3,1602.85,1455.0,1469.3,1480.7,1484.5,458965,6813.34,62947, 95014, 20.70,-7.24
KIRLOSBROS, EQ, 03-Apr-2020,88.2,93.0,93.4,86.0, 91.55,91.35,90.48,16610,15.03,371, 12232, 73.64,3.57
KIRLOSBROS, EQ, 03-Apr-2023,410.25,414.0,444.4,414.0, 429.25,429.5,434.21,456891,1983.87,16229, 171651, 37.57,4.69
KIRLOSBROS, EQ, 03-Apr-2024,1101.4,1102.95,1178.0,1101.65, 1164.00,1164.6,1136.45,190632,2166.43,23694, 87257, 45.77,5.74
KIRLOSBROS, EQ, 03-Apr-2025,1703.0,1703.5,1733.2,1686.5,1729.95,1727.2,1721.08,83226,1432.39,13172, 45183, 54.29,1.42
KIRLOSBROS, EQ, 03-May-2021,244.15,242.65,248.85,236.85,246.0,245.15,243.53,57704,140.53,2373, 27038, 46.86,0.41
KIRLOSBROS, EQ, 03-May-2023,429.85,432.0,441.85,425.95,432.0,432.85,435.29,122220,532.01,6280, 60540, 49.53,0.7
KIRLOSBROS, EQ, 03-May-2024,1359.4,1362.85,1410.0,1347.0, 1408.00,1394.05,1383.5,256043,3542.34,19967, 121264, 47.36,2.55
KIRLOSBROS, EQ, 03-Jun-2020,102.2,105.4,105.4,101.05,102.9,102.35,103.24,76924,79.41,1617, 46542, 60.50,0.15
KIRLOSBROS, EQ, 03-Jun-2021,420.55,420.0,440.0,401.15, 429.00,429.45,431.03,320533,1381.61,11368, 175579, 54.78,2.12
KIRLOSBROS, EQ, 03-Jun-2022,264.5,269.75,273.8,264.0, 264.00,265.45,269.55,9896,26.67,414, 5884, 59.46,0.36
KIRLOSBROS, EQ, 03-Jun-2024,1718.6,1840.0,1848.9,1683.0,1772.05,1775.05,1750.0,190765,3338.4,26470, 73857, 38.72,3.28
KIRLOSBROS, EQ, 03-Jul-2020,112.95,114.0,115.0,112.2, 112.50,112.85,113.23,30786,34.86,981, 19180, 62.30,-0.09
KIRLOSBROS, EQ, 03-Jul-2023,610.3,610.3,615.0,598.6, 603.85,604.1,605.69,140294,849.74,11160, 73883, 52.66,-1.02
