SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
KKCL, EQ, 01-Jan-2020,999.35,999.0,1000.0,977.3, 999.50,994.1,989.91,254,2.51,204, 45, 17.72,-0.53
KKCL, EQ, 01-Jan-2021,835.8,845.0,845.0,821.05, 845.00,842.9,835.85,753,6.29,138, 587, 77.95,0.85
KKCL, EQ, 01-Jan-2024,766.0,794.9,799.95,782.25, 793.00,790.85,792.94,89231,707.55,8341, 34806, 39.01,3.24
KKCL, EQ, 01-Jan-2025,583.75,586.8,607.7,585.05,603.0,602.45,596.3,22361,133.34,1695, 13119, 58.67,3.2
KKCL, EQ, 01-Feb-2021,886.05,917.9,924.0,875.0, 876.00,885.2,885.95,1370,12.14,327, 592, 43.21,-0.1
KKCL, EQ, 01-Feb-2022,224.45,225.0,228.35,223.2,226.6,226.3,225.55,94981,214.23,4155, 57211, 60.23,0.82
KKCL, EQ, 01-Feb-2023,438.5,443.2,448.75,431.95, 436.00,435.5,441.83,73214,323.49,6239, 50689, 69.23,-0.68
KKCL, EQ, 01-Feb-2024,766.4,757.45,770.0,756.0, 768.50,767.0,765.12,14390,110.1,1742, 9967, 69.26,0.08
KKCL, EQ, 01-Mar-2021,907.2,925.0,930.0,912.55, 914.00,917.9,918.75,978,8.99,250, 534, 54.60,1.18
KKCL, EQ, 01-Mar-2023,396.8,398.0,418.65,391.05, 407.75,409.05,409.62,53983,221.13,4841, 35656, 66.05,3.09
KKCL, EQ, 01-Mar-2024,753.15,750.0,763.6,746.1, 756.00,754.65,755.03,48644,367.28,3297, 38102, 78.33,0.2
KKCL, EQ, 01-Apr-2020,628.55,615.0,664.2,590.8,645.0,641.95,618.83,2735,16.93,374, 1179, 43.11,2.13
KKCL, EQ, 01-Apr-2021,866.7,862.5,892.45,862.5, 868.00,873.75,873.4,2447,21.37,627, 1185, 48.43,0.81
KKCL, EQ, 01-Apr-2022,199.35,199.7,206.0,197.85, 202.30,202.3,203.33,63458,129.03,2705, 35900, 56.57,1.48
KKCL, EQ, 01-Apr-2024,668.8,672.15,708.25,672.15, 701.35,705.0,696.18,37727,262.65,3804, 22177, 58.78,5.41
KKCL, EQ, 01-Apr-2025,460.25,462.7,473.9,459.65,460.6,460.7,463.63,42938,199.07,3182, 23660, 55.10,0.1
KKCL, EQ, 01-Jun-2020,711.9,725.0,780.0,725.0, 772.00,767.8,762.25,2697,20.56,677, 1265, 46.90,7.85
KKCL, EQ, 01-Jun-2021,910.35,960.0,976.0,911.5, 920.00,916.85,937.37,12217,114.52,1605, 6497, 53.18,0.71
KKCL, EQ, 01-Jun-2022,246.95,246.0,252.0,243.0,243.55,246.9,248.33,71617,177.85,2775, 38741, 54.09,-0.02
KKCL, EQ, 01-Jun-2023,494.2,498.0,499.0,487.1, 495.00,493.85,493.64,39206,193.54,2346, 27405, 69.90,-0.07
KKCL, EQ, 01-Jul-2020,763.65,780.0,780.0,755.0, 756.00,758.8,769.26,4383,33.72,649, 461, 10.52,-0.64
KKCL, EQ, 01-Jul-2021,886.65,894.95,894.95,885.15, 885.15,886.25,888.84,595,5.29,109, 448, 75.29,-0.05
KKCL, EQ, 01-Jul-2022,248.65,248.1,250.65,242.4,245.5,244.25,245.5,38077,93.48,1549, 18210, 47.82,-1.77
KKCL, EQ, 01-Jul-2024,730.55,729.0,760.0,725.05,758.0,754.8,751.51,105955,796.26,6933, 77538, 73.18,3.32
KKCL, EQ, 01-Aug-2022,342.85,344.9,347.55,333.6, 337.25,336.1,339.48,238522,809.74,7630, 132291, 55.46,-1.97
