SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
KOTAKBKETF, EQ, 01-Jan-2020,331.08,333.89,337.7,329.05, 329.50,329.5,329.72,22840,75.31,261, 18316, 80.19,-0.48
KOTAKBKETF, EQ, 01-Jan-2021,314.47,315.08,316.2,314.36, 314.77,314.82,315.21,11286,35.57,394, 6867, 60.85,0.11
KOTAKBKETF, EQ, 01-Jan-2024,493.29,493.29,497.29,491.51, 491.79,493.48,493.61,4713,23.26,343, 3330, 70.66,0.04
KOTAKBKETF, EQ, 01-Feb-2021,308.71,312.35,335.62,311.1, 334.51,333.55,320.82,1076166,3452.59,1895, 847699, 78.77,8.05
KOTAKBKETF, EQ, 01-Feb-2022,384.34,387.63,391.74,379.92,389.18,388.85,389.66,122541,477.5,1417, 78140, 63.77,1.17
KOTAKBKETF, EQ, 01-Feb-2023,414.45,416.99,425.91,401.03, 410.98,410.15,416.34,60110,250.26,736, 48853, 81.27,-1.04
KOTAKBKETF, EQ, 01-Feb-2024,469.51,464.61,475.6,464.61, 470.00,469.96,469.75,90215,423.79,532, 79828, 88.49,0.1
KOTAKBKETF, EQ, 01-Mar-2021,352.27,384.0,384.0,353.0, 355.38,355.24,356.23,149907,534.01,2189, 84036, 56.06,0.84
KOTAKBKETF, EQ, 01-Mar-2023,408.66,415.97,415.97,409.98, 413.93,412.74,412.45,11991,49.46,324, 10211, 85.16,1.0
KOTAKBKETF, EQ, 01-Mar-2024,469.8,483.9,483.9,473.43, 481.75,481.7,479.09,18708,89.63,395, 16634, 88.91,2.53
KOTAKBKETF, EQ, 01-Apr-2020,193.46,192.31,192.38,184.2,185.0,185.34,186.39,51015,95.09,1015, 33915, 66.48,-4.2
KOTAKBKETF, EQ, 01-Apr-2021,339.1,342.98,347.96,337.0, 347.40,344.84,339.35,221502,751.68,655, 195377, 88.21,1.69
KOTAKBKETF, EQ, 01-Apr-2022,366.85,369.45,374.44,360.03, 373.55,373.97,369.17,157004,579.61,926, 73530, 46.83,1.94
KOTAKBKETF, EQ, 01-Jun-2020,193.12,200.8,204.8,197.0, 202.84,202.86,203.02,1428585,2900.31,3987, 1191531, 83.41,5.04
KOTAKBKETF, EQ, 01-Jun-2021,356.88,357.99,359.47,355.0, 356.37,356.02,356.05,45701,162.72,499, 28500, 62.36,-0.24
KOTAKBKETF, EQ, 01-Jun-2022,358.95,358.95,364.3,356.61,364.3,361.6,360.41,61297,220.92,510, 45493, 74.22,0.74
KOTAKBKETF, EQ, 01-Jun-2023,449.59,449.3,450.02,445.31, 445.50,445.75,447.1,39263,175.55,294, 36549, 93.09,-0.85
KOTAKBKETF, EQ, 01-Jul-2020,215.71,215.55,222.73,215.4, 220.99,221.96,220.11,488252,1074.69,1205, 270893, 55.48,2.9
KOTAKBKETF, EQ, 01-Jul-2021,351.7,350.84,352.5,350.4, 351.63,350.48,351.03,155793,546.88,795, 33681, 21.62,-0.35
KOTAKBKETF, EQ, 01-Jul-2022,337.83,330.63,341.59,330.63,341.59,339.09,338.28,31286,105.83,496, 17035, 54.45,0.37
KOTAKBKETF, EQ, 01-Aug-2022,379.49,382.0,383.55,378.66, 382.82,383.28,381.69,94711,361.5,799, 60980, 64.39,1.0
KOTAKBKETF, EQ, 01-Aug-2023,464.49,465.42,465.53,463.0, 465.02,464.74,464.18,26656,123.73,357, 19347, 72.58,0.05
KOTAKBKETF, EQ, 01-Sep-2020,239.43,240.83,243.94,237.7, 242.50,241.15,241.56,306100,739.41,1172, 230883, 75.43,0.72
KOTAKBKETF, EQ, 01-Sep-2021,368.41,370.5,373.5,368.0,369.5,369.78,371.33,363704,1350.54,1074, 160098, 44.02,0.37
KOTAKBKETF, EQ, 01-Sep-2022,401.56,398.4,402.66,396.21,399.74,398.59,399.83,213859,855.07,665, 117550, 54.97,-0.74
KOTAKBKETF, EQ, 01-Sep-2023,449.99,452.49,456.98,448.0, 452.38,452.53,449.98,50497,227.23,955, 21148, 41.88,0.56
KOTAKBKETF, EQ, 01-Oct-2020,216.25,218.89,224.74,218.89, 224.35,224.24,223.0,83350,185.87,901, 33327, 39.98,3.69
KOTAKBKETF, EQ, 01-Oct-2021,378.93,379.0,379.0,373.96, 376.17,376.42,374.93,46388,173.92,526, 6514, 14.04,-0.66
KOTAKBKETF, EQ, 01-Nov-2021,395.64,419.4,419.4,395.49, 402.55,402.85,399.25,92357,368.74,579, 54401, 58.90,1.82
KOTAKBKETF, EQ, 01-Nov-2022,418.65,425.67,425.67,418.14,419.13,419.12,420.53,341214,1434.9,883, 285512, 83.68,0.11
KOTAKBKETF, EQ, 01-Nov-2023,437.46,440.59,440.59,435.23, 437.00,436.92,436.42,89056,388.66,251, 86113, 96.70,-0.12
KOTAKBKETF, EQ, 01-Dec-2020,298.64,298.64,302.5,297.6,300.85,300.95,301.17,101198,304.77,2058, 71035, 70.19,0.77
KOTAKBKETF, EQ, 01-Dec-2021,360.46,362.81,367.97,362.19,367.64,367.66,364.14,29626,107.88,420, 22309, 75.30,2.0
KOTAKBKETF, EQ, 01-Dec-2022,438.47,434.93,440.67,434.93,438.38,437.87,439.15,62188,273.1,407, 61391, 98.72,-0.14
KOTAKBKETF, EQ, 01-Dec-2023,461.19,460.98,460.98,451.71, 458.25,458.41,457.98,27194,124.54,598, 19564, 71.94,-0.6
KOTAKBKETF, EQ, 02-Jan-2020,329.5,365.7,365.7,329.66, 333.58,334.03,332.14,106145,352.55,1329, 89983, 84.77,1.37
KOTAKBKETF, EQ, 02-Jan-2023,436.27,439.54,440.0,436.27, 438.01,437.87,437.94,13014,56.99,496, 10023, 77.02,0.37
KOTAKBKETF, EQ, 02-Jan-2024,493.48,498.3,498.3,486.0, 486.72,487.16,488.06,208140,1015.84,859, 179575, 86.28,-1.28
KOTAKBKETF, EQ, 02-Feb-2021,333.55,339.02,348.5,333.55, 345.85,344.84,341.08,1328182,4530.17,3342, 828773, 62.40,3.38
KOTAKBKETF, EQ, 02-Feb-2022,388.85,412.2,412.2,388.85, 396.95,396.78,395.75,299538,1185.42,1308, 142383, 47.53,2.04
KOTAKBKETF, EQ, 02-Feb-2023,410.15,407.88,413.27,404.03, 412.25,412.13,408.32,81590,333.15,632, 61352, 75.20,0.48
KOTAKBKETF, EQ, 02-Feb-2024,469.96,478.99,478.99,467.79, 467.82,468.16,472.87,40565,191.82,508, 25673, 63.29,-0.38
KOTAKBKETF, EQ, 02-Mar-2020,299.5,330.0,330.0,296.59, 300.46,299.53,301.51,40384,121.76,1096, 27066, 67.02,0.01
KOTAKBKETF, EQ, 02-Mar-2021,355.24,370.0,370.0,352.62,358.0,357.13,355.78,427318,1520.32,892, 223252, 52.24,0.53
KOTAKBKETF, EQ, 02-Mar-2022,365.98,365.98,365.98,352.73, 358.76,357.79,355.37,289534,1028.9,2663, 160306, 55.37,-2.24
KOTAKBKETF, EQ, 02-Mar-2023,412.74,413.66,413.96,409.74, 410.00,410.15,411.78,22704,93.49,472, 9615, 42.35,-0.63
KOTAKBKETF, EQ, 02-May-2022,362.37,362.37,366.99,359.6,364.0,364.04,363.14,139491,506.55,830, 105857, 75.89,0.46
KOTAKBKETF, EQ, 02-May-2023,437.59,446.35,446.35,437.31, 440.08,440.86,440.56,57539,253.5,507, 52418, 91.10,0.75
KOTAKBKETF, EQ, 02-Jun-2020,202.86,208.9,215.0,199.95,208.95,208.05,207.25,375657,778.53,1050, 309449, 82.38,2.56
KOTAKBKETF, EQ, 02-Jun-2021,356.02,354.72,357.0,353.52, 356.59,356.68,355.34,44368,157.66,608, 31080, 70.05,0.19
KOTAKBKETF, EQ, 02-Jun-2022,361.6,368.68,368.68,359.05,360.11,360.4,360.61,17884,64.49,716, 12993, 72.65,-0.33
KOTAKBKETF, EQ, 02-Jun-2023,445.75,450.5,450.5,447.0, 447.40,448.03,449.05,409146,1837.29,377, 387067, 94.60,0.51
KOTAKBKETF, EQ, 02-Jul-2020,221.96,222.9,225.0,220.8, 222.70,222.27,222.86,79667,177.54,1024, 40034, 50.25,0.14
KOTAKBKETF, EQ, 02-Jul-2021,350.48,351.71,352.4,350.25,352.33,351.61,351.25,115686,406.35,1070, 44296, 38.29,0.32
KOTAKBKETF, EQ, 02-Aug-2021,349.28,352.0,352.0,349.46,350.7,350.29,350.6,70854,248.42,862, 26364, 37.21,0.29
KOTAKBKETF, EQ, 02-Aug-2022,383.28,389.3,389.3,381.0,384.03,384.37,384.21,58841,226.08,1113, 48419, 82.29,0.28
KOTAKBKETF, EQ, 02-Aug-2023,464.74,468.89,468.89,455.59, 458.30,458.35,458.38,197923,907.24,617, 186384, 94.17,-1.37
