SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
KPIGREEN, EQ, 01-Jan-2024,1467.85,1485.4,1487.7,1421.15, 1429.00,1428.3,1441.79,766532,11051.76,39244, 327021, 42.66,-2.69
KPIGREEN, EQ, 01-Jan-2025,815.15,820.0,832.9,817.1,830.0,829.05,827.18,327429,2708.44,15237, 185056, 56.52,1.71
KPIGREEN, EQ, 01-Feb-2023,474.15,477.0,498.0,445.05, 450.00,450.45,475.1,631992,3002.59,25084, 246083, 38.94,-5.0
KPIGREEN, EQ, 01-Feb-2024,1821.1,1915.0,2003.2,1835.05, 2003.20,1989.15,1945.68,863993,16810.57,52128, 292994, 33.91,9.23
KPIGREEN, EQ, 01-Mar-2023,433.2,430.0,441.9,429.45, 432.55,431.15,434.1,82507,358.16,4441, 50318, 60.99,-0.47
KPIGREEN, EQ, 01-Mar-2024,1740.15,1765.0,1827.15,1680.0, 1739.00,1740.75,1758.35,941523,16555.26,44764, 372166, 39.53,0.03
KPIGREEN, EQ, 01-Apr-2024,1523.0,1551.05,1599.15,1551.05, 1599.15,1599.15,1590.09,155140,2466.87,5543, 111863, 72.10,5.0
KPIGREEN, EQ, 01-Apr-2025,408.5,404.9,417.95,402.7,411.85,412.0,412.06,469589,1934.97,10614, 194079, 41.33,0.86
KPIGREEN, EQ, 01-Jun-2022,455.65,456.7,467.0,446.3,449.0,449.85,454.59,75162,341.68,4804, 46321, 61.63,-1.27
KPIGREEN, EQ, 01-Jun-2023,492.4,497.85,502.15,493.2, 494.00,494.3,496.56,91768,455.69,4288, 36985, 40.30,0.39
KPIGREEN, EQ, 01-Jul-2022,658.2,659.45,667.7,636.0,648.0,647.1,648.42,106743,692.14,6504, 32880, 30.80,-1.69
KPIGREEN, EQ, 01-Jul-2024,1804.85,1830.0,1849.0,1764.0,1786.4,1782.8,1802.59,291429,5253.28,20227, 182465, 62.61,-1.22
KPIGREEN, EQ, 01-Aug-2022,688.45,693.0,708.35,681.05, 694.00,691.95,692.83,129915,900.1,6918, 49167, 37.85,0.51
KPIGREEN, EQ, 01-Aug-2023,829.75,824.95,837.0,810.0, 825.00,824.45,826.4,60518,500.12,3706, 33147, 54.77,-0.64
KPIGREEN, EQ, 01-Sep-2022,919.5,929.0,940.15,911.2,923.95,920.8,923.57,139599,1289.3,6785, 67965, 48.69,0.14
KPIGREEN, EQ, 01-Sep-2023,894.05,890.0,892.4,850.0, 875.00,873.4,871.41,250980,2187.06,13319, 147615, 58.82,-2.31
KPIGREEN, EQ, 01-Nov-2022,713.2,720.0,735.0,693.7,716.0,717.8,713.67,185828,1326.19,11943, 96112, 51.72,0.64
KPIGREEN, EQ, 01-Nov-2023,819.5,814.0,833.6,810.05, 819.00,821.1,818.78,73836,604.55,5246, 30217, 40.92,0.2
KPIGREEN, EQ, 01-Dec-2022,952.6,975.0,975.0,920.0,924.7,926.2,942.43,312102,2941.36,15293, 129294, 41.43,-2.77
KPIGREEN, EQ, 01-Dec-2023,1155.2,1169.45,1193.7,1150.0, 1152.00,1152.5,1161.93,96556,1121.91,5848, 54423, 56.36,-0.23
KPIGREEN, EQ, 02-Jan-2023,874.45,880.0,909.0,878.0, 905.00,903.2,895.46,41743,373.79,4146, 18814, 45.07,3.29
KPIGREEN, EQ, 02-Jan-2024,1428.3,1450.05,1454.35,1395.0, 1407.95,1406.85,1413.69,387056,5471.77,26247, 186731, 48.24,-1.5
KPIGREEN, EQ, 02-Jan-2025,829.05,839.9,864.8,835.0,853.5,857.75,851.19,1076590,9163.79,35609, 732684, 68.06,3.46
KPIGREEN, EQ, 02-Feb-2023,450.45,449.9,480.0,444.2, 479.00,476.4,466.59,288259,1344.99,12390, 127204, 44.13,5.76
KPIGREEN, EQ, 02-Feb-2024,1989.15,2083.0,2088.6,2075.0, 2088.60,2088.6,2087.02,64979,1356.12,2052, 55865, 85.97,5.0
KPIGREEN, EQ, 02-Mar-2023,431.15,425.9,441.9,425.9, 439.00,438.95,438.65,64944,284.88,3219, 42773, 65.86,1.81
KPIGREEN, EQ, 02-Apr-2024,1599.15,1679.1,1679.1,1635.0, 1679.10,1679.1,1672.32,453204,7579.04,13579, 192001, 42.37,5.0
KPIGREEN, EQ, 02-Apr-2025,412.0,416.0,426.6,402.0,422.1,420.75,416.29,580097,2414.91,13411, 218507, 37.67,2.12
KPIGREEN, EQ, 02-May-2022,529.15,531.0,534.35,515.0,519.5,519.1,520.37,55614,289.4,5282, 30516, 54.87,-1.9
KPIGREEN, EQ, 02-May-2023,506.05,508.95,512.95,495.05, 497.00,498.1,503.57,147629,743.41,7616, 70297, 47.62,-1.57
KPIGREEN, EQ, 02-May-2024,1808.4,1800.0,1898.8,1800.0, 1854.00,1840.8,1856.35,1839671,34150.66,66672, 766059, 41.64,1.79
KPIGREEN, EQ, 02-Jun-2022,449.85,456.95,472.3,447.2,470.45,469.5,460.94,101889,469.65,5360, 50706, 49.77,4.37
