SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
KRITI, EQ, 01-Jan-2024,111.9,113.35,115.25,112.5, 112.80,112.95,113.78,45326,51.57,1021, 26751, 59.02,0.94
KRITI, EQ, 01-Feb-2022,100.5,103.0,103.0,99.0,100.4,100.0,100.5,53912,54.18,1659, 29041, 53.87,-0.5
KRITI, EQ, 01-Feb-2023,77.4,80.8,80.8,75.2, 75.30,76.3,77.7,20368,15.83,1171, 10544, 51.77,-1.42
KRITI, EQ, 01-Feb-2024,128.35,128.15,129.3,123.6, 124.00,124.95,127.0,117081,148.69,3734, 61817, 52.80,-2.65
KRITI, EQ, 01-Mar-2023,95.05,97.0,103.4,96.0, 102.40,101.3,99.86,44206,44.15,1213, 27535, 62.29,6.58
KRITI, EQ, 01-Mar-2024,159.1,161.95,163.95,156.35, 157.00,156.9,158.63,122990,195.1,6153, 53801, 43.74,-1.38
KRITI, EQ, 01-Apr-2022,106.8,106.05,110.75,106.05, 107.80,107.2,108.07,20972,22.66,893, 11845, 56.48,0.37
KRITI, EQ, 01-Apr-2024,133.55,135.55,142.8,134.65, 140.35,140.25,137.98,53442,73.74,2530, 21228, 39.72,5.02
KRITI, EQ, 01-Apr-2025,97.44,94.51,102.31,94.51,102.31,102.31,100.84,28525,28.76,717, 16381, 57.43,5.0
KRITI, EQ, 01-Jun-2022,86.25,87.45,87.45,80.2,81.2,81.25,83.71,92419,77.36,4049, 46493, 50.31,-5.8
KRITI, EQ, 01-Jun-2023,104.05,103.7,106.1,103.0, 103.60,103.8,104.22,27694,28.86,870, 13902, 50.20,-0.24
KRITI, EQ, 01-Jul-2022,70.25,71.2,72.0,68.15,68.55,69.7,70.08,20808,14.58,774, 10513, 50.52,-0.78
KRITI, EQ, 01-Jul-2024,188.97,187.0,192.86,187.0,187.45,188.15,189.38,60874,115.28,1344, 35502, 58.32,-0.43
KRITI, EQ, 01-Aug-2022,71.05,72.5,72.5,69.55, 70.00,70.35,70.4,84987,59.83,832, 62158, 73.14,-0.99
KRITI, EQ, 01-Aug-2023,114.95,115.95,115.95,112.7, 113.60,113.2,114.41,48113,55.05,1040, 31955, 66.42,-1.52
KRITI, EQ, 01-Aug-2024,221.22,224.85,227.84,213.4,224.0,222.16,221.12,117084,258.9,3031, 59810, 51.08,0.42
KRITI, EQ, 01-Sep-2022,90.8,90.0,93.1,87.65,89.0,88.65,90.39,44784,40.48,968, 24394, 54.47,-2.37
KRITI, EQ, 01-Sep-2023,109.8,110.5,112.25,108.3, 110.50,110.3,109.95,51121,56.21,1000, 30879, 60.40,0.46
KRITI, EQ, 01-Oct-2024,243.84,243.84,245.8,236.35,237.0,237.78,241.13,82155,198.1,2387, 54358, 66.17,-2.49
KRITI, EQ, 01-Nov-2021,117.3,118.75,121.75,114.75, 119.00,118.8,117.59,22541,26.51,664, 11252, 49.92,1.28
KRITI, EQ, 01-Nov-2022,90.05,90.65,90.95,85.7,89.4,87.1,89.1,73815,65.77,1179, 49824, 67.50,-3.28
KRITI, EQ, 01-Nov-2023,93.8,94.0,95.9,93.6, 93.60,94.1,94.65,12295,11.64,510, 7139, 58.06,0.32
KRITI, EQ, 01-Dec-2021,116.4,116.85,120.0,115.6,117.75,117.4,118.35,14107,16.7,507, 8955, 63.48,0.86
KRITI, EQ, 01-Dec-2022,78.3,80.15,80.4,78.2,79.0,79.05,79.15,18368,14.54,667, 13067, 71.14,0.96
KRITI, EQ, 01-Dec-2023,105.85,106.0,114.6,106.0, 109.90,109.05,111.12,321978,357.77,6749, 169424, 52.62,3.02
KRITI, EQ, 02-Jan-2023,84.7,83.1,86.05,83.1, 83.65,84.5,85.03,46490,39.53,5928, 8636, 18.58,-0.24
KRITI, EQ, 02-Jan-2024,112.95,114.35,114.35,101.5, 108.30,109.2,107.45,261516,281.0,3493, 114066, 43.62,-3.32
KRITI, EQ, 02-Feb-2022,100.0,102.45,102.9,98.1, 99.00,100.15,101.13,85363,86.33,1656, 58147, 68.12,0.15
KRITI, EQ, 02-Feb-2023,76.3,77.1,77.9,75.3, 77.00,76.45,77.16,11045,8.52,656, 6141, 55.60,0.2
KRITI, EQ, 02-Feb-2024,124.95,125.2,146.05,125.2, 131.75,132.4,138.32,1066429,1475.12,21235, 274980, 25.79,5.96
KRITI, EQ, 02-Mar-2022,106.35,103.35,106.25,98.25, 102.35,102.5,102.08,105641,107.83,2381, 57593, 54.52,-3.62
KRITI, EQ, 02-Mar-2023,101.3,101.85,109.85,99.15, 104.00,107.0,104.45,88492,92.43,2389, 47926, 54.16,5.63
KRITI, EQ, 02-Apr-2024,140.25,141.0,144.0,138.8, 142.05,142.0,141.12,42976,60.65,2203, 17926, 41.71,1.25
KRITI, EQ, 02-Apr-2025,102.31,102.0,107.42,99.41,107.42,107.42,105.12,25552,26.86,905, 15209, 59.52,4.99
KRITI, EQ, 02-May-2022,110.1,106.55,113.7,106.1,111.7,109.3,107.81,31695,34.17,1348, 18474, 58.29,-0.73
KRITI, EQ, 02-May-2023,102.0,103.45,104.0,100.05, 101.20,101.45,101.72,31800,32.35,478, 23390, 73.55,-0.54
KRITI, EQ, 02-May-2024,135.85,136.0,145.5,136.0, 145.00,145.15,143.33,261503,374.82,4233, 145242, 55.54,6.85
KRITI, EQ, 02-Jun-2022,81.25,82.25,83.45,78.4,81.0,80.55,80.59,64043,51.61,3017, 28917, 45.15,-0.86
KRITI, EQ, 02-Jun-2023,103.8,104.1,108.5,103.4, 103.60,104.25,105.63,45312,47.87,654, 32780, 72.34,0.43
KRITI, EQ, 02-Jul-2024,188.15,189.1,191.15,187.5,188.5,188.71,189.12,48509,91.74,833, 31512, 64.96,0.3
KRITI, EQ, 02-Aug-2022,70.35,70.0,72.55,70.0,72.0,72.1,71.56,35651,25.51,440, 26982, 75.68,2.49
KRITI, EQ, 02-Aug-2023,113.2,113.2,115.35,108.75, 110.85,110.4,111.62,89849,100.29,1597, 55090, 61.31,-2.47
KRITI, EQ, 02-Aug-2024,222.16,223.0,232.78,217.62,223.25,224.4,225.63,115484,260.56,3743, 64195, 55.59,1.01
KRITI, EQ, 02-Sep-2022,88.65,88.75,97.5,84.15,86.9,86.15,90.75,174619,158.47,3107, 88535, 50.70,-2.82
KRITI, EQ, 02-Sep-2024,223.46,227.55,227.55,215.0,218.0,216.66,217.96,55383,120.71,2261, 31995, 57.77,-3.04
KRITI, EQ, 02-Nov-2021,118.8,122.0,124.95,117.0, 118.00,119.15,120.42,27585,33.22,633, 13274, 48.12,0.29
KRITI, EQ, 02-Nov-2022,87.1,90.0,90.7,84.15,90.0,89.9,87.66,81137,71.12,1344, 47393, 58.41,3.21
KRITI, EQ, 02-Nov-2023,94.1,99.8,99.8,95.3, 95.70,96.4,96.71,48216,46.63,1131, 30973, 64.24,2.44
KRITI, EQ, 02-Dec-2021,117.4,118.3,119.65,116.5, 117.00,117.45,118.15,11124,13.14,365, 6883, 61.88,0.04
KRITI, EQ, 02-Dec-2022,79.05,79.9,84.75,78.0, 83.00,83.35,81.01,62550,50.67,1181, 47667, 76.21,5.44
KRITI, EQ, 03-Jan-2022,130.05,134.85,139.9,129.0, 138.00,136.25,134.56,135706,182.6,3261, 76315, 56.24,4.77
KRITI, EQ, 03-Jan-2023,84.5,85.7,85.9,81.65, 82.25,82.45,83.9,48998,41.11,6123, 17148, 35.00,-2.43
KRITI, EQ, 03-Jan-2024,109.2,109.95,110.85,107.6, 108.05,108.55,108.58,48909,53.11,987, 29050, 59.40,-0.6
KRITI, EQ, 03-Feb-2022,100.15,100.05,101.05,99.0, 100.10,100.25,100.18,49020,49.11,1642, 31115, 63.47,0.1
KRITI, EQ, 03-Feb-2023,76.45,78.95,81.75,72.9, 81.00,78.6,75.8,53802,40.78,1724, 22861, 42.49,2.81
KRITI, EQ, 03-Feb-2025,116.0,119.27,120.92,114.0,117.0,117.64,116.11,35221,40.89,508, 27052, 76.81,1.41
KRITI, EQ, 03-Mar-2022,102.5,103.95,106.0,102.05,104.0,104.15,104.35,90240,94.17,1260, 60065, 66.56,1.61
KRITI, EQ, 03-Mar-2023,107.0,105.4,111.9,102.9, 105.45,104.7,106.07,153115,162.42,2660, 113184, 73.92,-2.15
KRITI, EQ, 03-Mar-2025,113.59,116.0,116.43,107.91,107.91,108.56,111.95,53877,60.31,1144, 42151, 78.24,-4.43
KRITI, EQ, 03-Apr-2023,113.75,116.5,116.5,112.5, 112.55,112.95,113.11,32373,36.62,1113, 20554, 63.49,-0.7
KRITI, EQ, 03-Apr-2024,142.0,144.0,144.95,139.6, 141.00,140.8,141.31,38202,53.98,1803, 21897, 57.32,-0.85
KRITI, EQ, 03-Apr-2025,107.42,110.0,111.74,106.4,110.0,108.76,109.2,52003,56.79,1056, 31312, 60.21,1.25
KRITI, EQ, 03-May-2023,101.45,102.9,102.9,100.1,102.1,101.4,101.68,18161,18.47,277, 13708, 75.48,-0.05
KRITI, EQ, 03-May-2024,145.15,145.3,145.35,126.0, 132.00,129.3,133.38,506428,675.48,9772, 214308, 42.32,-10.92
KRITI, EQ, 03-Jun-2022,80.55,82.15,82.2,80.55, 81.00,80.9,81.36,40774,33.17,1351, 19121, 46.90,0.43
KRITI, EQ, 03-Jun-2024,110.5,112.65,117.75,109.95,111.0,112.7,112.07,65655,73.58,1517, 37654, 57.35,1.99
KRITI, EQ, 03-Jul-2023,111.25,111.25,114.75,110.25, 114.40,112.8,112.9,66551,75.13,1117, 47566, 71.47,1.39
KRITI, EQ, 03-Jul-2024,188.71,189.69,190.9,188.1,190.0,189.77,189.33,43058,81.52,835, 22846, 53.06,0.56
KRITI, EQ, 03-Aug-2022,72.1,72.1,73.15,71.0, 71.10,71.35,71.79,12281,8.82,327, 6061, 49.35,-1.04
KRITI, EQ, 03-Aug-2023,110.4,113.85,113.85,109.2, 110.50,110.65,111.01,47624,52.87,1021, 25050, 52.60,0.23
KRITI, EQ, 03-Sep-2024,216.66,219.0,220.79,214.21,215.1,216.79,217.27,22623,49.15,1276, 12161, 53.76,0.06
KRITI, EQ, 03-Oct-2022,90.35,87.7,93.9,87.55,89.0,89.35,90.8,58758,53.35,2493, 34505, 58.72,-1.11
KRITI, EQ, 03-Oct-2023,98.1,98.1,103.8,97.8, 99.25,99.3,100.21,69982,70.13,1570, 28921, 41.33,1.22
KRITI, EQ, 03-Oct-2024,237.78,233.0,237.59,228.39,233.9,231.75,233.0,45507,106.03,1536, 28919, 63.55,-2.54
KRITI, EQ, 03-Nov-2021,119.15,118.05,121.5,118.0, 118.00,118.05,118.83,6665,7.92,231, 3565, 53.49,-0.92
KRITI, EQ, 03-Nov-2022,89.9,89.05,90.7,88.6,90.1,90.0,89.39,51227,45.79,897, 39970, 78.03,0.11
KRITI, EQ, 03-Nov-2023,96.4,99.0,101.35,96.2, 98.05,97.95,98.72,42934,42.38,986, 21013, 48.94,1.61
KRITI, EQ, 03-Dec-2021,117.45,119.85,122.0,117.5, 118.00,119.3,120.25,30171,36.28,585, 16752, 55.52,1.58
KRITI, EQ, 04-Jan-2022,136.25,139.5,139.5,133.15, 135.05,134.75,136.49,42338,57.79,1204, 27739, 65.52,-1.1
KRITI, EQ, 04-Jan-2023,82.45,80.35,84.25,80.35, 81.50,82.0,82.51,41372,34.14,4914, 14016, 33.88,-0.55
KRITI, EQ, 04-Jan-2024,108.55,109.65,110.0,106.5, 107.50,108.55,108.22,94722,102.51,1386, 56795, 59.96,0.0
KRITI, EQ, 04-Feb-2022,100.25,101.5,101.5,99.5, 100.00,100.2,100.25,37271,37.36,803, 23162, 62.14,-0.05
KRITI, EQ, 04-Feb-2025,117.64,120.0,129.4,116.11,129.4,129.4,123.07,45223,55.65,583, 33327, 73.69,10.0
KRITI, EQ, 04-Mar-2022,104.15,101.7,104.95,100.0, 102.00,101.45,102.84,59915,61.62,1857, 31409, 52.42,-2.59
KRITI, EQ, 04-Mar-2024,157.4,157.0,157.7,150.55, 154.55,153.65,153.68,122295,187.95,7063, 57283, 46.84,-2.38
KRITI, EQ, 04-Mar-2025,108.56,107.96,109.9,103.13,103.13,103.14,105.92,68433,72.48,2067, 39456, 57.66,-4.99
KRITI, EQ, 04-Apr-2022,107.2,109.3,116.0,109.3,115.0,114.15,113.16,100181,113.36,3183, 58375, 58.27,6.48
KRITI, EQ, 04-Apr-2024,140.8,140.0,143.85,140.0, 141.15,141.85,141.85,57535,81.61,1572, 32386, 56.29,0.75
KRITI, EQ, 04-Apr-2025,108.76,109.41,109.41,103.32,104.88,103.74,104.44,32590,34.04,739, 21994, 67.49,-4.62
KRITI, EQ, 04-May-2022,109.3,110.0,118.0,108.2,109.7,110.55,113.89,129337,147.3,3826, 36464, 28.19,1.14
KRITI, EQ, 04-May-2023,101.4,100.5,103.35,100.3, 101.00,101.5,101.76,28135,28.63,752, 14744, 52.40,0.1
KRITI, EQ, 04-Jun-2024,112.7,112.75,114.45,90.2,103.0,103.25,101.51,155876,158.22,2714, 76506, 49.08,-8.39
KRITI, EQ, 04-Jul-2022,69.7,69.6,75.0,69.4,75.0,74.0,72.67,15201,11.05,525, 7190, 47.30,6.17
KRITI, EQ, 04-Jul-2023,112.8,115.0,116.0,110.5, 111.00,111.0,113.37,90928,103.08,1917, 57597, 63.34,-1.6
KRITI, EQ, 04-Jul-2024,189.77,190.38,195.8,189.55,192.7,192.53,192.58,81143,156.26,1599, 50451, 62.18,1.45
KRITI, EQ, 04-Aug-2022,71.35,70.9,71.3,69.4,70.8,70.5,70.4,49863,35.1,882, 33550, 67.28,-1.19
KRITI, EQ, 04-Aug-2023,110.65,111.65,112.8,109.5, 111.90,111.6,111.07,50463,56.05,1141, 32316, 64.04,0.86
KRITI, EQ, 04-Sep-2023,110.3,110.0,111.95,109.0, 110.70,110.6,110.53,64399,71.18,1281, 41412, 64.31,0.27
KRITI, EQ, 04-Sep-2024,216.79,210.25,216.49,210.25,215.0,213.47,214.07,35380,75.74,1571, 17367, 49.09,-1.53
KRITI, EQ, 04-Oct-2022,89.35,91.35,98.8,90.6, 95.50,95.65,94.65,62560,59.21,1736, 38109, 60.92,7.05
KRITI, EQ, 04-Oct-2023,99.3,100.7,100.75,97.55, 99.70,98.9,98.65,32100,31.67,1124, 16800, 52.34,-0.4
