SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
KRITIKA, EQ, 01-Feb-2023,10.75,10.9,11.8,10.75, 11.55,11.6,11.63,573044,66.65,1551, 380040, 66.32,7.91
KRITIKA, EQ, 01-Mar-2023,9.0,9.2,9.35,8.6, 9.20,9.1,9.06,85020,7.7,500, 62564, 73.59,1.11
KRITIKA, EQ, 01-Jun-2022,62.05,62.05,65.1,61.1,63.8,63.55,63.51,8295,5.27,175, 5162, 62.23,2.42
KRITIKA, EQ, 01-Jun-2023,18.0,18.9,18.9,18.9, 18.90,18.9,18.9,189295,35.78,265, 189295, 100.00,5.0
KRITIKA, EQ, 01-Jul-2022,76.4,73.45,80.2,72.6,80.2,79.35,75.03,13664,10.25,219, 3536, 25.88,3.86
KRITIKA, EQ, 01-Jul-2024,19.24,19.64,19.74,18.72,18.74,18.77,19.07,511682,97.56,2475, 342918, 67.02,-2.44
KRITIKA, EQ, 01-Aug-2022,110.75,115.9,115.9,105.25, 105.25,105.25,109.63,6970,7.64,131, 5993, 85.98,-4.97
KRITIKA, EQ, 01-Aug-2024,19.66,20.0,20.27,19.47,19.94,19.85,19.82,385723,76.44,1932, 250408, 64.92,0.97
KRITIKA, EQ, 01-Sep-2022,29.5,30.95,30.95,29.95,30.95,30.95,30.89,2474915,764.6,4147, 1863666, 75.30,4.92
KRITIKA, EQ, 01-Oct-2024,18.67,17.73,17.73,17.73,17.73,17.73,17.73,603149,106.94,2586, 603149, 100.00,-5.03
KRITIKA, EQ, 01-Nov-2022,18.1,17.9,18.0,17.2,17.2,17.2,17.25,245990,42.42,1390, 200737, 81.60,-4.97
KRITIKA, EQ, 01-Dec-2022,15.35,15.35,15.5,15.2,15.35,15.25,15.31,156961,24.03,770, 117679, 74.97,-0.65
KRITIKA, EQ, 02-Jan-2023,12.65,12.85,12.9,12.05, 12.65,12.55,12.62,163069,20.58,815, 120795, 74.08,-0.79
KRITIKA, EQ, 02-Feb-2023,11.6,11.6,11.6,11.0, 11.10,11.05,11.17,111337,12.43,621, 96705, 86.86,-4.74
KRITIKA, EQ, 02-Mar-2023,9.1,9.45,9.45,8.6, 9.00,9.0,8.99,163389,14.69,492, 129365, 79.18,-1.1
KRITIKA, EQ, 02-May-2023,11.6,11.5,11.85,11.5, 11.75,11.7,11.7,85180,9.97,480, 73095, 85.81,0.86
KRITIKA, EQ, 02-Jun-2022,63.55,66.7,66.7,60.55,66.7,66.3,65.39,29531,19.31,231, 25871, 87.61,4.33
KRITIKA, EQ, 02-Jun-2023,18.9,19.8,19.8,19.8, 19.80,19.8,19.8,183870,36.41,315, 183870, 100.00,4.76
