SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
KSERASERA, EQ, 01-Apr-2020,0.1,0.1,0.1,0.05,0.05,0.1,0.09,1448049,1.26,203, 899084, 62.09,0.0
KSERASERA, EQ, 03-Apr-2020,0.1,0.05,0.1,0.05, 0.10,0.1,0.07,1579724,1.17,266, 760155, 48.12,0.0
KSERASERA, EQ, 04-Mar-2020,0.05,0.05,0.1,0.05, 0.10,0.1,0.07,996216,0.74,108, 622609, 62.50,100.0
KSERASERA, EQ, 04-May-2020,0.15,0.1,0.15,0.1, 0.15,0.15,0.13,4950601,6.6,435, 4266438, 86.18,0.0
KSERASERA, EQ, 05-Mar-2020,0.1,0.05,0.1,0.05, 0.10,0.1,0.08,1435959,1.12,143, 943084, 65.68,0.0
KSERASERA, EQ, 05-May-2020,0.15,0.1,0.15,0.1, 0.10,0.1,0.13,2873395,3.6,350, 2307187, 80.29,-33.33
KSERASERA, EQ, 06-Mar-2020,0.1,0.05,0.1,0.05, 0.05,0.1,0.09,1169021,1.03,135, 1052660, 90.05,0.0
KSERASERA, EQ, 06-May-2020,0.1,0.15,0.15,0.1, 0.15,0.15,0.15,15925138,23.55,487, 14661015, 92.06,50.0
KSERASERA, EQ, 07-Apr-2020,0.1,0.1,0.1,0.05, 0.05,0.1,0.08,5382003,4.16,373, 3281082, 60.96,0.0
KSERASERA, EQ, 08-Apr-2020,0.1,0.1,0.1,0.05, 0.10,0.1,0.08,1801027,1.52,258, 1374652, 76.33,0.0
KSERASERA, EQ, 09-Mar-2020,0.1,0.05,0.1,0.05, 0.10,0.05,0.07,703661,0.52,138, 536732, 76.28,-50.0
KSERASERA, EQ, 09-Apr-2020,0.1,0.1,0.1,0.05, 0.10,0.05,0.07,2197989,1.46,258, 2099418, 95.52,-50.0
KSERASERA, EQ, 11-Mar-2020,0.05,0.1,0.1,0.05, 0.10,0.05,0.09,3730532,3.22,364, 2545513, 68.23,0.0
KSERASERA, EQ, 12-Mar-2020,0.05,0.05,0.1,0.05, 0.10,0.05,0.07,1726202,1.28,254, 1170192, 67.79,0.0
KSERASERA, EQ, 13-Mar-2020,0.05,0.1,0.1,0.05, 0.05,0.05,0.08,1909840,1.44,326, 1608645, 84.23,0.0
KSERASERA, EQ, 13-Apr-2020,0.05,0.1,0.1,0.05, 0.10,0.1,0.09,7650657,6.84,835,5168240,69.64,100.0
KSERASERA, EQ, 15-Apr-2020,0.1,0.15,0.15,0.1, 0.15,0.15,0.13,10848970,14.59,1353, 7494175, 69.08,50.0
KSERASERA, EQ, 16-Mar-2020,0.05,0.1,0.1,0.05, 0.10,0.05,0.08,2032326,1.63,403, 1485845, 73.11,0.0
KSERASERA, EQ, 16-Apr-2020,0.15,0.1,0.2,0.1, 0.15,0.15,0.13,17000224,22.82,1142, 8146709, 47.92,0.0
KSERASERA, EQ, 17-Mar-2020,0.05,0.1,0.1,0.05, 0.05,0.1,0.08,1233473,0.93,299, 732931, 59.42,100.0
KSERASERA, EQ, 17-Apr-2020,0.15,0.15,0.15,0.1, 0.15,0.1,0.12,2946625,3.59,408, 2401110, 81.49,-33.33
KSERASERA, EQ, 18-Mar-2020,0.1,0.1,0.1,0.05, 0.10,0.1,0.08,1455470,1.21,183, 1079045, 74.14,0.0
KSERASERA, EQ, 18-Aug-2020,0.3,0.3,0.3,0.25,0.3,0.3,0.27,1811505,4.94,469, 1653989, 91.30,0.0
KSERASERA, EQ, 19-Mar-2020,0.1,0.05,0.1,0.05, 0.05,0.1,0.08,1107934,0.86,144, 413743, 37.34,0.0
KSERASERA, EQ, 19-Aug-2020,0.3,0.25,0.3,0.25,0.25,0.3,0.27,1980302,5.35,490, 1128394, 56.98,0.0
KSERASERA, EQ, 20-Mar-2020,0.1,0.05,0.1,0.05, 0.10,0.1,0.08,1642666,1.25,168, 534058, 32.51,0.0
KSERASERA, EQ, 20-Apr-2020,0.1,0.1,0.15,0.1, 0.15,0.1,0.12,4583021,5.62,701, 3796383, 82.84,0.0
KSERASERA, EQ, 20-Aug-2020,0.3,0.3,0.3,0.25,0.3,0.3,0.27,1634173,4.34,419, 1047158, 64.08,0.0
KSERASERA, EQ, 21-Apr-2020,0.1,0.15,0.15,0.1,0.15,0.15,0.13,3997097,5.31,593, 1754348, 43.89,50.0
KSERASERA, EQ, 21-Aug-2020,0.3,0.3,0.3,0.25, 0.30,0.25,0.25,22855178,57.77,1728, 18519809, 81.03,-16.67
KSERASERA, EQ, 22-Apr-2020,0.15,0.1,0.15,0.1,0.15,0.15,0.13,2550254,3.23,349, 1050124, 41.18,0.0
KSERASERA, EQ, 23-Mar-2020,0.1,0.1,0.1,0.05, 0.10,0.05,0.07,2937188,2.19,249, 1581432, 53.84,-50.0
KSERASERA, EQ, 23-Apr-2020,0.15,0.15,0.15,0.1,0.1,0.1,0.12,2327316,2.83,337, 1063063, 45.68,-33.33
KSERASERA, EQ, 24-Mar-2020,0.05,0.1,0.1,0.05, 0.10,0.1,0.08,1594233,1.35,255, 824091, 51.69,100.0
