SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
LAKSHVILAS, EQ, 01-Jan-2020,17.25,17.1,17.55,16.9, 17.00,17.0,17.14,365571,62.64,1449, 286313, 78.32,-1.45
LAKSHVILAS, EQ, 01-Apr-2020,10.95,11.2,11.45,10.9,11.4,11.45,11.26,480630,54.1,1519, 341808, 71.12,4.57
LAKSHVILAS, EQ, 01-Jun-2020,12.45,12.5,12.9,12.4, 12.60,12.55,12.64,988662,124.96,1535, 719034, 72.73,0.8
LAKSHVILAS, EQ, 01-Jul-2020,23.05,22.1,23.4,21.9, 21.90,21.9,22.16,5605013,1242.11,7813, 2431331, 43.38,-4.99
LAKSHVILAS, EQ, 01-Sep-2020,19.3,19.0,20.0,18.85, 19.80,19.55,19.27,631624,121.68,1830, 437868, 69.32,1.3
LAKSHVILAS, EQ, 01-Oct-2020,18.75,19.9,19.9,18.85, 19.05,19.05,19.15,982150,188.05,2086, 505023, 51.42,1.6
LAKSHVILAS, EQ, 02-Jan-2020,17.0,16.95,17.25,16.75, 17.10,17.05,17.01,723944,123.15,1742, 477396, 65.94,0.29
LAKSHVILAS, EQ, 02-Mar-2020,15.65,16.35,16.4,15.25, 15.70,15.65,15.99,1002087,160.27,1647, 582075, 58.09,0.0
LAKSHVILAS, EQ, 02-Jun-2020,12.55,12.7,12.9,12.5,12.6,12.6,12.64,953762,120.52,1518, 683890, 71.70,0.4
LAKSHVILAS, EQ, 02-Jul-2020,21.9,21.9,22.1,20.85, 21.10,21.1,21.33,2402171,512.42,5112, 1428617, 59.47,-3.65
LAKSHVILAS, EQ, 02-Sep-2020,19.55,19.65,19.85,19.1, 19.60,19.5,19.49,361121,70.4,1282, 215985, 59.81,-0.26
LAKSHVILAS, EQ, 02-Nov-2020,15.5,15.1,15.5,15.1, 15.45,15.4,15.36,542340,83.29,1023, 309300, 57.03,-0.65
LAKSHVILAS, EQ, 03-Jan-2020,17.05,16.65,17.75,16.65, 17.05,17.05,17.31,842257,145.79,2178, 407030, 48.33,0.0
LAKSHVILAS, EQ, 03-Feb-2020,14.85,14.65,15.0,14.3, 14.50,14.45,14.68,324946,47.7,1101, 258394, 79.52,-2.69
LAKSHVILAS, EQ, 03-Mar-2020,15.65,15.8,15.8,14.9, 14.90,14.95,15.01,977428,146.72,1663, 631889, 64.65,-4.47
LAKSHVILAS, EQ, 03-Apr-2020,11.45,11.4,11.95,10.9, 11.05,11.35,11.44,598990,68.54,1725, 464758, 77.59,-0.87
LAKSHVILAS, EQ, 03-Jun-2020,12.6,12.8,13.2,12.65,13.2,13.2,13.1,1281578,167.84,1591, 787529, 61.45,4.76
LAKSHVILAS, EQ, 03-Jul-2020,21.1,22.15,22.15,21.35, 22.15,22.15,22.03,3016106,664.48,3474, 1455454, 48.26,4.98
LAKSHVILAS, EQ, 03-Aug-2020,19.8,19.1,19.35,18.85,18.85,18.85,18.89,1164944,220.06,2061, 736219, 63.20,-4.8
LAKSHVILAS, EQ, 03-Sep-2020,19.5,19.7,19.9,19.1, 19.35,19.35,19.39,358229,69.47,1301, 241186, 67.33,-0.77
LAKSHVILAS, EQ, 03-Nov-2020,15.4,15.15,15.95,15.15,15.5,15.45,15.58,769689,119.94,1626, 366016, 47.55,0.32
LAKSHVILAS, EQ, 04-Feb-2020,14.45,14.7,15.15,14.4, 15.15,15.0,14.7,300088,44.13,816, 236012, 78.65,3.81
LAKSHVILAS, EQ, 04-Mar-2020,14.95,15.0,15.0,14.25, 14.25,14.35,14.46,808641,116.96,1466, 441180, 54.56,-4.01
LAKSHVILAS, EQ, 04-May-2020,14.75,14.7,14.8,14.1, 14.40,14.35,14.4,520544,74.97,1326, 347209, 66.70,-2.71
LAKSHVILAS, EQ, 04-Jun-2020,13.2,13.55,13.65,12.65,13.15,13.2,13.19,1374604,181.35,2378, 831706, 60.51,0.0
LAKSHVILAS, EQ, 04-Aug-2020,18.85,18.85,19.3,18.4,18.85,18.9,18.92,751947,142.29,1364, 515881, 68.61,0.27
LAKSHVILAS, EQ, 04-Sep-2020,19.35,19.35,19.75,19.2,19.55,19.5,19.54,630311,123.15,1407, 510164, 80.94,0.78
LAKSHVILAS, EQ, 04-Nov-2020,15.45,15.45,15.7,15.2,15.45,15.45,15.47,612455,94.76,1004, 241999, 39.51,0.0
LAKSHVILAS, EQ, 05-Feb-2020,15.0,15.2,15.5,14.7, 14.80,14.8,14.92,228302,34.05,861, 170603, 74.73,-1.33
LAKSHVILAS, EQ, 05-Mar-2020,14.35,14.35,15.05,14.15, 15.05,15.05,14.81,501108,74.22,1120, 364580, 72.75,4.88
LAKSHVILAS, EQ, 05-May-2020,14.35,14.55,14.75,14.1, 14.20,14.15,14.33,389402,55.79,1056, 235911, 60.58,-1.39
LAKSHVILAS, EQ, 05-Jun-2020,13.2,13.25,13.85,13.15, 13.85,13.85,13.55,997734,135.23,1693, 691891, 69.35,4.92
LAKSHVILAS, EQ, 05-Aug-2020,18.9,18.55,19.3,18.55,19.1,19.1,19.11,716036,136.86,1274, 478059, 66.76,1.06
LAKSHVILAS, EQ, 05-Oct-2020,19.05,18.95,19.2,18.1, 18.35,18.2,18.38,926249,170.28,2993, 594742, 64.21,-4.46
LAKSHVILAS, EQ, 05-Nov-2020,15.45,15.7,15.7,15.5, 15.50,15.55,15.6,339509,52.95,813, 239949, 70.68,0.65
LAKSHVILAS, EQ, 06-Jan-2020,17.05,17.25,17.25,16.55, 16.65,16.6,16.76,533701,89.47,1219, 362624, 67.95,-2.64
LAKSHVILAS, EQ, 06-Feb-2020,14.8,15.0,15.4,14.75, 15.00,14.95,15.14,360226,54.55,1008, 252238, 70.02,1.01
LAKSHVILAS, EQ, 06-Mar-2020,15.05,14.3,14.3,14.3, 14.30,14.3,14.3,224369,32.08,495, 224369, 100.00,-4.98
LAKSHVILAS, EQ, 06-May-2020,14.15,14.1,14.4,13.8, 14.05,13.95,14.01,337492,47.28,926, 220737, 65.41,-1.41
LAKSHVILAS, EQ, 06-Jul-2020,22.15,23.25,23.25,23.25, 23.25,23.25,23.25,544551,126.61,851, 544545, 100.00,4.97
LAKSHVILAS, EQ, 06-Aug-2020,19.1,19.4,19.5,19.1,19.25,19.25,19.21,332509,63.87,882, 243098, 73.11,0.79
LAKSHVILAS, EQ, 06-Oct-2020,18.2,18.2,18.55,17.95,18.4,18.4,18.31,694718,127.22,1802, 456427, 65.70,1.1
LAKSHVILAS, EQ, 06-Nov-2020,15.55,15.75,15.75,15.4, 15.65,15.6,15.58,568521,88.6,912, 394097, 69.32,0.32
LAKSHVILAS, EQ, 07-Jan-2020,16.6,16.55,16.8,15.85, 16.10,16.1,16.36,1115959,182.62,1917, 919004, 82.35,-3.01
LAKSHVILAS, EQ, 07-Feb-2020,14.95,16.4,16.4,16.4, 16.40,16.4,16.4,398053,65.28,488, 398041, 100.00,9.7
LAKSHVILAS, EQ, 07-Apr-2020,11.35,11.35,11.7,11.2, 11.50,11.45,11.46,446967,51.23,1472, 270101, 60.43,0.88
LAKSHVILAS, EQ, 07-May-2020,13.95,13.95,14.15,13.7, 13.95,13.95,13.89,291807,40.54,897, 162236, 55.60,0.0
LAKSHVILAS, EQ, 07-Jul-2020,23.25,24.4,24.4,22.55, 23.45,23.75,23.86,6385842,1523.7,10869, 2717261, 42.55,2.15
LAKSHVILAS, EQ, 07-Aug-2020,19.25,19.3,19.5,18.9,19.5,19.4,19.33,444285,85.86,1059, 356663, 80.28,0.78
LAKSHVILAS, EQ, 07-Sep-2020,19.5,19.9,20.15,19.5, 19.60,19.55,19.67,470032,92.43,1476, 316966, 67.43,0.26
LAKSHVILAS, EQ, 07-Oct-2020,18.4,18.3,18.6,16.6,16.6,16.6,17.13,1719690,294.55,3126, 1372774, 79.83,-9.78
LAKSHVILAS, EQ, 08-Jan-2020,16.1,16.0,16.0,15.75, 16.00,15.9,15.89,466376,74.09,1187, 376918, 80.82,-1.24
LAKSHVILAS, EQ, 08-Apr-2020,11.45,11.8,11.8,11.25, 11.40,11.4,11.6,518713,60.16,1428, 340071, 65.56,-0.44
LAKSHVILAS, EQ, 08-May-2020,13.95,13.75,14.1,13.65, 13.75,13.7,13.89,295369,41.04,864, 177331, 60.04,-1.79
LAKSHVILAS, EQ, 08-Jun-2020,13.85,14.2,14.5,13.85, 14.50,14.5,14.39,2441525,351.22,2900, 1110952, 45.50,4.69
