SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
LANCER, EQ, 01-Feb-2023,184.2,187.7,193.4,177.1, 182.00,181.1,185.94,330967,615.4,3633, 155382, 46.95,-1.68
LANCER, EQ, 01-Mar-2023,171.55,171.7,175.0,170.1, 173.40,172.8,172.67,89034,153.73,3077, 36420, 40.91,0.73
LANCER, EQ, 01-Jun-2022,220.2,228.0,228.0,218.0,220.0,219.85,221.57,64830,143.64,1146, 47437, 73.17,-0.16
LANCER, EQ, 01-Jul-2022,202.65,204.35,219.5,200.5,210.0,212.25,208.09,88492,184.15,2338, 47167, 53.30,4.74
LANCER, EQ, 01-Aug-2022,245.65,245.0,249.25,240.0, 247.00,246.5,244.68,84799,207.48,3623, 39153, 46.17,0.35
LANCER, EQ, 01-Sep-2022,261.85,265.8,274.1,261.2,265.0,263.95,264.81,253024,670.05,18434, 46414, 18.34,0.8
LANCER, EQ, 01-Nov-2022,409.25,411.5,428.0,406.0,424.9,423.25,417.67,256114,1069.71,5952, 111102, 43.38,3.42
LANCER, EQ, 01-Dec-2022,454.9,457.15,475.95,457.15,459.65,459.85,464.18,99700,462.79,6282, 34409, 34.51,1.09
LANCER, EQ, 02-Jan-2023,226.1,228.0,230.0,222.0, 226.95,226.85,226.11,165061,373.21,3060, 69493, 42.10,0.33
LANCER, EQ, 02-Feb-2023,181.1,182.95,188.0,176.0, 178.95,177.1,181.1,144227,261.19,2509, 70612, 48.96,-2.21
LANCER, EQ, 02-Mar-2023,172.8,170.2,173.8,167.5, 169.95,168.65,170.06,57908,98.48,2237, 31368, 54.17,-2.4
LANCER, EQ, 02-Jun-2022,219.85,224.0,225.6,218.5,219.0,219.45,220.28,231058,508.97,1772, 192223, 83.19,-0.18
LANCER, EQ, 02-Aug-2022,246.5,249.0,255.0,245.05,247.9,248.25,250.08,152047,380.23,4970, 82900, 54.52,0.71
LANCER, EQ, 02-Sep-2022,263.95,267.85,267.85,250.8,252.0,253.35,258.66,137866,356.61,9038, 62828, 45.57,-4.02
LANCER, EQ, 02-Nov-2022,423.25,424.3,439.7,415.1,434.6,433.3,427.54,176487,754.56,5493, 86804, 49.18,2.37
LANCER, EQ, 02-Dec-2022,459.85,462.2,463.75,442.0, 448.00,447.15,450.63,77385,348.72,5573, 50811, 65.66,-2.76
LANCER, EQ, 03-Jan-2023,226.85,228.85,229.5,224.0, 224.35,224.95,226.05,106752,241.31,2301, 57589, 53.95,-0.84
LANCER, EQ, 03-Feb-2023,177.1,178.95,179.8,171.5, 172.00,172.8,173.46,87402,151.61,2185, 50584, 57.88,-2.43
LANCER, EQ, 03-Mar-2023,168.65,168.65,173.9,168.3, 171.50,171.55,170.84,126174,215.56,6265, 47657, 37.77,1.72
LANCER, EQ, 03-Apr-2023,138.4,138.4,145.3,136.8, 145.30,145.3,142.91,101030,144.38,2615, 62729, 62.09,4.99
LANCER, EQ, 03-Jun-2022,219.45,219.45,221.45,217.0, 217.30,217.0,217.46,184817,401.9,306, 171131, 92.59,-1.12
LANCER, EQ, 03-Aug-2022,248.25,252.8,254.95,242.1, 243.15,244.9,250.03,174893,437.28,3546, 130777, 74.78,-1.35
LANCER, EQ, 03-Oct-2022,322.9,330.0,335.0,307.6,315.0,311.8,326.48,300836,982.17,17467, 125082, 41.58,-3.44
LANCER, EQ, 03-Nov-2022,433.3,431.7,470.0,426.55,449.2,450.45,448.57,398170,1786.07,10641, 155751, 39.12,3.96
LANCER, EQ, 04-Jan-2023,224.95,225.95,226.9,221.1, 221.80,222.4,223.26,130878,292.2,2630, 58704, 44.85,-1.13
LANCER, EQ, 04-Jul-2022,212.25,214.9,219.1,207.0,212.8,213.9,214.82,33335,71.61,1929, 14785, 44.35,0.78
LANCER, EQ, 04-Aug-2022,244.9,247.95,256.0,246.0,251.0,251.85,251.97,190627,480.33,2804, 88324, 46.33,2.84
LANCER, EQ, 04-Oct-2022,311.8,318.3,348.75,318.05, 335.00,335.2,333.52,465762,1553.43,17469, 153496, 32.96,7.5
LANCER, EQ, 04-Nov-2022,450.45,461.7,499.0,455.3,496.8,484.9,472.22,437179,2064.44,14803, 161360, 36.91,7.65
LANCER, EQ, 05-Jan-2023,222.4,220.0,228.95,218.0,218.9,220.5,221.3,77404,171.29,2068, 45017, 58.16,-0.85
LANCER, EQ, 05-Apr-2023,145.3,146.25,152.55,146.05, 152.55,152.5,150.02,123106,184.68,3489, 64120, 52.09,4.96
