SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
LANCORHOL, EQ, 01-Jan-2025,34.39,34.52,34.84,34.0,34.1,34.15,34.31,39900,13.69,730, 25151, 63.04,-0.7
LANCORHOL, EQ, 01-Apr-2025,21.75,21.86,24.45,21.86,24.45,24.02,23.39,111272,26.02,2525, 39822, 35.79,10.44
LANCORHOL, EQ, 01-Jul-2024,42.58,44.25,44.25,42.01,43.36,43.61,43.22,61420,26.54,963, 36409, 59.28,2.42
LANCORHOL, EQ, 01-Aug-2024,44.55,44.99,44.99,42.7,42.7,42.95,43.51,81077,35.27,931, 55402, 68.33,-3.59
LANCORHOL, EQ, 01-Oct-2024,42.78,43.48,43.5,41.7,42.33,42.45,42.7,77265,32.99,1619, 28578, 36.99,-0.77
LANCORHOL, EQ, 02-Jan-2025,34.15,34.3,35.25,34.17,35.15,34.94,34.73,96809,33.62,1712, 68592, 70.85,2.31
LANCORHOL, EQ, 02-Apr-2025,24.02,23.5,24.03,23.16,23.7,23.67,23.55,99736,23.49,1213, 63671, 63.84,-1.46
LANCORHOL, EQ, 02-May-2024,49.1,49.9,50.0,48.5, 49.00,49.2,49.02,33402,16.37,279, 24530, 73.44,0.2
LANCORHOL, EQ, 02-Jul-2024,43.61,44.3,44.3,42.05,42.5,42.75,42.91,34605,14.85,775, 21532, 62.22,-1.97
LANCORHOL, EQ, 02-Aug-2024,42.95,43.49,43.95,42.43,43.5,43.67,43.43,39025,16.95,662, 28528, 73.10,1.68
LANCORHOL, EQ, 02-Sep-2024,43.92,45.2,45.2,42.11,43.0,42.96,43.72,57859,25.3,906, 34052, 58.85,-2.19
LANCORHOL, EQ, 02-Dec-2024,39.89,39.99,40.38,38.12,38.89,38.78,39.32,100267,39.43,2292, 51365, 51.23,-2.78
LANCORHOL, EQ, 03-Jan-2025,34.94,35.58,36.25,34.76,36.25,35.99,35.62,178167,63.47,2903, 127492, 71.56,3.01
LANCORHOL, EQ, 03-Feb-2025,29.08,28.8,29.45,28.49,28.89,28.89,29.08,33531,9.75,945, 16657, 49.68,-0.65
LANCORHOL, EQ, 03-Mar-2025,23.9,23.96,25.05,19.63,21.36,20.96,21.2,524135,111.13,4693, 249662, 47.63,-12.3
LANCORHOL, EQ, 03-Apr-2025,23.67,23.99,24.67,23.27,23.35,23.55,23.84,92452,22.04,804, 44981, 48.65,-0.51
LANCORHOL, EQ, 03-May-2024,49.2,50.0,50.0,47.5, 47.70,47.85,48.04,168248,80.83,584, 110518, 65.69,-2.74
LANCORHOL, EQ, 03-Jun-2024,43.5,45.5,45.5,43.8,44.4,44.5,44.66,48743,21.77,286, 34352, 70.48,2.3
LANCORHOL, EQ, 03-Jul-2024,42.75,42.8,47.02,41.95,46.95,46.99,46.5,585483,272.26,1858, 360050, 61.50,9.92
LANCORHOL, EQ, 03-Sep-2024,42.96,42.96,44.22,42.6,42.65,42.77,43.09,44413,19.14,556, 21459, 48.32,-0.44
LANCORHOL, EQ, 03-Oct-2024,42.45,43.25,43.25,41.21,41.55,41.98,42.03,87692,36.86,1644, 35006, 39.92,-1.11
LANCORHOL, EQ, 03-Dec-2024,38.78,39.17,39.55,38.75,38.99,38.92,39.14,58655,22.96,924, 32848, 56.00,0.36
LANCORHOL, EQ, 04-Feb-2025,28.89,29.27,29.52,28.74,29.29,28.95,29.13,98566,28.71,1381, 76270, 77.38,0.21
LANCORHOL, EQ, 04-Mar-2025,20.96,21.5,22.37,20.11,20.51,20.56,21.54,202385,43.59,3825, 105831, 52.29,-1.91
LANCORHOL, EQ, 04-Apr-2025,23.55,24.19,24.38,22.85,22.96,23.07,23.3,30953,7.21,485, 18224, 58.88,-2.04
LANCORHOL, EQ, 04-Jun-2024,44.5,45.9,45.9,42.3,42.3,42.3,42.66,81088,34.59,434, 61875, 76.31,-4.94
LANCORHOL, EQ, 04-Jul-2024,46.99,46.29,48.4,45.2,46.5,46.9,47.07,221033,104.03,1567, 158607, 71.76,-0.19
LANCORHOL, EQ, 04-Sep-2024,42.77,42.1,43.8,42.1,42.35,43.12,42.99,71813,30.87,1846, 21527, 29.98,0.82
LANCORHOL, EQ, 04-Oct-2024,41.98,41.88,42.48,38.6,39.6,39.43,40.41,244920,98.97,2511, 152503, 62.27,-6.07
LANCORHOL, EQ, 04-Nov-2024,41.52,41.49,41.49,40.52,40.72,41.0,40.99,42962,17.61,572, 24648, 57.37,-1.25
LANCORHOL, EQ, 04-Dec-2024,38.92,39.8,41.83,38.8,38.95,39.05,39.89,100885,40.25,1238, 41531, 41.17,0.33
LANCORHOL, EQ, 05-Feb-2025,28.95,29.94,30.77,29.09,30.49,30.08,29.92,64780,19.38,1859, 33202, 51.25,3.9
LANCORHOL, EQ, 05-Mar-2025,20.56,20.6,23.38,20.6,22.23,22.41,22.14,126016,27.9,2622, 46008, 36.51,9.0
LANCORHOL, EQ, 05-Jun-2024,42.3,42.3,42.35,40.2,41.4,41.4,41.22,55070,22.7,348, 42536, 77.24,-2.13
LANCORHOL, EQ, 05-Jul-2024,46.9,47.9,47.9,45.0,47.89,47.38,46.77,246190,115.15,3122, 150088, 60.96,1.02
LANCORHOL, EQ, 05-Aug-2024,43.67,43.85,43.85,40.0,41.8,41.61,42.12,139707,58.84,903, 108769, 77.86,-4.72
LANCORHOL, EQ, 05-Sep-2024,43.12,42.9,43.8,41.75,42.19,42.01,42.46,91441,38.83,909, 63444, 69.38,-2.57
LANCORHOL, EQ, 05-Nov-2024,41.0,40.45,41.69,40.45,40.5,40.69,41.03,98499,40.41,1262, 57065, 57.93,-0.76
LANCORHOL, EQ, 05-Dec-2024,39.05,39.5,39.76,38.85,38.9,39.15,39.11,51594,20.18,562, 33465, 64.86,0.26
LANCORHOL, EQ, 06-Jan-2025,35.99,36.25,36.25,34.0,34.55,34.73,34.55,87513,30.24,1669, 49455, 56.51,-3.5
LANCORHOL, EQ, 06-Feb-2025,30.08,30.9,32.1,29.12,31.88,31.82,30.79,123251,37.94,2112, 81927, 66.47,5.78
LANCORHOL, EQ, 06-Mar-2025,22.41,23.43,26.49,22.19,26.25,25.97,25.26,480274,121.33,5055, 171334, 35.67,15.89
LANCORHOL, EQ, 06-May-2024,47.85,49.5,49.5,46.65,47.25,47.1,47.29,43948,20.79,365, 27388, 62.32,-1.57
LANCORHOL, EQ, 06-Jun-2024,41.4,43.2,43.45,42.7,43.45,43.4,43.39,43988,19.09,139, 37847, 86.04,4.83
LANCORHOL, EQ, 06-Aug-2024,41.61,42.0,42.93,40.34,41.0,40.55,41.5,47360,19.65,654, 29547, 62.39,-2.55
LANCORHOL, EQ, 06-Sep-2024,42.01,42.9,42.99,41.85,42.15,42.14,42.35,45014,19.06,948, 17358, 38.56,0.31
LANCORHOL, EQ, 06-Nov-2024,40.69,41.45,43.9,40.62,43.9,43.3,42.42,153706,65.21,1931, 102727, 66.83,6.41
LANCORHOL, EQ, 06-Dec-2024,39.15,39.0,40.45,38.75,38.86,39.13,39.33,62786,24.69,630, 40045, 63.78,-0.05
LANCORHOL, EQ, 07-Jan-2025,34.73,34.12,36.18,34.12,35.33,35.71,35.25,106335,37.49,1292, 66445, 62.49,2.82
LANCORHOL, EQ, 07-Feb-2025,31.82,31.01,31.75,30.16,30.7,30.75,31.2,86045,26.85,1431, 41300, 48.00,-3.36
LANCORHOL, EQ, 07-Mar-2025,25.97,26.3,29.3,25.55,26.0,27.02,27.89,738936,206.12,5687, 212359, 28.74,4.04
LANCORHOL, EQ, 07-Apr-2025,23.07,22.95,22.95,19.49,22.02,21.81,20.6,604065,124.41,2609, 269789, 44.66,-5.46
LANCORHOL, EQ, 07-May-2024,47.1,47.1,47.1,44.75,46.5,45.75,45.43,150796,68.51,747, 84948, 56.33,-2.87
LANCORHOL, EQ, 07-Jun-2024,43.4,45.95,47.0,43.35,46.1,46.35,45.51,90691,41.27,436, 65736, 72.48,6.8
LANCORHOL, EQ, 07-Aug-2024,40.55,42.34,42.99,40.75,42.5,42.61,42.07,104028,43.76,1268, 53149, 51.09,5.08
LANCORHOL, EQ, 07-Oct-2024,39.43,40.15,40.5,37.0,38.65,38.2,38.43,76412,29.37,1177, 37042, 48.48,-3.12
LANCORHOL, EQ, 07-Nov-2024,43.3,43.76,45.9,41.2,42.3,41.69,43.91,212838,93.46,2536, 93429, 43.90,-3.72
LANCORHOL, EQ, 08-Jan-2025,35.71,35.21,36.22,33.6,34.7,34.24,34.83,108225,37.69,2201, 66947, 61.86,-4.12
LANCORHOL, EQ, 08-Apr-2025,21.81,22.49,22.99,21.81,22.0,21.96,22.19,51538,11.43,485, 33523, 65.05,0.69
LANCORHOL, EQ, 08-May-2024,45.75,45.75,46.8,45.4,46.35,46.3,45.98,70318,32.33,305, 43242, 61.49,1.2
LANCORHOL, EQ, 08-Jul-2024,47.38,48.0,49.0,46.31,47.24,47.03,47.73,301544,143.91,1842, 205124, 68.02,-0.74
LANCORHOL, EQ, 08-Aug-2024,42.61,42.61,43.59,40.1,40.25,42.14,42.66,58230,24.84,763, 38948, 66.89,-1.1
LANCORHOL, EQ, 08-Oct-2024,38.2,38.6,40.25,38.0,39.41,39.74,39.44,94116,37.12,2700, 24029, 25.53,4.03
LANCORHOL, EQ, 08-Nov-2024,41.69,42.89,42.89,41.4, 41.95,41.43,41.83,68654,28.72,2282, 21380, 31.14,-0.62
LANCORHOL, EQ, 09-Jan-2025,34.24,34.98,34.98,33.05,33.32,33.98,34.1,76522,26.09,2478, 40275, 52.63,-0.76
LANCORHOL, EQ, 09-Apr-2025,21.96,21.5,22.2,21.43,21.6,21.53,21.77,165767,36.09,561, 139183, 83.96,-1.96
LANCORHOL, EQ, 09-May-2024,46.3,46.9,46.9,44.0,44.0,44.2,44.38,153463,68.11,491, 95660, 62.33,-4.54
LANCORHOL, EQ, 09-Jul-2024,47.03,48.49,48.49,46.51,46.9,46.98,47.17,74561,35.17,651, 41531, 55.70,-0.11
LANCORHOL, EQ, 09-Aug-2024,42.14,42.98,44.0,41.49,42.5,41.84,42.74,111667,47.72,1144, 75402, 67.52,-0.71
LANCORHOL, EQ, 09-Sep-2024,42.14,42.15,42.43,41.11,42.4,42.14,41.89,45846,19.21,621, 27826, 60.69,0.0
LANCORHOL, EQ, 09-Oct-2024,39.74,39.75,40.44,38.06,39.55,39.05,39.46,66652,26.3,792, 31080, 46.63,-1.74
LANCORHOL, EQ, 09-Dec-2024,39.13,39.2,39.77,38.35,38.51,38.64,39.04,39818,15.55,487, 22574, 56.69,-1.25
LANCORHOL, EQ, 10-Jan-2025,33.98,33.95,34.33,31.01,32.0,31.82,32.63,163246,53.27,2372, 79585, 48.75,-6.36
LANCORHOL, EQ, 10-Feb-2025,30.75,29.81,31.01,28.9,29.05,29.2,29.73,49546,14.73,1231, 27864, 56.24,-5.04
LANCORHOL, EQ, 10-Mar-2025,27.02,26.3,30.09,25.56,28.47,28.6,27.77,1035680,287.58,3637, 871349, 84.13,5.85
LANCORHOL, EQ, 10-May-2024,44.2,44.2,45.5,42.55,45.4,43.05,43.34,463683,200.95,1126, 370278, 79.86,-2.6
LANCORHOL, EQ, 10-Jun-2024,46.35,48.0,49.0,44.41,44.65,45.1,46.77,104547,48.9,771, 61099, 58.44,-2.7
LANCORHOL, EQ, 10-Jul-2024,46.98,47.9,47.9,45.01,46.0,46.19,46.1,138885,64.03,3797, 76840, 55.33,-1.68
LANCORHOL, EQ, 10-Sep-2024,42.14,42.89,42.89,41.35,41.64,41.49,41.81,29836,12.47,376, 23014, 77.14,-1.54
LANCORHOL, EQ, 10-Oct-2024,39.05,39.75,40.49,38.05,38.5,38.91,39.4,57805,22.78,367, 29508, 51.05,-0.36
LANCORHOL, EQ, 10-Dec-2024,38.64,39.34,39.34,38.05,38.61,38.69,38.54,77427,29.84,534, 57242, 73.93,0.13
LANCORHOL, EQ, 11-Feb-2025,29.2,28.5,29.6,26.01,27.8,26.95,27.23,111458,30.35,2033, 64312, 57.70,-7.71
LANCORHOL, EQ, 11-Mar-2025,28.6,27.3,28.24,26.35,26.38,26.73,27.47,219669,60.35,3583, 107179, 48.79,-6.54
LANCORHOL, EQ, 11-Apr-2025,21.53,22.79,22.79,21.75,21.9,21.95,22.04,41873,9.23,322, 23710, 56.62,1.95
LANCORHOL, EQ, 11-Jun-2024,45.1,47.0,47.0,44.51,46.4,46.23,45.55,72895,33.2,812, 41244, 56.58,2.51
LANCORHOL, EQ, 11-Jul-2024,46.19,48.77,48.77,45.54,46.39,46.43,46.75,293725,137.31,1836, 183633, 62.52,0.52
LANCORHOL, EQ, 11-Sep-2024,41.49,42.8,42.8,41.41,42.1,41.77,42.02,39925,16.78,421, 21663, 54.26,0.67
LANCORHOL, EQ, 11-Oct-2024,38.91,39.65,40.19,38.5,38.9,38.76,38.96,44945,17.51,355, 27530, 61.25,-0.39
LANCORHOL, EQ, 11-Nov-2024,41.43,40.2,42.44,40.2, 41.70,41.17,41.59,84707,35.23,1958, 38699, 45.69,-0.63
LANCORHOL, EQ, 11-Dec-2024,38.69,39.34,41.9,38.5,39.7,39.99,40.14,180188,72.33,2236, 72092, 40.01,3.36
LANCORHOL, EQ, 12-Feb-2025,26.95,26.0,27.59,22.32,26.22,26.66,24.32,298273,72.54,3346, 153234, 51.37,-1.08
LANCORHOL, EQ, 12-Mar-2025,26.73,27.7,27.9,24.0,25.0,24.81,25.51,188176,48.01,1721, 98277, 52.23,-7.18
LANCORHOL, EQ, 12-Jun-2024,46.23,47.34,47.55,45.01,45.85,45.89,45.86,72010,33.02,730, 38028, 52.81,-0.74
LANCORHOL, EQ, 12-Jul-2024,46.43,46.71,47.98,43.75,45.01,45.27,46.3,92209,42.69,1039, 65375, 70.90,-2.5
LANCORHOL, EQ, 12-Aug-2024,41.84,41.08,43.2,41.08,42.0,42.57,42.21,66645,28.13,992, 28480, 42.73,1.74
LANCORHOL, EQ, 12-Sep-2024,41.77,42.89,42.89,41.11,42.0,41.77,41.86,49232,20.61,480, 30648, 62.25,0.0
LANCORHOL, EQ, 12-Nov-2024,41.17,41.85,42.18,38.96,39.07,39.29,40.11,104645,41.97,1188, 77592, 74.15,-4.57
LANCORHOL, EQ, 12-Dec-2024,39.99,39.99,40.79,39.06,40.02,39.71,39.75,64191,25.52,1052, 31958, 49.79,-0.7
LANCORHOL, EQ, 13-Jan-2025,31.82,33.0,33.0,30.47,30.92,30.6,31.28,74783,23.39,1649, 49864, 66.68,-3.83
LANCORHOL, EQ, 13-Feb-2025,26.66,25.7,27.81,25.7,27.51,27.27,27.2,72064,19.6,2501, 16988, 23.57,2.29
LANCORHOL, EQ, 13-Mar-2025,24.81,25.8,25.81,23.16,23.89,23.71,24.41,199725,48.76,776, 148694, 74.45,-4.43
LANCORHOL, EQ, 13-May-2024,43.05,44.7,45.2,43.05,44.7,45.2,44.81,228186,102.26,490, 144085, 63.14,4.99
LANCORHOL, EQ, 13-Jun-2024,45.89,47.88,47.88,44.35,44.9,44.74,45.15,100802,45.52,1049, 66875, 66.34,-2.51
LANCORHOL, EQ, 13-Aug-2024,42.57,42.6,42.94,41.55,41.8,41.85,42.14,23789,10.02,350, 14917, 62.71,-1.69
LANCORHOL, EQ, 13-Sep-2024,41.77,42.37,42.7,41.4,41.9,41.43,41.83,56409,23.6,548, 39192, 69.48,-0.81
LANCORHOL, EQ, 13-Nov-2024,39.29,39.1,40.5,38.15,38.85,38.93,39.65,126682,50.23,832, 96833, 76.44,-0.92
LANCORHOL, EQ, 13-Dec-2024,39.71,40.41,40.41,38.98,40.0,39.77,39.42,32035,12.63,712, 16669, 52.03,0.15
