SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
LFIC, EQ, 01-Jan-2021,70.1,67.1,72.95,67.1, 71.60,71.6,71.21,1361,0.97,32, 1098, 80.68,2.14
LFIC, EQ, 01-Jan-2024,182.4,178.0,181.95,176.4, 178.85,177.3,179.07,16705,29.91,452, 12386, 74.15,-2.8
LFIC, EQ, 01-Feb-2021,67.15,67.2,70.5,67.15, 70.50,70.5,69.75,1627,1.13,29, 1459, 89.67,4.99
LFIC, EQ, 01-Feb-2022,131.15,130.0,130.25,124.6,124.6,124.6,125.87,7254,9.13,233, 4709, 64.92,-4.99
LFIC, EQ, 01-Feb-2023,116.95,117.25,121.45,115.55, 115.55,116.4,117.07,1277,1.49,76, 616, 48.24,-0.47
LFIC, EQ, 01-Feb-2024,173.4,176.7,196.2,172.75, 188.30,187.0,188.61,89608,169.01,2112, 33794, 37.71,7.84
LFIC, EQ, 01-Mar-2021,77.4,79.8,81.0,76.2, 81.00,79.2,78.46,4499,3.53,100, 3939, 87.55,2.33
LFIC, EQ, 01-Mar-2023,102.15,100.95,107.35,100.8, 102.15,103.0,104.41,3131,3.27,360, 643, 20.54,0.83
LFIC, EQ, 01-Apr-2020,39.95,38.95,40.0,38.4,39.8,39.8,39.75,395,0.16,7, 354, 89.62,-0.38
LFIC, EQ, 01-Apr-2021,84.1,82.9,87.2,82.05, 83.50,82.6,82.83,1229,1.02,47, 768, 62.49,-1.78
LFIC, EQ, 01-Apr-2022,97.9,97.8,97.8,94.55, 97.70,97.35,97.19,1445,1.4,140, 966, 66.85,-0.56
LFIC, EQ, 01-Apr-2025,172.43,175.96,177.25,170.01,171.11,171.49,172.64,1703,2.94,124, 602, 35.35,-0.55
LFIC, EQ, 01-Jun-2020,44.2,44.0,44.0,43.9, 43.90,43.9,43.94,692,0.3,10, 501, 72.40,-0.68
LFIC, EQ, 01-Jun-2021,79.1,77.5,79.3,77.5, 79.00,78.95,78.5,2219,1.74,29, 1308, 58.95,-0.19
LFIC, EQ, 01-Jun-2022,96.2,98.85,98.85,94.4,95.5,95.45,95.2,1466,1.4,103, 1166, 79.54,-0.78
LFIC, EQ, 01-Jun-2023,135.95,136.4,137.9,131.25, 131.35,132.45,134.28,6626,8.9,175, 4561, 68.83,-2.57
LFIC, EQ, 01-Jul-2021,79.05,77.5,81.9,77.5, 80.75,80.75,79.18,3870,3.06,161, 1613, 41.68,2.15
LFIC, EQ, 01-Jul-2022,96.85,93.65,94.05,92.65,92.7,93.55,93.62,494,0.46,20, 300, 60.73,-3.41
LFIC, EQ, 01-Jul-2024,209.32,217.8,217.8,206.69,212.0,212.82,211.33,34124,72.11,1614, 15758, 46.18,1.67
LFIC, EQ, 01-Aug-2022,109.05,110.8,117.95,104.8, 114.40,115.85,113.82,26416,30.07,518, 10322, 39.07,6.24
LFIC, EQ, 01-Aug-2023,125.05,125.05,126.95,123.65, 125.50,125.8,126.02,986,1.24,47, 690, 69.98,0.6
LFIC, EQ, 01-Aug-2024,216.02,222.02,247.45,217.21,240.5,239.62,234.19,130960,306.7,3034, 53964, 41.21,10.92
LFIC, EQ, 01-Sep-2020,52.55,52.0,52.95,51.0, 51.00,51.0,51.26,1512,0.78,27, 931, 61.57,-2.95
LFIC, EQ, 01-Sep-2021,77.7,78.15,80.35,78.1,78.25,78.5,79.01,360,0.28,19, 200, 55.56,1.03
LFIC, EQ, 01-Sep-2022,102.9,102.9,104.0,100.9,103.0,103.7,103.35,673,0.7,53, 510, 75.78,0.78
LFIC, EQ, 01-Sep-2023,140.55,140.6,140.65,137.0, 139.30,138.4,138.91,2842,3.95,144, 2362, 83.11,-1.53
LFIC, EQ, 01-Oct-2020,59.65,57.85,62.6,57.6, 62.60,62.6,61.7,8045,4.96,53, 6498, 80.77,4.95
LFIC, EQ, 01-Oct-2021,79.05,78.4,79.85,78.1, 78.50,78.4,78.47,2032,1.59,100, 1514, 74.51,-0.82
LFIC, EQ, 01-Oct-2024,312.54,329.0,372.0,321.8,358.0,361.35,355.16,942474,3347.25,26838, 111872, 11.87,15.62
LFIC, EQ, 01-Nov-2021,79.25,79.65,79.65,78.35, 79.30,78.9,78.63,2120,1.67,116, 1275, 60.14,-0.44
LFIC, EQ, 01-Nov-2022,102.8,103.1,104.0,101.85,103.65,102.8,102.09,1177,1.2,37, 1122, 95.33,0.0
LFIC, EQ, 01-Nov-2023,145.05,146.45,150.0,145.15, 148.45,148.35,148.79,3014,4.48,94, 2212, 73.39,2.28
LFIC, EQ, 01-Dec-2020,60.9,63.9,63.9,58.95,59.8,59.85,59.72,236,0.14,11, 135, 57.20,-1.72
LFIC, EQ, 01-Dec-2021,188.55,179.15,179.15,179.15,179.15,179.15,179.15,727,1.3,43, 727, 100.00,-4.99
LFIC, EQ, 01-Dec-2022,145.1,151.5,158.0,135.05,155.5,155.65,152.29,219174,333.78,4343, 47722, 21.77,7.27
LFIC, EQ, 01-Dec-2023,158.65,158.25,164.0,156.0, 160.60,157.9,159.64,10455,16.69,423, 6777, 64.82,-0.47
LFIC, EQ, 02-Jan-2020,48.2,49.0,52.4,49.0, 50.55,50.05,50.07,458,0.23,5, 458, 100.00,3.84
LFIC, EQ, 02-Jan-2023,111.8,112.0,114.0,111.5, 113.00,112.8,112.88,2779,3.14,56, 2317, 83.38,0.89
LFIC, EQ, 02-Jan-2024,177.3,177.55,194.25,177.55, 183.45,184.15,185.37,32210,59.71,798, 15001, 46.57,3.86
LFIC, EQ, 02-Feb-2021,70.5,72.95,74.0,70.1, 74.00,73.95,72.94,857,0.63,28, 712, 83.08,4.89
LFIC, EQ, 02-Feb-2022,124.6,128.0,130.8,120.95, 130.75,130.45,125.19,10377,12.99,404, 4098, 39.49,4.7
LFIC, EQ, 02-Feb-2023,116.4,116.0,117.0,113.0, 115.10,115.1,114.36,1915,2.19,53, 1348, 70.39,-1.12
LFIC, EQ, 02-Feb-2024,187.0,189.7,220.9,186.55, 214.95,215.65,209.41,267271,559.7,3673, 111717, 41.80,15.32
LFIC, EQ, 02-Mar-2020,51.5,44.5,54.85,44.5, 48.50,48.5,49.24,603,0.3,32, 343, 56.88,-5.83
LFIC, EQ, 02-Mar-2021,79.2,79.95,84.0,78.35,83.0,81.05,79.47,879,0.7,39, 621, 70.65,2.34
LFIC, EQ, 02-Mar-2022,93.95,97.45,97.5,92.3, 96.05,96.2,96.01,1591,1.53,130, 955, 60.03,2.39
LFIC, EQ, 02-Mar-2023,103.0,103.0,106.6,101.0, 103.00,103.05,102.4,2744,2.81,159, 2300, 83.82,0.05
LFIC, EQ, 02-Apr-2025,171.49,174.71,176.98,170.11,175.0,172.89,172.61,2334,4.03,190, 1009, 43.23,0.82
LFIC, EQ, 02-May-2022,104.55,106.65,106.85,100.4,101.7,101.65,102.14,825,0.84,41, 670, 81.21,-2.77
LFIC, EQ, 02-May-2023,107.8,108.9,128.0,108.0, 124.80,122.25,121.44,24476,29.72,189, 17259, 70.51,13.4
LFIC, EQ, 02-Jun-2020,43.9,45.7,45.7,41.1,43.3,43.25,42.95,1363,0.59,53, 691, 50.70,-1.48
LFIC, EQ, 02-Jun-2021,78.95,79.85,79.9,78.15, 79.75,79.75,79.6,39,0.03,8, 32, 82.05,1.01
LFIC, EQ, 02-Jun-2022,95.45,95.85,95.85,94.1,95.2,94.75,94.69,324,0.31,28, 280, 86.42,-0.73
LFIC, EQ, 02-Jun-2023,132.45,130.05,133.95,130.0, 132.95,131.9,131.86,3198,4.22,116, 1737, 54.32,-0.42
